 	la	manière	dont	ils	ne	suivent	est	celle	des	policiers	</S>
a88	0.00132635	0.00113012	0.0023028	0.0056991	0.00888139	0.0237946	0.0239493	0.0328278	0.145514	0.279447	0.475128
a71	0.00138853	0.00118477	0.00249752	0.00523471	0.0077032	0.0163432	0.0137131	0.0180327	0.0859855	0.255259	0.592657
a9	0.00496321	0.00425235	0.00598906	0.0113394	0.0154938	0.035298	0.0274712	0.0223219	0.109743	0.275792	0.487336
a87	0.0330731	0.0192223	0.0228253	0.0331766	0.0404634	0.0683057	0.0901566	0.0870769	0.116064	0.197736	0.2919
a99	0.0693628	0.0327582	0.0242139	0.0290382	0.0303479	0.0590304	0.142675	0.170241	0.142117	0.138433	0.161784
a50	0.0542015	0.0203163	0.0102966	0.0132138	0.0112753	0.0275655	0.064682	0.118247	0.160053	0.214497	0.305652
a21	0.0003826	0.000248874	0.000235058	0.000449688	0.000497177	0.00200103	0.00770871	0.0210497	0.0957806	0.307371	0.564276
a85	0.000291728	0.000201069	0.000251041	0.000662066	0.00117167	0.00689968	0.016164	0.0405048	0.145057	0.295666	0.493132
a47	0.000280512	0.00025385	0.000419986	0.000875503	0.00157417	0.00614516	0.0114119	0.0417754	0.209476	0.299959	0.427828
a37	0.000134704	0.000139672	0.000285291	0.000600208	0.00106132	0.00487665	0.0111329	0.0353284	0.16327	0.284726	0.498445
a44	0.000207372	0.000205013	0.000410399	0.000950005	0.00159384	0.00568273	0.0120469	0.0326223	0.146167	0.275414	0.524701
a70	0.00023859	0.000239834	0.00046628	0.000994809	0.00146281	0.00363513	0.0067806	0.0185807	0.109324	0.269949	0.588329
a13	0.000245652	0.000174763	0.000359718	0.000999193	0.00143577	0.0033358	0.00565025	0.0157877	0.085003	0.248662	0.638346
a71	0.000483012	0.000372072	0.000533731	0.000934631	0.00129755	0.00351504	0.00614043	0.0145441	0.100823	0.305729	0.565627
a3	0.00379638	0.00256126	0.00298735	0.00429012	0.0055837	0.0114744	0.0234205	0.0421227	0.132795	0.316067	0.454901
a87	0.0473115	0.0201025	0.0166182	0.0232273	0.0278162	0.0511241	0.0727336	0.0822739	0.148934	0.225759	0.2841
a23	0.1973	0.093334	0.0515432	0.0590898	0.0593925	0.075788	0.0668741	0.0466721	0.0770668	0.114964	0.157976
a87	0.0785429	0.0277076	0.0118652	0.0135937	0.0123042	0.0158383	0.0151963	0.0189704	0.0811584	0.209746	0.515077
</S>	0.0159768	0.00654697	0.00368116	0.00516646	0.00560779	0.0105025	0.0117371	0.0175711	0.0744585	0.212404	0.636347
