 	maman	nous	a	laissé	du	manioc	un	morceau	pour	moi	et	deux	pour	toi	</S>
a44	0.0087443	0.00674895	0.00769207	0.00955502	0.0146549	0.0278562	0.0541382	0.0593566	0.104147	0.135605	0.124476	0.0878753	0.0767356	0.124277	0.158138
a57	0.00622893	0.00472406	0.00547536	0.00727729	0.0120487	0.0223538	0.0411452	0.0396542	0.0713666	0.111596	0.120795	0.106013	0.100682	0.15514	0.1955
a82	0.00615663	0.00417688	0.00456003	0.00584079	0.00971132	0.0177147	0.0361249	0.0362023	0.0687933	0.110368	0.120328	0.102042	0.0987779	0.159926	0.219276
a99	0.018872	0.0141553	0.0143649	0.015687	0.0178277	0.0239644	0.0371378	0.0397552	0.0668451	0.111457	0.131393	0.108347	0.0984934	0.141974	0.159725
a87	0.0149517	0.0100315	0.0102386	0.0109024	0.0130452	0.0170349	0.0264548	0.0274271	0.04501	0.0821719	0.105626	0.110418	0.129162	0.184843	0.212683
a23	0.046478	0.0301262	0.0280128	0.0283977	0.0364744	0.0358962	0.0519607	0.0442119	0.0530413	0.0789815	0.0894267	0.112568	0.108553	0.124881	0.130991
a99	0.00960907	0.0049692	0.00454401	0.00514425	0.00838219	0.0107383	0.0215156	0.0277695	0.0429766	0.0765214	0.0888977	0.141001	0.185901	0.183689	0.188341
a38	0.00100508	0.000872923	0.0014634	0.00285609	0.00787226	0.0126576	0.0262378	0.0317335	0.0395461	0.072359	0.0960175	0.148472	0.168012	0.190722	0.200172
a11	0.000538149	0.000647495	0.00130123	0.00272432	0.0082282	0.0158006	0.0307816	0.0359272	0.0406904	0.0625972	0.0807043	0.118922	0.142019	0.207926	0.251193
a90	0.000464047	0.000460076	0.000817544	0.00176619	0.00476205	0.00988539	0.0219319	0.0333263	0.0379834	0.0629627	0.0851642	0.136754	0.167668	0.206413	0.229641
a79	0.000524263	0.000474525	0.000763725	0.00147997	0.00335358	0.00636663	0.0131489	0.0207073	0.0281624	0.0516118	0.0725697	0.122303	0.179937	0.244478	0.254119
a36	0.000400833	0.00035179	0.000574176	0.0011509	0.00268946	0.00524357	0.0108449	0.0164322	0.0256458	0.0452179	0.06134	0.103914	0.17986	0.268157	0.278178
a94	0.000194201	0.000152869	0.000221653	0.000393887	0.00094256	0.00198426	0.00502652	0.00640967	0.0117892	0.026879	0.0427737	0.0910685	0.182877	0.283066	0.346222
a90	0.000262778	0.00020199	0.000285068	0.000512897	0.00122396	0.00226824	0.00502593	0.00637634	0.0102819	0.0240484	0.0416572	0.0899069	0.181999	0.281113	0.354836
a98	0.00023526	0.00017884	0.000253105	0.000449309	0.00103867	0.00215809	0.00457715	0.00677548	0.0146423	0.0338429	0.0525247	0.088459	0.167748	0.294494	0.332623
a5	0.000286751	0.000211205	0.000288143	0.000506072	0.00119235	0.00234794	0.00470771	0.00628271	0.0145435	0.0351186	0.0537184	0.0912677	0.167658	0.288085	0.333786
a21	0.000186171	0.000139112	0.000162523	0.00023113	0.000447324	0.000846507	0.0017699	0.00329136	0.00767042	0.021256	0.041934	0.0905344	0.188954	0.289405	0.353173
a85	0.000265166	0.000198334	0.000229519	0.0003351	0.000596197	0.00110081	0.0021911	0.00384892	0.00781865	0.0190063	0.0349236	0.0672641	0.155753	0.309445	0.397025
a6	0.000310237	0.000220856	0.000266165	0.00040475	0.000814226	0.00152494	0.0030285	0.00448472	0.0116315	0.0313377	0.0545827	0.0917541	0.153277	0.291398	0.354964
a37	0.00012788	9.06179e-05	0.000108505	0.000170464	0.000381759	0.000799415	0.00171331	0.00295958	0.00994582	0.0298782	0.0508734	0.09311	0.176224	0.294428	0.33919
a54	0.000497325	0.000398939	0.000521472	0.000793628	0.00151729	0.0023935	0.00383993	0.00441363	0.00819053	0.016588	0.0297225	0.0605218	0.147922	0.287972	0.434708
a36	0.000242456	0.000182415	0.000216537	0.000346996	0.000728799	0.00131881	0.00242485	0.00302605	0.00837857	0.0251406	0.050286	0.105101	0.204023	0.293242	0.305342
a2	0.00126416	0.00101017	0.00119169	0.00149305	0.00249303	0.00341917	0.00519318	0.00481263	0.0078293	0.0156436	0.0262799	0.0667611	0.16938	0.293994	0.399236
a57	0.0270766	0.0241013	0.0286063	0.033757	0.0408828	0.0378302	0.0485172	0.0408833	0.0373447	0.0490659	0.070522	0.120047	0.13116	0.142484	0.167721
a87	0.0876571	0.0503397	0.0419245	0.0336681	0.0341009	0.0268613	0.0380882	0.0337976	0.0389269	0.0639599	0.098131	0.119387	0.110049	0.10625	0.116859
a23	0.104585	0.0667592	0.0531102	0.0328004	0.0284086	0.0235527	0.0385607	0.0340952	0.0493154	0.0817873	0.101918	0.106832	0.102838	0.0908434	0.0845942
a40	0.0552412	0.0327058	0.0223912	0.0142472	0.0137945	0.01255	0.0265078	0.0302552	0.0542035	0.107904	0.116437	0.132541	0.144351	0.132131	0.104739
a7	0.0187617	0.00980066	0.00836612	0.00676095	0.0100966	0.0113095	0.0245317	0.0263198	0.0422046	0.0776897	0.0888202	0.0979926	0.123851	0.196772	0.256723
a26	0.00243071	0.00168332	0.00198303	0.002557	0.00499365	0.00669025	0.0138689	0.0160519	0.0302305	0.0682967	0.108078	0.135152	0.152609	0.204069	0.251305
a53	0.000810287	0.000469539	0.000513863	0.000737805	0.00155567	0.00238016	0.00628048	0.00712312	0.0169324	0.046823	0.0780558	0.113472	0.159698	0.241229	0.323918
a15	0.000395452	0.000223072	0.000236456	0.000347305	0.000812525	0.00133407	0.00378351	0.00528173	0.0139357	0.0442503	0.0799743	0.127307	0.171264	0.242736	0.308119
a20	0.0001439	9.3199e-05	0.000112215	0.000172435	0.000424828	0.000753069	0.00224363	0.00383812	0.0107526	0.0369554	0.0692464	0.123712	0.177949	0.258518	0.315085
a15	0.000211598	0.000149027	0.000205322	0.000329172	0.000741786	0.00140257	0.00325179	0.00419374	0.0100358	0.0284007	0.0492289	0.106723	0.190986	0.293266	0.310875
a7	0.000107984	7.12261e-05	8.77341e-05	0.000141272	0.000328636	0.000578597	0.00136301	0.00211306	0.00501013	0.0158586	0.030676	0.0787162	0.176294	0.313845	0.374808
a47	0.000425389	0.000280424	0.000324346	0.00043829	0.000879225	0.00110248	0.00218549	0.00273026	0.00531842	0.0164222	0.034967	0.0848286	0.184128	0.29491	0.37106
a36	0.000156635	0.000107376	0.000123916	0.000190389	0.000416772	0.000714059	0.00157928	0.00258717	0.00673183	0.0245335	0.0480598	0.11177	0.210927	0.288205	0.303898
a2	0.00096546	0.000656188	0.000704774	0.000878758	0.00143613	0.00164837	0.00258943	0.00288632	0.00529345	0.0161883	0.0361676	0.0961643	0.205459	0.291636	0.337326
a57	0.0248224	0.0192947	0.0218368	0.0262393	0.0357531	0.0334659	0.0478147	0.0392734	0.0402177	0.0620348	0.0887563	0.128589	0.133978	0.13995	0.157974
a87	0.0826544	0.0484402	0.0406614	0.0362014	0.0360963	0.0304038	0.0399788	0.0342173	0.0389116	0.0630544	0.0913303	0.113529	0.113014	0.111137	0.12037
a40	0.11212	0.0660063	0.0509188	0.0331594	0.0279482	0.0238039	0.0348224	0.0308646	0.0446743	0.0728022	0.0996218	0.106525	0.105401	0.0978018	0.0935301
a47	0.0155464	0.00677477	0.00480336	0.00370416	0.00533666	0.00621231	0.0134631	0.0168538	0.036958	0.0893683	0.118338	0.135257	0.162064	0.190124	0.195196
a36	0.000462186	0.000343499	0.000367712	0.000419718	0.000775683	0.00111758	0.00274651	0.00479882	0.0132325	0.0450117	0.0878378	0.145287	0.186655	0.24473	0.266214
a26	0.000402622	0.000251578	0.000270081	0.000360506	0.000702972	0.000948446	0.00224802	0.00329801	0.00823744	0.0310121	0.0635804	0.116403	0.1765	0.2674	0.328385
a57	0.00102179	0.000587995	0.000612975	0.000779644	0.0015242	0.00179006	0.00384964	0.00366438	0.00671389	0.0217837	0.041362	0.0823249	0.157692	0.282364	0.393928
a87	0.0199547	0.0102873	0.00845674	0.00775594	0.00955947	0.00954046	0.0152406	0.0156291	0.0256927	0.0589062	0.0855386	0.116058	0.154233	0.203868	0.25928
a23	0.0588481	0.031621	0.0241519	0.0180015	0.0173623	0.016677	0.025373	0.025698	0.0430894	0.0725308	0.0835409	0.0948886	0.118985	0.161737	0.207495
a87	0.0370485	0.0192107	0.013662	0.0106792	0.0126466	0.0148705	0.0284289	0.0364816	0.0630228	0.100912	0.100596	0.111959	0.132974	0.154832	0.162675
</S>	0.0144652	0.00842249	0.00660589	0.00559371	0.00721111	0.00931358	0.0196217	0.025001	0.0402914	0.0668463	0.0633659	0.0785659	0.125155	0.222463	0.307078
