 	les	enfants	de	l'	époque	actuelle	ne	respectent	plus	les	parents	</S>
a38	0.0106681	0.0112904	0.0142216	0.0164226	0.0495515	0.0876111	0.0742072	0.0747609	0.0921728	0.152645	0.19533	0.221119
a75	0.0205633	0.0147868	0.0146646	0.013985	0.0365962	0.0550507	0.0503893	0.0734127	0.0823097	0.135268	0.208489	0.294485
a14	0.00850856	0.00983694	0.0173197	0.0180116	0.0442523	0.0660487	0.0522177	0.0612652	0.0689624	0.112328	0.20573	0.335519
a35	0.0110744	0.0115162	0.0154199	0.0159402	0.0354871	0.0528453	0.0518119	0.067076	0.0780835	0.130395	0.211311	0.319039
a75	0.0131777	0.0129317	0.0152924	0.0148067	0.0317749	0.0485067	0.0504505	0.0727577	0.0790381	0.123664	0.19843	0.33917
a35	0.0136368	0.0143491	0.0220908	0.022702	0.0436206	0.0595011	0.0544486	0.0668513	0.0753655	0.116311	0.199537	0.311586
a2	0.00742989	0.00625689	0.00804292	0.00855262	0.0180667	0.0231259	0.0225797	0.0364909	0.0455479	0.109435	0.240242	0.47423
a75	0.0150534	0.0150643	0.0174481	0.0169182	0.0353042	0.0520945	0.0443597	0.0635877	0.0635483	0.117052	0.188217	0.371354
a14	0.0114705	0.0108465	0.0131644	0.0115874	0.0217398	0.0306046	0.0288259	0.0439801	0.0513113	0.106039	0.238942	0.431489
a35	0.0078781	0.00717497	0.00899214	0.0091959	0.0184507	0.0238295	0.0236457	0.039161	0.0469952	0.110805	0.246056	0.457816
a76	0.0105213	0.00896176	0.0102747	0.0103409	0.0227282	0.0283384	0.0263394	0.0409295	0.0457755	0.106007	0.217425	0.472358
a41	0.015436	0.0147455	0.0187341	0.01824	0.0345695	0.0431977	0.0387269	0.0497498	0.0517455	0.0939822	0.219849	0.401024
a25	0.0112666	0.0102444	0.0124379	0.0122528	0.0234316	0.0311832	0.0292541	0.0402446	0.0447016	0.0928539	0.231784	0.460345
a87	0.0124292	0.0125083	0.0143041	0.0127111	0.0212964	0.0271967	0.0257612	0.0395471	0.0418579	0.0940486	0.23829	0.46005
a23	0.00288696	0.00206539	0.00211674	0.0021922	0.00476947	0.00716586	0.00759613	0.0129665	0.0253802	0.0912956	0.261126	0.580439
a87	0.0265157	0.0151707	0.0103869	0.00862823	0.0132902	0.0174211	0.0173542	0.0234855	0.0423622	0.120293	0.272499	0.432593
</S>	0.0203683	0.0119209	0.00761674	0.006261	0.0114011	0.0166454	0.0173827	0.0233993	0.0500228	0.132941	0.268035	0.434006
