 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
a20	0.020191	0.019201	0.0344573	0.0651325	0.0871394	0.12341	0.134287	0.150065	0.157398	0.208719
a73	0.0309608	0.0279093	0.0421479	0.0766989	0.0894832	0.117145	0.125417	0.137513	0.145058	0.207667
a58	0.031177	0.0243344	0.042542	0.0881239	0.101557	0.12905	0.117834	0.124975	0.133533	0.206874
a57	0.023245	0.0184603	0.0284672	0.08051	0.116583	0.159912	0.14165	0.133628	0.12274	0.174805
a13	0.0196185	0.0142857	0.0295417	0.0785439	0.109977	0.169747	0.130585	0.126635	0.125395	0.195672
a66	0.0407785	0.0213804	0.0281697	0.06971	0.102971	0.136092	0.12167	0.123592	0.131754	0.223881
a21	0.0261596	0.0160045	0.02621	0.0611751	0.0751248	0.0847298	0.112646	0.133297	0.162117	0.302536
a85	0.0440954	0.0215652	0.0249372	0.0565462	0.0760249	0.0860427	0.107279	0.126402	0.157239	0.299868
a73	0.0115247	0.0104156	0.0202452	0.0604421	0.089343	0.114797	0.12749	0.137075	0.158961	0.269707
a35	0.0109208	0.00984196	0.0173817	0.059167	0.0905395	0.128554	0.135648	0.147116	0.155906	0.244924
a98	0.0162732	0.0124266	0.0164226	0.0500826	0.0790005	0.12374	0.129046	0.144539	0.163132	0.265337
a73	0.0168502	0.0138968	0.0213961	0.0556426	0.0838717	0.11702	0.118903	0.131798	0.158687	0.281934
a84	0.0194023	0.0161802	0.0198869	0.0466896	0.0727422	0.116371	0.123091	0.141982	0.166664	0.276991
a53	0.0129323	0.0118319	0.0176819	0.0395495	0.0595602	0.0972596	0.117444	0.153352	0.174746	0.315643
a76	0.0185907	0.0111619	0.0155831	0.0413235	0.0746165	0.109675	0.11893	0.138327	0.164093	0.307698
a20	0.0128142	0.0101092	0.0153831	0.0366818	0.0593724	0.0848485	0.101746	0.121552	0.168018	0.389475
a98	0.00816357	0.00822041	0.0133778	0.0324897	0.0486399	0.0738318	0.0922563	0.118941	0.16663	0.43745
a41	0.0129922	0.011177	0.0156986	0.0339368	0.050712	0.074206	0.0889582	0.111652	0.161664	0.439003
a14	0.00903525	0.00916165	0.0133275	0.0323374	0.05101	0.0811881	0.100303	0.129295	0.17311	0.401232
a73	0.0278617	0.0245978	0.0303814	0.055185	0.0708335	0.0854479	0.101398	0.120272	0.152063	0.33196
a84	0.0168246	0.0147321	0.0172505	0.0368175	0.0544842	0.0804983	0.0950855	0.126005	0.172855	0.385447
a76	0.00658758	0.007032	0.00996881	0.0249981	0.0374189	0.0595023	0.0942444	0.146849	0.193761	0.419637
a94	0.0181445	0.0147358	0.0198196	0.0366514	0.0532775	0.0820338	0.0938882	0.115723	0.159632	0.406094
a32	0.00544009	0.00629335	0.0104905	0.0223685	0.0327105	0.0563337	0.0835029	0.125119	0.185249	0.472492
a76	0.00436265	0.00411681	0.00714549	0.0182932	0.0255823	0.0411113	0.075878	0.132096	0.200283	0.491131
a69	0.00856434	0.0071394	0.0092505	0.0186528	0.0273592	0.0458432	0.0657388	0.0993574	0.171316	0.546778
a84	0.00554956	0.00669357	0.0122881	0.0234541	0.0327652	0.0542816	0.0750589	0.108759	0.165239	0.515911
a57	0.00280015	0.00256027	0.00551314	0.0132505	0.0194806	0.033376	0.0708629	0.132356	0.19445	0.525351
a82	0.00369258	0.00249327	0.00523609	0.0105964	0.0128461	0.0169734	0.0503167	0.111028	0.194004	0.592813
a58	0.00223483	0.00127958	0.00323777	0.00804013	0.0102715	0.0144474	0.0426663	0.0988466	0.178649	0.640327
a27	0.00288267	0.0016759	0.00392464	0.00881971	0.0111728	0.0147874	0.058373	0.136666	0.2136	0.548098
a87	0.00266242	0.00149291	0.00348873	0.00835613	0.012441	0.0197846	0.0542502	0.118244	0.208146	0.571134
</S>	0.00632526	0.00284399	0.0064214	0.0164194	0.0195049	0.0272777	0.0716013	0.139582	0.221897	0.488127
