 	notre	père	a	cueilli	du	koko	aux	feuilles	larges	lorsqu'	il	abattait	les	arbres	dans	son	champ	</S>
a36	0.114208	0.121044	0.128259	0.0941408	0.0609372	0.0452684	0.0610941	0.065784	0.0674553	0.060726	0.0785008	0.0535361	0.017159	0.00826535	0.00567509	0.00530353	0.00582918	0.00681378
a75	0.0508559	0.0656996	0.093766	0.0832107	0.0871073	0.0664498	0.070729	0.0679111	0.074229	0.069273	0.0903056	0.0743243	0.0293387	0.0146631	0.0123657	0.0132266	0.0165366	0.0200082
a21	0.0267679	0.0351134	0.0524257	0.0602644	0.0848071	0.0939276	0.0974147	0.0852718	0.0877903	0.0782015	0.0790863	0.0469574	0.0305636	0.0235017	0.0234872	0.0252766	0.0314509	0.037692
a47	0.0251284	0.0323914	0.0470811	0.0530261	0.0971928	0.110769	0.112905	0.0896082	0.0881777	0.0756719	0.0716305	0.0461335	0.0344173	0.022836	0.0201245	0.0197959	0.0239256	0.0291845
a61	0.020936	0.026663	0.042557	0.0475927	0.0842113	0.114625	0.103703	0.0862215	0.0884238	0.0783468	0.0700871	0.0460959	0.0424356	0.0312221	0.0278769	0.024911	0.027976	0.0361151
a34	0.0135576	0.0179225	0.0289553	0.0344087	0.0660624	0.125077	0.103093	0.0834977	0.0772874	0.0683102	0.0576991	0.0389122	0.0505218	0.0488863	0.0448147	0.0400382	0.0443694	0.0565869
a93	0.00972462	0.0138458	0.0251407	0.0326226	0.0556341	0.114497	0.0935571	0.0812099	0.0825171	0.0822594	0.0800428	0.0607505	0.0646325	0.0482469	0.0404988	0.032714	0.0368311	0.0452754
a34	0.0129379	0.0163022	0.0272068	0.0318185	0.0447384	0.0796934	0.0607104	0.059047	0.0683738	0.0820108	0.0908718	0.0774344	0.0819434	0.0567937	0.0505968	0.0417895	0.0504025	0.0673288
a62	0.00885315	0.0118757	0.0197012	0.024599	0.0349535	0.0674075	0.0596361	0.0568708	0.0578633	0.0687821	0.0726201	0.0626259	0.0806515	0.0729123	0.0704272	0.0670726	0.0726558	0.0904923
a61	0.00403171	0.0057648	0.0112642	0.014847	0.0228034	0.0369969	0.0268374	0.0271047	0.0308148	0.0500198	0.064817	0.0600149	0.0762653	0.0833523	0.085863	0.0995025	0.126521	0.173179
a75	0.00259026	0.00370431	0.00680824	0.00916145	0.0117799	0.0192947	0.0150018	0.0170379	0.0196739	0.0345733	0.0520143	0.060481	0.0995929	0.103318	0.108308	0.112252	0.144779	0.179628
a56	0.000758459	0.000976487	0.0018936	0.00278563	0.00586717	0.0104491	0.00713033	0.00692577	0.00855941	0.0163164	0.0274943	0.0335739	0.0512454	0.0675392	0.0914661	0.135465	0.225175	0.306378
a98	0.00194439	0.00260772	0.00428138	0.00541572	0.00810757	0.0103159	0.00759562	0.00851533	0.00920578	0.0172499	0.0290027	0.0372539	0.0740263	0.0928985	0.106918	0.122938	0.183809	0.277914
a85	0.000385981	0.000470195	0.000854234	0.00120686	0.00289167	0.00624742	0.00430201	0.00429846	0.00539036	0.0104961	0.0180694	0.0221338	0.0438143	0.0678126	0.0985341	0.141444	0.23586	0.335789
a47	0.000275426	0.000333652	0.000626704	0.000818245	0.00172913	0.00419289	0.00308149	0.0034707	0.00454985	0.00844513	0.0144776	0.018262	0.028341	0.0520676	0.0868305	0.13954	0.249982	0.382976
a36	0.000319585	0.000357937	0.00062506	0.000851397	0.0012299	0.00194155	0.000806987	0.00102735	0.0013482	0.00297543	0.00770278	0.0130962	0.0487295	0.11117	0.179007	0.181517	0.195299	0.251995
a37	0.0011642	0.000931129	0.00111683	0.00105071	0.00110335	0.00119309	0.000593472	0.000888688	0.00106044	0.00195099	0.00406563	0.00614309	0.0287188	0.0702584	0.120064	0.158581	0.224103	0.377013
a92	0.00159693	0.0013383	0.00174508	0.0016546	0.00168376	0.00201356	0.001269	0.00187917	0.00221124	0.00429742	0.00695134	0.00977058	0.035538	0.0766351	0.136152	0.177029	0.208551	0.329684
a56	0.000332783	0.000341899	0.000433924	0.000477146	0.000609996	0.000973263	0.000633663	0.000928536	0.0010994	0.00225765	0.00447816	0.00670307	0.0285203	0.0620153	0.110701	0.176082	0.233661	0.369751
a96	0.000552468	0.000499379	0.000553805	0.000588098	0.000850803	0.00120386	0.000872213	0.00136962	0.00142624	0.00243434	0.00358799	0.00451285	0.0213275	0.0506933	0.0936139	0.170227	0.245634	0.400053
a44	0.000695291	0.000610437	0.000713717	0.000643009	0.000810772	0.000994202	0.000548891	0.000865495	0.00100222	0.00177875	0.00264249	0.00336037	0.0127226	0.034385	0.0818688	0.169801	0.267866	0.418691
a13	0.000242374	0.000229982	0.000277591	0.000237587	0.00026817	0.00034765	0.000153657	0.000250375	0.000290734	0.000537201	0.00106414	0.00162345	0.00614119	0.0212615	0.0618426	0.148817	0.279215	0.4772
a38	0.000308505	0.000262338	0.000295527	0.000244528	0.000234701	0.000282137	9.06578e-05	0.000176657	0.000199687	0.000356389	0.000858307	0.00131214	0.00701905	0.0296883	0.0897192	0.181145	0.293728	0.39408
a9	0.000381797	0.000272723	0.000304926	0.000193949	0.000148116	0.00016187	5.11136e-05	0.000115579	0.000136261	0.000252425	0.000683038	0.000859101	0.00507138	0.0232884	0.0720422	0.159077	0.28735	0.44961
a99	0.0497648	0.0215716	0.0126892	0.00498864	0.00339766	0.00391773	0.00222645	0.00292119	0.00396265	0.006228	0.0079414	0.00944731	0.0307814	0.0683194	0.1308	0.162848	0.208576	0.269619
a97	0.0451872	0.0244143	0.0148495	0.00836089	0.00804499	0.00987235	0.00656333	0.00610692	0.00731717	0.00847835	0.00939303	0.0087181	0.0382522	0.0753559	0.152311	0.186834	0.205696	0.184245
a87	0.0876324	0.0460759	0.0270597	0.0145066	0.014896	0.019288	0.0145365	0.017365	0.0200948	0.0245454	0.0272824	0.0186122	0.0622314	0.0854356	0.130869	0.140922	0.131299	0.117348
a97	0.0408626	0.021941	0.013936	0.00845248	0.00912016	0.0130066	0.0110313	0.014434	0.0186276	0.0293878	0.0404381	0.0309282	0.0740492	0.082563	0.128941	0.157499	0.167639	0.137142
a87	0.0222782	0.011917	0.00835009	0.00563388	0.00627549	0.0106351	0.00825333	0.0104449	0.0135283	0.0202635	0.0285546	0.0265622	0.0457502	0.0538289	0.0994837	0.158888	0.233192	0.23616
a97	0.0184122	0.00998234	0.00721139	0.00533748	0.00591765	0.0126756	0.0120928	0.0159484	0.0243082	0.032287	0.0383292	0.0335868	0.0487896	0.0561583	0.0962324	0.150653	0.212601	0.219477
</S>	0.0162447	0.00846885	0.0066491	0.0052096	0.00658427	0.0145448	0.0125205	0.0165075	0.0253871	0.0370488	0.0500802	0.0422688	0.0498934	0.0508209	0.0826689	0.132697	0.203945	0.23846
