 	malgré	tout	le	bien	que	j'	ai	fait	pour	vous	c'	est	vraiment	vous	mes	envahisseurs	</S>
a88	0.00309707	0.0034542	0.00468468	0.00907955	0.0169239	0.0234985	0.032299	0.0454793	0.0521414	0.0532557	0.0905763	0.0966663	0.0898731	0.0725028	0.0971359	0.15247	0.156862
a71	0.00277381	0.00317944	0.00417725	0.00734373	0.0130325	0.0173074	0.0233762	0.0325811	0.0408222	0.0441504	0.0794819	0.0910192	0.0961965	0.0818743	0.119815	0.191186	0.151683
a99	0.0108155	0.0115156	0.0164471	0.0240371	0.0390631	0.0431593	0.0475368	0.0514056	0.0565972	0.0579178	0.0927612	0.100329	0.102691	0.0650891	0.0801739	0.105758	0.0947019
a97	0.0190201	0.0188987	0.0211755	0.0267014	0.0388527	0.0424644	0.0436229	0.048251	0.0570676	0.0641574	0.0923635	0.101757	0.113262	0.078883	0.0830433	0.08246	0.0680197
a3	0.0240347	0.0197199	0.0186993	0.0222745	0.0287004	0.0319461	0.0356252	0.0479312	0.0706651	0.0826757	0.11195	0.109449	0.110151	0.0836793	0.0790869	0.0598902	0.0635221
a87	0.0313899	0.0222159	0.018134	0.022527	0.0328225	0.0395467	0.0521697	0.067135	0.0811807	0.0896065	0.106375	0.0924754	0.0855389	0.0720167	0.0733916	0.0581943	0.0552799
a40	0.0665203	0.0452006	0.0260375	0.0260047	0.0336879	0.0384841	0.0460736	0.054779	0.0682708	0.0800727	0.0965147	0.0852795	0.0759193	0.0775008	0.0778792	0.053634	0.0481412
a36	0.0054101	0.00687878	0.00647682	0.00863358	0.0141197	0.0211496	0.0317557	0.0426205	0.0564867	0.0562065	0.0590244	0.0534152	0.054534	0.0671595	0.0899248	0.200649	0.225555
a27	0.00191736	0.0027175	0.00256491	0.00496841	0.00811574	0.0118923	0.0172204	0.025812	0.0378808	0.0418679	0.0442207	0.0449871	0.0472175	0.062731	0.0960008	0.174975	0.37491
a11	0.00158551	0.00351576	0.00325025	0.00557179	0.00771694	0.0107374	0.0165856	0.0287066	0.045605	0.048781	0.0530653	0.0573592	0.0638249	0.0849201	0.137089	0.204698	0.226987
a96	0.002579	0.00492288	0.00367587	0.0055673	0.00693123	0.00910774	0.0143176	0.0267153	0.0468908	0.0495235	0.0551296	0.0600064	0.0705362	0.0933001	0.152388	0.221883	0.176525
a47	0.00151872	0.00259765	0.00210623	0.00323805	0.00417063	0.00530184	0.0081246	0.0154516	0.030643	0.0334228	0.0416222	0.0477185	0.0612519	0.0813987	0.143203	0.257367	0.260864
a96	0.000996563	0.00159028	0.00147132	0.00238242	0.00337337	0.00456437	0.00708043	0.0127153	0.0232953	0.026379	0.0362641	0.042676	0.0549744	0.0693463	0.122541	0.254291	0.336059
a75	0.000896665	0.00121675	0.00120466	0.00202665	0.00278113	0.00358239	0.00549189	0.0109034	0.0215799	0.0255435	0.0352915	0.043942	0.059478	0.0767341	0.133585	0.260699	0.315043
a85	0.000318657	0.000356361	0.000405728	0.000701816	0.0012873	0.00192448	0.00290343	0.00547977	0.0111629	0.016012	0.0335289	0.0411473	0.0533363	0.0622191	0.101051	0.231666	0.436499
a21	0.000356645	0.000412366	0.000544079	0.000982111	0.00205353	0.00302041	0.00430643	0.00725217	0.0119092	0.0173599	0.0340231	0.0405135	0.0520956	0.0623223	0.100613	0.227905	0.434331
a5	0.0010298	0.00099566	0.000896505	0.0012234	0.00163043	0.0023026	0.00379699	0.00806551	0.0155371	0.0227078	0.0387822	0.0442517	0.0551883	0.0735322	0.116058	0.22268	0.391322
a23	0.000486839	0.000461477	0.000488092	0.000736673	0.00111419	0.00158021	0.00256877	0.00563276	0.0117588	0.0172	0.0311613	0.0399212	0.0534052	0.0657153	0.113178	0.246515	0.408076
a98	0.000141745	0.000162337	0.000213573	0.000349594	0.00067855	0.00102414	0.00155999	0.0027609	0.00475408	0.0074077	0.017588	0.023129	0.0324348	0.0400572	0.0680669	0.185198	0.614473
a79	0.000116617	0.00012001	0.000165637	0.000311785	0.0006984	0.00116628	0.00189895	0.00356575	0.00607156	0.0099143	0.0229299	0.0267504	0.0329494	0.0389924	0.0678831	0.214097	0.572369
a44	0.000182463	0.000156754	0.000213569	0.000434336	0.00106479	0.00186111	0.00315393	0.00578167	0.00879389	0.0126897	0.0272386	0.0299411	0.0341406	0.0391012	0.0691271	0.21757	0.548549
a40	0.000378614	0.000404662	0.000475127	0.000781699	0.00133301	0.00165068	0.0023262	0.00386751	0.00628139	0.00793209	0.0187169	0.0225329	0.0274652	0.0333304	0.0689561	0.246408	0.55716
a85	0.000189796	0.000228709	0.000256544	0.000412835	0.000631188	0.000849025	0.00119223	0.00191938	0.00309025	0.00434364	0.0103139	0.0154947	0.0221843	0.0294465	0.057588	0.193347	0.658512
a47	9.60824e-05	0.000126884	0.000162022	0.000267633	0.000457559	0.000642624	0.000912777	0.00165888	0.00299722	0.00470199	0.0114056	0.0152556	0.0197867	0.0253339	0.0450992	0.16095	0.710145
a36	0.00011532	0.000170364	0.000211146	0.000324369	0.000516925	0.000707683	0.000947509	0.00153005	0.00275084	0.00445006	0.0098524	0.0144957	0.0208196	0.0320183	0.0655024	0.219294	0.626293
a5	0.000629688	0.00082583	0.000846158	0.00136891	0.00210006	0.00283581	0.00379614	0.00487994	0.00677542	0.00815767	0.0147064	0.0180788	0.0230539	0.0328748	0.0731334	0.258387	0.54755
a56	0.000663897	0.000708687	0.000687476	0.00102608	0.00145323	0.00168665	0.00206487	0.00305352	0.00524109	0.00746886	0.0180309	0.0241219	0.0326943	0.0433718	0.0803572	0.230339	0.547031
a12	0.000413075	0.000521165	0.00050207	0.00080405	0.00118147	0.00147692	0.00189323	0.00263188	0.00399856	0.00510937	0.0102234	0.0131887	0.0181549	0.0242896	0.0516765	0.215679	0.648256
a96	0.000418786	0.000629795	0.000637672	0.00102341	0.00153527	0.00191555	0.0024403	0.00298314	0.00410536	0.00485064	0.00827523	0.0102953	0.0149	0.0194395	0.0448663	0.226609	0.655074
a98	0.000589677	0.00112575	0.00114508	0.00179353	0.00263755	0.00325308	0.00402327	0.00426941	0.00550985	0.00584702	0.00773194	0.00883641	0.0138989	0.0187592	0.0461859	0.247165	0.627229
a79	0.00042028	0.000649658	0.000621692	0.000875199	0.00125185	0.00166974	0.00217575	0.00250872	0.0032441	0.00385468	0.00568928	0.00729127	0.0110969	0.0151763	0.0358159	0.186563	0.721095
a7	0.00025309	0.000375616	0.000376266	0.00053621	0.000796448	0.00110512	0.00148125	0.00176382	0.00226748	0.00278921	0.00460872	0.00628229	0.00944733	0.013422	0.0335376	0.177945	0.743013
a15	0.0100104	0.00999444	0.00974523	0.0112141	0.0129249	0.0143273	0.0140372	0.0128527	0.0137801	0.0141163	0.0181389	0.0192141	0.0255219	0.0341846	0.0740035	0.255226	0.450709
a7	0.00904753	0.00833053	0.00648421	0.00697119	0.00757441	0.00869784	0.00887369	0.00808186	0.00924505	0.00968443	0.0126785	0.0143076	0.0209393	0.0309832	0.0679782	0.231432	0.538691
a84	0.00883474	0.00924917	0.00908333	0.0096231	0.0119699	0.0137184	0.0132223	0.0118407	0.0130875	0.0146486	0.0193851	0.0198813	0.0266863	0.0357991	0.0760175	0.258955	0.447998
a57	0.0270065	0.0256492	0.0242659	0.0244229	0.0267023	0.0252154	0.0212077	0.0200207	0.0220541	0.0245459	0.0329607	0.0338855	0.043444	0.0587409	0.0944818	0.211641	0.283756
a87	0.0629478	0.0384868	0.0274462	0.0239957	0.0217108	0.0223401	0.0206134	0.0203638	0.0268711	0.0280495	0.0383048	0.0457396	0.0627716	0.0714063	0.092613	0.15354	0.242799
a23	0.0776539	0.0465698	0.0286674	0.0229817	0.0225112	0.0243089	0.0255077	0.0273111	0.0414263	0.0434715	0.0631788	0.070027	0.0802398	0.0701594	0.0729074	0.106871	0.176207
a87	0.0077051	0.00828382	0.00533995	0.00357306	0.00289133	0.00310818	0.00337448	0.00511457	0.00990736	0.0137817	0.0214491	0.0252379	0.0322516	0.0463718	0.063483	0.137745	0.610382
a23	0.00450348	0.00469395	0.0027999	0.00232824	0.00256657	0.00320809	0.00426709	0.0060535	0.00927005	0.0125867	0.0191256	0.0219677	0.0255073	0.0349272	0.052197	0.140876	0.653122
a99	0.00976636	0.0122874	0.00793685	0.00634365	0.00676852	0.00796357	0.00971641	0.012821	0.0174541	0.0223191	0.0317796	0.0358421	0.0385253	0.0521881	0.0681398	0.136288	0.523861
a97	0.0180635	0.0221062	0.0159146	0.015627	0.0169332	0.0181486	0.0189753	0.0229519	0.0278905	0.0333517	0.0403787	0.0428873	0.043032	0.0584371	0.0719117	0.122965	0.410426
</S>	0.0137936	0.013136	0.0082445	0.00858237	0.00986854	0.0112923	0.0129021	0.0159282	0.0195636	0.0231958	0.0281379	0.0314405	0.0320507	0.0391619	0.0489761	0.103627	0.580099
