 	le	chef	du	village	a	convoqué	l'	assemblée	des	anciens	</S>
a2	0.00666858	0.00669045	0.00843292	0.010597	0.0148974	0.0267527	0.0305294	0.0305392	0.132674	0.269885	0.462334
a40	0.00356813	0.00296502	0.00373288	0.0049083	0.00791057	0.0137802	0.0218707	0.0245909	0.0990416	0.237354	0.580277
a73	0.0540785	0.0350397	0.0242304	0.0204723	0.0218636	0.0302661	0.0345724	0.0331647	0.117486	0.24288	0.385946
a26	0.0178966	0.0134155	0.00940907	0.00805846	0.00998029	0.0168044	0.0219484	0.0252989	0.108809	0.259669	0.50871
a57	0.00647178	0.00498649	0.00464915	0.00514308	0.00687716	0.0118799	0.0160425	0.017765	0.0879918	0.250679	0.587514
a40	0.00522527	0.00293042	0.00262585	0.00298861	0.00478636	0.00891387	0.0140151	0.018812	0.0840143	0.251487	0.604201
a41	0.035005	0.0220333	0.0132257	0.0104542	0.0106608	0.0148147	0.0175553	0.0199358	0.0814602	0.241984	0.532871
a61	0.0198895	0.0127156	0.0104922	0.00897926	0.0112859	0.0170882	0.0227456	0.0314056	0.112385	0.23778	0.515233
a96	0.0163374	0.0114785	0.0113542	0.0103544	0.012219	0.0169306	0.0200822	0.026865	0.103308	0.214974	0.556096
a98	0.0150788	0.00976619	0.00839967	0.00750124	0.0095042	0.012554	0.0141917	0.0180163	0.0807565	0.202682	0.62155
a9	0.0130527	0.00890963	0.00730091	0.00678705	0.00823051	0.0107836	0.0127096	0.017254	0.0803162	0.206429	0.628227
a99	0.00630711	0.00407785	0.00289168	0.00309463	0.00453005	0.00738489	0.0104994	0.016501	0.0865309	0.231638	0.626544
a97	0.00649723	0.00365541	0.00203219	0.0019656	0.00281631	0.00483904	0.00845892	0.0166278	0.0939581	0.267208	0.591941
a9	0.00429701	0.00196375	0.00101959	0.000911222	0.00122327	0.00307915	0.00784824	0.0195136	0.0911629	0.24882	0.620161
a25	0.00742978	0.0040474	0.00200663	0.00134215	0.00180538	0.00374152	0.00895505	0.020225	0.0848276	0.236006	0.629614
a50	0.0113261	0.00623246	0.00337108	0.00218331	0.00296404	0.00530545	0.0111899	0.0246493	0.100898	0.261154	0.570727
a62	0.0143062	0.00802964	0.00351385	0.00292442	0.00361	0.00809364	0.0173565	0.0269437	0.111672	0.272648	0.530903
a24	0.00874101	0.00513013	0.00305812	0.00323184	0.00541107	0.011782	0.0200821	0.0328029	0.114858	0.270922	0.523982
a98	0.00980995	0.00587341	0.00344267	0.00356039	0.00509155	0.00952979	0.0149466	0.0232229	0.108254	0.274473	0.541796
a71	0.00585001	0.0040859	0.0030622	0.00371192	0.00509847	0.0110256	0.0150965	0.0217704	0.105948	0.262877	0.561475
a38	0.0024227	0.00180654	0.00165834	0.00200271	0.00365821	0.00764823	0.0134835	0.0232042	0.103977	0.233405	0.606734
a9	0.00653925	0.00369301	0.00228621	0.00246853	0.00366952	0.0060537	0.00980702	0.0189586	0.0972117	0.250895	0.598418
a87	0.00762834	0.00390467	0.00224962	0.00223501	0.00330181	0.00562444	0.0107613	0.0259504	0.117248	0.262362	0.558735
</S>	0.0045825	0.00213362	0.00115915	0.00105584	0.00116561	0.00292378	0.00940203	0.0237968	0.0954467	0.2658	0.592534
