 	les	jeunes	ont	refusé	d'	aller	enterrer	mademoiselle	angondo	parce	qu'	elle	prononçait	des	malédictions	à	leur	endroit	de	son	vivant	</S>
a47	0.00244526	0.00401265	0.00718064	0.0144084	0.0194455	0.0225538	0.0186986	0.0239785	0.0403929	0.0769345	0.0783568	0.0572317	0.0459117	0.0419381	0.0388176	0.0453617	0.0512962	0.0445561	0.035866	0.0413389	0.109554	0.179721
a96	0.00245779	0.00488847	0.00952019	0.0211341	0.0276292	0.0325931	0.0234564	0.0281361	0.0471185	0.0858607	0.0876805	0.0653777	0.0519125	0.0415416	0.0342797	0.0374284	0.0376725	0.0344467	0.0235758	0.0286499	0.0993523	0.175288
a62	0.00236328	0.0044097	0.00934457	0.0196847	0.0251626	0.0283203	0.0200823	0.0248975	0.0409923	0.0877662	0.0949269	0.0672317	0.0520179	0.0381978	0.0313635	0.0354064	0.0376681	0.0372073	0.0272373	0.0310983	0.101618	0.183003
a96	0.00253964	0.00395051	0.0072394	0.0139444	0.0186798	0.0207787	0.0153735	0.021106	0.0355612	0.0867673	0.0957809	0.0643359	0.0481323	0.0371722	0.0322993	0.0358004	0.0391364	0.0403925	0.0361414	0.0441924	0.121289	0.179386
a66	0.00284301	0.00446034	0.00793696	0.0137986	0.0170925	0.0183867	0.0138726	0.0191522	0.0292687	0.0733241	0.0833333	0.0559993	0.0435959	0.0345082	0.029686	0.0315884	0.0339766	0.0382451	0.0390169	0.0504283	0.147484	0.212002
a62	0.00230714	0.0044367	0.0116433	0.0199048	0.0229275	0.0281915	0.0268096	0.0310453	0.0286538	0.0690574	0.0832829	0.0601046	0.0514995	0.0367955	0.0275302	0.0241173	0.0188681	0.0225285	0.0257297	0.0490559	0.16654	0.18897
a21	0.00295667	0.00399931	0.00680513	0.0108272	0.0132661	0.0140793	0.0114164	0.0161738	0.022382	0.0609699	0.0743582	0.0539578	0.0457305	0.0372637	0.0319819	0.031465	0.0325334	0.0367427	0.0420546	0.0672835	0.1749	0.208853
a5	0.0012731	0.00182222	0.00252644	0.00434733	0.00618839	0.00757925	0.00636873	0.00841917	0.0157319	0.0355355	0.0392533	0.0267837	0.0212673	0.020281	0.0183255	0.0189845	0.0234502	0.0357994	0.0528946	0.0884103	0.247395	0.317363
a56	0.00103414	0.00164385	0.00272399	0.0044894	0.0059114	0.00679704	0.00578174	0.0081229	0.012277	0.0294549	0.0317941	0.0210761	0.0170797	0.0162432	0.0145622	0.013927	0.0153955	0.0221277	0.0370149	0.0769492	0.269315	0.386279
a75	0.000794307	0.00123933	0.00195288	0.00332998	0.00451949	0.0054889	0.00479915	0.00704528	0.0113673	0.0253059	0.0254196	0.0158261	0.0118022	0.0115254	0.00968099	0.0091488	0.0100827	0.0156719	0.0301793	0.0701979	0.282046	0.442576
a92	0.000296523	0.000474261	0.000826301	0.00180669	0.0027827	0.0038763	0.00268696	0.00398663	0.0089202	0.0198371	0.0207501	0.0139979	0.00926517	0.00874994	0.00793476	0.00945741	0.0129646	0.027377	0.0491243	0.0906493	0.28809	0.416146
a44	0.00031215	0.000535937	0.000985751	0.00213616	0.00315001	0.0043302	0.002907	0.00461125	0.00952268	0.0208109	0.0207974	0.0127623	0.00810143	0.0066839	0.00517023	0.00523229	0.00613815	0.0133091	0.0306997	0.0752803	0.307901	0.458622
a90	0.000279944	0.000485428	0.00116947	0.00273372	0.00358701	0.00484193	0.0035441	0.00530557	0.00825477	0.0199656	0.0211023	0.0122479	0.00789652	0.00509733	0.00336491	0.00279025	0.00281575	0.0055187	0.0142051	0.048722	0.322857	0.503215
a44	0.000211454	0.000333998	0.000683757	0.00172995	0.00261112	0.00453491	0.00298847	0.00464974	0.00939445	0.0200127	0.0212798	0.011609	0.00691837	0.00516704	0.00398567	0.00421628	0.0049232	0.00889414	0.0184154	0.0514412	0.322428	0.493571
a69	0.000282103	0.0004456	0.00090603	0.00198102	0.00280762	0.0043315	0.0028371	0.00354326	0.00496235	0.0111763	0.0139823	0.00883581	0.00633132	0.00404403	0.00349315	0.00339716	0.00400107	0.00746532	0.0184452	0.0541043	0.321624	0.521003
a58	0.000186774	0.000295799	0.000609592	0.00143359	0.00213143	0.00358262	0.00243982	0.00354375	0.00651625	0.0154709	0.0186947	0.0103694	0.00631748	0.00408104	0.00307944	0.00316294	0.00382352	0.00701172	0.0165831	0.051263	0.318021	0.521383
a82	0.00165621	0.00178028	0.00225156	0.00318271	0.0043682	0.00663296	0.00557662	0.0051729	0.00375923	0.00901004	0.0123262	0.0126923	0.0140573	0.012744	0.010533	0.00732285	0.00541975	0.00715208	0.0200125	0.0767354	0.351827	0.425787
a87	0.0379175	0.0306157	0.0256329	0.0248937	0.0295187	0.0304494	0.0294783	0.0333264	0.0224072	0.0508836	0.061736	0.0732583	0.078484	0.0643772	0.0489967	0.0363867	0.0335793	0.0366989	0.0493214	0.0598465	0.0726379	0.0695536
a23	0.0605813	0.035589	0.0184662	0.019973	0.028797	0.0279914	0.0333104	0.0325774	0.0232985	0.03318	0.0398079	0.0492734	0.0570011	0.0773261	0.0820103	0.0760265	0.0773176	0.0645248	0.0486368	0.0456753	0.0362999	0.0323363
a83	0.010332	0.00398298	0.00125069	0.00136009	0.00220478	0.00291228	0.00343219	0.0040571	0.00516112	0.00835734	0.0123641	0.0111701	0.0109142	0.0128211	0.0112481	0.012755	0.021703	0.0312228	0.086319	0.178149	0.263785	0.304498
a54	0.00473091	0.0026907	0.00170411	0.001659	0.00291272	0.00429899	0.00629524	0.0083185	0.00958361	0.0153675	0.0181771	0.0170338	0.0173804	0.0259603	0.0226837	0.0265964	0.0347127	0.0389583	0.0656436	0.122314	0.240568	0.31241
a79	0.00050278	0.000856332	0.00146376	0.00269204	0.00365409	0.00379843	0.00289098	0.00441473	0.00513117	0.0117616	0.0132896	0.0102888	0.00999913	0.0123684	0.0147594	0.0217102	0.0389638	0.0594449	0.0759394	0.106546	0.245751	0.353773
a37	0.000174512	0.000529202	0.00114059	0.00186848	0.00233163	0.00273357	0.00187306	0.00268401	0.00280609	0.00434234	0.00378557	0.00272655	0.00266566	0.00329684	0.00385521	0.00537682	0.0109476	0.0220389	0.0507638	0.102468	0.313371	0.458221
a6	0.000200675	0.000406955	0.000832	0.0018003	0.00255923	0.00269799	0.00229174	0.00326629	0.0038012	0.00717322	0.00767868	0.00693535	0.00784898	0.00930605	0.0110106	0.0119085	0.0166329	0.0222292	0.0388664	0.080667	0.299641	0.462245
a47	7.98664e-05	0.000180744	0.000363432	0.000784663	0.00114752	0.00156547	0.00115963	0.00160283	0.00231806	0.00393371	0.00348097	0.00264862	0.00226981	0.00280874	0.00319951	0.00425471	0.00678114	0.0117396	0.0332605	0.0943286	0.346707	0.475385
a37	7.17842e-05	0.000133636	0.000242068	0.000582636	0.000858137	0.00119064	0.000760692	0.00117139	0.00196183	0.00388028	0.00370851	0.00270986	0.0020476	0.0022163	0.00229309	0.00312584	0.00553472	0.0129794	0.0388436	0.101932	0.352216	0.46154
a21	0.000147828	0.000238345	0.000336869	0.000654543	0.00102003	0.00142408	0.00110353	0.00159109	0.00318082	0.00654271	0.00661595	0.00479641	0.00368614	0.00381172	0.00352146	0.00393572	0.00564876	0.0117996	0.0326631	0.0834217	0.334036	0.489824
a5	0.000200505	0.000318626	0.00040113	0.000675702	0.00107931	0.00153629	0.00135198	0.00163536	0.003788	0.00856032	0.00977046	0.00643214	0.00456175	0.00485088	0.00509745	0.00700861	0.0117661	0.0254315	0.0577581	0.11004	0.31014	0.427595
a98	0.000168781	0.000259896	0.000417299	0.000749927	0.00106542	0.00143632	0.00113869	0.00143956	0.00271151	0.00693146	0.00791012	0.00422842	0.00273112	0.00252342	0.00241368	0.00322133	0.00486829	0.0100909	0.0244641	0.0687354	0.319584	0.53291
a47	6.61485e-05	0.000127906	0.000251724	0.000596017	0.000833405	0.00115102	0.000626129	0.000874592	0.00182742	0.00455798	0.00518408	0.00287126	0.00160416	0.00111519	0.000958115	0.00135062	0.0023201	0.00683998	0.021889	0.0686073	0.339952	0.536396
a7	0.00011978	0.000202	0.000351003	0.000949048	0.00141396	0.00220388	0.00138981	0.00180178	0.0033903	0.00706537	0.00824982	0.00515472	0.00317648	0.00229626	0.00197604	0.00253767	0.00400396	0.00924187	0.028215	0.0789496	0.358038	0.479274
a26	0.000525948	0.000676695	0.000860148	0.00178759	0.00275388	0.00409742	0.00324086	0.00414015	0.00587346	0.0135942	0.015265	0.00922777	0.00631661	0.00511006	0.00388635	0.00346428	0.00414013	0.00825136	0.0255168	0.0745643	0.346397	0.46031
a82	0.0161596	0.0156057	0.0124234	0.0115344	0.016212	0.0219218	0.0211397	0.0189656	0.0113725	0.0258383	0.0295882	0.0343902	0.0422509	0.0479929	0.0411018	0.027739	0.0233692	0.0286839	0.049935	0.0925929	0.196852	0.21433
a87	0.0338991	0.024355	0.0221687	0.0184268	0.0228096	0.0226998	0.0203323	0.0192275	0.0116861	0.0333076	0.0431794	0.0468985	0.0510938	0.0621491	0.0669636	0.0572653	0.0589402	0.0579073	0.0655876	0.0774055	0.0971678	0.0865296
a23	0.0460594	0.0263678	0.015296	0.0176579	0.0251302	0.0250316	0.0305604	0.0308012	0.0232876	0.0357353	0.0426672	0.051676	0.0605764	0.0939441	0.0920228	0.078561	0.0723907	0.0552216	0.0482207	0.0494614	0.0423191	0.0370119
a99	0.00589534	0.00246321	0.000974384	0.00108447	0.00187243	0.00247266	0.00291767	0.00401001	0.00571063	0.0110302	0.0145049	0.0129491	0.0127336	0.0173662	0.0133496	0.0117485	0.0145218	0.0206534	0.0588153	0.148033	0.289441	0.347453
a87	0.00353121	0.00182643	0.00099256	0.00116137	0.00213022	0.00309783	0.00354198	0.00535225	0.0074461	0.0127313	0.0152956	0.0150958	0.0155563	0.0234092	0.0177933	0.0161486	0.0190488	0.0225507	0.0473094	0.107698	0.268709	0.389574
</S>	0.00176593	0.00110274	0.000701402	0.00121255	0.00213448	0.00304812	0.00296711	0.00457024	0.00502883	0.00765634	0.008724	0.00799915	0.00828496	0.0121727	0.00987757	0.00790367	0.00897995	0.0119186	0.0324724	0.101395	0.304024	0.45606
