 	on	leur	a	donné	des	parts	égales	la	manière	dont	il	a	boudé	la	sienne	cache	quelque	chose	</S>
a36	0.0388456	0.0444335	0.0664866	0.0849619	0.08115	0.0865146	0.117879	0.0846926	0.0686111	0.0327511	0.0199036	0.0164048	0.020335	0.0283855	0.0305783	0.0265948	0.0240193	0.049745	0.0777078
a2	0.0199821	0.029651	0.0461287	0.0696805	0.0832154	0.105557	0.124961	0.102946	0.087943	0.0479666	0.0331947	0.0261845	0.032177	0.0358458	0.0299142	0.022625	0.0161444	0.0286706	0.0572132
a26	0.021742	0.0271307	0.0410368	0.066198	0.0787458	0.121535	0.0987443	0.0946099	0.0897741	0.0587977	0.0503245	0.0377584	0.0288056	0.0235767	0.0204359	0.0255765	0.0304585	0.0347719	0.0499776
a38	0.0205186	0.027545	0.0363125	0.0544662	0.0663294	0.114896	0.0983759	0.105136	0.105292	0.0757651	0.0635796	0.0454563	0.0313481	0.0262992	0.0236006	0.0247034	0.0240632	0.0263693	0.0299438
a62	0.0210778	0.0279	0.0386529	0.0719966	0.0843918	0.109852	0.0773956	0.0748114	0.074525	0.0625873	0.0530248	0.0416248	0.0285957	0.0291772	0.0292479	0.0336653	0.041508	0.0473469	0.0526192
a31	0.0105124	0.0122804	0.0163988	0.0287598	0.0463798	0.0936216	0.092357	0.098639	0.102681	0.0799781	0.0724756	0.0607474	0.0622393	0.0540515	0.0421549	0.0279935	0.0177756	0.0366531	0.0443011
a62	0.00846485	0.00979856	0.013053	0.02368	0.0422681	0.0935163	0.107109	0.11378	0.119752	0.0893348	0.0811617	0.0638322	0.0623618	0.0495436	0.0340674	0.0221887	0.0132961	0.0252693	0.0275224
a96	0.00482235	0.00562695	0.0071939	0.0130382	0.0257816	0.0805348	0.119134	0.130848	0.137455	0.094682	0.0782333	0.0661453	0.0643008	0.0516379	0.0359078	0.0238041	0.0140359	0.0229361	0.0238826
a66	0.0038537	0.00425858	0.00524886	0.00852509	0.0163699	0.0576278	0.107976	0.123097	0.137473	0.0981671	0.084132	0.0696347	0.0746133	0.059699	0.0422604	0.0302116	0.0162415	0.0285561	0.0320539
a54	0.00554543	0.0061433	0.00628137	0.00954435	0.0140445	0.0430606	0.0983496	0.117039	0.131082	0.110089	0.0925576	0.0739835	0.0651354	0.0560343	0.0415245	0.0401342	0.0218973	0.0329416	0.0346123
a36	0.00311685	0.00470976	0.00594213	0.0104745	0.0207833	0.06165	0.0997644	0.106579	0.114325	0.0828969	0.0780412	0.0536011	0.0547997	0.0476534	0.0470813	0.0452201	0.0301872	0.0487918	0.0843819
a2	0.00309324	0.00401224	0.00429472	0.00714907	0.0142049	0.048305	0.0842651	0.0958319	0.110473	0.0902298	0.0853802	0.061715	0.0612918	0.0464282	0.0396545	0.0478734	0.0315248	0.0551812	0.109091
a57	0.00434274	0.00480959	0.00445294	0.00634973	0.00974969	0.030637	0.0712593	0.0933879	0.125052	0.123112	0.117606	0.0907819	0.0688	0.0507613	0.0436378	0.0504904	0.0245155	0.032963	0.0472919
a87	0.011476	0.00994953	0.00751091	0.00751227	0.00878193	0.0232256	0.0560005	0.073778	0.102493	0.106826	0.0952235	0.0922685	0.0740534	0.0661996	0.0681161	0.065968	0.0311711	0.0477971	0.0516491
a23	0.031531	0.033362	0.0193533	0.0170212	0.0144745	0.0293216	0.0508547	0.0414499	0.0464978	0.0467994	0.0312707	0.0542426	0.0578465	0.0795852	0.0897269	0.0975246	0.0996251	0.0975093	0.0620038
a83	0.0114929	0.0120495	0.00829578	0.00801737	0.00832495	0.018479	0.0351344	0.039455	0.0387199	0.0288524	0.022033	0.0406818	0.0517347	0.078447	0.115737	0.107422	0.137071	0.136006	0.102047
a71	0.00302849	0.00361872	0.00313137	0.00529611	0.00742119	0.017228	0.0215114	0.0157248	0.0139349	0.0127345	0.0101864	0.0143284	0.0137277	0.0179393	0.0313767	0.0629912	0.317244	0.262951	0.165625
a50	0.00252454	0.00281145	0.0029739	0.0048174	0.00641983	0.0140335	0.019233	0.0155826	0.0153964	0.0149963	0.0124363	0.0157449	0.0192238	0.0229277	0.0284466	0.0347867	0.12785	0.359236	0.28056
a62	0.00348736	0.00279264	0.00271124	0.0040092	0.00551239	0.0174037	0.0347461	0.0362701	0.0420984	0.0389217	0.0336091	0.042261	0.055673	0.0563489	0.0585878	0.0577992	0.100365	0.228573	0.17883
a47	0.00298885	0.00261439	0.00281168	0.00422885	0.00675656	0.0200881	0.0384216	0.0403695	0.04577	0.0407002	0.0397562	0.042892	0.055265	0.055757	0.0643087	0.0663589	0.11377	0.207582	0.149561
a88	0.00288526	0.0029896	0.00312016	0.00468328	0.00697403	0.019333	0.0416352	0.0452579	0.0516301	0.0508609	0.042885	0.0477577	0.0580035	0.0633712	0.0744934	0.0777612	0.11734	0.17165	0.117368
a0	0.00177889	0.00168749	0.00188555	0.00264477	0.00445778	0.0138758	0.030117	0.0337101	0.0398947	0.0366524	0.0369793	0.0370626	0.0482301	0.0484057	0.060541	0.0720979	0.122474	0.232061	0.175443
a50	0.00238004	0.00195814	0.0018658	0.00244124	0.00329095	0.00857019	0.0213949	0.0254949	0.0320749	0.0340911	0.0308381	0.0354309	0.0483645	0.0504067	0.0578121	0.0698053	0.125746	0.255481	0.192553
a62	0.0039583	0.00347116	0.00294701	0.003482	0.00398883	0.00721234	0.016759	0.0217987	0.0312631	0.0378095	0.0316599	0.0357216	0.0489763	0.0490191	0.0561778	0.0949561	0.147038	0.241298	0.162464
a56	0.00327898	0.00287667	0.00257576	0.00312989	0.00384577	0.00778249	0.0192593	0.0245745	0.0333544	0.0362753	0.0329975	0.0385363	0.0510879	0.0485583	0.0521654	0.0760545	0.137054	0.238838	0.187755
a93	0.000921462	0.000879009	0.00087848	0.00110219	0.00168654	0.00426914	0.00968594	0.0115674	0.0140748	0.0173123	0.0170387	0.0166153	0.0215221	0.0249209	0.0387992	0.0678632	0.141816	0.326992	0.282055
a90	0.00158356	0.00145568	0.00146735	0.00184107	0.00264585	0.00614373	0.0141028	0.0171991	0.0213525	0.0237125	0.0229543	0.0260821	0.0329005	0.0335969	0.0399847	0.0535822	0.132515	0.291606	0.275274
a98	0.000297366	0.000346413	0.000397754	0.000653171	0.00129537	0.00477288	0.0135367	0.0141048	0.0159937	0.0188531	0.0183408	0.0165079	0.0174405	0.0181894	0.0286544	0.0476475	0.1283	0.325853	0.328816
a47	0.000289785	0.000379274	0.000464139	0.00084575	0.00186596	0.00948298	0.0324136	0.0261365	0.0286518	0.0305897	0.025457	0.0261796	0.0281449	0.0260286	0.0304844	0.051311	0.116873	0.230734	0.333667
a36	0.000249754	0.000304585	0.000303853	0.00049109	0.00112547	0.00724701	0.0320986	0.0279172	0.0338429	0.0318372	0.026513	0.0293881	0.0345672	0.0327504	0.0358028	0.0545492	0.114041	0.190123	0.346848
a2	0.00119657	0.00111815	0.000948689	0.0011139	0.00157998	0.00513183	0.0176617	0.0173831	0.0251939	0.0264818	0.025571	0.0318456	0.0358271	0.0315017	0.0324597	0.0614743	0.100483	0.189294	0.393734
a26	0.00662739	0.00572812	0.00411672	0.0039312	0.0038066	0.0088441	0.0241341	0.0198129	0.03119	0.0463047	0.0400959	0.0467088	0.0443639	0.0438665	0.0575356	0.141547	0.158012	0.122282	0.191092
a70	0.0184054	0.0143064	0.00737924	0.00557497	0.00469815	0.00823102	0.0207361	0.0178151	0.0250566	0.0373383	0.0333477	0.0475692	0.0546237	0.0683907	0.109712	0.199093	0.141843	0.0873943	0.0984858
a93	0.00160434	0.000997744	0.000716488	0.00076999	0.00100571	0.0024349	0.00610792	0.00648617	0.00997167	0.0163323	0.0136174	0.0190636	0.0230928	0.0244863	0.0372891	0.115627	0.187241	0.211048	0.322107
a96	0.000570746	0.000415887	0.000337881	0.000415501	0.000645334	0.00198059	0.00588732	0.00655981	0.0101008	0.0166863	0.0131956	0.0185581	0.0239341	0.0232021	0.0288971	0.064067	0.140332	0.213658	0.430556
a62	0.000384928	0.000340895	0.000289431	0.000407108	0.000739523	0.00210414	0.00523518	0.00626404	0.00932826	0.0153461	0.0127173	0.0162078	0.0211685	0.0210158	0.0281742	0.0598964	0.118496	0.223218	0.458666
a88	0.000298256	0.000291719	0.000247648	0.000339724	0.000603333	0.00173428	0.00483549	0.00593323	0.00888314	0.0156834	0.0127092	0.0157752	0.022367	0.0238097	0.0335539	0.0660425	0.105213	0.22108	0.460599
a71	0.000332535	0.000352775	0.000286267	0.000378304	0.000637956	0.00184654	0.00520029	0.00623323	0.00935269	0.0170767	0.0136202	0.0169506	0.0251145	0.027843	0.0384702	0.0697923	0.11058	0.214687	0.441245
a9	0.00113608	0.00097592	0.000662412	0.000757334	0.00097491	0.00233061	0.00640317	0.00652568	0.0107304	0.019048	0.0154864	0.0224859	0.0252335	0.0254614	0.0283005	0.0805681	0.151539	0.18182	0.419561
a87	0.00915311	0.00701398	0.0049124	0.00454737	0.00506756	0.010641	0.0265362	0.0208242	0.0304633	0.0466971	0.0476487	0.049651	0.0406605	0.0407779	0.0586882	0.157068	0.153127	0.112959	0.173564
a23	0.0206535	0.0159168	0.0100716	0.00860766	0.00827585	0.0147423	0.030646	0.0228454	0.0261838	0.0375883	0.0297357	0.0459274	0.0469108	0.0660296	0.101082	0.151056	0.141051	0.113059	0.109618
a99	0.0198642	0.0108444	0.00621256	0.00448291	0.00284067	0.00472505	0.0125118	0.00946319	0.0115465	0.0178841	0.0115464	0.0286478	0.0349655	0.0501922	0.0649896	0.082899	0.147748	0.232715	0.24592
a97	0.00928043	0.00540481	0.00380893	0.00371241	0.0036687	0.00763665	0.0178307	0.0134543	0.017137	0.0251698	0.0193905	0.0348814	0.0392261	0.0521467	0.0663984	0.0977386	0.121397	0.192397	0.26932
</S>	0.00861597	0.00743236	0.00588337	0.00595331	0.00665104	0.0134647	0.0282192	0.0227676	0.0271178	0.0291709	0.0226984	0.0459759	0.0573772	0.0787182	0.0807021	0.0883753	0.0909296	0.154331	0.225616
