 	des	applaudissements	sont	en	train	d'	éclater	parce	que	le	roi	s'	adresse	au	peuple	</S>
a61	0.124503	0.165049	0.117833	0.0893878	0.0690172	0.062364	0.0775909	0.0546351	0.038331	0.0392777	0.038868	0.0200648	0.0244482	0.0252183	0.0278246	0.025588
a12	0.076032	0.107641	0.0942913	0.0795647	0.0647337	0.07187	0.0936436	0.0803284	0.0644308	0.0630965	0.0585685	0.0296667	0.0299044	0.0272666	0.029043	0.0299192
a62	0.0443968	0.0758826	0.0708202	0.0631491	0.0516605	0.0663942	0.0960863	0.0893355	0.0801659	0.0807034	0.0807985	0.0398389	0.0377547	0.0341471	0.0422444	0.046622
a21	0.0306402	0.0611564	0.0543159	0.0502824	0.0391696	0.0594349	0.088735	0.0951648	0.0931705	0.090783	0.0943038	0.0528998	0.0471746	0.0399681	0.0474684	0.0553326
a85	0.0195439	0.0392759	0.0416186	0.0417475	0.034154	0.0551897	0.0836358	0.100678	0.115659	0.113426	0.123549	0.0658025	0.0482159	0.0369965	0.0374993	0.0430079
a47	0.00648211	0.0121843	0.0149095	0.020722	0.0210142	0.0359755	0.0571583	0.0795643	0.0900666	0.0712505	0.111337	0.0855402	0.0697814	0.0839883	0.102999	0.137026
a36	0.00601912	0.00856515	0.0170232	0.0358257	0.0410047	0.0771301	0.0890372	0.11899	0.143033	0.102943	0.0990345	0.0640208	0.0341769	0.0372643	0.0493486	0.0765836
a2	0.0102601	0.0186408	0.0183262	0.0406399	0.0472822	0.095571	0.104228	0.111826	0.133559	0.0880593	0.0846383	0.0618414	0.0370937	0.0347322	0.0472094	0.066092
a84	0.0264305	0.0384051	0.0383227	0.0498189	0.0467233	0.0664749	0.0587534	0.0815561	0.110448	0.0721113	0.0861598	0.0876868	0.0618184	0.0472193	0.0538704	0.0742011
a10	0.0226905	0.0307796	0.031713	0.0389036	0.0367486	0.0483578	0.0484036	0.061563	0.0820046	0.0724604	0.0807847	0.0987537	0.11487	0.0909564	0.0737848	0.0672259
a11	0.064669	0.0547049	0.039322	0.0422606	0.0398761	0.04083	0.0440202	0.043645	0.066347	0.0627428	0.0784843	0.0801787	0.10178	0.0874339	0.0781967	0.0755088
a96	0.0615443	0.0459578	0.038547	0.0458949	0.0410071	0.0416866	0.0426791	0.0379957	0.0575433	0.0540396	0.0721133	0.0574511	0.0717453	0.0668252	0.122618	0.142352
a75	0.0123254	0.0179027	0.0124909	0.0148354	0.0131053	0.0162334	0.020756	0.0194253	0.0361787	0.0358496	0.0859649	0.0944124	0.11121	0.104976	0.208798	0.195536
a92	0.00525446	0.00680323	0.00718063	0.0127907	0.0142658	0.0262861	0.0306043	0.03195	0.0571147	0.0420972	0.0835026	0.0836127	0.0713226	0.0991141	0.198716	0.229385
a56	0.00314069	0.00367137	0.00546251	0.0111935	0.014637	0.0303499	0.034963	0.0414264	0.0770714	0.0554447	0.0940738	0.085581	0.0655437	0.0889185	0.160496	0.228027
a92	0.00166072	0.0028375	0.00385873	0.00736485	0.00909746	0.0199024	0.0237141	0.032788	0.0600146	0.0470819	0.0790571	0.0811792	0.0792532	0.135603	0.220013	0.196574
a75	0.00188223	0.00219621	0.00307114	0.00608593	0.00792896	0.0186292	0.0215803	0.0292448	0.057622	0.0388499	0.0674965	0.068275	0.0591604	0.10554	0.228105	0.284332
a92	0.00195777	0.00244242	0.00303475	0.005748	0.00752864	0.0169521	0.0190112	0.0246229	0.0460879	0.0297839	0.0554034	0.0583996	0.0518258	0.101971	0.256058	0.319173
a36	0.00223025	0.0024142	0.00321456	0.00605067	0.0079221	0.0175112	0.019296	0.0260208	0.0500277	0.0320967	0.0557714	0.0569786	0.0498665	0.100902	0.255318	0.314379
a23	0.00103425	0.00134932	0.00111346	0.0021203	0.00276846	0.00549648	0.00501264	0.00706692	0.0131535	0.00784428	0.0185664	0.0370847	0.0379065	0.0937677	0.392511	0.373204
a34	0.000743346	0.000838136	0.000604881	0.0010097	0.00132388	0.0026004	0.00246628	0.00325273	0.0054743	0.00330624	0.00717055	0.0177358	0.0236885	0.0770097	0.382109	0.470667
a96	0.000362974	0.000366928	0.000365975	0.00066522	0.000860253	0.00199704	0.00192129	0.00311304	0.00683693	0.00483563	0.00997368	0.0219963	0.0247812	0.0808099	0.379841	0.461273
a75	0.00028758	0.000345631	0.000348735	0.000529942	0.000595258	0.00128685	0.00156347	0.00261659	0.00560768	0.00406146	0.00902546	0.0178853	0.0223782	0.0695625	0.375283	0.488622
a6	8.08225e-05	7.85374e-05	9.29495e-05	0.000181041	0.000218228	0.000362426	0.000409367	0.000721549	0.00206778	0.00098331	0.00342452	0.00728934	0.00961267	0.0425285	0.382659	0.54929
a36	8.95889e-05	9.6923e-05	8.34769e-05	0.000143693	0.000169377	0.000288732	0.000370912	0.000679329	0.00192042	0.000973716	0.00343801	0.00779153	0.00947073	0.031242	0.33104	0.612201
a0	0.00046232	0.000361442	0.000226397	0.000390363	0.000582628	0.00121087	0.0011998	0.00145237	0.00201888	0.00140888	0.00239234	0.00553675	0.00616246	0.0268293	0.268951	0.680814
a21	0.00873391	0.00511509	0.00334922	0.0039871	0.00497943	0.00789482	0.00586546	0.00670837	0.00722183	0.00578732	0.00667508	0.00830394	0.0126699	0.0416029	0.252991	0.618115
a92	0.000245341	0.000207268	0.000182352	0.00031376	0.000405254	0.00070742	0.000701232	0.00112365	0.0023743	0.00164776	0.00237703	0.00440252	0.0056635	0.0244629	0.270873	0.684313
a21	3.7732e-05	3.28121e-05	4.14656e-05	7.03869e-05	9.04511e-05	0.000125964	0.000132773	0.000173715	0.000467277	0.000276303	0.000823009	0.00208288	0.00356752	0.0197362	0.300335	0.672006
a5	0.00013145	0.000123848	0.000122358	0.000213675	0.000285667	0.000478731	0.000465818	0.000732183	0.00162537	0.00108537	0.00191356	0.00408158	0.00612481	0.0300828	0.282639	0.669893
a23	0.000151843	0.00012424	0.00011908	0.000223797	0.000299962	0.000534022	0.000540363	0.000856177	0.00174719	0.00106545	0.0017301	0.00416906	0.00498212	0.0239536	0.268278	0.691225
a12	0.000690868	0.000610926	0.000462586	0.000703164	0.000893511	0.0016252	0.00158209	0.00182452	0.00203757	0.00118388	0.00223025	0.00421397	0.00635679	0.0350146	0.287763	0.652807
a96	0.000238358	0.000257153	0.000226965	0.000369729	0.000448003	0.00072326	0.000759931	0.00121972	0.00216608	0.00139409	0.00285891	0.00463853	0.00651555	0.0299206	0.260433	0.68783
a83	0.000614749	0.000766192	0.000732921	0.00102204	0.00112434	0.00161581	0.00161687	0.00215202	0.00328998	0.00225243	0.00437912	0.00691401	0.00987997	0.0358295	0.274838	0.652972
a18	0.000849699	0.000975882	0.0010221	0.00149022	0.00163676	0.00214726	0.00192512	0.00230141	0.00347176	0.0023541	0.00475602	0.00641146	0.00852469	0.0313233	0.266807	0.664003
a38	0.00665215	0.0036516	0.00434001	0.00568105	0.0073105	0.0103106	0.00885536	0.00962999	0.0126694	0.00945093	0.0122688	0.0126365	0.0235094	0.0722516	0.252791	0.547991
a27	0.0156595	0.00940437	0.00707759	0.00704419	0.00805342	0.00984026	0.0103183	0.0128234	0.0128244	0.0097069	0.0155017	0.018212	0.0359606	0.0791354	0.24622	0.502218
a25	0.078339	0.0298497	0.0248888	0.0248844	0.0314617	0.0381584	0.0364306	0.0337414	0.0274882	0.0215643	0.0258748	0.0271468	0.0402834	0.0738886	0.175527	0.310473
a87	0.317287	0.145228	0.058573	0.0449292	0.0488594	0.045467	0.0383281	0.0276615	0.0262095	0.0283556	0.0262923	0.0242334	0.02227	0.0270277	0.0487181	0.0705598
a23	0.219888	0.143161	0.053454	0.0469232	0.0477494	0.0591464	0.0456274	0.0373795	0.0484144	0.0522141	0.0387526	0.045329	0.0295605	0.0263109	0.0458995	0.0601904
a87	0.0371478	0.0135248	0.00870609	0.00850886	0.0100201	0.0106087	0.00798978	0.00534698	0.00755349	0.00674592	0.00775492	0.014963	0.0148476	0.0367201	0.320194	0.489367
</S>	0.00791468	0.00378837	0.00216732	0.00263137	0.00349431	0.00460954	0.00381108	0.00310467	0.00440622	0.0039009	0.00422046	0.00786689	0.00906967	0.0207582	0.328483	0.589773
