 	la	manière	dont	il	a	emballé	mes	poissons	n'	était	pas	conforme	</S>
a47	0.00603346	0.00539451	0.0103191	0.0246001	0.043466	0.0809514	0.0861734	0.0980683	0.130212	0.091982	0.0855722	0.0907744	0.246453
a18	0.00692824	0.00656073	0.0116624	0.0264251	0.0455178	0.0840675	0.07237	0.0723085	0.111632	0.0877159	0.0944469	0.101564	0.278801
a62	0.0136125	0.0100469	0.0126573	0.0213696	0.0273874	0.044888	0.0444551	0.046093	0.0830035	0.0619135	0.0882529	0.109885	0.436435
a47	0.00561958	0.00435199	0.00557343	0.00966509	0.0136164	0.0244306	0.0288229	0.0339836	0.0616553	0.0595236	0.108285	0.148337	0.496135
a88	0.00510964	0.00447948	0.00654371	0.0130071	0.020668	0.0368705	0.0418695	0.0486198	0.0803583	0.0874376	0.145989	0.162892	0.346155
a62	0.00177757	0.00161702	0.00214025	0.00393928	0.00574235	0.0105387	0.0132382	0.0184625	0.0400167	0.0606835	0.145219	0.247825	0.4488
a88	0.00227537	0.00203913	0.00245293	0.00475486	0.00699489	0.0118744	0.0139664	0.0169485	0.0326628	0.0573384	0.146878	0.285324	0.41649
a62	0.000926163	0.000880485	0.00111343	0.00214067	0.00308068	0.00513709	0.0063576	0.00854769	0.0199293	0.040137	0.116117	0.249258	0.546375
a88	0.00173012	0.00155844	0.00180065	0.00341134	0.00472216	0.00736492	0.00850524	0.00992461	0.0202158	0.0415833	0.122607	0.293499	0.483078
a71	0.000388926	0.000375892	0.000524711	0.000995622	0.00139658	0.00203883	0.00249267	0.00380861	0.00967843	0.0240661	0.0859827	0.190386	0.677865
a9	0.0012473	0.000812276	0.000816908	0.00134949	0.00208492	0.00389079	0.00454054	0.0048214	0.0094821	0.0202291	0.0603837	0.0752885	0.815053
a99	0.0416484	0.0232311	0.0182965	0.0229183	0.0266247	0.0329118	0.032897	0.0290959	0.0443351	0.0621413	0.093228	0.0979257	0.474746
a87	0.0942039	0.0450421	0.0303976	0.0307851	0.0320148	0.0345874	0.0437418	0.0492272	0.0745686	0.0832904	0.0884877	0.0905207	0.303133
a23	0.121336	0.0485698	0.0328357	0.034196	0.0387516	0.0350991	0.0431156	0.0529282	0.0848735	0.091084	0.094986	0.0876494	0.234575
a99	0.0967339	0.0311662	0.01798	0.0165939	0.0186095	0.0109205	0.0121273	0.0134996	0.0194397	0.0280379	0.0484083	0.0893335	0.59715
a97	0.0213121	0.00674958	0.00598615	0.00835298	0.014842	0.0115466	0.0112327	0.0146805	0.0238058	0.0303225	0.049243	0.121004	0.680922
</S>	0.0106732	0.00368914	0.00398138	0.00630192	0.0115292	0.00891928	0.00844251	0.0103411	0.0160783	0.0240166	0.0409334	0.105249	0.749844
