 	le	jardinier	arrose	les	légumes	pour	les	faire	pousser	plus	vite	</S>
a35	0.0223573	0.0309925	0.0634443	0.0975378	0.118718	0.121163	0.091376	0.0733168	0.0799328	0.0825991	0.093976	0.124586
a66	0.018231	0.0280237	0.0580589	0.088624	0.119884	0.131701	0.102642	0.0829	0.084752	0.0884309	0.0920247	0.104728
a35	0.0130487	0.0167206	0.0412078	0.0774013	0.127706	0.125401	0.102231	0.0842621	0.0783315	0.08443	0.107222	0.142038
a94	0.0130927	0.0178064	0.0348254	0.0537694	0.0944187	0.107216	0.087876	0.0736775	0.0807724	0.101852	0.143877	0.190816
a66	0.0139185	0.0170176	0.0300191	0.0419	0.0763663	0.0866653	0.079484	0.0756283	0.078718	0.104904	0.163677	0.231703
a98	0.0178745	0.0169828	0.0267177	0.0377285	0.0678524	0.0747611	0.0752489	0.0762721	0.0877581	0.120254	0.165777	0.232773
a73	0.0194907	0.0200003	0.0306834	0.0378303	0.0672767	0.075441	0.078146	0.0854364	0.0857578	0.115314	0.160328	0.224295
a94	0.0105582	0.0136701	0.0281745	0.0349323	0.0598254	0.0634525	0.0629162	0.0795238	0.101438	0.144452	0.176359	0.224698
a98	0.0118381	0.0135929	0.0238098	0.0291055	0.0486328	0.0501479	0.0489564	0.0658867	0.0885421	0.138459	0.204559	0.276469
a14	0.012904	0.0153602	0.0259102	0.0322222	0.0565896	0.0597214	0.0606125	0.0781869	0.0888264	0.118944	0.178826	0.271896
a73	0.00851402	0.0124757	0.0216726	0.0281637	0.0496684	0.0557316	0.0603668	0.0829564	0.107745	0.131184	0.178992	0.26253
a2	0.00792804	0.00908116	0.0160065	0.0199704	0.0335776	0.0365747	0.0412374	0.0609686	0.0910847	0.140993	0.219895	0.322682
a57	0.0030293	0.00423047	0.0068306	0.00956424	0.0214938	0.0260348	0.0303834	0.0482246	0.0821423	0.144048	0.264874	0.359145
a87	0.00579216	0.00385561	0.00609092	0.00784624	0.016344	0.0152907	0.016799	0.0297383	0.0549594	0.12516	0.2853	0.432824
a23	0.00403165	0.00378115	0.00532772	0.00982916	0.021573	0.012841	0.0129901	0.0287906	0.0605002	0.145977	0.29171	0.402649
a99	0.0139322	0.0193758	0.023751	0.0397956	0.070462	0.042638	0.0448344	0.0802941	0.128344	0.142395	0.176116	0.218062
a20	0.00509919	0.00733088	0.0143505	0.029294	0.0605888	0.0393786	0.0372641	0.0615136	0.0893375	0.122834	0.199266	0.333743
a14	0.00970122	0.0132146	0.0195393	0.0373338	0.0661643	0.0393799	0.0350204	0.0521176	0.0814985	0.100171	0.174513	0.371346
a41	0.00226157	0.00476416	0.0113374	0.0254082	0.0534182	0.0493155	0.0428685	0.0503386	0.0933973	0.138756	0.204478	0.323656
a12	0.00187083	0.00342611	0.00838367	0.0183644	0.0460418	0.0474645	0.0425634	0.0431992	0.0755872	0.132778	0.216891	0.36343
a43	0.00416153	0.00654842	0.0136859	0.023568	0.0439492	0.0434899	0.0384553	0.0430782	0.0819201	0.145883	0.214298	0.340963
a11	0.00202895	0.00295878	0.00595997	0.0101546	0.0196466	0.0191393	0.0190367	0.0259621	0.0612486	0.136082	0.261969	0.435814
a76	0.00247958	0.00287478	0.00515276	0.00841182	0.0162725	0.0172088	0.017873	0.0247891	0.0546557	0.11983	0.266364	0.464088
a73	0.00376553	0.00629816	0.0133042	0.0178075	0.0330011	0.0300127	0.0258182	0.0314325	0.0549248	0.117716	0.229902	0.436017
a94	0.000662768	0.00115837	0.00320837	0.00566223	0.01413	0.0140284	0.0129266	0.0177607	0.0366569	0.0937646	0.242698	0.557343
a90	0.00101787	0.00114948	0.00227177	0.00359432	0.00820656	0.00822598	0.00802471	0.0120776	0.02861	0.0861857	0.274241	0.566395
a94	0.00433502	0.00509967	0.012155	0.0187881	0.0364278	0.0276405	0.0249597	0.0320912	0.0481027	0.0961854	0.213843	0.480372
a4	0.00343027	0.00394802	0.00667986	0.0090421	0.0174774	0.0157146	0.0139539	0.017919	0.0319316	0.079101	0.23096	0.569843
a57	0.00858809	0.0101877	0.0183225	0.0236378	0.036954	0.0291134	0.0255635	0.0308717	0.0472005	0.0916786	0.208003	0.469879
a82	0.00202451	0.00235333	0.00484928	0.00780812	0.0142171	0.0112631	0.0106897	0.0179008	0.0394359	0.100561	0.261046	0.527851
a53	0.00129734	0.00128332	0.00241219	0.00315244	0.00714907	0.00773528	0.00921838	0.0181153	0.038917	0.105529	0.293332	0.511859
a90	0.00502527	0.00349413	0.00702264	0.0107307	0.0208512	0.0141726	0.0132399	0.0165949	0.0245224	0.0721126	0.238553	0.57368
a4	0.00231842	0.00237713	0.00513057	0.00791509	0.0144213	0.0104026	0.00938378	0.0114479	0.0180588	0.0566548	0.215598	0.646291
a90	0.00415658	0.00345704	0.004987	0.00685099	0.0125914	0.0101226	0.00936283	0.011951	0.0216605	0.0657929	0.236077	0.61299
a57	0.00378872	0.00337074	0.00595265	0.00881284	0.0153391	0.0113097	0.00992601	0.0119954	0.0191041	0.0580314	0.218058	0.634312
a3	0.00178546	0.00172754	0.00317694	0.0043959	0.00891539	0.00594883	0.00537329	0.00926199	0.0208354	0.0674542	0.257303	0.613822
a87	0.000699962	0.000587879	0.000913977	0.00113367	0.00295194	0.00266542	0.00340465	0.00925455	0.0234436	0.0840574	0.316134	0.554752
a23	0.00381583	0.00458688	0.00555527	0.0079147	0.0168499	0.0106513	0.0118823	0.0282226	0.0469169	0.108938	0.302116	0.452551
a87	0.0256902	0.0313484	0.0273621	0.0302742	0.0511469	0.0377195	0.0408919	0.0743191	0.0973696	0.137465	0.206879	0.239535
</S>	0.0145032	0.015084	0.0182196	0.0262686	0.0467976	0.0232956	0.0208349	0.0373531	0.0524621	0.102282	0.233695	0.409205
