 	il	se	fait	une	paillasse	avec	la	balle	de	riz	</S>
a94	0.00396446	0.00337388	0.00267033	0.0027327	0.00523017	0.0133519	0.020155	0.0385398	0.114248	0.267715	0.528018
a32	0.00663078	0.00649394	0.00572648	0.00621875	0.00914214	0.0200465	0.0286183	0.0505922	0.116586	0.238224	0.511721
a43	0.0110891	0.0112889	0.00958666	0.00929493	0.00945643	0.0164991	0.0224167	0.0475636	0.112226	0.22649	0.524089
a90	0.0145522	0.0149923	0.0131677	0.0129035	0.0119366	0.0181345	0.0220507	0.0501781	0.114978	0.221158	0.505948
a58	0.00574347	0.00622783	0.00602436	0.00599044	0.00746349	0.0170555	0.0284336	0.071639	0.142844	0.252254	0.456324
a82	0.0286304	0.0259995	0.0210515	0.0192955	0.0160008	0.0205982	0.0218129	0.0418257	0.0864966	0.1905	0.527789
a87	0.0132236	0.0132621	0.0132094	0.015853	0.0185628	0.0192646	0.0209415	0.0434985	0.0923622	0.187583	0.562239
a23	0.0404883	0.0366667	0.032729	0.0272247	0.0193809	0.0235966	0.0242251	0.0512832	0.0995424	0.211476	0.433387
a87	0.076178	0.0672904	0.0525157	0.0305855	0.0186773	0.0264103	0.0353813	0.0808017	0.128439	0.201129	0.282592
</S>	0.0408749	0.0373674	0.0311994	0.0242957	0.0227708	0.0479629	0.0617876	0.102203	0.138566	0.195475	0.297498
