 	la	femme	a	porté	une	robe	noire	car	elle	est	en	deuil	</S>
a18	0.0261743	0.0263586	0.0273533	0.0253569	0.0331422	0.0547615	0.109465	0.122443	0.119518	0.0734854	0.0657878	0.0868139	0.22934
a71	0.0226864	0.0234455	0.0239235	0.0223179	0.0305695	0.0538525	0.104971	0.132206	0.141834	0.10093	0.0856759	0.0962814	0.161306
a0	0.0141149	0.0147977	0.0164218	0.0162014	0.0235627	0.0395117	0.0780356	0.114686	0.124341	0.109406	0.115228	0.142037	0.191656
a62	0.021552	0.0196215	0.0198024	0.0191279	0.023062	0.0387818	0.0800529	0.134114	0.136208	0.129546	0.116376	0.119009	0.142746
a96	0.00759882	0.00771515	0.00821534	0.00745109	0.0088135	0.0167769	0.0396492	0.0726924	0.0850102	0.117302	0.152161	0.211746	0.264869
a5	0.00298312	0.00317442	0.00354984	0.00348964	0.00485433	0.00938147	0.0219472	0.0468485	0.061005	0.103237	0.157366	0.249203	0.33296
a18	0.00128938	0.00134232	0.0014424	0.0017763	0.00280074	0.00675525	0.0180043	0.0376892	0.0556645	0.103752	0.16948	0.239172	0.360832
a70	0.00508889	0.00574335	0.00662991	0.00576476	0.00714439	0.00808277	0.0154873	0.0342227	0.062984	0.11325	0.159508	0.209269	0.366824
a31	0.00287251	0.00309161	0.00349137	0.00307506	0.00385487	0.00525532	0.010715	0.0258739	0.0451636	0.0890405	0.157934	0.241579	0.408053
a88	0.00184024	0.00205417	0.00241363	0.0024589	0.00336478	0.00487594	0.00963229	0.0239539	0.0404721	0.0848392	0.1516	0.239373	0.433122
a62	0.00106897	0.00123517	0.0014453	0.00155046	0.00236897	0.00356102	0.00736764	0.0182445	0.0314571	0.0666023	0.126354	0.224827	0.513918
a18	0.00107934	0.00127965	0.00153434	0.00175413	0.00259492	0.00381638	0.00803946	0.0204201	0.0367241	0.0776835	0.140716	0.22855	0.475808
a82	0.00164201	0.00179218	0.00202966	0.00183825	0.00274961	0.00343298	0.00675619	0.0139055	0.0302371	0.0577777	0.103785	0.190274	0.583779
a3	0.0211904	0.0160918	0.0147568	0.0124509	0.0114579	0.00989854	0.0156843	0.0284635	0.0631209	0.105592	0.140038	0.17451	0.386745
a97	0.06475	0.0455183	0.0364708	0.0282886	0.0213768	0.0214698	0.0410576	0.0716617	0.098924	0.13227	0.126935	0.134438	0.17684
a3	0.0496871	0.0384628	0.0323436	0.0273189	0.0242068	0.0442369	0.0843848	0.109791	0.124487	0.131119	0.112018	0.108511	0.113434
a97	0.0701678	0.0525331	0.0445911	0.0384867	0.0381468	0.0745801	0.0909193	0.095106	0.094592	0.0987735	0.0918189	0.101162	0.109123
a99	0.0760401	0.062418	0.0556245	0.0565719	0.0629869	0.0908242	0.0823189	0.0750704	0.0718074	0.0734353	0.0764807	0.0980001	0.118422
a97	0.0546317	0.0429998	0.0377616	0.0433003	0.056555	0.0753293	0.073432	0.0667498	0.0716897	0.0761152	0.0908136	0.128505	0.182117
a3	0.0553879	0.0429519	0.0381125	0.0441147	0.0520491	0.0586302	0.0533455	0.0482654	0.0536299	0.0616363	0.0863721	0.148387	0.257117
a87	0.0707179	0.0608026	0.0567602	0.0649083	0.0697664	0.0760389	0.064262	0.047928	0.0470981	0.0488481	0.0675343	0.116495	0.208841
</S>	0.0791318	0.0705014	0.0705008	0.0769638	0.0808458	0.0887014	0.0716156	0.0494129	0.0450161	0.0439354	0.0582331	0.0990722	0.16607
