 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
a21	0.027394	0.02013	0.026702	0.0303986	0.0349141	0.0331041	0.0354022	0.0299207	0.0308771	0.0572312	0.206188	0.467738
a47	0.0459442	0.0320128	0.0356428	0.0348949	0.0365266	0.0344523	0.0331435	0.0287281	0.0335051	0.0605986	0.195193	0.429358
a31	0.0240629	0.0188973	0.0217048	0.0224834	0.0269157	0.0267406	0.0311693	0.0266872	0.0323691	0.0704056	0.224354	0.474211
a43	0.0256542	0.0216522	0.0311216	0.036288	0.0415668	0.0404562	0.0438902	0.0384678	0.0440058	0.0732208	0.195799	0.407878
a32	0.00776901	0.00573163	0.00739455	0.00796235	0.011963	0.0140747	0.0183283	0.0161548	0.0213366	0.0602721	0.230074	0.598939
a21	0.0098989	0.00662844	0.00814382	0.00794531	0.0129525	0.0159062	0.0202678	0.0166068	0.0204801	0.0549502	0.199777	0.626443
a47	0.00845189	0.00753745	0.0109675	0.0142069	0.0199456	0.0222956	0.0272562	0.0254429	0.0352163	0.0802882	0.251242	0.497149
a21	0.00416907	0.00403555	0.0055234	0.00621286	0.00953262	0.011784	0.0180162	0.0174984	0.0279088	0.0868136	0.284771	0.523734
a96	0.0126661	0.0105068	0.0128454	0.0131375	0.0181076	0.0202647	0.0249099	0.020346	0.027618	0.0773781	0.248	0.51422
a18	0.00528398	0.00425009	0.00568963	0.00545095	0.00866179	0.0117081	0.0184959	0.0163068	0.0239052	0.068942	0.24708	0.584226
a38	0.00621079	0.00385772	0.00358044	0.0023169	0.00341404	0.0051373	0.0107515	0.00980366	0.0220474	0.114154	0.257787	0.56094
a21	0.00788815	0.00450775	0.00320416	0.00173782	0.00250815	0.0037918	0.00767506	0.00661748	0.0120279	0.0635387	0.204112	0.682391
a18	0.00926409	0.00696219	0.00680769	0.00547181	0.00669391	0.00802744	0.0112055	0.00852486	0.0110524	0.0410363	0.201512	0.683442
a25	0.00788388	0.00571291	0.00649103	0.00394818	0.00533954	0.00667871	0.0123613	0.00826168	0.0140541	0.0802629	0.201853	0.647153
a53	0.00877649	0.00586579	0.00437013	0.00266416	0.00307004	0.00438096	0.00895759	0.00675479	0.0148352	0.0927723	0.200113	0.64744
a93	0.00392975	0.00228846	0.00154814	0.000918948	0.00125825	0.00202741	0.00402591	0.00369765	0.0065389	0.0321278	0.146558	0.79508
a94	0.00416817	0.00255769	0.00196179	0.00107356	0.00151185	0.00231594	0.00497575	0.00467299	0.0102464	0.063866	0.196425	0.706225
a98	0.00776672	0.00442464	0.00341105	0.00178607	0.00255804	0.00345448	0.006156	0.0042821	0.00780804	0.0547809	0.19826	0.705312
a70	0.00808759	0.00446419	0.00423164	0.00225122	0.0030355	0.00378132	0.00583299	0.00327166	0.00532746	0.0443311	0.192602	0.722783
a13	0.00314342	0.00223814	0.00244319	0.00176072	0.00256394	0.00353595	0.00601115	0.0041863	0.00668015	0.0362035	0.170546	0.760688
a9	0.00409637	0.00256705	0.00211881	0.00123688	0.00181519	0.00283289	0.00573124	0.0044411	0.0106179	0.0760232	0.192273	0.696246
a99	0.00826935	0.00552474	0.00334636	0.00181711	0.00222143	0.00350805	0.00729822	0.0062176	0.0162194	0.0949938	0.168162	0.682422
a87	0.0151681	0.012133	0.00634061	0.00325631	0.00330546	0.00494882	0.0102631	0.00835293	0.0189137	0.0964077	0.165799	0.655111
</S>	0.0382754	0.0270022	0.0130618	0.00609628	0.00523122	0.00610669	0.0118205	0.0103909	0.0200147	0.0702307	0.137217	0.654553
