 	a	l'	école	il	s'	est	avéré	un	bon	élève	</S>
a73	0.0453314	0.0487269	0.050443	0.0687149	0.0881611	0.138913	0.167634	0.140734	0.101842	0.0788026	0.0706969
a35	0.023899	0.025508	0.0321015	0.0428106	0.0535655	0.102726	0.174209	0.158934	0.120889	0.1164	0.148958
a24	0.0303671	0.0325841	0.0363787	0.0397842	0.0452634	0.0726451	0.141992	0.161652	0.143677	0.130183	0.165473
a62	0.0224657	0.0239538	0.0293287	0.0303014	0.0375592	0.0562845	0.0918894	0.161771	0.184268	0.167993	0.194185
a88	0.044963	0.0413537	0.0422777	0.0401265	0.0426407	0.0539489	0.0682378	0.092263	0.129177	0.184701	0.26031
a25	0.0391305	0.0365212	0.0402403	0.0407081	0.0409169	0.0470329	0.0516369	0.0757417	0.118751	0.212753	0.296567
a87	0.039078	0.0316032	0.0324962	0.035707	0.0404718	0.0674827	0.102219	0.153762	0.169759	0.166143	0.161278
a10	0.0145973	0.013029	0.0145354	0.0179558	0.0213346	0.0354318	0.0676263	0.120995	0.158706	0.199103	0.336685
a87	0.00938589	0.00770312	0.00911726	0.00889104	0.0117611	0.0252399	0.0489084	0.0912324	0.130766	0.194746	0.462249
a79	0.0129238	0.00775736	0.00767371	0.0082217	0.0119846	0.0253352	0.044134	0.0905796	0.129527	0.19649	0.465373
a20	0.00593195	0.00355099	0.0034374	0.00283509	0.00436825	0.00836754	0.0192491	0.0787865	0.148433	0.231645	0.493395
a30	0.0457122	0.036435	0.023613	0.0216336	0.0237199	0.0363195	0.0488225	0.0757003	0.105612	0.156662	0.42577
a84	0.00560522	0.00551573	0.00638263	0.00779452	0.0117972	0.0241644	0.0436326	0.0829318	0.124085	0.198	0.490091
a40	0.00381272	0.00388189	0.00399103	0.00306389	0.00399687	0.00710669	0.0166795	0.0550808	0.112908	0.221107	0.568371
a30	0.0150818	0.0133364	0.0136403	0.0128213	0.0157189	0.0216721	0.0304465	0.0735104	0.108449	0.172188	0.523135
a14	0.0079134	0.00751558	0.00731019	0.00755345	0.010382	0.0200619	0.0432096	0.087454	0.131343	0.196975	0.480282
a2	0.00643067	0.00622441	0.00925059	0.0109698	0.0136227	0.0215387	0.0419709	0.0875555	0.136751	0.189225	0.476461
a57	0.00149443	0.00147054	0.00158192	0.00142263	0.00201534	0.00348467	0.00833548	0.0289499	0.0761296	0.224245	0.65087
a38	0.00280829	0.00247211	0.00250565	0.0017477	0.00216755	0.00346757	0.00842177	0.0369347	0.0942032	0.228776	0.616495
a14	0.00264345	0.00216487	0.00248683	0.00215698	0.00299672	0.00473028	0.00974735	0.0374769	0.0874672	0.20448	0.643649
a73	0.00319826	0.00315793	0.00541475	0.00702401	0.0102556	0.0183909	0.0346497	0.0693645	0.106244	0.178828	0.563472
a35	0.00117307	0.00109531	0.00158202	0.00185877	0.00275532	0.00479618	0.0105187	0.0289145	0.0643827	0.18157	0.701354
a73	0.00352142	0.00265332	0.00346182	0.00403124	0.0055476	0.00933876	0.0183031	0.0435981	0.0895892	0.18241	0.637545
a84	0.00258234	0.00199214	0.00252194	0.00264417	0.00384132	0.00615909	0.0109486	0.0274662	0.0639179	0.176225	0.701701
a53	0.00118302	0.00105417	0.00120141	0.000870085	0.00111358	0.00167194	0.00507417	0.0248768	0.0707161	0.206817	0.685422
a90	0.00251693	0.00171305	0.00159591	0.00138422	0.00194343	0.00311941	0.00668453	0.0166389	0.0429674	0.18334	0.738096
a56	0.00465492	0.00296682	0.00240898	0.00223179	0.00288285	0.00414503	0.00642171	0.0152305	0.0378248	0.148623	0.77261
a24	0.00315752	0.00206974	0.00201096	0.00201108	0.00280276	0.00430391	0.00742583	0.0177635	0.0408696	0.145192	0.772393
a41	0.00444327	0.00297039	0.00223107	0.00182712	0.00259331	0.00410853	0.00775902	0.0190122	0.0450817	0.154323	0.75565
a24	0.00561138	0.00379593	0.0026183	0.00209771	0.00283025	0.00457355	0.00905234	0.0247445	0.0638761	0.198133	0.682667
a75	0.00491464	0.00398962	0.0036586	0.00365296	0.00496913	0.0078036	0.0147415	0.0240837	0.0483584	0.149439	0.734389
a25	0.00457326	0.00327528	0.00327576	0.00350729	0.0047243	0.00715186	0.0107218	0.0196833	0.0417674	0.155326	0.745993
a94	0.00463959	0.00319296	0.00242534	0.00174098	0.00241927	0.00420956	0.00871877	0.0214021	0.0525859	0.181325	0.717341
a58	0.00577959	0.0040967	0.00319679	0.00213056	0.00287889	0.00460074	0.0108924	0.0287142	0.0622964	0.175164	0.700249
a57	0.00414806	0.00280272	0.00245897	0.00149872	0.00201068	0.00337982	0.00953777	0.027195	0.0650156	0.189876	0.692077
a38	0.00372946	0.00309385	0.00276518	0.0013697	0.00173643	0.00246528	0.00730606	0.024014	0.0672912	0.215947	0.670282
a11	0.00717739	0.00579648	0.00515201	0.00258547	0.00311621	0.00447233	0.0136975	0.0363957	0.0865887	0.224363	0.610655
a21	0.0111621	0.00841924	0.00584512	0.00277648	0.00303955	0.00458192	0.0145397	0.0404047	0.0932622	0.224234	0.591735
a41	0.00891902	0.00666552	0.00322215	0.00161255	0.00167333	0.00217628	0.00522234	0.0161733	0.049514	0.16634	0.738482
a27	0.00874164	0.00643975	0.0030348	0.00163599	0.00179085	0.00277622	0.00671749	0.0215504	0.0609854	0.186258	0.70007
a25	0.00426927	0.00315391	0.00321803	0.00274541	0.00379391	0.00720778	0.0190632	0.0382692	0.0760241	0.197915	0.64434
a10	0.0150724	0.0103246	0.00673783	0.00294866	0.00380994	0.00520019	0.0127404	0.0382517	0.08735	0.218925	0.59864
a87	0.00798221	0.00604915	0.00410144	0.00153579	0.00184987	0.00282016	0.0094978	0.0315544	0.0829744	0.20918	0.642455
</S>	0.033399	0.0298624	0.0225913	0.00856037	0.00839488	0.00975185	0.0250672	0.0534172	0.107186	0.197119	0.504651
