 	j'	ai	découvert	un	bois	mort	sur	lequel	poussent	des	champignons	apebha	dans	la	forêt	oyoa	</S>
a90	0.0371573	0.0368735	0.0447016	0.0903625	0.0925869	0.122946	0.174913	0.113535	0.0716647	0.0518906	0.0351184	0.0355293	0.025671	0.0189988	0.0154163	0.0148612	0.0177739
a25	0.0208204	0.022214	0.025724	0.0483974	0.0533811	0.0968814	0.160564	0.124913	0.0881354	0.0630949	0.0476412	0.0632953	0.0578379	0.0369325	0.0300833	0.027762	0.0323224
a69	0.0114817	0.0113354	0.0126289	0.0223136	0.0281154	0.0546419	0.092989	0.0826067	0.074027	0.057526	0.0607845	0.102535	0.11319	0.0803652	0.0654659	0.0570505	0.0729439
a90	0.00963117	0.00852706	0.0104677	0.0118013	0.0134211	0.0335134	0.0635081	0.0664591	0.107515	0.0891387	0.0831443	0.115117	0.111554	0.076308	0.0663761	0.0585921	0.0749267
a25	0.018161	0.0122745	0.013241	0.0150388	0.0170124	0.0342844	0.0700028	0.0747849	0.0949332	0.0689279	0.0758774	0.117105	0.103811	0.0732119	0.0662883	0.0605958	0.0844498
a98	0.0130732	0.00780698	0.00889853	0.00903479	0.011069	0.0212003	0.0437126	0.0503694	0.0753081	0.0618657	0.0721575	0.112879	0.117908	0.0914714	0.0967855	0.0865318	0.119928
a47	0.00685787	0.00451868	0.00548005	0.00464962	0.00522939	0.00826904	0.0174241	0.0269636	0.0965089	0.101221	0.117559	0.103005	0.120699	0.0923685	0.0942774	0.0853695	0.1096
a36	0.00474662	0.00277057	0.00294217	0.00270063	0.0030826	0.00409325	0.00717079	0.0137918	0.0597868	0.0561239	0.0757431	0.083594	0.121429	0.105033	0.108895	0.129271	0.218824
a92	0.00364553	0.00223962	0.00251313	0.00191937	0.00190747	0.00209189	0.00293658	0.0051499	0.017531	0.0199604	0.0381582	0.0558287	0.109138	0.103484	0.11987	0.186843	0.326783
a56	0.00121202	0.000747373	0.000753207	0.000896946	0.00135353	0.00211303	0.00344903	0.00679801	0.0211339	0.0211477	0.0381824	0.0640766	0.124507	0.133128	0.158554	0.180143	0.241805
a93	0.00060814	0.00031389	0.000336633	0.000378569	0.000758444	0.00118231	0.00181919	0.00349228	0.00724444	0.00750135	0.0194326	0.0418686	0.09178	0.129279	0.184125	0.228212	0.281667
a96	0.000544054	0.000256866	0.000295222	0.000271032	0.000475373	0.000622659	0.000824488	0.00127767	0.0022936	0.00269059	0.0107309	0.0315327	0.0869344	0.125004	0.175233	0.252226	0.308788
a93	0.000390285	0.00018145	0.000248422	0.000189014	0.00026908	0.000339999	0.000501934	0.000769966	0.00116399	0.00152783	0.00493895	0.0148577	0.0528804	0.0824588	0.134412	0.310697	0.394174
a69	0.000156597	7.45011e-05	9.14627e-05	7.64605e-05	0.000131501	0.000170618	0.000272046	0.000434419	0.000759134	0.00104146	0.00432534	0.0131996	0.053516	0.0873933	0.143365	0.306478	0.388515
a7	0.000127505	6.05743e-05	8.09829e-05	6.97441e-05	0.0001129	0.000167003	0.000274197	0.000439356	0.000848261	0.00126809	0.00399638	0.00920865	0.0333038	0.0586003	0.110492	0.334501	0.44645
a84	0.000206347	0.000105038	0.000106926	9.41339e-05	0.000105359	0.000146537	0.00021291	0.00027634	0.000423057	0.00102052	0.00380242	0.00664375	0.0241807	0.0421067	0.0945903	0.36562	0.460359
a87	0.106697	0.050407	0.0364401	0.0265954	0.0265657	0.0245131	0.038958	0.0537176	0.0579345	0.0733968	0.0702436	0.0565572	0.0660613	0.0648563	0.0699099	0.0807005	0.0964464
a23	0.149907	0.143638	0.0750229	0.0616348	0.0539686	0.0374973	0.0522589	0.0591914	0.0613263	0.0636985	0.0541987	0.065839	0.0425637	0.0316811	0.0210039	0.0147253	0.0118445
a99	0.0329963	0.0516189	0.0358913	0.0186915	0.00790635	0.00388202	0.00434943	0.00400368	0.0051917	0.00770041	0.0209541	0.0784659	0.077021	0.0986874	0.127757	0.191162	0.233722
a87	0.0188628	0.02188	0.0136544	0.009411	0.00576873	0.00376546	0.00494039	0.00514865	0.00809752	0.0107464	0.0255064	0.0712722	0.0716413	0.0832372	0.121307	0.195602	0.329159
</S>	0.00489342	0.00590236	0.00364293	0.00251669	0.00145018	0.000920509	0.00158484	0.00218194	0.00327582	0.0046025	0.0120878	0.0422191	0.0503268	0.0828957	0.119399	0.21943	0.44267
