 	nous	ne	savons	pas	encore	de	quelle	manière	il	a	découvert	ce	chemin	</S>
a99	0.00680608	0.00413142	0.00408025	0.00644006	0.00725757	0.0102552	0.00886962	0.0112254	0.0132957	0.0157585	0.0211922	0.121575	0.322083	0.447031
a83	0.00128828	0.000924729	0.00125494	0.00254372	0.00308017	0.00445127	0.0026002	0.00406094	0.00655166	0.0111653	0.0144301	0.110585	0.323056	0.514007
a24	0.000407927	0.000408907	0.000884653	0.00205789	0.00295468	0.00399966	0.00195444	0.00330839	0.00505693	0.00854234	0.0130369	0.078574	0.316148	0.562665
a50	0.000114584	0.000123742	0.000361329	0.000818047	0.001311	0.00167282	0.000958942	0.00196289	0.00142472	0.00189771	0.00392888	0.038321	0.265562	0.681542
a62	0.000269395	0.000308776	0.0010836	0.00205668	0.00306208	0.00411087	0.00299997	0.00599176	0.00351436	0.00342613	0.00573832	0.0427361	0.255636	0.669066
a31	0.000331882	0.000368009	0.00126401	0.00228244	0.00342639	0.00494725	0.00389556	0.0072348	0.00410612	0.00365278	0.00611863	0.039142	0.240567	0.682663
a0	0.00016003	0.000172162	0.000658218	0.00117687	0.00185006	0.00256345	0.002165	0.00383658	0.00207968	0.00194744	0.00393998	0.0408771	0.262345	0.676228
a93	0.000230115	0.000243843	0.000794364	0.00155681	0.00233799	0.00344709	0.00280751	0.0045872	0.00238713	0.00169475	0.00279799	0.0229047	0.22091	0.733301
a62	0.000645851	0.000610712	0.00164914	0.00326227	0.00482152	0.00713664	0.00594624	0.00751572	0.00419809	0.00291506	0.00433671	0.0305373	0.239247	0.687177
a88	0.000602489	0.000591973	0.00154926	0.00270589	0.00395587	0.0055813	0.00422254	0.00707819	0.00349043	0.00272795	0.00365577	0.0307101	0.199445	0.733683
a62	0.000856303	0.000701269	0.00217546	0.0037606	0.00515438	0.00841825	0.00629472	0.00875295	0.00583239	0.00428508	0.00577356	0.0437292	0.250733	0.653533
a88	0.000984971	0.000826916	0.00236569	0.00422577	0.00604661	0.00900031	0.00713226	0.00904293	0.00652206	0.00513888	0.00694089	0.0385283	0.250866	0.652379
a71	0.00174944	0.00131286	0.0030448	0.00583113	0.00857785	0.0126732	0.00918383	0.0101594	0.00777683	0.00570696	0.00619374	0.0308561	0.22028	0.676654
a9	0.00894691	0.00750096	0.0139218	0.0199115	0.0285518	0.0372475	0.028207	0.0268199	0.0248178	0.0211163	0.0177826	0.0519272	0.217431	0.495818
a87	0.0343394	0.0241784	0.031642	0.0365534	0.04336	0.054469	0.0442808	0.0478715	0.082433	0.0757674	0.0375429	0.0636575	0.159472	0.264433
</S>	0.0620872	0.0358047	0.0356246	0.0503863	0.0605809	0.0860826	0.0675349	0.0737238	0.142019	0.125977	0.0425235	0.0390103	0.0801667	0.0984789
