 	tu	vantes	ta	force	mais	si	on	commence	le	combat	tuseras	le	premier	à	verser	les	larmes	</S>
a26	0.00398506	0.00718384	0.0268518	0.0841925	0.108651	0.128125	0.12179	0.1274	0.121541	0.0825432	0.0443258	0.0157309	0.0132595	0.0124005	0.01832	0.0168586	0.0247667	0.0420743
a57	0.00311917	0.00429783	0.016174	0.0579937	0.0941668	0.148038	0.138388	0.151274	0.128819	0.103023	0.0575796	0.0161107	0.0107736	0.00927089	0.0107158	0.0108127	0.0148925	0.0245512
a87	0.00365363	0.00406128	0.0128883	0.0525474	0.0998344	0.159544	0.152632	0.144662	0.127693	0.099096	0.0554688	0.0155008	0.0112356	0.00948806	0.00927025	0.00901203	0.0127934	0.0206191
a23	0.016632	0.0146572	0.0169925	0.0357989	0.0656652	0.105837	0.0972427	0.106495	0.105908	0.112011	0.0867558	0.0283318	0.0232649	0.0223295	0.0251368	0.0296224	0.0415516	0.0657682
a30	0.0314104	0.0227829	0.0338066	0.0503402	0.0504405	0.0667874	0.0552704	0.0666627	0.0817546	0.0936306	0.0760838	0.0378978	0.0406739	0.0329933	0.0364332	0.0455027	0.0669817	0.110547
a20	0.00660278	0.00803668	0.0237435	0.0390222	0.0329434	0.0580049	0.0503615	0.065209	0.0711653	0.0777884	0.0589886	0.0562832	0.0553015	0.0481301	0.0546228	0.0639512	0.0877334	0.142112
a47	0.00552796	0.00766419	0.0185566	0.020454	0.0165478	0.0187514	0.018581	0.0255472	0.0258492	0.0276947	0.031229	0.0344014	0.0427681	0.0461994	0.0654542	0.104351	0.202413	0.28801
a6	0.0190392	0.0273807	0.0468006	0.0326445	0.0220133	0.0252926	0.0274963	0.0382417	0.0353461	0.0367496	0.0400869	0.0392998	0.0448658	0.050873	0.0727682	0.101161	0.157755	0.182185
a37	0.0213089	0.0289499	0.0463993	0.041675	0.0326651	0.0348647	0.0359045	0.047822	0.0451391	0.0470544	0.045835	0.0316839	0.0361052	0.0388144	0.0577484	0.087405	0.150026	0.170599
a21	0.0159372	0.0194262	0.0413072	0.0606845	0.0653863	0.0755461	0.0852304	0.0917199	0.0867323	0.0798137	0.0635503	0.030891	0.0294021	0.029858	0.0322185	0.0408414	0.0689822	0.0824726
a18	0.00831696	0.010695	0.027475	0.0536375	0.0705632	0.081387	0.0974351	0.0958203	0.0851626	0.0759269	0.0707934	0.0279412	0.0257728	0.0300045	0.0345381	0.0413162	0.075193	0.0880211
a75	0.00218743	0.00341105	0.0149512	0.0413343	0.062669	0.0911294	0.112144	0.121256	0.109736	0.0970769	0.079697	0.0381389	0.0330998	0.0326419	0.0367626	0.0336898	0.0397051	0.0503697
a85	0.00260976	0.00507489	0.0161573	0.0387364	0.0569242	0.0683027	0.0817486	0.0841419	0.0763765	0.0621046	0.0579278	0.0350464	0.0333334	0.0410162	0.0540173	0.0580006	0.0994698	0.129011
a37	0.00378957	0.00703362	0.0207346	0.0431955	0.0576654	0.0712088	0.0917691	0.0898388	0.0804898	0.064381	0.0533015	0.0354617	0.0318254	0.0410436	0.0583587	0.0570601	0.0876676	0.105175
a21	0.00115236	0.00233037	0.0097842	0.0332899	0.0583366	0.0845218	0.109741	0.110543	0.104398	0.0816856	0.0620431	0.0395334	0.0410599	0.044985	0.0543945	0.0486802	0.0539019	0.0596192
a12	0.0014827	0.00261882	0.00839848	0.0285544	0.0562388	0.0791436	0.104954	0.0958542	0.0859776	0.0675898	0.0647567	0.0420484	0.0370773	0.045182	0.0561196	0.0538576	0.0819435	0.0882027
a61	0.00108953	0.00193857	0.00614417	0.0196942	0.0463267	0.0866246	0.120182	0.117952	0.105617	0.0826403	0.0691587	0.0418545	0.037361	0.0411703	0.0510143	0.0470159	0.0597096	0.0645067
a18	0.000869448	0.00176369	0.00467069	0.0139154	0.0345736	0.0710937	0.106961	0.11491	0.100041	0.0804329	0.0657932	0.0443206	0.043092	0.0500061	0.0675925	0.0587988	0.0685052	0.0726602
a70	0.000871013	0.00155102	0.00330683	0.00831862	0.0197702	0.0518229	0.0867521	0.0918407	0.076767	0.0643249	0.0570273	0.0500388	0.0469206	0.0587309	0.0823341	0.0749775	0.102782	0.121863
a83	0.000588223	0.00122132	0.00283746	0.00753455	0.020307	0.0497416	0.0827202	0.0834831	0.0729373	0.0542248	0.0549035	0.0537429	0.0540499	0.0703887	0.0918369	0.078039	0.102769	0.118674
a98	0.000629089	0.00104184	0.00209372	0.00550342	0.0134341	0.0403386	0.0727487	0.0748917	0.0615392	0.0518094	0.0500385	0.0520205	0.0504072	0.0658268	0.0926078	0.0857994	0.12534	0.15393
a47	0.00040996	0.000645233	0.00169491	0.00520672	0.014383	0.038987	0.0653833	0.0522845	0.0466752	0.0332053	0.0276032	0.0400812	0.0528709	0.0735685	0.115739	0.0973254	0.138267	0.19567
a36	0.000587808	0.000792316	0.00184179	0.00546473	0.01752	0.0490837	0.0820564	0.0610696	0.0553279	0.0342586	0.0234916	0.0293119	0.0379739	0.053834	0.0976461	0.0868157	0.146154	0.21677
a2	0.00433414	0.00436935	0.00555981	0.00992432	0.0183284	0.0555275	0.106126	0.094772	0.0777262	0.0625324	0.0450559	0.037154	0.0373166	0.0421622	0.0685334	0.0697613	0.107887	0.152929
a57	0.00685381	0.00744815	0.0114494	0.0195781	0.0296395	0.0651073	0.101074	0.100202	0.0772074	0.0693419	0.0444763	0.0316263	0.0302806	0.028238	0.0543668	0.0617563	0.104548	0.156807
a87	0.00652282	0.00699402	0.0106128	0.0177664	0.0283526	0.0581954	0.0729588	0.0820331	0.0650586	0.0756671	0.0507503	0.0372066	0.0392496	0.0326701	0.0578954	0.0732477	0.12457	0.160249
a23	0.00700951	0.00490136	0.00757695	0.0142224	0.0199415	0.0393977	0.0440539	0.0697945	0.0639213	0.0994756	0.066954	0.05728	0.0534508	0.0403521	0.0648159	0.0871841	0.112478	0.14719
a79	0.00345851	0.00220149	0.00361927	0.00614763	0.0068412	0.0109526	0.0122665	0.0177673	0.0182995	0.0247214	0.0228554	0.0377874	0.0467783	0.048322	0.0862399	0.121119	0.220608	0.310015
a4	0.000457522	0.000286999	0.000544965	0.00128374	0.00243496	0.0040111	0.00498244	0.00434291	0.00428162	0.00492436	0.00616638	0.0257076	0.0507507	0.0766384	0.135163	0.149698	0.218627	0.309699
a58	0.00024917	0.000391396	0.00100652	0.00316858	0.0058371	0.00853217	0.00928792	0.00943925	0.00900686	0.00937092	0.00935532	0.0169626	0.0316147	0.0534669	0.0879961	0.120863	0.275754	0.347697
a62	0.000152193	0.000222528	0.000706216	0.00293872	0.00638152	0.00990727	0.0123742	0.0144807	0.0125456	0.0122461	0.0144382	0.0300112	0.0445954	0.0679561	0.0963132	0.11251	0.243482	0.318738
a88	0.000470042	0.000574748	0.00112869	0.00383491	0.0110204	0.0229846	0.0322273	0.0375064	0.0305978	0.0265156	0.0319787	0.0544698	0.0632175	0.089815	0.116034	0.114644	0.166901	0.196078
a0	0.000280481	0.000446635	0.000908982	0.00252058	0.00647607	0.0151068	0.022778	0.0309411	0.0243414	0.0225959	0.027501	0.0523743	0.0652566	0.0956177	0.135891	0.12553	0.161535	0.209899
a24	0.000255132	0.000353882	0.000677811	0.00181135	0.00462605	0.0121908	0.0191572	0.024738	0.0192711	0.0194826	0.022643	0.0496302	0.0692379	0.0953289	0.134886	0.126198	0.16868	0.230832
a9	0.000524773	0.000643933	0.00102739	0.00230145	0.0048927	0.0139803	0.0218403	0.0289646	0.0221042	0.0254627	0.0257574	0.0620659	0.0749717	0.0922385	0.123823	0.12512	0.157455	0.216826
a10	0.00330731	0.00232671	0.00352544	0.00841565	0.0167769	0.0471569	0.0665891	0.0680849	0.056801	0.0683273	0.0491032	0.0595643	0.062944	0.0571815	0.0851054	0.0808922	0.101478	0.16242
a75	0.00809742	0.00507916	0.00775171	0.0135698	0.0211893	0.0441555	0.053474	0.0642904	0.0602362	0.0843462	0.0563681	0.0553724	0.0501902	0.0401932	0.0632365	0.0734527	0.112713	0.186284
a6	0.000264921	0.000194749	0.000307295	0.000653924	0.00163204	0.00386645	0.00592437	0.00578508	0.00578366	0.00690369	0.00833438	0.02474	0.0413145	0.0555726	0.0921394	0.110572	0.244787	0.391224
a37	0.000162502	0.000167573	0.000345086	0.00102885	0.0033368	0.00734493	0.0108761	0.00827505	0.00783353	0.00660486	0.00923688	0.023021	0.0421617	0.0707861	0.117171	0.116597	0.222322	0.352729
a75	0.000387655	0.000450582	0.000753512	0.00215345	0.00597719	0.0137407	0.0196167	0.0171977	0.015985	0.0126567	0.0150471	0.0317823	0.0545029	0.0790303	0.109901	0.100518	0.180887	0.339412
a85	0.00024033	0.000274706	0.000606499	0.00175597	0.00546726	0.0126486	0.0186426	0.0137268	0.0127474	0.00960998	0.0132604	0.0325871	0.0525854	0.0813899	0.12396	0.1193	0.196347	0.30485
a6	0.0002217	0.000298834	0.000866762	0.00274418	0.00758982	0.013839	0.0190614	0.0141531	0.0131932	0.00934205	0.0114912	0.0301064	0.0426632	0.0673699	0.11383	0.122693	0.218921	0.311616
a36	0.000533527	0.00066787	0.00154003	0.00437134	0.012236	0.0217627	0.0309482	0.0222267	0.021053	0.0127409	0.014945	0.0336466	0.0490256	0.076626	0.108449	0.104696	0.181877	0.302654
a27	0.000510469	0.000550701	0.00129444	0.00273262	0.00529114	0.0112568	0.0175219	0.0136388	0.0119908	0.00847961	0.0098365	0.0270181	0.0438924	0.0564708	0.0865946	0.0788713	0.184342	0.439707
a57	0.00119919	0.000803417	0.00115043	0.00196816	0.00306131	0.00936639	0.0148326	0.0150149	0.0111376	0.0128488	0.0134874	0.0373758	0.0449269	0.0476683	0.0802042	0.0920598	0.215916	0.396979
a83	0.00558175	0.00412372	0.0047015	0.00681977	0.0114795	0.0294953	0.03867	0.0425212	0.0350817	0.0416791	0.0315562	0.0590023	0.0548124	0.048087	0.0865449	0.096982	0.159144	0.243718
a62	0.00201718	0.00143363	0.00214971	0.00339158	0.00479716	0.0104657	0.0145186	0.0160916	0.0137768	0.0171045	0.0170312	0.0400861	0.0448111	0.041773	0.0714293	0.0865929	0.212166	0.400364
a88	0.000551416	0.000587801	0.00091289	0.00181934	0.00321001	0.00754782	0.0121441	0.0115419	0.00942583	0.0102671	0.0116766	0.0305898	0.0527604	0.065426	0.0971203	0.0973862	0.192139	0.394894
a70	0.000448599	0.000551329	0.000879295	0.00177339	0.00287883	0.00769684	0.0120083	0.0143007	0.0106728	0.0122563	0.0125041	0.0416071	0.0591063	0.0663994	0.105019	0.109498	0.188928	0.353471
a93	0.00046154	0.000652901	0.00104322	0.00207293	0.00353984	0.00830991	0.0129763	0.0145771	0.0112322	0.0119954	0.0123321	0.0377572	0.0565501	0.0663799	0.10983	0.114097	0.193031	0.343161
a70	0.000329241	0.000511335	0.000981756	0.00222268	0.00415721	0.00954646	0.0132276	0.0140438	0.0112219	0.0113442	0.0127881	0.0320063	0.0492576	0.0594179	0.0948078	0.102712	0.204299	0.377125
a62	0.000368299	0.000434852	0.000978083	0.00225938	0.00346026	0.00973029	0.0159798	0.0200447	0.0138232	0.0151489	0.0137499	0.0397954	0.0494958	0.0544702	0.102981	0.107762	0.191904	0.357613
a34	0.000504762	0.000615176	0.00131883	0.00280075	0.00422242	0.0124241	0.019336	0.0229963	0.0164432	0.0173195	0.0162041	0.0489963	0.0529991	0.054528	0.101785	0.106554	0.189648	0.331304
a92	0.000278865	0.000399518	0.000790852	0.00167674	0.00296384	0.00791687	0.0114213	0.0127456	0.00937571	0.0103145	0.0116034	0.0357445	0.0537322	0.064782	0.104445	0.109686	0.195798	0.366325
a37	0.000199871	0.000222903	0.000573976	0.00128289	0.00229179	0.00430471	0.00741252	0.00632736	0.00479068	0.00404163	0.00737553	0.0216007	0.0377865	0.0650054	0.11358	0.100347	0.199568	0.423289
a26	0.000252782	0.000292228	0.000687708	0.00139398	0.00189436	0.0043269	0.00738573	0.00882663	0.00577986	0.00625122	0.00616818	0.0243782	0.0329993	0.0394739	0.082184	0.0886552	0.216193	0.472857
a82	0.00194846	0.00142227	0.00286494	0.0060331	0.0080283	0.0206639	0.032308	0.0294695	0.0235473	0.0247968	0.0192176	0.0528211	0.0601294	0.0637797	0.106965	0.101018	0.166878	0.278108
a99	0.00895627	0.00497787	0.00628718	0.00880427	0.0100785	0.020457	0.0261301	0.0289555	0.0281456	0.0453777	0.0460263	0.0784421	0.070376	0.0674413	0.0943602	0.096386	0.141348	0.21745
a87	0.0144673	0.00623234	0.0108803	0.0144738	0.0146466	0.0245397	0.0307908	0.0417983	0.0433789	0.0821503	0.0765404	0.0739149	0.06059	0.045415	0.0664738	0.072107	0.12117	0.20043
a23	0.0128099	0.00529097	0.0101206	0.0147028	0.0148297	0.0331759	0.0389078	0.0604863	0.0618273	0.124032	0.105567	0.0691919	0.0533249	0.0332642	0.0518072	0.0579145	0.0982368	0.15451
a87	0.00773301	0.00195969	0.00290041	0.00315357	0.00355553	0.0064914	0.0081182	0.0106139	0.0111591	0.0165293	0.0175548	0.026438	0.0289183	0.0228349	0.051455	0.0785416	0.239937	0.462106
</S>	0.00302343	0.00108997	0.00169192	0.00169767	0.00163125	0.00304468	0.00361549	0.00659422	0.0065288	0.0119883	0.0105536	0.0144965	0.0116886	0.0122689	0.0347363	0.0615289	0.231587	0.582235
