 	j'	ai	vu	une	nappe	de	sang	là	où	une	voiture	a	heurté	quelqu'	un	</S>
a24	0.038994	0.0590598	0.0806067	0.108629	0.134752	0.0998224	0.0625083	0.070817	0.0473708	0.0513775	0.0589056	0.0304982	0.0211226	0.0319355	0.0414852	0.0621147
a62	0.0290834	0.043382	0.0692888	0.0932349	0.140672	0.123171	0.0840497	0.096671	0.0637498	0.0665955	0.0713971	0.0311785	0.0179064	0.0181161	0.0206627	0.0308408
a21	0.0279549	0.0384425	0.0616778	0.0890092	0.139128	0.124939	0.0939724	0.107448	0.0788461	0.0784637	0.0765608	0.0370232	0.0183485	0.0107836	0.00787316	0.00952958
a85	0.0257766	0.0292761	0.0469331	0.0857286	0.156172	0.130447	0.0993748	0.11139	0.0801238	0.0785391	0.077314	0.0350196	0.0169359	0.0104033	0.00759784	0.00896871
a37	0.0211229	0.0244997	0.042631	0.0831685	0.160154	0.121303	0.0959789	0.109418	0.0799232	0.0775976	0.0837473	0.0399976	0.0231063	0.0142199	0.0102527	0.0128795
a70	0.00952702	0.0104508	0.0152685	0.0313515	0.116639	0.14864	0.126694	0.147702	0.102728	0.0987923	0.0972573	0.0408314	0.0179147	0.0115229	0.0103654	0.0143146
a90	0.006199	0.00719328	0.0103749	0.0213885	0.0855188	0.143939	0.127316	0.151598	0.112059	0.107132	0.102196	0.0477744	0.024111	0.016885	0.0157625	0.0205516
a94	0.0104738	0.0113315	0.0139484	0.0249477	0.0989897	0.159108	0.134452	0.140173	0.103701	0.0973703	0.0868738	0.0371516	0.0182508	0.0167161	0.0180966	0.0284159
a13	0.00417633	0.00448972	0.00570698	0.0103959	0.0516735	0.131563	0.127297	0.165247	0.12838	0.119212	0.105574	0.0470567	0.0228952	0.0218684	0.0216935	0.032771
a4	0.00192328	0.00213456	0.00292491	0.00549095	0.03329	0.130882	0.129523	0.171697	0.137623	0.127527	0.103439	0.0468142	0.023429	0.0285362	0.0229918	0.0317742
a58	0.00406725	0.00472467	0.00616964	0.0117598	0.0482309	0.134901	0.124931	0.160241	0.126215	0.11439	0.0946985	0.0448204	0.0256331	0.0278194	0.028162	0.0432365
a25	0.00289077	0.00282398	0.00325878	0.00624351	0.0293204	0.105613	0.105525	0.158977	0.137427	0.121679	0.095189	0.0487313	0.0340547	0.0485944	0.0415289	0.0581436
a38	0.00540414	0.00500775	0.00501617	0.00706259	0.0252882	0.0900447	0.098311	0.163333	0.139099	0.128079	0.103625	0.0454532	0.0268544	0.0474326	0.0424406	0.067549
a23	0.00481246	0.00455142	0.00490689	0.00782798	0.02616	0.0923881	0.0963106	0.166984	0.138459	0.119488	0.0937453	0.0419881	0.0265053	0.0514817	0.0489497	0.075442
a62	0.00516336	0.00499795	0.00513763	0.00799088	0.0241954	0.0858746	0.0863068	0.139791	0.118735	0.104396	0.0873527	0.0469832	0.0329579	0.0714549	0.0717943	0.106868
a13	0.0113823	0.0104921	0.010135	0.0184792	0.0529916	0.128208	0.119007	0.144437	0.118981	0.0992103	0.069272	0.0410357	0.031704	0.0462178	0.0404409	0.0580067
a62	0.00442117	0.0038801	0.0039309	0.00750148	0.0310237	0.0920563	0.0892775	0.115214	0.105091	0.0932946	0.0707194	0.0455813	0.0384659	0.0847232	0.0899262	0.124894
a21	0.00496806	0.00436985	0.00449029	0.00806517	0.0322037	0.0896412	0.0908181	0.115243	0.108232	0.0948112	0.067001	0.0444312	0.039983	0.0871337	0.0899094	0.1187
a18	0.0106514	0.00934352	0.00872795	0.0162715	0.0444031	0.12151	0.119196	0.143146	0.117536	0.0910163	0.0574172	0.0373624	0.0370342	0.0646036	0.0599274	0.0618546
a21	0.00149198	0.00123338	0.00114349	0.00216131	0.012072	0.0414521	0.0456379	0.0775561	0.0873553	0.0818636	0.0652458	0.0443108	0.0453907	0.142916	0.162	0.18817
a96	0.0135039	0.0109008	0.00984417	0.0159035	0.0377711	0.102289	0.100887	0.127825	0.106323	0.0822508	0.0540454	0.037267	0.0399845	0.0691757	0.0893865	0.102643
a98	0.00186652	0.00159606	0.00165001	0.00347325	0.0161362	0.0445575	0.0442965	0.0618406	0.0655234	0.0571555	0.043212	0.0348452	0.0445179	0.118215	0.209405	0.251709
a15	0.00443537	0.00393013	0.00381375	0.00692504	0.0220361	0.077633	0.0746772	0.093986	0.0857346	0.0704811	0.0494216	0.0342471	0.0316775	0.0869508	0.137885	0.216166
a44	0.00455599	0.00335796	0.00357827	0.00544794	0.0140185	0.0374402	0.0418629	0.0653543	0.0615214	0.0514188	0.0406457	0.0272198	0.0349965	0.120155	0.209327	0.279099
a66	0.00173601	0.00139007	0.00150373	0.00265323	0.00934202	0.0319101	0.0337504	0.0497326	0.0480696	0.039013	0.0297261	0.0238793	0.0319171	0.143663	0.241763	0.30995
a93	0.0020901	0.00110614	0.000800611	0.000945212	0.00278225	0.0113212	0.0128525	0.027818	0.0303566	0.0263232	0.0232077	0.020877	0.031488	0.128941	0.251241	0.427849
a70	0.000702686	0.000387114	0.000302073	0.000350126	0.00136659	0.00637703	0.00778442	0.0164851	0.0187941	0.0170029	0.0153083	0.0137659	0.0192606	0.0956456	0.261547	0.524921
a90	0.000286275	0.000190374	0.000202649	0.000337652	0.00195137	0.00743808	0.00797091	0.0137327	0.0161297	0.0147196	0.0134331	0.0127724	0.0186231	0.0875475	0.278813	0.525851
a84	0.000275144	0.000222102	0.000264581	0.000520484	0.00312506	0.0135299	0.0143817	0.0216988	0.0235873	0.0208743	0.0165371	0.0155587	0.021391	0.0957742	0.28979	0.462469
a90	0.000360424	0.000254055	0.000233614	0.000294828	0.00100133	0.00460077	0.00557128	0.0109598	0.0138356	0.0125292	0.0109712	0.00960369	0.0140333	0.0772608	0.255738	0.582752
a70	0.000165097	0.000127936	0.000145272	0.000230311	0.001164	0.00600779	0.00702298	0.010142	0.0113775	0.0109496	0.00930643	0.00909365	0.0134555	0.0752666	0.278955	0.56659
a83	9.98241e-05	7.97478e-05	8.49744e-05	0.000153001	0.000992238	0.0046842	0.00525778	0.008607	0.0103537	0.00973606	0.00805465	0.00768353	0.0106291	0.0662029	0.244067	0.623315
a62	0.000163341	0.000117767	0.000116597	0.000192203	0.00103897	0.00491342	0.00552955	0.0104351	0.0119552	0.0115727	0.00976768	0.00773357	0.0103744	0.05846	0.229782	0.637848
a83	0.000466767	0.000405937	0.000428324	0.000662758	0.00309855	0.0110699	0.0126723	0.0222066	0.0244323	0.023488	0.0169551	0.0116201	0.0131708	0.0633009	0.203186	0.592836
a9	0.00043454	0.000361406	0.000339601	0.000533717	0.00168591	0.00540477	0.00594427	0.0110096	0.01215	0.0109046	0.008409	0.00687713	0.00894125	0.0520641	0.211802	0.663138
a10	0.00427261	0.00249369	0.00178421	0.00168402	0.00206488	0.00696294	0.00802536	0.0132383	0.0132711	0.00977632	0.00708803	0.00798373	0.0160196	0.103532	0.241328	0.560475
a9	0.0149542	0.00711851	0.00406678	0.00297168	0.00291782	0.00572737	0.00671728	0.0101381	0.011703	0.00950312	0.00925536	0.0186243	0.0486196	0.161474	0.26935	0.416859
a87	0.0548888	0.0341869	0.0194878	0.0115332	0.0127469	0.0187702	0.0223456	0.0285337	0.0347931	0.0301528	0.02931	0.0453861	0.0628165	0.141265	0.198205	0.255578
a23	0.0598166	0.0360153	0.0207052	0.0134003	0.0210122	0.0242494	0.0273344	0.0335797	0.0353201	0.0309509	0.0328812	0.0425311	0.0580782	0.103234	0.176761	0.28413
a87	0.0243544	0.0137636	0.0083008	0.00539018	0.00884314	0.0119587	0.0138795	0.0146588	0.0186711	0.0214674	0.0236834	0.0378946	0.0573863	0.132808	0.245134	0.361806
</S>	0.0103293	0.00738753	0.00488467	0.00371906	0.00532926	0.00573759	0.00632198	0.00562464	0.00766061	0.00839582	0.0105223	0.0202884	0.0398278	0.11005	0.278771	0.47515
