 	je	ne	comprends	pas	ce	que	tu	dis	tu	bredouilles	</S>
a38	0.0123268	0.0145968	0.0285558	0.0518878	0.081808	0.124313	0.125658	0.160989	0.161624	0.108108	0.130133
a14	0.0256921	0.0233566	0.0352051	0.0555707	0.0759716	0.108793	0.120116	0.147071	0.156599	0.112772	0.138852
a30	0.0155335	0.015711	0.0295554	0.0485524	0.0683663	0.0921192	0.0967531	0.145936	0.153308	0.142313	0.191852
a2	0.0291546	0.0268119	0.034983	0.0428944	0.0524303	0.0743519	0.0812796	0.125515	0.134623	0.142622	0.255334
a57	0.0105743	0.00819473	0.0140724	0.0242298	0.0347662	0.0548487	0.0689283	0.156222	0.244917	0.178663	0.204584
a87	0.0385868	0.0227511	0.0304235	0.0361473	0.0424799	0.0485559	0.0543252	0.114457	0.175227	0.183162	0.253884
a23	0.0377686	0.026195	0.0316891	0.0377549	0.0413758	0.0459821	0.0467349	0.0914851	0.125655	0.203731	0.311628
a54	0.0181383	0.0139736	0.0224622	0.0284254	0.0314488	0.032523	0.0312449	0.070248	0.0942674	0.216147	0.441121
a73	0.0296148	0.0187924	0.0278237	0.046745	0.0519641	0.0554094	0.054473	0.0611481	0.061049	0.132031	0.46095
a35	0.011997	0.0125863	0.0281197	0.0681648	0.0833783	0.0948387	0.0898446	0.102121	0.104702	0.114296	0.289952
a76	0.0112778	0.0113658	0.0218778	0.0516273	0.0803369	0.104012	0.102516	0.113551	0.111835	0.112588	0.279013
a25	0.0226186	0.021885	0.0367553	0.0616498	0.0850101	0.102153	0.0979611	0.114042	0.123165	0.112761	0.222
a94	0.00359549	0.00414468	0.00872742	0.0197848	0.0352277	0.0622942	0.0771539	0.134385	0.164306	0.146595	0.343787
a11	0.00428431	0.00448627	0.00917418	0.0169418	0.025244	0.040659	0.0554936	0.112233	0.160982	0.158064	0.412438
a75	0.00318414	0.0032038	0.00670655	0.0117599	0.0184281	0.0317399	0.0409397	0.100249	0.149788	0.165927	0.468073
a30	0.00589398	0.00631034	0.0138536	0.0231724	0.0345557	0.0480418	0.0537716	0.0985372	0.138784	0.148806	0.428274
a0	0.00430001	0.00470268	0.00959154	0.0141869	0.0187117	0.0289849	0.0370397	0.0931231	0.136523	0.166135	0.486701
a11	0.00192687	0.00193775	0.00494585	0.00907342	0.0129362	0.0196551	0.0256734	0.0774026	0.14149	0.182329	0.52263
a54	0.00273151	0.00275766	0.00657826	0.0108036	0.0146552	0.0213246	0.0274571	0.0828746	0.144852	0.182749	0.503217
a76	0.00468813	0.00482985	0.00980219	0.0138293	0.0180665	0.0258468	0.034872	0.0785844	0.135967	0.163262	0.510252
a35	0.00901919	0.0090355	0.0163287	0.0221584	0.0300133	0.0416367	0.053487	0.0902781	0.134015	0.17392	0.420108
a94	0.0035298	0.00357411	0.0082337	0.0128091	0.0162749	0.0194216	0.022756	0.0507728	0.0898885	0.139027	0.633713
a58	0.00221905	0.00193421	0.00455705	0.00717298	0.00949241	0.0123469	0.0155033	0.0542879	0.110903	0.16945	0.612133
a82	0.00375397	0.00295719	0.00673727	0.00835422	0.00991917	0.0120818	0.0163107	0.0620694	0.140359	0.203205	0.534253
a87	0.00846544	0.00613523	0.0129945	0.012091	0.0132239	0.0134694	0.016483	0.0542744	0.123035	0.208383	0.531445
</S>	0.0119565	0.00793071	0.014098	0.0144064	0.0140139	0.0127048	0.0142831	0.0466611	0.0981003	0.243541	0.522304
