 	la	bise	s'	est	mise	à	souffler	de	toute	sa	force	jusqu'	à	un	certain	temps	</S>
a94	0.00209144	0.00189954	0.00310553	0.00676167	0.00971061	0.0124157	0.00935757	0.0341887	0.0487261	0.0642472	0.101892	0.075868	0.0859811	0.101809	0.14334	0.144223	0.154383
a70	0.00105923	0.000951233	0.00152597	0.00310554	0.00521211	0.00723943	0.00469823	0.0283698	0.0417008	0.0574469	0.088409	0.0665926	0.0765337	0.0983296	0.158121	0.171553	0.189152
a11	0.000576929	0.00052452	0.000869351	0.00159652	0.00274171	0.00423188	0.00258926	0.0221104	0.0333078	0.0463993	0.0640866	0.0512168	0.0578179	0.0798962	0.155081	0.216553	0.2604
a66	0.000287845	0.000238925	0.000386674	0.000706185	0.001088	0.00155733	0.00113723	0.0118231	0.0187611	0.028628	0.0422488	0.0345768	0.0424354	0.0737235	0.180735	0.257978	0.303688
a70	0.00014784	0.000125953	0.000196455	0.000416689	0.000759684	0.00116718	0.00105299	0.0119825	0.0151386	0.0247674	0.0434126	0.0336221	0.0413805	0.0773079	0.202353	0.270486	0.275682
a34	0.000204148	0.000119776	0.000179536	0.000357386	0.000590628	0.000871163	0.000934349	0.00885377	0.0103914	0.0196718	0.040868	0.0331422	0.0457715	0.0847151	0.216718	0.265959	0.270653
a54	0.000116496	6.00736e-05	9.91671e-05	0.000198476	0.00027073	0.000369535	0.000368542	0.00421032	0.00523477	0.0115921	0.0278961	0.0256443	0.0409049	0.0943147	0.262546	0.271045	0.255129
a79	0.000297687	0.000203875	0.000407843	0.000772674	0.000848724	0.00107769	0.000794462	0.00697932	0.01015	0.0255663	0.0659496	0.048907	0.0608979	0.102666	0.187778	0.220077	0.266626
a54	0.000172413	0.000156544	0.000304394	0.000611717	0.000782063	0.000959489	0.00065872	0.00746454	0.0106332	0.028149	0.0707829	0.051002	0.0550034	0.0917701	0.192071	0.229539	0.259939
a44	0.000222599	0.000262509	0.000540225	0.00105172	0.00148415	0.00157353	0.000960015	0.00903884	0.0135485	0.0357923	0.0961095	0.0582915	0.0588894	0.087075	0.161835	0.197922	0.275403
a26	0.000125254	0.000106967	0.000201274	0.000414233	0.000534406	0.000587027	0.000380646	0.00495086	0.00647622	0.0181696	0.0523267	0.0369349	0.0412758	0.0739703	0.174477	0.254869	0.334201
a54	1.83828e-05	1.56817e-05	3.18961e-05	7.58686e-05	0.000103709	0.000128242	0.000108854	0.00183742	0.00207987	0.00576009	0.0209615	0.0148806	0.0220293	0.0561089	0.176825	0.288894	0.410141
a44	9.09831e-05	9.45085e-05	0.000201502	0.000462458	0.000699222	0.000693121	0.000404243	0.00507242	0.00611969	0.0185231	0.0605942	0.0356059	0.0362088	0.0639947	0.155822	0.241046	0.374367
a70	1.82629e-05	1.68763e-05	3.64868e-05	9.49556e-05	0.000118614	0.000112939	9.00694e-05	0.00133153	0.00164621	0.00529734	0.0199806	0.0135062	0.0181373	0.0438226	0.143913	0.276339	0.475537
a13	2.05165e-05	1.56319e-05	3.25999e-05	7.40901e-05	0.00010683	0.000111776	9.50254e-05	0.000954029	0.00107235	0.00347735	0.0136018	0.0116765	0.0167418	0.0405933	0.146761	0.292106	0.472559
a38	2.19026e-05	1.7539e-05	3.36381e-05	7.41673e-05	0.000123651	0.000117416	0.000115074	0.000956738	0.000951021	0.0027558	0.0128017	0.00886365	0.0122924	0.0264183	0.103627	0.271284	0.559546
a50	3.44411e-05	3.09816e-05	5.27239e-05	0.000110231	0.000202794	0.000197626	0.000177786	0.00117261	0.00105939	0.00269182	0.0123346	0.00832752	0.0111619	0.0211131	0.0856741	0.253697	0.601961
a62	5.85344e-05	6.59412e-05	0.000111239	0.000225091	0.000391749	0.0004131	0.000372298	0.00235912	0.00213203	0.00477905	0.0179868	0.0107517	0.0130597	0.0212919	0.0786557	0.24207	0.605276
a88	3.33641e-05	2.97459e-05	5.43572e-05	0.000114156	0.000180695	0.000189395	0.000168759	0.00156844	0.00172379	0.00420983	0.0145174	0.00906281	0.0123557	0.0255858	0.100527	0.252823	0.576856
a71	1.62029e-05	1.62814e-05	3.01128e-05	7.31269e-05	0.000127453	0.000146697	0.000135103	0.00141714	0.00149291	0.00344845	0.0121284	0.00681603	0.00888444	0.0183109	0.0815709	0.228551	0.636835
a9	7.01823e-05	7.22424e-05	0.000119269	0.000289634	0.000587023	0.000678065	0.000717511	0.00472274	0.00411906	0.0084647	0.0260763	0.01538	0.0169012	0.0218765	0.0714559	0.227969	0.600501
a3	0.00349599	0.00212377	0.00226161	0.00251772	0.00392363	0.00392618	0.00234969	0.00967638	0.00844037	0.0180552	0.0617987	0.0335486	0.0328038	0.0345384	0.0869647	0.211225	0.48235
a97	0.0631668	0.038154	0.0353444	0.0313	0.0380174	0.0293265	0.0153327	0.0237387	0.0219814	0.0365556	0.0715429	0.0511282	0.0485958	0.0464881	0.0757169	0.141438	0.232172
a10	0.0720994	0.0517821	0.0580286	0.0652257	0.0779231	0.0658854	0.033127	0.0390597	0.0368759	0.0461176	0.057433	0.0505278	0.0472885	0.0472146	0.0598307	0.086346	0.105235
a97	0.0533278	0.0451491	0.0562431	0.0804604	0.095734	0.085621	0.0404647	0.0479242	0.0454527	0.0442567	0.0468594	0.0448619	0.0464219	0.054731	0.0636457	0.0720195	0.076827
a87	0.0393403	0.0346103	0.0448005	0.0772523	0.0874275	0.0813479	0.0413014	0.0536868	0.0486722	0.0425975	0.0440168	0.0445656	0.0492831	0.066977	0.0736438	0.0808885	0.0895885
a23	0.0323165	0.031431	0.0390148	0.0696628	0.0782905	0.0744098	0.0410456	0.0657654	0.0582984	0.0491906	0.0432209	0.0461009	0.046838	0.0658256	0.0731541	0.0889185	0.0965165
a87	0.0294189	0.0195017	0.0216193	0.038727	0.0302525	0.0222232	0.016042	0.0574536	0.0528189	0.0556654	0.0566475	0.0731444	0.0643059	0.109202	0.110256	0.119848	0.122874
</S>	0.0339247	0.0296948	0.0324691	0.0572159	0.0459528	0.032745	0.0191473	0.0454516	0.0401558	0.0425569	0.0488628	0.0554547	0.051494	0.0913904	0.0978979	0.128579	0.147007
