 	cette	fille	est	calme	si	bien	qu'	il	te	faut	la	prendre	en	mariage	</S>
a97	0.00889315	0.00708497	0.00941057	0.0200873	0.0764027	0.0832019	0.0833881	0.120712	0.120694	0.104358	0.0756099	0.0635387	0.0620304	0.0725079	0.0920803
a87	0.0124349	0.00789073	0.0106725	0.0224765	0.0674184	0.0709925	0.0666778	0.0957655	0.104869	0.104736	0.0919159	0.086973	0.0781941	0.0829012	0.0960821
a97	0.0217461	0.0131784	0.0212534	0.0455384	0.0837158	0.0750651	0.0628273	0.0737429	0.0764724	0.0878674	0.0979476	0.109089	0.0838408	0.0739565	0.0737592
a82	0.0156777	0.0107274	0.019466	0.035395	0.0560842	0.048593	0.0401366	0.0496456	0.0559709	0.0824235	0.133473	0.17957	0.115686	0.0846051	0.0725464
a62	0.0225464	0.0129409	0.0219981	0.03775	0.0573939	0.0443154	0.036325	0.0487277	0.057632	0.0903988	0.144862	0.177324	0.107713	0.0766375	0.0634347
a5	0.00168256	0.00191772	0.00475926	0.0135119	0.0260175	0.0221375	0.0186158	0.0230328	0.0261813	0.0419037	0.0733263	0.118358	0.172993	0.215265	0.240297
a79	0.00480609	0.00435001	0.00751113	0.0195923	0.0367606	0.0304063	0.0257487	0.0297745	0.0334191	0.0493004	0.0709089	0.0850654	0.139325	0.206857	0.256175
a44	0.00205082	0.00287559	0.00487626	0.0143516	0.0334411	0.030888	0.0311917	0.0385791	0.0409132	0.0522841	0.0732998	0.0939705	0.141918	0.196481	0.242879
a93	0.00201778	0.00342474	0.00657285	0.0221287	0.0476843	0.0399064	0.0369566	0.0434657	0.0449098	0.0527618	0.0701419	0.105844	0.160446	0.1737	0.19004
a90	0.00199139	0.00376843	0.0080508	0.0285428	0.0560419	0.0469289	0.0443949	0.0475353	0.0473404	0.0493945	0.0615248	0.095669	0.158524	0.168776	0.181517
a79	0.000798858	0.00166088	0.0040389	0.0188576	0.0523322	0.0466007	0.0447882	0.0498436	0.0487968	0.0508162	0.0599645	0.0889764	0.164774	0.176728	0.191023
a44	0.000551542	0.00115068	0.00287643	0.0142231	0.0480899	0.0450026	0.0427662	0.0515778	0.0491855	0.0518054	0.0598449	0.0870908	0.154913	0.177735	0.213187
a40	0.000406682	0.00075806	0.00166967	0.00811533	0.030335	0.0301102	0.0297006	0.0377335	0.0366013	0.037009	0.0426378	0.0738138	0.172762	0.22196	0.276387
a98	0.000532332	0.000915771	0.00198129	0.00761672	0.0348363	0.0326927	0.0321506	0.0496161	0.0457741	0.0445739	0.0491342	0.0748921	0.15521	0.193982	0.276091
a47	0.00032676	0.000599684	0.00133416	0.0053023	0.028917	0.027928	0.0267161	0.0428919	0.0369638	0.0372487	0.0407756	0.0607919	0.136621	0.207893	0.345691
a79	0.00010884	0.000211067	0.000486443	0.0021362	0.0157969	0.0160711	0.0145718	0.0280447	0.0217042	0.0217554	0.0256222	0.0439814	0.110081	0.219515	0.479913
a15	0.000304489	0.000438526	0.000830898	0.00285497	0.0154203	0.0148828	0.0143393	0.0266112	0.0238278	0.0243534	0.0306173	0.0566416	0.13444	0.223823	0.430614
a69	0.000174809	0.000213254	0.000379419	0.00109968	0.00654462	0.00641191	0.0062525	0.0136982	0.0117764	0.0133571	0.0194504	0.0415142	0.0994282	0.210882	0.568817
a15	0.000662674	0.00052023	0.000609572	0.00131311	0.00548377	0.00474908	0.00471256	0.00958273	0.00829511	0.00946464	0.0131846	0.030769	0.0872083	0.206703	0.616742
a47	0.00073375	0.000434742	0.000431715	0.000763185	0.00295038	0.00243043	0.0022808	0.00459693	0.00409028	0.00592255	0.0117303	0.0357404	0.093106	0.225779	0.60901
a37	0.000483254	0.000457037	0.000614689	0.0014326	0.00687209	0.00608643	0.00536116	0.010083	0.0086703	0.011301	0.0180132	0.0428246	0.0865549	0.206969	0.594277
a98	0.00106076	0.000803093	0.000758779	0.0013007	0.0047812	0.00390844	0.00379648	0.0088316	0.00838537	0.0112594	0.0181066	0.0455923	0.0891443	0.20089	0.601381
a15	0.000163222	0.000187805	0.000258407	0.000632743	0.00346407	0.00312197	0.00294378	0.00678045	0.00590743	0.00785366	0.0121513	0.0283047	0.0690639	0.196367	0.662799
a7	0.00110198	0.00098532	0.00117148	0.00266808	0.0117182	0.0087636	0.00720754	0.0148715	0.0138287	0.0166254	0.0220391	0.0444169	0.0868836	0.191898	0.575821
a26	0.00102537	0.000858608	0.000815021	0.00140758	0.00508919	0.00431716	0.00402229	0.00846189	0.00827868	0.00997953	0.01646	0.0421053	0.0898207	0.203218	0.60414
a57	0.0145663	0.00699722	0.00645071	0.00924527	0.0218875	0.0204417	0.0199933	0.0378388	0.0400591	0.0404133	0.0467245	0.0900752	0.132278	0.19374	0.31929
a97	0.0460489	0.0183375	0.0151031	0.0149847	0.0245281	0.0241344	0.0264964	0.0458595	0.0438753	0.0436889	0.0496312	0.0913559	0.133167	0.180676	0.242113
a99	0.0565193	0.0222744	0.0170028	0.0145061	0.0245464	0.0263168	0.0338092	0.0559762	0.0538327	0.0616768	0.0664478	0.0941231	0.12856	0.161446	0.182962
a97	0.0383956	0.0137113	0.00976416	0.00848543	0.0167344	0.0201564	0.0254213	0.0371505	0.033958	0.0403901	0.0433914	0.0600089	0.0931151	0.192463	0.366854
a3	0.0373684	0.0166455	0.0135978	0.0164311	0.0351345	0.03457	0.0405464	0.05255	0.0479531	0.0522419	0.0504422	0.0642074	0.0935216	0.160064	0.284726
a97	0.0487149	0.0267244	0.0283044	0.0382388	0.0530155	0.0484513	0.0529156	0.0579327	0.0556909	0.0613906	0.0573011	0.0614371	0.0703092	0.116003	0.22357
a99	0.0389419	0.0227555	0.0265925	0.0357285	0.0440202	0.0412801	0.0445687	0.0465692	0.0462084	0.0543185	0.0546508	0.0614348	0.0768732	0.131414	0.274643
a97	0.0312927	0.0161162	0.0183336	0.0231031	0.028023	0.0276959	0.0302419	0.0324774	0.0311774	0.0395449	0.0418522	0.0487859	0.0811586	0.163781	0.386416
a87	0.0380704	0.0218787	0.0241133	0.0252802	0.0264636	0.0270248	0.0319208	0.0336427	0.0332412	0.0405572	0.0441175	0.0528813	0.0816406	0.155943	0.363225
a97	0.0509286	0.0313898	0.0356254	0.0361616	0.0347177	0.0347882	0.0405639	0.0398987	0.0409611	0.0487124	0.0512711	0.0585859	0.0825141	0.137786	0.276095
a87	0.0433976	0.0247048	0.0275875	0.0271034	0.0273589	0.0276132	0.0314883	0.0317862	0.0318026	0.0404039	0.0448438	0.0533351	0.0829185	0.154923	0.350733
a97	0.0469703	0.0305615	0.0336942	0.0334905	0.0333616	0.0331397	0.0378585	0.0379079	0.0389453	0.046786	0.0514726	0.0628709	0.0874105	0.143343	0.282187
</S>	0.0709832	0.0446727	0.0487649	0.0399997	0.0359261	0.0363117	0.0424145	0.0417121	0.0436952	0.053116	0.0587928	0.0703475	0.0845709	0.122842	0.20585
