 	quand	j'	irai	en	ville	j'	accepterai	n'	importe	quel	emploi	</S>
a24	0.00133681	0.00129676	0.00179023	0.00328676	0.00656229	0.0100893	0.0135084	0.0311682	0.0577152	0.142857	0.31671	0.413679
a31	0.00101047	0.000976743	0.00125329	0.00196553	0.00336666	0.00506537	0.00739641	0.0192498	0.0372831	0.115823	0.334954	0.471656
a21	0.000980305	0.000882657	0.00136578	0.00272414	0.00495832	0.00685439	0.009833	0.0269348	0.0479713	0.141963	0.32227	0.433263
a5	0.000580168	0.000527389	0.000858628	0.00173482	0.00312574	0.00435928	0.0068832	0.0206074	0.0347006	0.112885	0.314232	0.499506
a37	0.000407539	0.000397364	0.000748851	0.00156842	0.00293896	0.00388211	0.00576116	0.0163358	0.0283181	0.104101	0.310852	0.524689
a75	0.000423261	0.00042908	0.000680457	0.00114998	0.00198481	0.00235744	0.00333459	0.00952192	0.0172513	0.074023	0.281044	0.6078
a36	0.000145514	0.000205552	0.000566974	0.00117658	0.00298599	0.00364729	0.0045442	0.0131318	0.0188065	0.0756499	0.257048	0.622091
a2	0.000104579	0.000136425	0.000291552	0.000516093	0.00101726	0.00103242	0.00133852	0.003631	0.00584173	0.0366425	0.232419	0.717029
a57	0.00189056	0.00145141	0.00163196	0.00169948	0.0022404	0.00266694	0.00825123	0.021574	0.0342067	0.0947799	0.256212	0.573395
a13	0.0198631	0.009111	0.00726592	0.00608237	0.00807515	0.00804057	0.0216852	0.0507078	0.0754969	0.15168	0.25526	0.386732
a54	0.0122738	0.00728293	0.00749092	0.00656141	0.00831532	0.00899546	0.0170767	0.0376673	0.0576632	0.133371	0.275361	0.427941
a5	8.41755e-05	0.000108532	0.000299076	0.000357694	0.000525068	0.000485684	0.000912141	0.00439115	0.00789462	0.0463593	0.25445	0.684132
a36	7.29124e-05	8.42561e-05	0.00019802	0.000335733	0.000646592	0.000766386	0.00142	0.00528589	0.0102828	0.0495443	0.255658	0.675705
a18	7.92019e-05	9.7224e-05	0.000207472	0.000277228	0.000466261	0.000441978	0.000694571	0.00245912	0.00542282	0.0334545	0.217797	0.738602
a71	0.00151044	0.00126653	0.00183184	0.00139419	0.00193918	0.00226089	0.00732436	0.015109	0.0217282	0.0727521	0.220058	0.652825
a93	0.00987259	0.00713521	0.00851821	0.00632181	0.00846938	0.00993446	0.0322271	0.0507109	0.0519891	0.12396	0.227031	0.46383
a70	0.000812698	0.000715009	0.00106779	0.000905736	0.00128863	0.0018484	0.00625637	0.0194073	0.0318522	0.0861204	0.259283	0.590442
a94	0.000626032	0.000574307	0.000907086	0.000985466	0.00166802	0.00219278	0.00604313	0.0175223	0.0310448	0.092536	0.249153	0.596747
a96	0.000274884	0.000221068	0.000338792	0.000432675	0.000785788	0.00108362	0.00270431	0.008922	0.0169778	0.0605195	0.246599	0.661141
a66	0.000362113	0.00032861	0.000567466	0.000749734	0.00123785	0.00149514	0.00329537	0.01017	0.0205428	0.067	0.249132	0.645119
a50	0.000975394	0.00110192	0.00194196	0.00189211	0.00277022	0.00329653	0.00786778	0.0143779	0.02467	0.0693454	0.210396	0.661365
a18	0.00168098	0.0021207	0.00360553	0.00376203	0.00538571	0.00596537	0.0107975	0.0189861	0.0359587	0.0911059	0.218655	0.601977
a27	0.0025909	0.00289965	0.00504831	0.0047391	0.00650585	0.00741232	0.0169292	0.0272457	0.0391357	0.0903222	0.219235	0.577937
a82	0.0179972	0.0133042	0.0164883	0.013668	0.0194973	0.018972	0.0496458	0.0682143	0.072311	0.119731	0.194855	0.395316
a87	0.109993	0.0524946	0.0315031	0.0221989	0.0296795	0.0283477	0.067499	0.0679707	0.0677579	0.0972927	0.151381	0.273881
</S>	0.141897	0.0925538	0.0467364	0.0433558	0.0565953	0.051282	0.0831665	0.0749615	0.0841109	0.0991424	0.10672	0.119479
