 	nyasoni	a	du	mal	à	préparer	pour	son	mari	car	celui-ci	n'	aime	pas	manger	certains	repas	</S>
a62	0.000733152	0.00107413	0.00232322	0.00527121	0.0101405	0.0248874	0.0318136	0.0442739	0.0428463	0.0455861	0.0445414	0.0427585	0.0348706	0.0384296	0.0646671	0.135381	0.208538	0.221864
a61	0.0004896	0.000796313	0.001968	0.00494444	0.00875417	0.0209837	0.0272775	0.0397405	0.0384464	0.0441735	0.0417173	0.0420172	0.0338508	0.0371468	0.0587291	0.129799	0.218957	0.250208
a34	0.000565782	0.000925647	0.00237969	0.0065	0.0117094	0.0269868	0.0343412	0.0485169	0.0475658	0.0561764	0.0500939	0.047961	0.0372141	0.0390759	0.0594206	0.122621	0.193464	0.214482
a79	0.000624705	0.000858963	0.00190365	0.00505689	0.00937243	0.0225984	0.0293046	0.043934	0.0425235	0.0549794	0.049558	0.0503898	0.0396324	0.043465	0.0610596	0.127054	0.198841	0.218844
a56	0.000402277	0.000511694	0.00102072	0.00253428	0.00526048	0.0144709	0.0192718	0.0318483	0.0290555	0.0391143	0.0333234	0.0395597	0.030358	0.0371298	0.054839	0.121199	0.219209	0.320893
a62	0.000494105	0.000622971	0.00115063	0.00276961	0.00613689	0.0167568	0.021566	0.0343377	0.0314367	0.0402549	0.035792	0.0407396	0.0307557	0.0361903	0.0538351	0.122834	0.209783	0.314543
a0	0.000791175	0.000875819	0.00183225	0.00475561	0.00807085	0.0164432	0.0221897	0.034842	0.0293788	0.0377803	0.0287332	0.0286848	0.0188331	0.023887	0.0365425	0.0928677	0.215718	0.397774
a24	0.0011374	0.0013694	0.00264002	0.00637618	0.00992857	0.01715	0.025238	0.0364831	0.0329757	0.0366907	0.0252668	0.0224537	0.0171254	0.0227243	0.0451023	0.118859	0.206806	0.371673
a88	0.00136498	0.00156215	0.00249177	0.00484593	0.00796921	0.0156072	0.0218162	0.0297154	0.0270665	0.0299446	0.0230023	0.0218548	0.020213	0.0271849	0.0522756	0.137108	0.218178	0.357799
a61	0.000974016	0.00113857	0.00201499	0.00379271	0.00649254	0.0132617	0.0181842	0.0270114	0.0231007	0.0260366	0.0182158	0.0167245	0.0132571	0.0183956	0.0372996	0.116668	0.235043	0.422389
a21	0.00050589	0.00050263	0.000905083	0.00239053	0.00472845	0.0106263	0.0137352	0.0219307	0.0183356	0.0257094	0.0203592	0.0232142	0.0178826	0.0266104	0.0438573	0.12259	0.241596	0.40452
a85	0.000404263	0.00040439	0.000691004	0.00165167	0.00322052	0.00740739	0.00919772	0.0145391	0.0119596	0.0160497	0.0133296	0.0156773	0.0126622	0.0192628	0.0368319	0.124852	0.253091	0.458768
a6	0.000146204	0.000150087	0.000231558	0.000527159	0.000983728	0.00202152	0.00277083	0.00487584	0.00425998	0.00647881	0.00517437	0.00739768	0.00527205	0.00941189	0.019842	0.0892658	0.272109	0.569082
a36	0.000269478	0.0002429	0.000364489	0.000697351	0.00142968	0.00375335	0.00518783	0.00920391	0.0078863	0.0114159	0.0077802	0.0100287	0.00680047	0.0104032	0.0226945	0.090321	0.246455	0.565066
a2	0.00186834	0.00208078	0.00292861	0.00458729	0.00720531	0.0120602	0.0147469	0.0216247	0.0183762	0.0186577	0.0136699	0.0123693	0.0073118	0.0097972	0.0298497	0.110281	0.246686	0.465899
a10	0.0382958	0.0333391	0.0367531	0.0310123	0.0291734	0.0323379	0.034494	0.0356989	0.0335123	0.0291264	0.0297525	0.0312454	0.0297289	0.0378083	0.0787581	0.127808	0.151135	0.180021
a87	0.0787921	0.0366402	0.0315381	0.0209748	0.0229843	0.0252412	0.0242655	0.0259768	0.0241518	0.024749	0.0278288	0.0366804	0.0461007	0.0680688	0.103959	0.120827	0.134243	0.146979
a23	0.102895	0.027427	0.0180103	0.0144229	0.0213959	0.0302272	0.029684	0.0326186	0.028911	0.028286	0.0322044	0.0466976	0.0663035	0.0827048	0.104061	0.0938439	0.111904	0.128403
a99	0.0254412	0.00773525	0.00508854	0.00311934	0.00511743	0.00588331	0.00455272	0.00591009	0.0044824	0.00425782	0.00565723	0.0123789	0.0161908	0.0363128	0.0998185	0.156441	0.248506	0.353107
a97	0.0194919	0.00794126	0.00701118	0.00625468	0.0111948	0.0106453	0.00829726	0.00956442	0.0069761	0.0064773	0.00748902	0.0140387	0.0159286	0.0278574	0.0639302	0.124129	0.244687	0.408085
</S>	0.0155981	0.0049463	0.00471793	0.00638517	0.0107804	0.0103016	0.0092169	0.0105009	0.00824332	0.00766325	0.00695943	0.0103334	0.0108218	0.0133681	0.0275226	0.0718243	0.241127	0.52969
