 	prenez	quelque	chose	pour	vous	en	servir	au	besoin	</S>
a32	0.0269446	0.0333211	0.0310588	0.0402797	0.0433226	0.0798275	0.109514	0.15577	0.204237	0.275725
a75	0.0274547	0.0276919	0.0232869	0.0256951	0.0266611	0.0554844	0.0890374	0.161517	0.237218	0.325953
a12	0.0263074	0.0244238	0.0214965	0.0239629	0.0256334	0.059602	0.114052	0.18053	0.22794	0.296051
a18	0.0389125	0.0270899	0.025116	0.0262911	0.024048	0.0435723	0.086463	0.163483	0.236364	0.328661
a75	0.0197374	0.0160419	0.0160111	0.020092	0.0179159	0.0258133	0.0601311	0.163579	0.284732	0.375947
a73	0.0238636	0.0183368	0.0154948	0.0154282	0.0134028	0.0248643	0.0659305	0.167695	0.260066	0.394918
a69	0.00808597	0.0101026	0.0098029	0.0129892	0.0148977	0.0306584	0.0812313	0.192553	0.270491	0.369188
a76	0.014418	0.0163119	0.0166622	0.0179377	0.019331	0.0334916	0.0815964	0.205991	0.257748	0.336512
a73	0.0301745	0.0258258	0.0248539	0.0237793	0.0200577	0.0305973	0.0722834	0.172168	0.251463	0.348797
a2	0.00708045	0.00950025	0.0102552	0.0139139	0.0158838	0.0286985	0.0681362	0.178705	0.280304	0.387522
a57	0.00341242	0.0042538	0.00570858	0.00938269	0.0115367	0.0200269	0.0560014	0.17227	0.308305	0.409103
a53	0.00424003	0.00366748	0.00571739	0.00927668	0.0113895	0.0183311	0.0455646	0.142729	0.29938	0.459704
a90	0.0168838	0.0114206	0.0125063	0.0117837	0.0110999	0.0185037	0.0450734	0.126471	0.246108	0.50015
a13	0.0143956	0.00895628	0.0116295	0.0126995	0.0107586	0.0154668	0.0285563	0.105874	0.256236	0.535427
a38	0.00581575	0.0040525	0.00495424	0.0069089	0.00832854	0.0157117	0.0337942	0.115037	0.266768	0.538629
a24	0.00772206	0.00519672	0.00713081	0.00830169	0.00675056	0.00960192	0.0181262	0.0898252	0.270542	0.576802
a9	0.00603156	0.00323711	0.00481943	0.00559712	0.00390483	0.00526454	0.00977421	0.0823838	0.285564	0.593423
a27	0.00189443	0.0013784	0.0016331	0.00269176	0.00366317	0.00710471	0.0169316	0.108223	0.318156	0.538324
a54	0.00230106	0.00123134	0.00138666	0.00173271	0.00192232	0.00370827	0.00914922	0.0795162	0.287635	0.611417
a73	0.00318623	0.00204999	0.00293138	0.00352308	0.00279207	0.00434755	0.00932493	0.090648	0.297351	0.583846
a44	0.00275891	0.00228877	0.00355475	0.00514028	0.00473565	0.00606137	0.0163139	0.107628	0.313438	0.538081
a13	0.00317436	0.00281273	0.0038062	0.00592412	0.00681329	0.010133	0.0214641	0.0986499	0.282388	0.564834
a38	0.00239319	0.00189542	0.002426	0.00389356	0.00461849	0.00692353	0.0146334	0.0805026	0.274691	0.608022
a13	0.00639274	0.00467792	0.00622009	0.00860201	0.00830461	0.0105387	0.0197961	0.100411	0.287611	0.547446
a9	0.00610815	0.00422461	0.00567338	0.00780878	0.00760293	0.00977341	0.0159617	0.0892615	0.280081	0.573505
a87	0.00232784	0.00156892	0.00198339	0.00260279	0.00292006	0.00475031	0.00958079	0.0948581	0.298632	0.580776
</S>	0.00251377	0.00199279	0.00211375	0.00183612	0.00216549	0.00480383	0.0150922	0.116726	0.307611	0.545145
