 	les	danseurs	de	kyebé-kyebé	obtiennent	un	rythme	en	battant	la	main	sur	le	bras	gauche	plié	</S>
a62	0.0179255	0.0178036	0.0349471	0.0657112	0.0877896	0.123162	0.129532	0.171219	0.140621	0.0649195	0.041014	0.0287934	0.0202076	0.0146293	0.0144125	0.0145099	0.0128019
a61	0.0101811	0.00988238	0.0202772	0.0403179	0.070305	0.0936324	0.113911	0.168822	0.159707	0.0901665	0.060767	0.0454656	0.0331785	0.0246746	0.0214974	0.0192972	0.0179173
a47	0.00636431	0.00612224	0.012586	0.0239289	0.0499473	0.0764249	0.107029	0.181722	0.184412	0.109422	0.0712701	0.0509477	0.0358809	0.0252638	0.0207674	0.0190717	0.0188403
a88	0.0095252	0.0100294	0.0194971	0.0298986	0.0506808	0.0783078	0.0955738	0.155383	0.165854	0.113479	0.079881	0.0607919	0.0421257	0.0297158	0.0226063	0.0192519	0.0173987
a62	0.00427065	0.00457682	0.00988204	0.0159791	0.0342311	0.0644898	0.0954344	0.169791	0.17649	0.133316	0.0977573	0.0695159	0.0449272	0.0263002	0.0184811	0.0164713	0.0180856
a21	0.00489488	0.0051215	0.0096879	0.0140646	0.0323014	0.0548024	0.0821855	0.140212	0.158728	0.125428	0.0921374	0.0742163	0.0598587	0.0455001	0.034447	0.0323729	0.0340411
a12	0.00462292	0.00493375	0.00863522	0.0114943	0.0265515	0.0393174	0.0581701	0.108791	0.138434	0.123217	0.107779	0.094209	0.0856114	0.0660775	0.0479083	0.0380856	0.0361619
a18	0.00278183	0.00297315	0.00493461	0.00669642	0.0147304	0.0273387	0.0503976	0.109498	0.137678	0.136516	0.120625	0.103608	0.0918187	0.0659779	0.0473847	0.0386507	0.038391
a98	0.00207158	0.00256444	0.00380524	0.00418839	0.0070547	0.0211138	0.0440692	0.108222	0.130419	0.147056	0.145951	0.118057	0.0893585	0.0505628	0.0359797	0.0352517	0.0542747
a47	0.00146256	0.00173144	0.0021059	0.00181305	0.00317967	0.00783786	0.0180447	0.0497531	0.0688393	0.104118	0.0949814	0.0870459	0.0922604	0.09229	0.0909941	0.124634	0.158909
a37	0.00166861	0.00158594	0.00149738	0.00117469	0.00189158	0.00464202	0.00990442	0.0306969	0.0477105	0.0951037	0.0930123	0.0883379	0.0986854	0.0960742	0.0897911	0.128016	0.210208
a21	0.0015467	0.00160285	0.00164721	0.0014545	0.0019732	0.00449364	0.00985077	0.0308081	0.0453928	0.0888667	0.0961496	0.0964432	0.105893	0.105762	0.103681	0.124557	0.179878
a85	0.00129118	0.00120517	0.00137737	0.00144369	0.00209892	0.00325447	0.00687904	0.0202576	0.0335154	0.0562974	0.070311	0.0791101	0.106771	0.125928	0.141108	0.173443	0.175708
a47	0.00100225	0.000834517	0.000830809	0.000704517	0.000854529	0.00168631	0.00377436	0.013201	0.023169	0.0498275	0.0560002	0.0619639	0.0892078	0.11105	0.127504	0.198827	0.259562
a36	0.000647955	0.000586782	0.000434775	0.00028808	0.00042656	0.00110682	0.00291638	0.0122527	0.0209759	0.0533286	0.0575686	0.0611083	0.0854253	0.103183	0.136824	0.205959	0.256968
a7	0.00123212	0.00110836	0.00089862	0.000661144	0.000771417	0.00170906	0.00323148	0.00993659	0.0150853	0.0401414	0.06245	0.0674727	0.0849876	0.0763421	0.106782	0.194695	0.332495
a93	0.00131122	0.001029	0.000790195	0.000626991	0.000785709	0.00150089	0.00249932	0.00599332	0.00811579	0.0195575	0.0331365	0.035939	0.0494316	0.0462206	0.0815031	0.206083	0.505476
a44	0.000698344	0.000609865	0.000504303	0.000364012	0.00048868	0.00105724	0.00161112	0.00382533	0.00549007	0.0177655	0.0356155	0.0394947	0.0559247	0.0614849	0.110866	0.225532	0.438668
a13	0.000489561	0.000469449	0.00040292	0.000274649	0.000384918	0.000959385	0.0014456	0.00317518	0.00422384	0.0124605	0.0239176	0.0269587	0.0382961	0.043022	0.091491	0.223677	0.528351
a57	0.000332772	0.000361818	0.000322054	0.000186422	0.000276787	0.000765744	0.00122989	0.00211948	0.00256928	0.00804886	0.0132024	0.016038	0.024513	0.0301304	0.0790353	0.207711	0.613157
a9	0.00149542	0.00140731	0.00110241	0.000916255	0.00116704	0.0027077	0.00403875	0.00510249	0.00608766	0.0163196	0.024398	0.0302783	0.0441363	0.0476595	0.103403	0.187496	0.522284
a3	0.0255698	0.0184267	0.010595	0.0119524	0.0122795	0.0196812	0.0320528	0.0393174	0.0475621	0.0836608	0.0784695	0.0765842	0.0863465	0.0743583	0.0936703	0.100134	0.189339
a87	0.0829171	0.0617555	0.0397078	0.035362	0.0358135	0.03413	0.0599433	0.0522082	0.0605825	0.0773592	0.0789957	0.0536775	0.0640786	0.0569392	0.0645334	0.061246	0.0807507
a97	0.0469156	0.0443285	0.0279229	0.017574	0.024765	0.0315396	0.054926	0.0600595	0.0697984	0.103118	0.0991174	0.0626284	0.0721903	0.0695355	0.0697432	0.0728332	0.0730046
a99	0.0289362	0.0280239	0.0204975	0.014856	0.0187917	0.0273111	0.06186	0.0763797	0.0859578	0.108512	0.0995636	0.0608113	0.068848	0.0732493	0.0713534	0.080242	0.0748063
a97	0.0142408	0.0128894	0.00707965	0.0055362	0.00916537	0.0154444	0.0464778	0.061734	0.0781914	0.0934526	0.085037	0.0569485	0.0702559	0.0881134	0.0940062	0.126037	0.13539
a87	0.0127986	0.0111681	0.00705437	0.00610041	0.0111875	0.0188394	0.0468342	0.0596153	0.0739074	0.0851713	0.0757612	0.0479189	0.0605369	0.072809	0.084103	0.138817	0.187377
a23	0.0290932	0.0277758	0.0222391	0.0218003	0.0329541	0.0458741	0.0904124	0.085232	0.0954172	0.0898551	0.072911	0.0433061	0.0487278	0.0504131	0.0532371	0.0798739	0.110878
a87	0.011808	0.00918274	0.00525858	0.00593445	0.0155446	0.0219932	0.053563	0.0589599	0.080783	0.102315	0.0718026	0.0543146	0.0697322	0.0864949	0.0891132	0.112863	0.150337
</S>	0.0115021	0.00884382	0.00541905	0.00628432	0.0142823	0.0163239	0.0377688	0.0420303	0.0655336	0.0748464	0.0549176	0.0443437	0.0581228	0.0809626	0.0927729	0.158365	0.227681
