 	les	champignons	mous	pourrissent	dans	la	forêt	car	ils	sont	incomestibles	</S>
a7	0.0240433	0.0498928	0.123138	0.161993	0.174586	0.157257	0.132473	0.0868274	0.0308084	0.0157061	0.018391	0.0248839
a90	0.0188212	0.0373624	0.138101	0.213872	0.168062	0.137683	0.111425	0.0768932	0.0278836	0.0175236	0.0209702	0.031402
a15	0.0130271	0.0286005	0.109864	0.148837	0.151464	0.143955	0.128436	0.0945634	0.0507223	0.0337081	0.041215	0.0556082
a79	0.00663457	0.01721	0.107254	0.189162	0.163566	0.151129	0.122227	0.070739	0.0497893	0.0328788	0.037361	0.0520492
a56	0.00758331	0.0212831	0.134931	0.236111	0.158045	0.133371	0.109157	0.0654594	0.0429692	0.025501	0.0278569	0.0377318
a98	0.00545118	0.0124899	0.101005	0.221071	0.139888	0.136464	0.112094	0.0636286	0.0469956	0.0348261	0.049312	0.0767734
a47	0.00363314	0.00979838	0.0812424	0.201401	0.141377	0.141835	0.119972	0.0615707	0.0616607	0.0474791	0.0520212	0.0780098
a7	0.00531606	0.011817	0.0791522	0.192791	0.142719	0.146814	0.126628	0.0705168	0.0530321	0.0350489	0.0464206	0.0897448
a69	0.00510791	0.00948369	0.0791871	0.21471	0.153481	0.157582	0.12306	0.0614782	0.0423227	0.0274635	0.0441333	0.0819912
a58	0.00615926	0.0103077	0.0604851	0.143675	0.118905	0.128024	0.118264	0.0741256	0.0745626	0.0557644	0.0757794	0.133948
a84	0.0224555	0.0276515	0.0920096	0.203706	0.148212	0.161347	0.114159	0.0547171	0.0473132	0.0263584	0.0362245	0.0658467
a87	0.0431856	0.0586902	0.120258	0.177364	0.118068	0.106784	0.0750918	0.0441053	0.0379506	0.0374423	0.0707519	0.110308
a10	0.0714097	0.0469785	0.0488157	0.0489901	0.0546173	0.0671033	0.0754107	0.0901987	0.094715	0.108727	0.115621	0.177413
a83	0.0623948	0.0392288	0.0401228	0.024371	0.0406568	0.0531643	0.0711301	0.109847	0.124276	0.159896	0.114181	0.160731
a54	0.00780332	0.00621278	0.0162502	0.0163406	0.0253595	0.0362726	0.0508625	0.0770441	0.123771	0.234205	0.151019	0.254859
a7	0.00203156	0.00478836	0.0332741	0.0381473	0.0548332	0.0548147	0.0487549	0.038727	0.0581439	0.150316	0.238205	0.277964
a98	0.00280604	0.00731856	0.0382996	0.0531507	0.0643219	0.0648355	0.0617249	0.0424937	0.0631925	0.152426	0.207797	0.241634
a47	0.0029685	0.00773183	0.0467199	0.0694642	0.0801724	0.080032	0.0703374	0.0445009	0.0588478	0.111319	0.200828	0.227078
a85	0.00168459	0.004669	0.0387121	0.0652943	0.0677509	0.0730402	0.059312	0.0329815	0.0598198	0.144763	0.214833	0.237139
a6	0.00169718	0.00447014	0.026991	0.0470994	0.0466454	0.0475089	0.0411304	0.024991	0.0477828	0.129252	0.279792	0.302639
a5	0.00183833	0.00529323	0.0414316	0.0655663	0.0613106	0.0608677	0.0530144	0.0316798	0.0656793	0.155019	0.233149	0.225152
a61	0.00204734	0.00333863	0.02692	0.0642989	0.0534006	0.0612489	0.0554731	0.0362843	0.0707293	0.15766	0.231261	0.237338
a34	0.00258658	0.00393113	0.0250548	0.0732725	0.0570181	0.0666986	0.057409	0.0355781	0.0615286	0.134839	0.222325	0.259759
a79	0.00275339	0.00400628	0.0195781	0.0556273	0.0434534	0.0555676	0.0500495	0.0337256	0.0624611	0.147284	0.258401	0.267092
a37	0.00173441	0.00286756	0.0128011	0.0355631	0.0245704	0.0302444	0.0243885	0.013969	0.0339974	0.105985	0.284517	0.429362
a75	0.00229774	0.00338819	0.0127449	0.0307843	0.0214123	0.0251926	0.0206614	0.0117	0.0330068	0.104273	0.288724	0.445815
a47	0.000549766	0.000950482	0.00529764	0.0140458	0.0143501	0.0207564	0.0207873	0.0136545	0.0392743	0.10698	0.287876	0.475478
a36	0.000300409	0.000491324	0.0046897	0.0179761	0.0136431	0.0206379	0.0177739	0.0104473	0.0282767	0.0879248	0.245849	0.55199
a7	0.0113998	0.0106533	0.0277653	0.0453978	0.0301467	0.0267909	0.0176038	0.00849968	0.0331707	0.105087	0.250999	0.432485
a36	0.0091506	0.0072939	0.0137219	0.0186581	0.0151948	0.0147071	0.01152	0.00769333	0.0309746	0.119055	0.291703	0.460328
a2	0.0200601	0.0149945	0.0225474	0.02517	0.022066	0.0220213	0.0175714	0.0117593	0.0447339	0.148016	0.28562	0.36544
a57	0.049424	0.0362734	0.0612067	0.0481751	0.0430987	0.0432979	0.0370684	0.0236818	0.0739305	0.129689	0.177921	0.276233
a87	0.0688443	0.0317912	0.0475319	0.0260744	0.0368981	0.0486112	0.0578616	0.0498892	0.109545	0.147619	0.156082	0.219252
a23	0.0483521	0.0266812	0.0403432	0.0181476	0.037319	0.0511543	0.0727564	0.074486	0.131664	0.175204	0.137465	0.186427
a99	0.00729045	0.00322127	0.00622885	0.00183421	0.00654899	0.0095382	0.0147938	0.0193269	0.0603883	0.159864	0.231898	0.479067
a97	0.00795079	0.00446591	0.0119934	0.00408519	0.0133701	0.0175084	0.0219303	0.0239353	0.0579637	0.136933	0.235033	0.464831
</S>	0.00427301	0.00307206	0.00975121	0.00630771	0.0126069	0.0158058	0.0158824	0.0139186	0.0225896	0.0688703	0.211761	0.615161
