 	le	pêcheur	est	en	train	de	chercher	sa	machette	qui	est	tombée	dans	l'	eau	</S>
a84	0.00080516	0.000977689	0.00117583	0.00178681	0.00287053	0.00409283	0.00634386	0.0101746	0.0140991	0.00905492	0.0115423	0.0159182	0.0445429	0.125719	0.286397	0.464499
a57	0.00435317	0.00327392	0.00311969	0.00490079	0.00742728	0.00924941	0.0163393	0.0251422	0.0334505	0.0241622	0.0266847	0.0365701	0.0648631	0.122701	0.241365	0.376398
a54	0.0302047	0.0186636	0.0108074	0.0118996	0.0133132	0.0148364	0.0229533	0.0357107	0.0580219	0.0537256	0.0675891	0.091548	0.110097	0.131717	0.154698	0.174214
a47	0.00328658	0.00224783	0.00152697	0.00209666	0.0030206	0.00419008	0.00748113	0.0155291	0.0244569	0.015568	0.0214742	0.0383858	0.070062	0.137063	0.250157	0.403455
a11	0.000300531	0.00035661	0.000425118	0.000773448	0.00163622	0.00263469	0.00521254	0.0102883	0.0157971	0.00896266	0.0131464	0.0243038	0.0560326	0.120665	0.254821	0.484644
a24	0.000580447	0.000613089	0.000682571	0.00131034	0.00226259	0.00309074	0.00571781	0.00828137	0.01062	0.00577934	0.00823527	0.0157744	0.0475951	0.134527	0.280189	0.474741
a10	0.0013651	0.00113302	0.00106659	0.00182047	0.00261507	0.0033276	0.00558571	0.00751206	0.0105275	0.00652298	0.00881199	0.0184939	0.0476736	0.134506	0.285189	0.463849
a75	0.00884259	0.00699897	0.00605746	0.00829877	0.0110102	0.010819	0.0176048	0.0246714	0.0389016	0.0255077	0.0293143	0.0381826	0.0578288	0.115534	0.230761	0.369667
a41	0.00152496	0.00125469	0.000930608	0.00118856	0.00170498	0.00200181	0.00325279	0.00498706	0.00858186	0.00591358	0.00953559	0.0190332	0.0468375	0.129022	0.277703	0.486529
a37	0.0011981	0.00126832	0.00118779	0.00185627	0.00295059	0.00341944	0.00529785	0.00679451	0.00925537	0.00510671	0.00715268	0.0138332	0.0359962	0.115864	0.274262	0.514557
a98	0.000982802	0.00089378	0.000769838	0.00118646	0.00168348	0.00209609	0.00321365	0.00423474	0.00576325	0.00337669	0.00539168	0.0136529	0.0409153	0.131248	0.279575	0.505016
a47	0.0006934	0.000877395	0.000879055	0.00129271	0.00213038	0.00255023	0.0038358	0.00500683	0.00769681	0.00480059	0.00826182	0.0170344	0.0440538	0.120085	0.260798	0.520004
a36	0.000394852	0.000559927	0.000650552	0.00116683	0.00218912	0.00303753	0.00490039	0.00648583	0.00909674	0.00696819	0.0127683	0.0305406	0.076197	0.155978	0.254995	0.434072
a2	0.00369268	0.00302354	0.00266352	0.00386403	0.00603846	0.00674314	0.0119008	0.0200209	0.0322929	0.0182317	0.0200246	0.0278409	0.0437132	0.0949631	0.233917	0.47107
a57	0.0538821	0.0286237	0.021076	0.0236813	0.0286379	0.0342032	0.0496365	0.0773206	0.0999558	0.0769554	0.0727096	0.0636181	0.0614281	0.0705494	0.102677	0.135045
a87	0.0594916	0.0407362	0.0283306	0.0279692	0.0291533	0.0318931	0.041613	0.0519233	0.0621819	0.0432179	0.0432352	0.0533115	0.0820089	0.117415	0.138413	0.149107
a23	0.0519129	0.0392197	0.0293134	0.0293589	0.0315975	0.0345557	0.0450963	0.0558424	0.0684508	0.0455095	0.0433858	0.0505888	0.0775327	0.118575	0.135575	0.143486
a87	0.0441857	0.0364059	0.0212699	0.0174323	0.0189226	0.0241696	0.0308577	0.0490656	0.0557358	0.0327855	0.0311172	0.0373454	0.0770346	0.127844	0.176103	0.219725
a97	0.0143805	0.0160432	0.0118353	0.014685	0.0185714	0.0279914	0.0343735	0.0508895	0.0513732	0.0339345	0.0343163	0.0418062	0.0711018	0.123395	0.19472	0.260583
</S>	0.0308498	0.0343463	0.0263256	0.0299525	0.0334688	0.0421123	0.0467769	0.0527477	0.048677	0.0365334	0.0346409	0.0404552	0.0599578	0.107564	0.162965	0.212628
