 	ma	mère	m'	a	acheté	du	pain	pour	que	je	prenne	avec	du	thé	</S>
a92	0.00583142	0.00487136	0.00835133	0.0180034	0.0405524	0.0773918	0.12218	0.126467	0.110902	0.105669	0.0655372	0.0417042	0.0430811	0.0668857	0.162572
a98	0.00656157	0.00533617	0.00889173	0.0179606	0.0380333	0.068281	0.104388	0.10631	0.0958837	0.102179	0.087361	0.0597675	0.0506822	0.0712834	0.177081
a15	0.00636288	0.00570386	0.0094335	0.0203881	0.0484763	0.0862162	0.102556	0.112638	0.0893918	0.0951591	0.091276	0.0584658	0.0432989	0.0544409	0.176193
a7	0.0103304	0.00766943	0.0118957	0.0233375	0.0474692	0.0835595	0.113643	0.115485	0.105382	0.0935524	0.0728405	0.0246904	0.0207248	0.0493705	0.220049
a79	0.0131098	0.0107907	0.0119956	0.0183563	0.0391051	0.0756896	0.112194	0.125419	0.117552	0.108439	0.0936457	0.0262964	0.0218109	0.0480814	0.177514
a98	0.00820339	0.00514997	0.00741953	0.0119744	0.0235803	0.0447388	0.0674564	0.0833575	0.0757899	0.0768718	0.0871318	0.0388043	0.0353473	0.0843325	0.349842
a85	0.00983892	0.00658722	0.0105799	0.0185034	0.035188	0.0608117	0.0819163	0.08611	0.0703025	0.0697324	0.0741331	0.0376511	0.0312626	0.069936	0.337447
a6	0.0101322	0.00732624	0.010537	0.0166903	0.0324993	0.0530096	0.0665653	0.0748126	0.0607171	0.0653282	0.092503	0.0507774	0.0339998	0.0650972	0.360005
a75	0.00951188	0.00599933	0.00859789	0.013849	0.0259514	0.0464861	0.0758098	0.0828849	0.0704561	0.0757378	0.109912	0.05921	0.0436586	0.0878893	0.284046
a61	0.0055949	0.00361695	0.00459772	0.0071875	0.0130599	0.0256917	0.0526741	0.0706971	0.0619288	0.0687885	0.104011	0.0733388	0.0549274	0.0956783	0.358207
a34	0.00561894	0.00385695	0.00386671	0.00594996	0.0106515	0.0216173	0.0467743	0.0657509	0.0664231	0.0724643	0.101933	0.0738034	0.0619147	0.112961	0.346414
a75	0.00515827	0.00358012	0.00361928	0.00527972	0.00896219	0.015873	0.0308227	0.0441971	0.0451699	0.0575097	0.101426	0.0785139	0.0763389	0.14485	0.3787
a92	0.00245361	0.00167021	0.00169669	0.0024866	0.00429634	0.00798462	0.0179895	0.0269514	0.0257564	0.0322737	0.0650873	0.0730725	0.0798353	0.13496	0.523486
a85	0.00173893	0.00118714	0.00117802	0.00174794	0.00315641	0.00614602	0.0133835	0.0217203	0.0205412	0.0259696	0.0561159	0.0711918	0.0835522	0.155141	0.53723
a5	0.00182478	0.00112408	0.00113253	0.001737	0.00341141	0.00687899	0.0129644	0.0194503	0.0171351	0.0180457	0.0322742	0.0481061	0.0640193	0.151761	0.620135
a36	0.00453471	0.00293521	0.00267858	0.00348589	0.00572085	0.00958637	0.0165902	0.025229	0.0254868	0.0306669	0.0591967	0.0665294	0.0744049	0.143887	0.529068
a0	0.00414273	0.0030325	0.00280993	0.00334942	0.00505493	0.00721579	0.00848118	0.0108009	0.0104847	0.0155352	0.0502525	0.0534652	0.0795928	0.159506	0.586276
a88	0.0165129	0.0123914	0.0125464	0.0127624	0.0166021	0.0187233	0.0202984	0.0252878	0.028128	0.0294038	0.0840941	0.0631553	0.0650526	0.110161	0.48488
a9	0.00219025	0.00175328	0.00162379	0.00186545	0.00351482	0.00547536	0.00564643	0.00942173	0.00971816	0.0113769	0.0468599	0.046871	0.0649984	0.131926	0.656759
a57	0.0160436	0.0118193	0.0117702	0.0113357	0.0139337	0.0168064	0.0201488	0.0243009	0.0285788	0.0306215	0.104814	0.0829139	0.0690563	0.0912776	0.466579
a3	0.0581948	0.0397794	0.0329236	0.0260802	0.025592	0.0231508	0.025218	0.0284552	0.0334206	0.0431722	0.137837	0.12422	0.0882134	0.0905682	0.223174
a97	0.0645243	0.0421955	0.0315982	0.0235733	0.0267816	0.0257355	0.0285815	0.0420605	0.0474311	0.0801177	0.191104	0.180854	0.0917879	0.0575589	0.0660957
a87	0.0417377	0.0305456	0.024316	0.0179962	0.0279706	0.0350216	0.0340474	0.0492793	0.0473129	0.0728124	0.166059	0.178854	0.117664	0.0764512	0.0799327
a23	0.0707513	0.0461654	0.0285855	0.021154	0.0369773	0.041409	0.03068	0.0449208	0.0405304	0.0663672	0.135019	0.157942	0.119461	0.0864267	0.0736107
a87	0.0345975	0.0177717	0.0132808	0.0115766	0.0221867	0.0264847	0.0165501	0.0236019	0.0164304	0.0209519	0.0361172	0.0843631	0.118629	0.242752	0.314706
</S>	0.0268336	0.0149044	0.0130118	0.0114943	0.0208568	0.0190772	0.0112963	0.0109249	0.00732826	0.00922071	0.022439	0.0447537	0.0739532	0.240515	0.473391
