 	avec	cette	manière	de	pêcher	au	harpon	on	aura	beaucoup	de	protoptère	s	</S>
a37	0.00113668	0.00102654	0.00124473	0.00221623	0.00428581	0.00684729	0.00611302	0.00649914	0.00719262	0.0155811	0.0339623	0.0918835	0.233027	0.588984
a96	0.000689535	0.00070006	0.000956275	0.0018298	0.00305274	0.00407642	0.00372768	0.00381454	0.00521716	0.00992983	0.0252458	0.092928	0.262951	0.584881
a66	0.000747945	0.000740787	0.000965293	0.00212394	0.00385051	0.00591456	0.00525305	0.0048685	0.00511165	0.0111004	0.0326819	0.108103	0.254927	0.563611
a9	0.0213831	0.0166558	0.0160915	0.0210119	0.0240624	0.0253967	0.0185696	0.0190462	0.0175829	0.0342116	0.0706502	0.131347	0.221819	0.362173
a99	0.0982127	0.0514906	0.0423402	0.0456841	0.0429225	0.0347677	0.0217721	0.0282789	0.0239477	0.0439324	0.0753956	0.100253	0.158677	0.232325
a97	0.126787	0.0551965	0.0356501	0.0323111	0.0357555	0.0318461	0.0264391	0.0287089	0.0359433	0.0549813	0.0743017	0.103981	0.158115	0.199984
a87	0.0984457	0.0457377	0.0266366	0.0242556	0.0300287	0.0317733	0.037707	0.0441773	0.057304	0.083838	0.101456	0.117579	0.141255	0.159806
a23	0.0954172	0.0475354	0.027052	0.0197194	0.0240992	0.0277675	0.039086	0.0488605	0.0607389	0.0780222	0.0940245	0.112739	0.14496	0.179978
a84	0.0356638	0.0208154	0.0149808	0.0121252	0.012343	0.0118586	0.0140172	0.0200944	0.0240657	0.0417534	0.0685005	0.117424	0.200993	0.405365
a38	0.022953	0.0131186	0.0162217	0.0235271	0.0343601	0.0366231	0.0326097	0.0353292	0.0405034	0.0407644	0.0487551	0.0779662	0.171286	0.405982
a37	0.0235398	0.0142902	0.0147348	0.0177183	0.021025	0.0222303	0.0230298	0.0292571	0.0298387	0.0342908	0.0554563	0.101217	0.205557	0.407815
</S>	0.0145132	0.00854597	0.00916849	0.0118559	0.0148991	0.0182291	0.0211741	0.0249138	0.0226289	0.0270962	0.0559576	0.114427	0.244922	0.411668
