 	la	manière	dont	il	est	blessé	au	dos	montre	que	quelqu'	un	l'	a	poignardé	</S>
a11	0.00287645	0.00267695	0.00572438	0.0162112	0.053633	0.0850029	0.109764	0.147629	0.175535	0.12963	0.0900363	0.0467058	0.0332106	0.0246663	0.0279975	0.0487006
a93	0.0051105	0.00365946	0.00604924	0.0136321	0.0395798	0.0624293	0.0957545	0.139357	0.213016	0.139966	0.113718	0.0547599	0.0357452	0.0214213	0.0232521	0.0325491
a90	0.00420006	0.00424417	0.00796472	0.0173093	0.0417783	0.0645495	0.0955437	0.129119	0.171794	0.149963	0.116066	0.0663897	0.0458747	0.0276854	0.0224406	0.0350771
a44	0.00193107	0.00197057	0.00379172	0.0101753	0.0273172	0.0432961	0.0655472	0.0916619	0.153429	0.160037	0.125263	0.0882687	0.0744759	0.0542086	0.0392739	0.0593534
a93	0.0015543	0.00148173	0.00299384	0.00747246	0.0234491	0.0368944	0.0565504	0.0851227	0.171489	0.150221	0.128833	0.0893631	0.0740478	0.0532106	0.0472674	0.070049
a90	0.00177743	0.00158991	0.00301793	0.00735046	0.0218488	0.0344385	0.055347	0.0822843	0.166549	0.149577	0.133086	0.0958484	0.07936	0.0576498	0.0465746	0.0637005
a69	0.000622544	0.000582274	0.00116689	0.00302876	0.0110181	0.0181079	0.0353407	0.0539149	0.167008	0.169374	0.147537	0.11211	0.0908973	0.0643569	0.0549349	0.0700008
a4	0.00127346	0.00124836	0.00302458	0.00764706	0.0209683	0.0302592	0.0441826	0.0571408	0.134901	0.142287	0.127025	0.0968455	0.0952729	0.0837033	0.0722094	0.0820119
a53	0.00104863	0.00100954	0.0021712	0.00541196	0.0172198	0.0274808	0.0414713	0.0571211	0.141725	0.140196	0.126268	0.104505	0.103296	0.0863984	0.0669746	0.0777022
a90	0.00123679	0.00106284	0.00181934	0.00475914	0.0142051	0.0236438	0.0388478	0.0515561	0.126463	0.138025	0.127289	0.107693	0.111557	0.0958888	0.0720843	0.0838691
a69	0.000650395	0.000590955	0.00133614	0.00374168	0.0133945	0.0221819	0.03744	0.0524663	0.151289	0.149232	0.131224	0.0994404	0.098731	0.0856358	0.0715932	0.0810532
a58	0.00159086	0.00120229	0.00252072	0.00599521	0.017236	0.0264761	0.0389188	0.0541344	0.144281	0.140825	0.119294	0.09458	0.0992397	0.0886401	0.07607	0.0889964
a71	0.00323658	0.00209294	0.0033836	0.00736767	0.0217387	0.0318405	0.0437662	0.0591231	0.170848	0.157544	0.121116	0.0744464	0.0688234	0.0541977	0.067055	0.113421
a50	0.00702561	0.00474269	0.00693993	0.0144509	0.0339441	0.0436314	0.0573299	0.0666019	0.140556	0.13236	0.132577	0.0800228	0.0642772	0.0468988	0.0601604	0.108481
a62	0.0119739	0.00743206	0.00950684	0.0183751	0.0397124	0.0507949	0.0694097	0.0807994	0.137034	0.121602	0.121339	0.0684936	0.0508317	0.037222	0.059154	0.116319
a47	0.00181356	0.00110855	0.00139242	0.00365597	0.0107093	0.0170802	0.0278834	0.0358531	0.0868611	0.0728961	0.0748767	0.0628047	0.077433	0.101562	0.160765	0.263306
a62	0.0016529	0.00118104	0.00199559	0.00538417	0.0175743	0.0275796	0.0401815	0.0522388	0.120769	0.0984195	0.0948627	0.0733549	0.0825701	0.0982452	0.120736	0.163254
a47	0.00146857	0.00102296	0.00133841	0.00413257	0.0117241	0.0191569	0.0286604	0.0390137	0.076141	0.0707533	0.086721	0.0765103	0.0876419	0.119008	0.14547	0.231237
a31	0.00103156	0.000876024	0.0017157	0.00531037	0.0184893	0.0286554	0.0395006	0.0514325	0.103049	0.0920091	0.0926607	0.0721421	0.0736929	0.0865952	0.117806	0.215033
a0	0.0015157	0.00113677	0.00154371	0.00483802	0.0130136	0.0200171	0.0281607	0.0374778	0.0717663	0.0679068	0.0899887	0.07869	0.0845797	0.112836	0.148827	0.237702
a75	0.00104515	0.000880497	0.0016799	0.00465547	0.0147263	0.0210645	0.0293684	0.0354903	0.0828231	0.0698223	0.0936577	0.0771698	0.0890444	0.104146	0.142772	0.231655
a56	0.000333256	0.000323773	0.000626299	0.00188769	0.00719371	0.0125575	0.0206447	0.0285936	0.056559	0.0586648	0.0703227	0.0671325	0.0760558	0.107765	0.177937	0.313403
a96	0.000488217	0.000357707	0.000541568	0.00197645	0.00619367	0.00990051	0.0155266	0.0197375	0.0433344	0.0462362	0.0629321	0.0686318	0.0844751	0.131807	0.2035	0.304361
a93	0.000516087	0.000404606	0.000626194	0.00220434	0.00668554	0.0103222	0.0154808	0.0192645	0.0401448	0.0372954	0.0530786	0.0530108	0.0677077	0.114602	0.217639	0.361017
a4	0.000285858	0.0002149	0.000303345	0.00101528	0.00337818	0.00574963	0.0106101	0.0144926	0.0349812	0.0398098	0.0524882	0.0607067	0.0761771	0.123105	0.234477	0.342205
a58	0.000299588	0.000229922	0.000391721	0.00140625	0.00446555	0.00717991	0.0120539	0.0153902	0.0394862	0.0396048	0.0502943	0.0555462	0.0731271	0.113078	0.217435	0.370012
a40	0.00107586	0.000723386	0.00103311	0.00197163	0.00577912	0.00828869	0.0150579	0.0198523	0.0507715	0.0437719	0.0575131	0.0520422	0.0626861	0.0898833	0.216953	0.372597
a47	0.00027414	0.000198494	0.000350262	0.000992421	0.00290507	0.00449681	0.00874114	0.010851	0.0303202	0.0282596	0.0349346	0.0390085	0.0573829	0.101578	0.255651	0.424056
a92	0.000335767	0.000185182	0.000275369	0.000677599	0.00244655	0.00380471	0.00696088	0.00910684	0.030427	0.0252389	0.0276278	0.0230605	0.0308888	0.0612225	0.220612	0.55713
a37	0.00033534	0.000205638	0.000285697	0.000632103	0.0016491	0.00265699	0.00571749	0.00754773	0.027687	0.0292717	0.0369587	0.042116	0.0564245	0.0966559	0.260138	0.431718
a34	0.000254589	0.00017116	0.000272017	0.00083054	0.0026829	0.00423786	0.00783224	0.00912868	0.0236975	0.0219045	0.0280569	0.0308873	0.0448328	0.0831024	0.248642	0.493467
a21	0.000203354	0.000131999	0.000203586	0.000601428	0.00205694	0.00347126	0.00704855	0.00913763	0.0262436	0.0239804	0.0309265	0.0316964	0.0439837	0.0819669	0.251541	0.486807
a47	0.0002508	0.000120993	0.000157563	0.000447767	0.00142064	0.00227565	0.00446697	0.00545653	0.0156546	0.0153314	0.0207781	0.023461	0.0317734	0.0686179	0.265684	0.544103
a62	0.000263788	0.000175727	0.000274453	0.000718323	0.00266687	0.00428863	0.0076482	0.0102767	0.0277142	0.0242704	0.0295509	0.0246839	0.029269	0.0564934	0.220802	0.560903
a70	0.000349648	0.000198767	0.000334643	0.00102073	0.00354981	0.00528545	0.00908917	0.0109082	0.0263472	0.024275	0.036149	0.0309208	0.0340889	0.0595305	0.222955	0.534997
a4	0.000352259	0.000237622	0.000391323	0.00118327	0.00483014	0.00735282	0.0123267	0.0141093	0.028522	0.0239128	0.0310743	0.0252711	0.0298971	0.0531069	0.208717	0.558715
a44	0.000329629	0.000216181	0.000375703	0.00108345	0.00434379	0.00709851	0.0123987	0.0163816	0.0346999	0.0260904	0.0325513	0.0251478	0.0323819	0.0578197	0.201486	0.547596
a84	0.000257832	0.0001596	0.000273776	0.000751372	0.00295185	0.00463457	0.00870745	0.0109016	0.0241679	0.0178235	0.0224002	0.0213615	0.03162	0.0584424	0.230165	0.565382
a82	0.0206569	0.0136788	0.0114592	0.0160878	0.0236354	0.0274492	0.0327045	0.0402583	0.0652869	0.0575562	0.0518	0.042656	0.0427265	0.0574926	0.182174	0.314378
a87	0.0532694	0.0326257	0.0265278	0.0311809	0.0337443	0.0367662	0.0377401	0.0432383	0.0534299	0.055988	0.056549	0.0503892	0.0514638	0.0710248	0.166468	0.199594
a23	0.0628108	0.0190424	0.0127529	0.0165033	0.0196582	0.0222904	0.028797	0.0398073	0.0541713	0.0625417	0.0733228	0.082481	0.0937306	0.118918	0.141593	0.151579
a87	0.0176835	0.00509593	0.00299664	0.00335082	0.00398987	0.00447772	0.00778062	0.00846642	0.0198281	0.0317186	0.0288474	0.0512475	0.0783782	0.147988	0.225206	0.362944
</S>	0.0104539	0.00317016	0.00193583	0.002432	0.0037251	0.00481176	0.00867513	0.0116561	0.0201489	0.0265677	0.0213338	0.0329154	0.0534986	0.111603	0.221623	0.465449
