 	la	femme	était	en	train	de	frotter	la	marmite	contre	le	sol	</S>
a70	0.00846634	0.00893584	0.00986356	0.0125699	0.0199992	0.0349488	0.0828188	0.158365	0.161867	0.133053	0.119109	0.0949076	0.155097
a11	0.00640624	0.0068025	0.00730193	0.00891342	0.0128221	0.0227729	0.0591984	0.13475	0.158654	0.14442	0.13855	0.117252	0.182156
a34	0.00370431	0.00403098	0.00442382	0.00547525	0.00787827	0.0144772	0.0382267	0.0979862	0.129843	0.141139	0.158793	0.163458	0.230565
a96	0.00178088	0.0021971	0.00314352	0.0047302	0.00812847	0.0150057	0.0389046	0.071719	0.101288	0.115094	0.159535	0.200976	0.277497
a70	0.00100138	0.00128283	0.00191032	0.0029843	0.00526058	0.0102377	0.0273237	0.0563408	0.0838359	0.098932	0.151981	0.212697	0.346213
a93	0.00108532	0.00145757	0.00210441	0.0033781	0.00574287	0.010452	0.0233477	0.0476702	0.0776028	0.0908574	0.146509	0.204609	0.385183
a90	0.000759786	0.00103224	0.00159374	0.00282193	0.00523986	0.00999875	0.0249826	0.0483803	0.0772733	0.0874454	0.138781	0.192536	0.409155
a44	0.000489052	0.000645125	0.000997458	0.00189652	0.00369982	0.00759265	0.0202853	0.0451882	0.0767487	0.0901053	0.156019	0.197296	0.399037
a94	0.000443371	0.000559484	0.000694909	0.00108508	0.00176834	0.00349797	0.00856602	0.0226642	0.0424929	0.0586364	0.117139	0.176148	0.566304
a75	0.000397099	0.000483134	0.000546168	0.000795328	0.00116785	0.00227112	0.00524	0.0146065	0.0284262	0.0442401	0.0967697	0.171726	0.633331
a12	0.000546219	0.000635656	0.000741541	0.00115439	0.0017196	0.00283629	0.00585111	0.0136337	0.0271344	0.0408326	0.0964755	0.165423	0.643016
a96	0.000439285	0.000575781	0.000680629	0.00103009	0.00147829	0.00243951	0.00469823	0.0113681	0.0224549	0.0318794	0.076326	0.151854	0.694775
a66	0.000265664	0.00033279	0.000397596	0.000585579	0.000829196	0.00163661	0.00354927	0.0101704	0.0188541	0.0291091	0.0748147	0.159326	0.700129
a71	0.00116717	0.00109063	0.00102639	0.00125021	0.00169549	0.00325331	0.00808444	0.0222007	0.0388232	0.0578573	0.131914	0.220025	0.511612
a9	0.0105004	0.00890999	0.00820394	0.00880381	0.0111251	0.0152264	0.0248977	0.0383509	0.057164	0.0709387	0.15628	0.204209	0.385391
a99	0.0320807	0.0226087	0.0164065	0.0176286	0.0225468	0.0326882	0.0477556	0.0540672	0.0719827	0.0862295	0.152104	0.189433	0.254468
a87	0.0606656	0.0365533	0.0229044	0.0234672	0.0284545	0.0368262	0.0446353	0.0521502	0.0702672	0.0893053	0.125862	0.171542	0.237367
a97	0.0923263	0.0575926	0.0342531	0.0321077	0.0339991	0.0405166	0.0475157	0.0604486	0.0760651	0.0851326	0.0991413	0.131667	0.209234
a23	0.0989628	0.0598338	0.0312824	0.0274625	0.029969	0.0396963	0.0529547	0.0849005	0.0844627	0.07808	0.0771001	0.103983	0.231313
a87	0.0557456	0.0373512	0.0199476	0.0168229	0.0164013	0.019472	0.023453	0.0273875	0.0342234	0.0410139	0.0683019	0.129472	0.510408
a97	0.0461889	0.0313949	0.0193193	0.0189676	0.0235358	0.0298449	0.0350641	0.0394595	0.0408787	0.0422762	0.0569774	0.109685	0.506407
</S>	0.0779114	0.0536014	0.0368817	0.0420978	0.0528531	0.0632955	0.063247	0.0706938	0.0644441	0.056329	0.0564613	0.081386	0.280798
