 	chaque	matin	il	me	fait	insulter	par	ses	enfants	</S>
a6	0.00154799	0.00238985	0.00610865	0.0159735	0.0387692	0.0836065	0.110348	0.143322	0.237347	0.360588
a85	0.000983788	0.00165315	0.00375399	0.0109275	0.0304836	0.0778895	0.138566	0.181277	0.250357	0.304109
a47	0.00057838	0.000924962	0.00247837	0.00680609	0.0187635	0.0491661	0.0945382	0.160344	0.279301	0.3871
a98	0.000450214	0.000867317	0.00162235	0.00401817	0.0132065	0.044377	0.113137	0.167042	0.285515	0.369764
a47	0.000178143	0.000343786	0.000895431	0.00242638	0.00829333	0.0311001	0.0864498	0.171005	0.305834	0.393474
a85	0.000130533	0.000290032	0.000665675	0.0018109	0.00682378	0.0284411	0.0851075	0.155906	0.29977	0.421054
a47	0.000207429	0.000436151	0.000954977	0.00269059	0.00945238	0.0329819	0.0782564	0.127467	0.297676	0.449878
a15	0.000160481	0.000384043	0.000766278	0.00200313	0.00742025	0.0287575	0.0784134	0.138351	0.29293	0.450814
a7	0.000255794	0.000676148	0.00152409	0.0038844	0.0103632	0.0299894	0.076135	0.130107	0.291368	0.455697
a26	0.000779513	0.00114105	0.00147659	0.00243481	0.00757002	0.0248163	0.0792202	0.139017	0.299067	0.444477
a82	0.00405754	0.00497762	0.00540064	0.00726941	0.015033	0.039405	0.0952488	0.141588	0.281098	0.405922
a3	0.0268838	0.016729	0.0147808	0.0156082	0.0238306	0.0564807	0.120568	0.144035	0.246779	0.334305
a97	0.0674633	0.0247728	0.0169733	0.0181431	0.0306519	0.0770839	0.182608	0.166909	0.199021	0.216373
a87	0.0654384	0.0216506	0.015305	0.017534	0.0352007	0.0930715	0.204857	0.175085	0.182799	0.189059
a97	0.0589777	0.0205099	0.0153789	0.0202552	0.0421523	0.0924414	0.19777	0.174852	0.186873	0.19079
a87	0.061078	0.0275955	0.0209588	0.0273862	0.0394531	0.0602315	0.132762	0.147975	0.217989	0.264571
a97	0.0407686	0.020006	0.014911	0.0202383	0.0306223	0.0513865	0.117423	0.14435	0.241675	0.318619
a99	0.0668113	0.0380426	0.0317827	0.0361442	0.0413519	0.0538829	0.104829	0.12401	0.213249	0.289896
a97	0.0276902	0.0194099	0.0141581	0.0177768	0.0205374	0.0293526	0.059955	0.110267	0.275253	0.4256
</S>	0.0430486	0.0306443	0.0240516	0.0256485	0.0269385	0.037289	0.0761662	0.112949	0.246338	0.376927
