 	les	policiers	n'	ont	jamais	pitié	mais	ce	policier-ci	est	gentil	</S>
a37	0.0240326	0.0376882	0.0524273	0.0951088	0.120518	0.173903	0.140758	0.0993145	0.0739934	0.060487	0.0546243	0.0671458
a62	0.0209395	0.0276368	0.0377519	0.0848048	0.111032	0.15367	0.129874	0.103477	0.0867977	0.0770338	0.0716464	0.0953364
a70	0.0277743	0.0361916	0.0434018	0.0876086	0.110607	0.13312	0.12791	0.11606	0.0958983	0.0840492	0.0668434	0.0705359
a96	0.0175475	0.021704	0.0318739	0.0699934	0.0996153	0.132504	0.131499	0.12163	0.0971087	0.0902539	0.0837584	0.102512
a75	0.0136283	0.0167503	0.0264721	0.0604217	0.0979604	0.125661	0.13472	0.127102	0.100593	0.0898712	0.0843259	0.122495
a6	0.0108556	0.014396	0.0215683	0.0467326	0.083815	0.141055	0.149778	0.126771	0.105625	0.0966902	0.0971311	0.105582
a36	0.00828567	0.0120342	0.0181775	0.0448444	0.08431	0.167083	0.174492	0.116949	0.0990771	0.0796517	0.0869215	0.108174
a2	0.00660019	0.011016	0.0194228	0.0495206	0.0888802	0.179908	0.190419	0.113759	0.0875656	0.0642837	0.0728406	0.115784
a40	0.00759906	0.0115326	0.0265071	0.0709839	0.150692	0.248523	0.193606	0.0867816	0.0510461	0.0370535	0.0410703	0.0746051
a6	0.00773928	0.0108134	0.0222511	0.0469644	0.081097	0.138656	0.166601	0.128988	0.100445	0.0822552	0.0881904	0.126001
a36	0.00641112	0.0107097	0.0240694	0.0586152	0.103951	0.163054	0.162612	0.117216	0.0899215	0.0749036	0.0840335	0.104504
a2	0.00278841	0.0051311	0.0117068	0.0299479	0.0672806	0.135141	0.166033	0.129482	0.0961212	0.0835415	0.106523	0.166303
a57	0.00227142	0.0030991	0.00825864	0.0256273	0.0612019	0.143853	0.18096	0.109297	0.0744282	0.0691905	0.116374	0.205439
a87	0.00661259	0.00568302	0.0104636	0.0248295	0.0474948	0.105463	0.165495	0.110124	0.0932352	0.0945346	0.139231	0.196833
a23	0.0630257	0.0356035	0.0437679	0.0629632	0.0748232	0.123404	0.133514	0.0766629	0.071218	0.0820593	0.103945	0.129013
a99	0.01658	0.0100358	0.016872	0.0393847	0.0609082	0.107377	0.0868228	0.0562536	0.057191	0.0971521	0.18137	0.270053
a38	0.00301724	0.00300808	0.00908022	0.0317914	0.0653969	0.109945	0.0813001	0.0521784	0.0491789	0.0875095	0.183805	0.323789
a36	0.00290568	0.0036247	0.00922257	0.02455	0.0520829	0.093256	0.0945311	0.0721096	0.0646744	0.0972847	0.171593	0.314165
a7	0.0019523	0.002587	0.00598878	0.0159309	0.0382966	0.0824755	0.104922	0.098538	0.0895483	0.115014	0.171918	0.272828
a44	0.00121109	0.00169736	0.00502794	0.0146429	0.0383106	0.0845807	0.116357	0.10056	0.0847008	0.101289	0.16585	0.285772
a93	0.0012526	0.00178584	0.00420116	0.00991708	0.0234462	0.0548811	0.0941471	0.104881	0.0927646	0.118078	0.188031	0.306615
a70	0.00297031	0.00352273	0.00648151	0.0148874	0.0311498	0.0598379	0.10375	0.117696	0.0991592	0.118186	0.176433	0.265927
a93	0.00152607	0.00180321	0.0036055	0.00745217	0.0160087	0.0363702	0.0706266	0.0932381	0.0889901	0.132695	0.213278	0.334407
a4	0.00165954	0.00188436	0.00336152	0.00676835	0.0140823	0.0289517	0.0577605	0.0838452	0.0868013	0.142923	0.236254	0.335709
a53	0.00135633	0.00154573	0.0026875	0.00613382	0.0147136	0.0347544	0.0671871	0.0873995	0.0841966	0.13418	0.230015	0.33583
a69	0.000585589	0.000779237	0.00206054	0.004625	0.0102294	0.0225778	0.0497126	0.0778074	0.0817105	0.135196	0.245789	0.368926
a58	0.0011893	0.00172577	0.00443941	0.0118079	0.027652	0.0516798	0.0906	0.0989289	0.0850502	0.106037	0.197225	0.323665
a40	0.000452432	0.00058968	0.00230565	0.00648772	0.0133192	0.0270858	0.0501988	0.062492	0.066547	0.101727	0.233135	0.43566
a36	0.0029312	0.00376106	0.0105016	0.0260581	0.0551537	0.0892401	0.10709	0.0765671	0.0721291	0.0792313	0.16292	0.314417
a26	0.000676757	0.000815109	0.0032736	0.00908493	0.0196892	0.0385101	0.0652404	0.0679807	0.0758064	0.0974143	0.216	0.405508
a61	0.00153131	0.00148375	0.00339058	0.00957526	0.0194404	0.0473899	0.0742137	0.0733939	0.0745362	0.0924838	0.22394	0.378622
a75	0.00136801	0.00140707	0.00393439	0.00783277	0.0141341	0.028294	0.0532456	0.0713916	0.0781361	0.0987955	0.235223	0.406237
a6	0.0044243	0.00438575	0.00945907	0.0200664	0.0405229	0.0731192	0.098924	0.0825402	0.0823629	0.0898227	0.180925	0.313447
a36	0.00172352	0.00224461	0.00580842	0.0171229	0.0446643	0.0917607	0.125879	0.104034	0.0811261	0.081049	0.163627	0.280961
a4	0.000663911	0.000878662	0.00332522	0.00989311	0.0220649	0.050032	0.074857	0.061346	0.0595667	0.0821076	0.225333	0.409932
a11	0.0008844	0.00115188	0.00350047	0.0081289	0.0151783	0.0284553	0.048611	0.0535285	0.0587265	0.0921148	0.256181	0.433539
a54	0.000678926	0.000816208	0.00231031	0.0048414	0.00881114	0.0184538	0.0359334	0.0478143	0.0550995	0.0930301	0.265163	0.467048
a44	0.00174713	0.00260901	0.00782618	0.0196965	0.0423782	0.0793809	0.109982	0.0910012	0.0785515	0.0847247	0.177746	0.304356
a54	0.000382676	0.000625328	0.0025351	0.00758186	0.0177107	0.0407288	0.0686151	0.0603667	0.0571301	0.0834249	0.22792	0.432978
a36	0.0019457	0.00264966	0.00705843	0.0162704	0.0330058	0.0672136	0.0925057	0.0682711	0.0660884	0.0854047	0.207563	0.352023
a27	0.000508785	0.000750436	0.00300023	0.00725779	0.0138999	0.027983	0.046274	0.0429332	0.0487263	0.0827314	0.244852	0.481083
a82	0.000783061	0.000927671	0.00305512	0.00860631	0.0172983	0.0382527	0.0584658	0.0573482	0.0616633	0.0926318	0.240555	0.420413
a87	0.00892345	0.00669092	0.0106401	0.0183248	0.0272792	0.0479036	0.0555427	0.0510496	0.0575834	0.104856	0.248732	0.362474
a23	0.112543	0.0520814	0.040974	0.0492422	0.0529623	0.0632043	0.0563695	0.0455911	0.0585832	0.0895321	0.179572	0.199345
a87	0.0853163	0.0356035	0.04457	0.0658073	0.067368	0.0878413	0.0939603	0.0755886	0.09399	0.100789	0.124191	0.124975
</S>	0.0341416	0.0181778	0.0321615	0.0578486	0.0639625	0.0891319	0.0900055	0.0818469	0.091994	0.113221	0.156262	0.171247
