 	la	manière	dont	mon	mari	a	refuse	de	manger	de	ma	cuisine	prouve	qu'	il	a	trouvé	une	autre	femme	dans	le	village	</S>
a31	0.0599989	0.110798	0.132725	0.0935414	0.064363	0.0521794	0.0550813	0.0320463	0.0399767	0.036897	0.0308409	0.0322536	0.108343	0.0318408	0.015626	0.016335	0.0111096	0.0106892	0.0105595	0.010119	0.0105163	0.0107763	0.0115559	0.0118282
a24	0.053686	0.0875982	0.102543	0.0782481	0.0578671	0.0536224	0.0613858	0.0417536	0.0514976	0.0448944	0.0391777	0.0432783	0.133557	0.041726	0.0184935	0.017565	0.0117774	0.01089	0.0103405	0.00893521	0.00860947	0.00770509	0.00744655	0.00740166
a21	0.0321335	0.0511421	0.0740328	0.0703707	0.0569704	0.0534151	0.0577839	0.0431488	0.0559988	0.0593924	0.056439	0.0571778	0.145847	0.0480928	0.02024	0.0182737	0.0123158	0.0110557	0.0113768	0.0110233	0.0111194	0.0118213	0.0146132	0.0162161
a47	0.0186438	0.0233269	0.0404334	0.0448059	0.0451248	0.0496606	0.0514751	0.0541522	0.0706975	0.0779946	0.0858294	0.08338	0.166932	0.0505334	0.0242942	0.0185363	0.0147147	0.0134876	0.0126654	0.0108866	0.0099063	0.00974413	0.0112064	0.0115689
a31	0.017876	0.0207967	0.037926	0.0494275	0.0564731	0.06353	0.0648993	0.063268	0.0763118	0.087088	0.0889995	0.0820994	0.115341	0.0448509	0.0250681	0.0184911	0.0155396	0.0142427	0.0134519	0.0113373	0.00948693	0.0079102	0.00772272	0.00786261
a43	0.0123519	0.0136523	0.0245498	0.0363897	0.0436368	0.054579	0.0566238	0.059435	0.0710635	0.0840257	0.094698	0.0881599	0.125569	0.0666534	0.0339226	0.0240932	0.0181609	0.0167552	0.0154379	0.0127274	0.0114377	0.0108037	0.0124474	0.0128265
a62	0.00512536	0.00665869	0.0141608	0.0272838	0.0398186	0.0550771	0.0592718	0.0620142	0.0769984	0.101385	0.114004	0.102654	0.129952	0.062116	0.0306689	0.0211072	0.0164224	0.0139472	0.0123955	0.0104567	0.00900523	0.00855927	0.0099357	0.0109825
a75	0.00462972	0.00532578	0.00981216	0.02133	0.035018	0.0535805	0.0587835	0.0639858	0.0772573	0.105251	0.117082	0.100576	0.112587	0.0721463	0.0405995	0.0266876	0.020376	0.016502	0.0139184	0.0109233	0.00867967	0.0074341	0.00830493	0.00920873
a25	0.00376034	0.00428447	0.0080851	0.0139235	0.0212647	0.0342792	0.0403414	0.0536395	0.0620593	0.088601	0.10872	0.102981	0.117471	0.0532841	0.040404	0.0363524	0.032652	0.0318756	0.0301799	0.0268827	0.0221259	0.0211417	0.0217424	0.0239484
a56	0.00275444	0.00319589	0.00631096	0.0120989	0.0185707	0.0300878	0.0348786	0.0482629	0.0567328	0.0877778	0.112474	0.0969465	0.101334	0.0474434	0.0405269	0.0370325	0.0349419	0.0347717	0.0345039	0.0324713	0.0281729	0.0282037	0.0313495	0.0391565
a47	0.00190513	0.00236439	0.00485853	0.0107253	0.0195562	0.0350222	0.0401676	0.0554354	0.0610139	0.0900432	0.109858	0.104417	0.0948978	0.0660392	0.0517103	0.0407381	0.0366686	0.0330674	0.0287861	0.0252345	0.0197169	0.0192042	0.0224645	0.026105
a96	0.00217867	0.00252875	0.00508672	0.010986	0.0197433	0.0337458	0.0368206	0.053069	0.0642229	0.102243	0.122792	0.11251	0.100023	0.0662234	0.0485161	0.0363179	0.034014	0.028703	0.0240559	0.0209163	0.016485	0.0160237	0.0191867	0.0236081
a21	0.0022231	0.00250742	0.00503972	0.010553	0.0195994	0.033625	0.0350045	0.0527009	0.0669812	0.110564	0.136248	0.113564	0.0939085	0.062871	0.0469729	0.0346115	0.0323197	0.0261756	0.021833	0.0194785	0.0155001	0.0153701	0.0189293	0.0234201
a85	0.00246612	0.00235028	0.00392737	0.00686825	0.0116831	0.0199067	0.020517	0.0371698	0.0409127	0.0717852	0.111595	0.0831712	0.0604821	0.0533507	0.0534449	0.0468142	0.0464252	0.0456007	0.043191	0.0418192	0.0387429	0.0418982	0.0534469	0.0624316
a47	0.00189595	0.0021371	0.00330695	0.00554803	0.00776516	0.0130603	0.0151097	0.0246236	0.0276819	0.0490789	0.0733183	0.0565479	0.049051	0.0351055	0.0457516	0.043902	0.0499735	0.0458717	0.0485941	0.0548702	0.056712	0.0711935	0.0959742	0.122927
a37	0.00350419	0.00363653	0.0054167	0.00866755	0.0106734	0.0165811	0.0195095	0.0362636	0.0378184	0.0659515	0.0954093	0.0768413	0.0498509	0.052231	0.0652867	0.0522247	0.0596851	0.043717	0.0389181	0.0389979	0.0326864	0.0365958	0.0598925	0.0896411
a85	0.00509707	0.00530085	0.00771763	0.0128406	0.0169331	0.0236783	0.0246085	0.0382497	0.0440978	0.0812137	0.115116	0.0851428	0.0556775	0.0425843	0.05169	0.0422038	0.0495201	0.0384378	0.0330944	0.0320473	0.0273709	0.0319991	0.0546899	0.0806889
a47	0.00277359	0.0027512	0.00356674	0.00520692	0.00647163	0.010147	0.0121957	0.0203834	0.0206029	0.0406263	0.0643689	0.0479021	0.0281976	0.0311213	0.0453164	0.0408926	0.0470642	0.0395769	0.0391405	0.0441404	0.0464879	0.0670365	0.129317	0.204712
a36	0.00417287	0.00428509	0.00570816	0.00904324	0.0107039	0.0152541	0.0181938	0.0312595	0.0311566	0.0574955	0.0843255	0.0628671	0.0377032	0.0478416	0.0635477	0.0515221	0.0583479	0.0449993	0.0388916	0.0363457	0.0347153	0.0456649	0.0826172	0.123338
a2	0.00536288	0.00537666	0.00764666	0.0115803	0.013763	0.0194658	0.0236209	0.0380321	0.0442882	0.0718974	0.0970164	0.0724707	0.0526911	0.0447998	0.0600819	0.0475774	0.0549507	0.0390941	0.03224	0.0293664	0.0281894	0.0370112	0.0667008	0.0967763
a57	0.0227406	0.0211674	0.0225576	0.0276141	0.0289626	0.0326546	0.0317687	0.0422328	0.0462324	0.0841905	0.116416	0.0756859	0.0600147	0.0411677	0.0389287	0.0285642	0.0323094	0.025408	0.0228929	0.0206122	0.021592	0.0275296	0.0481641	0.0805931
a87	0.0265633	0.0180814	0.0189143	0.0229826	0.023085	0.024656	0.0247089	0.0319617	0.0367366	0.0602932	0.0834841	0.0724473	0.0668837	0.055641	0.0540847	0.0408926	0.0424596	0.0326724	0.0305193	0.0264781	0.0289327	0.0352766	0.0547465	0.0874986
a23	0.058696	0.0308056	0.0249903	0.0236303	0.0164427	0.0196274	0.0277721	0.0298909	0.0338652	0.0386726	0.0417517	0.0620422	0.0818201	0.0820731	0.0623123	0.0538546	0.0458744	0.0362889	0.0347088	0.0303518	0.0338379	0.0363243	0.040035	0.0543319
a50	0.0202929	0.00968532	0.00955061	0.0106082	0.00989501	0.0140476	0.0187112	0.0270451	0.0353982	0.0442243	0.0463008	0.0677113	0.096579	0.0380348	0.0336724	0.0308304	0.0388304	0.0336943	0.040057	0.0417457	0.0524708	0.0729846	0.0819009	0.125729
a62	0.00118522	0.000893577	0.00131417	0.00229022	0.00292173	0.00547364	0.00717589	0.00842191	0.0105487	0.0113392	0.0128011	0.0196694	0.0298687	0.0426789	0.0390432	0.0437635	0.042377	0.0447035	0.0478417	0.0546846	0.0837104	0.129428	0.160504	0.197361
a21	0.00228238	0.00195295	0.00267895	0.00387408	0.0047371	0.00750094	0.00989543	0.0118965	0.0136217	0.0152653	0.0188573	0.0218795	0.0252335	0.047826	0.0472378	0.0539204	0.0393551	0.0446124	0.0458784	0.0496272	0.0798306	0.121487	0.152003	0.178547
a12	0.00172584	0.00158122	0.00186952	0.00238729	0.0032957	0.00533124	0.00618036	0.0093035	0.0112694	0.014728	0.0207669	0.0201478	0.0212832	0.0352472	0.0425089	0.0510129	0.0364645	0.0434138	0.047189	0.0521516	0.084607	0.12708	0.167775	0.19268
a43	0.00148026	0.00137174	0.00172697	0.00260507	0.00392987	0.00687779	0.00795873	0.0125136	0.0142061	0.0200686	0.0275105	0.0250898	0.0252604	0.0383384	0.0453706	0.0522525	0.0401526	0.0456072	0.0483134	0.0530701	0.0818222	0.116344	0.153104	0.175025
a47	0.00133143	0.00115998	0.00185574	0.00336985	0.00573714	0.0104602	0.0114192	0.0185743	0.0230237	0.0359386	0.0504267	0.0438253	0.0435114	0.0447967	0.0487713	0.0500287	0.0471206	0.0455744	0.0469378	0.0544517	0.0786711	0.0985571	0.112974	0.121483
a21	0.00157542	0.00141847	0.00237895	0.00434768	0.00765883	0.0129722	0.01272	0.0200394	0.0248813	0.0389411	0.0535726	0.0433259	0.0402849	0.0434744	0.0513748	0.0519568	0.0524413	0.0502213	0.0523854	0.0603628	0.0789773	0.0913258	0.0982539	0.105109
a92	0.000577022	0.000477232	0.000725739	0.00126974	0.00244043	0.0049262	0.00493794	0.00997565	0.012743	0.0225006	0.0358852	0.027754	0.0246877	0.0301838	0.0411036	0.0428381	0.0428803	0.0449881	0.051225	0.0628797	0.0909095	0.12181	0.153009	0.169272
a90	0.000626137	0.000470913	0.000767522	0.00146934	0.00302211	0.00617094	0.00597785	0.0114337	0.0143416	0.0271323	0.0451257	0.0330424	0.0303398	0.0332114	0.0443434	0.0440842	0.047013	0.0460764	0.0501222	0.0596309	0.0799856	0.10992	0.141816	0.163876
a98	0.000232677	0.00023109	0.000359796	0.000687033	0.00123576	0.00268177	0.00277687	0.00584329	0.00663622	0.0131362	0.0228483	0.0188311	0.0144819	0.0216383	0.0383629	0.0402075	0.0482641	0.0461637	0.051395	0.0665624	0.081773	0.120463	0.177624	0.217564
a79	0.000294986	0.000356663	0.000620658	0.001298	0.00188158	0.00370581	0.00437358	0.00901246	0.00975785	0.0160445	0.0238205	0.0220906	0.0194679	0.0241043	0.0384359	0.0393383	0.0468784	0.0428359	0.0487784	0.0641476	0.0700732	0.106814	0.176016	0.229853
a44	0.000370262	0.000360188	0.000512911	0.000902694	0.00120478	0.00231202	0.00258962	0.00511395	0.00517716	0.0104666	0.0155658	0.0125177	0.0101995	0.015837	0.0266704	0.0287598	0.0381462	0.0357754	0.0417295	0.0580302	0.0717312	0.11961	0.208036	0.288381
a94	0.000659077	0.000481289	0.000636911	0.000987665	0.00147651	0.00232814	0.00217167	0.00352717	0.00382042	0.00791903	0.0134094	0.00959473	0.00768437	0.0124193	0.0251006	0.030564	0.036556	0.0340296	0.0387182	0.0538698	0.072312	0.119496	0.21327	0.308968
a62	0.000588193	0.000426966	0.000572755	0.00086717	0.00126321	0.00192378	0.00177168	0.00289891	0.00320006	0.00613811	0.010855	0.00885618	0.00834522	0.0140665	0.0276727	0.0341104	0.0380925	0.0361366	0.0401248	0.0532327	0.0712461	0.119771	0.2108	0.307039
a21	0.000828099	0.000669141	0.0010076	0.00156824	0.00247603	0.00351292	0.00310081	0.00457984	0.00615739	0.0101408	0.0158105	0.0132662	0.013373	0.0210804	0.0337166	0.0405678	0.0415673	0.0380978	0.0417493	0.0505395	0.0738562	0.118885	0.190387	0.273062
a92	0.00038462	0.000281965	0.000401248	0.000598214	0.000939915	0.00149277	0.0014128	0.00269244	0.00301217	0.00630329	0.0127538	0.0102368	0.00867192	0.0139234	0.024144	0.0273653	0.0289085	0.0316848	0.0373854	0.0538028	0.0886801	0.146036	0.216107	0.28278
a37	0.00034656	0.000283693	0.000380702	0.000574954	0.000867262	0.00145004	0.00140311	0.00247124	0.00271884	0.00589898	0.0110239	0.00849166	0.00669669	0.0105061	0.0201017	0.0248352	0.0283557	0.0300673	0.0359511	0.0518323	0.0817409	0.137627	0.217279	0.319096
a79	0.000513615	0.000468584	0.000664604	0.000989509	0.00128566	0.00173777	0.00163322	0.00228103	0.0026066	0.0047765	0.00725775	0.00597824	0.00480538	0.00835918	0.0183473	0.0247513	0.0272912	0.0252818	0.0299124	0.0435121	0.0682844	0.122741	0.224686	0.371834
a56	0.000134879	0.000137198	0.000173947	0.000281483	0.000291491	0.000416416	0.000470729	0.000694512	0.000644699	0.00152894	0.00274594	0.00236133	0.00175753	0.00465665	0.0104063	0.0143198	0.0177941	0.0181669	0.023325	0.0362751	0.0529095	0.112512	0.252331	0.445665
a93	0.00032158	0.000264464	0.000345764	0.00053516	0.00064682	0.00085108	0.000796734	0.00121138	0.00116011	0.00227695	0.00388996	0.00321423	0.00241144	0.00619778	0.0151966	0.0224073	0.024568	0.0242211	0.0283987	0.040162	0.0607599	0.117763	0.250619	0.391782
a70	0.000286562	0.000225266	0.000312495	0.000520075	0.000665553	0.000874818	0.000770681	0.00117065	0.00109321	0.00222288	0.003849	0.00330163	0.00246572	0.00641907	0.0154462	0.0229083	0.0254289	0.0250495	0.0291325	0.0410985	0.0625271	0.120204	0.249847	0.38418
a11	0.000774451	0.000737933	0.000972484	0.00153245	0.00155283	0.00168344	0.00159367	0.00159942	0.00171579	0.00284938	0.00391421	0.00434535	0.00254647	0.00702695	0.0156138	0.0232354	0.0251089	0.0237177	0.0281811	0.0414937	0.0690732	0.128991	0.23652	0.375221
a88	0.00315079	0.00291972	0.00297911	0.0037165	0.00355619	0.00409902	0.00396765	0.00401824	0.00450265	0.00648637	0.00805046	0.00803994	0.00413486	0.0132892	0.028222	0.0398068	0.0396269	0.0364545	0.044064	0.0677487	0.0920729	0.131872	0.191599	0.255623
a0	0.000306016	0.000331169	0.000481193	0.000774362	0.000808507	0.000926283	0.000963022	0.00106352	0.00131065	0.00212037	0.00302906	0.00359882	0.00256371	0.00641805	0.0149793	0.0229926	0.0235017	0.0212496	0.0259055	0.0406619	0.0690644	0.127802	0.244759	0.384388
a11	0.00173002	0.00165946	0.00197339	0.0027196	0.00259308	0.00280007	0.00281407	0.00311449	0.00335992	0.00485563	0.0061438	0.00596415	0.00417961	0.00989454	0.0212287	0.0304058	0.0298536	0.0260763	0.0317137	0.049999	0.0749929	0.124169	0.226295	0.331464
a75	0.00121158	0.00117682	0.00149338	0.00212194	0.00187681	0.0019435	0.00204032	0.00219803	0.00232962	0.00334169	0.00430578	0.00479374	0.00359609	0.00878811	0.0176677	0.0263067	0.0258432	0.0234774	0.0289607	0.0450035	0.0712812	0.127667	0.234415	0.35816
a79	5.48191e-05	6.13719e-05	9.31003e-05	0.000153958	0.000156468	0.00018067	0.000187771	0.000240012	0.000241101	0.000471496	0.000747216	0.000839273	0.000607958	0.0021709	0.00545976	0.0100146	0.0115212	0.0123132	0.0169893	0.0301315	0.0552387	0.126117	0.265852	0.460156
a44	0.00010932	0.000122807	0.000176941	0.000297079	0.00029751	0.000336673	0.00034885	0.000432105	0.000397615	0.000822951	0.0012336	0.00123497	0.000798428	0.0029763	0.00752496	0.0127116	0.0143769	0.0143476	0.018575	0.030798	0.050932	0.113881	0.256439	0.470829
a4	0.000374259	0.000392985	0.000581354	0.000940866	0.000894994	0.000946394	0.000970853	0.00100745	0.00103643	0.00184513	0.00242929	0.00262351	0.00124657	0.00494594	0.0110683	0.0169876	0.0177948	0.0167594	0.0202599	0.0341213	0.0588363	0.119936	0.250446	0.433554
a13	0.000558167	0.000565609	0.000740938	0.00117552	0.00112752	0.00131086	0.00146537	0.00154789	0.00160407	0.00273976	0.00367467	0.00387524	0.00153665	0.00606215	0.0132869	0.0196784	0.020619	0.0199389	0.0244054	0.0408762	0.0662284	0.123828	0.242263	0.400891
a57	0.00329114	0.00295246	0.00287473	0.00392787	0.00354843	0.00397306	0.00419863	0.00483364	0.00461234	0.00658182	0.00807246	0.00735553	0.00339271	0.0130334	0.0283953	0.0369672	0.0396816	0.0351546	0.0410467	0.0595612	0.0752341	0.112023	0.201058	0.29823
a82	0.0151254	0.0102147	0.00688958	0.00825518	0.00694493	0.00699357	0.00708503	0.00827015	0.00698409	0.00877116	0.00923423	0.00785745	0.00628384	0.0285028	0.0482392	0.0542742	0.0548845	0.0508574	0.0576399	0.0688552	0.0767021	0.102734	0.1511	0.197302
a87	0.028513	0.0155337	0.00953669	0.0110491	0.00914859	0.00893669	0.00894071	0.0110523	0.00871923	0.0105856	0.01095	0.00951551	0.00726877	0.0313867	0.0506509	0.0536278	0.0581271	0.0545476	0.0609105	0.0699463	0.0750507	0.09503	0.130755	0.170218
a23	0.0670617	0.0302699	0.0194239	0.0254502	0.0214903	0.0180498	0.0184291	0.0214294	0.0135954	0.0180324	0.0187053	0.0198134	0.00964472	0.0330993	0.0465015	0.0446257	0.0594993	0.0552012	0.0639127	0.0650622	0.0678659	0.0756437	0.0817107	0.105483
a10	0.0105104	0.00403674	0.0017578	0.00303932	0.00172074	0.00152099	0.00211511	0.00171472	0.000794652	0.00130528	0.0012987	0.00136413	0.000703135	0.0126063	0.0243573	0.0395492	0.0450304	0.0524019	0.0744752	0.0783178	0.101469	0.140603	0.169469	0.229839
a87	0.00651615	0.00282547	0.00169095	0.00294026	0.00167449	0.00157066	0.0022866	0.00217305	0.001355	0.00238498	0.00242727	0.00287748	0.0021507	0.015523	0.0203853	0.0338422	0.0375857	0.0409887	0.0581651	0.0644036	0.081487	0.129922	0.182305	0.30252
a23	0.00858989	0.00491827	0.00309311	0.00489294	0.00323779	0.00281073	0.00318935	0.00376405	0.00276188	0.00462938	0.00440306	0.00499798	0.00364579	0.0140442	0.0173467	0.0281103	0.034554	0.036271	0.0516477	0.0605073	0.0723277	0.1246	0.18555	0.320107
a99	0.00443327	0.00251975	0.00153703	0.00312396	0.00177404	0.00171652	0.00252767	0.00254976	0.00123637	0.00220847	0.0020319	0.00249018	0.00159194	0.020234	0.0271825	0.0417712	0.0472206	0.0508552	0.0713663	0.0735335	0.0883015	0.128542	0.168502	0.25275
a97	0.008136	0.00458878	0.00276051	0.00554241	0.00461795	0.00536757	0.00827517	0.00789509	0.00430695	0.00591716	0.00525889	0.00578657	0.00392686	0.0242057	0.0314265	0.042363	0.0449683	0.0505118	0.0681711	0.0667059	0.0832207	0.11454	0.154831	0.246676
a10	0.00994662	0.00538351	0.00418298	0.00837982	0.00762653	0.00737151	0.00838306	0.00903489	0.00619998	0.008459	0.00767251	0.00857042	0.00649448	0.0186934	0.0216161	0.0322338	0.0383707	0.0424251	0.0561533	0.0599738	0.0713722	0.114233	0.168139	0.279084
</S>	0.0385799	0.0235451	0.0191719	0.027632	0.0264884	0.023936	0.0229962	0.0208828	0.0180742	0.0232181	0.0206482	0.0209051	0.0209384	0.0206192	0.0210778	0.0296468	0.0344702	0.0368202	0.0476766	0.048138	0.055904	0.085259	0.116659	0.196713
