 	les	lettres	qui	étaient	écrites	sur	ce	mur	sont	déjà	effacées	</S>
a85	0.0045455	0.00459743	0.00660376	0.00821976	0.0247124	0.0112313	0.012066	0.0227466	0.0403866	0.0706454	0.179829	0.614416
a96	0.00669363	0.00770651	0.0126098	0.0160386	0.0467944	0.0215547	0.0217518	0.0354427	0.0568058	0.100758	0.197886	0.475957
a62	0.0017826	0.00175606	0.00275637	0.00411007	0.0189888	0.00656411	0.00738793	0.0160796	0.0335174	0.0598376	0.194643	0.652576
a0	0.0019158	0.0021408	0.00359348	0.0056948	0.0211807	0.00868059	0.0113518	0.0231262	0.0419474	0.0706473	0.202974	0.606747
a56	0.000789944	0.00075517	0.00128571	0.00255732	0.0118224	0.00398484	0.00534281	0.012364	0.0273027	0.051247	0.176563	0.705985
a66	0.000702344	0.000857516	0.00151554	0.00306935	0.013522	0.00412135	0.00515818	0.0116722	0.0257431	0.0464692	0.18335	0.703819
a62	0.00115491	0.00106667	0.00118344	0.00215222	0.0117959	0.00630027	0.00876316	0.0182198	0.0373189	0.0750756	0.193293	0.643676
a83	0.000325795	0.00038088	0.000561465	0.00109151	0.00559671	0.00207402	0.00283978	0.00672175	0.0161241	0.0348526	0.141323	0.788109
a44	0.000163871	0.000188317	0.000279483	0.000560433	0.0033545	0.00141291	0.00216645	0.00554806	0.0141204	0.0374029	0.150627	0.784176
a26	0.000160762	0.000160158	0.000222452	0.000491175	0.00411319	0.00206222	0.00348	0.00888072	0.0224905	0.0582708	0.198431	0.701237
a57	0.00601533	0.00421241	0.00405792	0.00624575	0.0326348	0.0277495	0.0313187	0.0377324	0.0646675	0.0982243	0.207175	0.479967
a87	0.0240646	0.0116642	0.00818548	0.0108164	0.0455385	0.036384	0.0444534	0.0484714	0.0780943	0.132091	0.223864	0.336373
a23	0.0303073	0.0126325	0.00839011	0.012515	0.0855257	0.0755003	0.0749353	0.0708237	0.0821076	0.117813	0.167062	0.262387
a87	0.0240636	0.0119878	0.00954204	0.0104635	0.0662123	0.0450387	0.0507975	0.0621951	0.0897868	0.138906	0.176452	0.314555
a23	0.0058351	0.0045037	0.00449629	0.00637256	0.0445531	0.0307184	0.0317302	0.0377973	0.0626186	0.111128	0.184585	0.475661
a9	0.00968248	0.00677384	0.00527588	0.00573723	0.0471743	0.0312006	0.0325289	0.0397035	0.0623649	0.110073	0.19075	0.458735
a87	0.0211461	0.0121733	0.00906646	0.0111429	0.0593002	0.0445786	0.0374504	0.0370915	0.0543043	0.100424	0.161565	0.451757
</S>	0.0186567	0.012731	0.00797246	0.00812228	0.0429164	0.032343	0.0306517	0.0314142	0.0455328	0.101415	0.1808	0.487445
