 	le	féticheur	lui	avait	tout	expliqué	à	propos	du	pouvoir	mystique	d'	être	invisible	</S>
a37	0.00153469	0.00296386	0.00671556	0.012461	0.0179254	0.0266019	0.032215	0.0403682	0.0469991	0.0587466	0.0837286	0.110951	0.118465	0.169931	0.270393
a85	0.00107469	0.00177243	0.00399296	0.00795488	0.0124751	0.0246221	0.0252563	0.0382757	0.0490849	0.0595675	0.0799663	0.11103	0.126077	0.172214	0.286636
a6	0.000636574	0.000963353	0.00179353	0.00340801	0.00493283	0.00944805	0.00869573	0.0121895	0.0137149	0.0197937	0.0387974	0.0794001	0.127861	0.219654	0.458711
a92	0.000533249	0.000844849	0.00164979	0.00302058	0.00457152	0.00682078	0.00783138	0.00948499	0.00975967	0.0135948	0.0338576	0.0967259	0.154168	0.225593	0.431544
a85	0.000632118	0.00108976	0.00248931	0.00508423	0.00772434	0.0115452	0.0119627	0.0143434	0.0152199	0.0221896	0.0470024	0.112894	0.156674	0.178658	0.412492
a92	0.000472631	0.000687495	0.00154938	0.00285499	0.00469119	0.00580152	0.00561269	0.00711261	0.00774314	0.0115752	0.0282074	0.0845008	0.13477	0.185846	0.518575
a79	0.000279564	0.000454857	0.0011047	0.002261	0.00396427	0.00580849	0.00515769	0.0063827	0.00651365	0.00966003	0.0266407	0.0767976	0.133143	0.192566	0.529265
a90	0.000232986	0.000335599	0.000903733	0.00196796	0.00386239	0.00512312	0.00424451	0.00515734	0.00546993	0.00792771	0.0176801	0.0559373	0.111884	0.206492	0.572782
a69	0.000186225	0.000257115	0.000530218	0.00102549	0.00194828	0.00307284	0.00260347	0.0032865	0.00372187	0.00513436	0.015575	0.0511034	0.118773	0.235711	0.557072
a32	0.000160035	0.00019524	0.000382194	0.00063802	0.00138536	0.00235369	0.00182329	0.00231175	0.00272294	0.00392983	0.016342	0.0591316	0.137785	0.248835	0.522004
a4	0.00020925	0.00018642	0.000316683	0.000424586	0.00125436	0.00288928	0.00136994	0.00162377	0.00202032	0.00275568	0.0112154	0.0499587	0.131064	0.264331	0.530381
a57	0.000259228	0.000328793	0.000587344	0.000769915	0.00158847	0.00295753	0.00207871	0.00259224	0.00287798	0.00410897	0.0174242	0.0708161	0.15159	0.271558	0.470462
a82	0.00110859	0.000909377	0.0015507	0.00246958	0.00581322	0.0170006	0.00906938	0.0107965	0.0124288	0.0135225	0.0289511	0.0722049	0.139927	0.244541	0.439707
a3	0.0165591	0.00941281	0.0094404	0.0130193	0.0213067	0.0508597	0.0368498	0.0350778	0.0401106	0.0323211	0.0498215	0.0795672	0.13042	0.220294	0.25494
a97	0.0446449	0.0281209	0.0260326	0.0331653	0.0386569	0.0584289	0.0611225	0.053422	0.0517713	0.0427163	0.0579178	0.0879402	0.11326	0.148876	0.153925
a99	0.0337573	0.024576	0.0251835	0.0340564	0.0411221	0.0655536	0.0845495	0.0855871	0.0907587	0.0750209	0.0739664	0.0819924	0.0856785	0.0960899	0.102108
a97	0.00703022	0.00391533	0.00393362	0.00474715	0.00694947	0.0165781	0.0180368	0.0158402	0.0208986	0.0213672	0.0424732	0.103013	0.158651	0.211947	0.364619
a87	0.00975115	0.00726934	0.0115666	0.0209199	0.0284497	0.0826369	0.0595483	0.0518535	0.0607662	0.0467164	0.0407156	0.0590717	0.0945941	0.172192	0.253948
</S>	0.0132702	0.00998679	0.013503	0.0221552	0.0279857	0.0663941	0.0490457	0.0468525	0.0508448	0.0436078	0.0396022	0.057324	0.090412	0.176173	0.292843
