 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
a61	0.0151523	0.0172608	0.0220787	0.03148	0.0474947	0.0752487	0.118297	0.13615	0.138121	0.128115	0.0858098	0.0567878	0.0557801	0.0722237
a62	0.0120963	0.0145912	0.017771	0.0246915	0.0350608	0.0623993	0.107285	0.126684	0.14124	0.133609	0.0947054	0.0661625	0.0696485	0.0940548
a83	0.0126121	0.015263	0.0170442	0.0224483	0.027324	0.0525872	0.0935597	0.113598	0.140534	0.145093	0.108809	0.0792324	0.0783878	0.0935077
a9	0.00829948	0.0110879	0.0123263	0.0167115	0.0214044	0.0523037	0.0977364	0.114463	0.116214	0.11731	0.100526	0.0911419	0.111659	0.128817
a83	0.00439544	0.00550219	0.00761374	0.0128262	0.0258909	0.0838332	0.140894	0.130156	0.101831	0.0921642	0.0777883	0.0732697	0.101191	0.142644
a54	0.0033901	0.00469143	0.00562087	0.00887275	0.0155684	0.0625876	0.107961	0.0950581	0.0658882	0.0637504	0.0716391	0.101532	0.178668	0.214772
a85	0.00537155	0.00734626	0.00722044	0.00909422	0.010857	0.0235117	0.0357527	0.0362707	0.0340461	0.0410574	0.0575171	0.0939943	0.244687	0.393274
a21	0.00805903	0.0100617	0.0105481	0.0115519	0.0105247	0.0167174	0.0221949	0.0209243	0.0233518	0.0333284	0.0575116	0.0939467	0.255489	0.425791
a61	0.0129001	0.016591	0.0170289	0.0191862	0.0210497	0.0289972	0.0416993	0.033646	0.0309261	0.0384865	0.0567378	0.0942825	0.232645	0.355824
a70	0.00620617	0.00809657	0.00852726	0.0100127	0.009757	0.0149651	0.0213053	0.0219581	0.0246615	0.0288873	0.0446619	0.084474	0.258993	0.457494
a98	0.002438	0.0030235	0.00364244	0.00507759	0.00510837	0.00992509	0.0149133	0.0189445	0.0246729	0.026205	0.0409164	0.0818735	0.278968	0.484292
a44	0.00109996	0.00143236	0.00167397	0.00224601	0.00277918	0.00512042	0.00819093	0.0104283	0.0129086	0.0167886	0.0328984	0.076868	0.310319	0.517247
a98	0.000885819	0.00119062	0.0015015	0.00200002	0.00247587	0.00642705	0.00999541	0.0131285	0.0131708	0.0156407	0.0301917	0.0662906	0.253042	0.58406
a85	0.00428066	0.00525011	0.00629661	0.00769881	0.00710748	0.0122013	0.0151141	0.0166453	0.0187165	0.0243163	0.0441487	0.0803516	0.271916	0.485956
a5	0.00301524	0.00318478	0.00384795	0.00471979	0.00398216	0.00659924	0.00817422	0.0109504	0.0138847	0.0193429	0.0356768	0.0703557	0.267506	0.54876
a47	0.00279197	0.00279645	0.0041009	0.00605852	0.00682878	0.0121794	0.014687	0.0197466	0.0219229	0.0220189	0.0369756	0.0819744	0.267195	0.500724
a75	0.00142833	0.0016161	0.00244004	0.00341163	0.00441558	0.00883962	0.0109664	0.0167836	0.021332	0.0215792	0.0340592	0.0721917	0.258423	0.542514
a12	0.00204272	0.00229905	0.00360174	0.00479935	0.00511564	0.00852016	0.00979595	0.0133579	0.0151693	0.0167613	0.0320852	0.0762037	0.304551	0.505697
a61	0.00127093	0.00144963	0.00188473	0.00314229	0.00456165	0.00999995	0.0126289	0.0202707	0.0212922	0.0183202	0.0310314	0.0765513	0.261038	0.536558
a47	0.000726279	0.000789733	0.00100999	0.00166462	0.00297365	0.00719893	0.00933195	0.0164729	0.0181602	0.0144392	0.0234582	0.0653261	0.267944	0.570504
a93	0.00171489	0.00191828	0.00211801	0.0025955	0.00460173	0.0111814	0.0135521	0.0218349	0.0234571	0.0195476	0.0283485	0.0674407	0.248754	0.552936
a69	0.000605382	0.000641798	0.000811136	0.00127825	0.00250092	0.00561149	0.00741508	0.0135133	0.0158604	0.0148697	0.0238531	0.069562	0.268763	0.574714
a58	0.000275684	0.000340773	0.000440918	0.000701395	0.00153625	0.00465205	0.00645137	0.0115307	0.00959911	0.0084706	0.0149813	0.0465877	0.248177	0.646256
a82	0.00249083	0.00207834	0.00222685	0.00286153	0.00666923	0.0199657	0.0316218	0.0376474	0.0224587	0.0255582	0.0351157	0.0743298	0.262933	0.474043
a87	0.0185971	0.0144019	0.0136365	0.0155979	0.0185531	0.0364294	0.0517463	0.0624118	0.0581366	0.0657794	0.0774651	0.130556	0.219811	0.216878
a23	0.0391754	0.0274518	0.0238196	0.0209409	0.0167949	0.0293016	0.0371485	0.0465964	0.0469957	0.0699715	0.101058	0.167055	0.199752	0.173939
a87	0.00500008	0.00344839	0.00308218	0.0025258	0.0026718	0.00959966	0.0122904	0.0200731	0.02407	0.0364766	0.0778094	0.160463	0.31402	0.328469
</S>	0.00232621	0.001924	0.00186828	0.00162113	0.00160038	0.00570321	0.00635893	0.0106025	0.0104209	0.0158917	0.0351697	0.108743	0.333988	0.463782
