 	la	manière	dont	son	pied	s'	est	gonflé	me	rend	triste	</S>
a30	0.0166958	0.0121746	0.0118529	0.0189781	0.0351616	0.0669554	0.0975127	0.136064	0.174168	0.189629	0.127241	0.113567
a4	0.0601456	0.043018	0.0353395	0.040285	0.0494727	0.0670365	0.0813465	0.0890508	0.118982	0.153368	0.132967	0.128988
a13	0.0082846	0.00532542	0.00512831	0.0125051	0.0249648	0.049238	0.0611821	0.0890765	0.130436	0.194808	0.189478	0.229573
a9	0.00675168	0.00476464	0.00463326	0.010988	0.0215719	0.0419718	0.0598716	0.0759614	0.138076	0.214934	0.177359	0.243118
a87	0.0778762	0.0494746	0.0405362	0.0523262	0.0685733	0.0826353	0.0894481	0.0964164	0.103013	0.100533	0.0918698	0.147299
a23	0.186384	0.107185	0.0659444	0.0591318	0.0548268	0.0596793	0.0602421	0.0668979	0.0724795	0.0790631	0.0781044	0.110062
a50	0.0334913	0.020377	0.0183255	0.0332756	0.0462202	0.0593569	0.0602183	0.0603928	0.0958419	0.119075	0.182491	0.270934
a90	0.0045831	0.00384101	0.00420174	0.0115041	0.0214208	0.0296753	0.0301063	0.0436476	0.072201	0.111856	0.273805	0.393158
a96	0.00528404	0.00574536	0.00589235	0.0148302	0.0230773	0.0291878	0.0300993	0.05165	0.0785891	0.0987363	0.251488	0.405421
a18	0.00222823	0.00162239	0.0014961	0.00445665	0.0105068	0.0173773	0.0220979	0.0482648	0.0824644	0.10343	0.271662	0.434394
a12	0.00272569	0.00204393	0.00191452	0.00461037	0.00988334	0.0180084	0.0250001	0.0478383	0.0784194	0.109047	0.251685	0.448825
a96	0.000570341	0.000480143	0.000510937	0.00225426	0.00617319	0.0107041	0.0145368	0.0298666	0.0659973	0.0908333	0.266459	0.511614
a5	0.00058686	0.000355451	0.00038373	0.00163511	0.00452875	0.00819963	0.0115185	0.0248782	0.0537027	0.0827274	0.265215	0.546269
a12	0.000369305	0.0002379	0.000260137	0.000995003	0.00250153	0.00453364	0.00671182	0.0113254	0.0288217	0.0603048	0.269572	0.614366
a96	0.000421532	0.0002412	0.00025271	0.000952602	0.00216379	0.00371951	0.00536474	0.00930273	0.023292	0.0494217	0.246287	0.65858
a66	0.000468904	0.000310485	0.000357963	0.00149863	0.00396361	0.00747251	0.0102892	0.0165909	0.0353255	0.0640049	0.198976	0.660742
a27	0.0180967	0.0122226	0.0102101	0.0184904	0.0287824	0.0378173	0.0406744	0.0465764	0.0501886	0.0742097	0.194059	0.468672
a57	0.0667415	0.0402572	0.0277532	0.0338079	0.0365917	0.0387	0.0376114	0.037643	0.0395324	0.063087	0.177517	0.400758
a87	0.117414	0.0551325	0.0322542	0.0364198	0.0364709	0.0363253	0.0336536	0.0349914	0.0412485	0.0684031	0.16474	0.342947
a23	0.183688	0.0760793	0.0400014	0.0486484	0.0577109	0.0691527	0.063974	0.0607376	0.0619355	0.0725751	0.0985984	0.166898
a99	0.0932475	0.0494241	0.0300142	0.0397197	0.0409187	0.0538586	0.0400617	0.0495808	0.0705187	0.0993851	0.159718	0.273553
a97	0.0627637	0.0418781	0.0345058	0.0595735	0.0594772	0.0692268	0.0493449	0.0480364	0.0552802	0.0936015	0.156666	0.269646
</S>	0.0339965	0.0216666	0.0212361	0.0419958	0.0407169	0.0506048	0.0392986	0.0406799	0.0482792	0.08304	0.158461	0.420024
