 	va	avertir	le	notable	que	le	recensement	commence	demain	</S>
a83	0.0123807	0.00564033	0.00801986	0.00777584	0.00896169	0.00954987	0.0144983	0.0512506	0.232705	0.649217
a18	0.00796773	0.00421327	0.00660472	0.007168	0.00862908	0.00962361	0.0166741	0.0626716	0.253325	0.623123
a9	0.0372243	0.0148281	0.0152398	0.0119831	0.0121506	0.0136467	0.017685	0.0574051	0.223937	0.595901
a99	0.0983966	0.0388499	0.0315741	0.0232992	0.0222888	0.0247179	0.0321615	0.0778304	0.215822	0.43506
a9	0.128698	0.0582045	0.0456411	0.0377561	0.0430867	0.0487077	0.0702803	0.109135	0.193462	0.265028
a87	0.125001	0.0651313	0.058684	0.0587954	0.0719207	0.0756682	0.0984624	0.0986136	0.148117	0.199607
a97	0.0799569	0.0516157	0.0528704	0.062016	0.0792665	0.0856866	0.108584	0.118616	0.162613	0.198774
a87	0.0849152	0.0622617	0.0826033	0.107852	0.111773	0.112244	0.122511	0.0903489	0.104675	0.120815
a23	0.0809687	0.0661418	0.0818534	0.100031	0.100721	0.102577	0.113252	0.098236	0.118237	0.137983
a87	0.0779863	0.0600289	0.0623723	0.0652499	0.0759422	0.0711747	0.0846426	0.119088	0.169426	0.214089
a97	0.0800538	0.0565209	0.0747832	0.0704118	0.0750537	0.0679075	0.0724486	0.107143	0.173602	0.222075
</S>	0.0984376	0.0799559	0.0980815	0.086676	0.0815723	0.0686816	0.0713259	0.0891263	0.142428	0.183715
