 	il	ne	faut	pas	lui	servir	le	repas	dans	une	même	assiette	que	les	autres	car	il	prend	plus	que	sa	part	de	nourriture	</S>
a15	0.0745214	0.0868021	0.0882866	0.0779983	0.0641603	0.0731324	0.0699182	0.0580234	0.0593413	0.0420734	0.0362897	0.042304	0.0335142	0.0256364	0.0219882	0.0218449	0.0143752	0.0139093	0.0114625	0.0112206	0.0111813	0.0109495	0.0136793	0.0181265	0.019261
a73	0.104978	0.131657	0.103637	0.0763534	0.0565823	0.0555363	0.0527057	0.043789	0.0438271	0.032247	0.027906	0.0303937	0.0269865	0.0238248	0.0225749	0.0232969	0.0146053	0.0160878	0.0128757	0.0118493	0.0118641	0.0130862	0.0154156	0.0220006	0.0259204
a69	0.0859798	0.104218	0.0872146	0.0689572	0.053002	0.048871	0.0444861	0.0365763	0.0375369	0.0302559	0.0270525	0.0304155	0.0298499	0.0285175	0.0285287	0.0277672	0.0196466	0.0240871	0.023329	0.0208796	0.020865	0.0218128	0.0247399	0.0343377	0.0410733
a44	0.0415443	0.0578928	0.0691382	0.0644034	0.0551948	0.0534248	0.0521406	0.0454727	0.0507285	0.0429709	0.0434492	0.0512741	0.0489033	0.0440007	0.0411048	0.0366653	0.0229775	0.0230909	0.0189249	0.0156058	0.0151613	0.0155909	0.0187167	0.0295515	0.0420718
a70	0.0206427	0.0304192	0.0572285	0.0645484	0.0612011	0.064599	0.0553818	0.0481689	0.0558484	0.0478898	0.0488698	0.0580226	0.052316	0.0455647	0.0402266	0.0365944	0.0239656	0.0221088	0.0186309	0.015316	0.0146953	0.0161169	0.0195436	0.0320813	0.0500199
a83	0.01457	0.0199102	0.0436066	0.0592716	0.0640132	0.0712742	0.0565906	0.0480587	0.0568023	0.0490306	0.0489224	0.0610667	0.056678	0.0514295	0.0443344	0.0414801	0.0259077	0.0244835	0.0200713	0.0154506	0.0140536	0.0153156	0.0185561	0.0309411	0.0481813
a38	0.00936341	0.0118293	0.0276596	0.0448144	0.061118	0.0747196	0.0598283	0.0487658	0.0569339	0.0507059	0.0504815	0.0680675	0.062501	0.0548919	0.0468522	0.043128	0.0298099	0.0274722	0.0231334	0.0181873	0.0158771	0.0167832	0.0195125	0.0301729	0.0473912
a75	0.00682834	0.00820512	0.0174093	0.0297331	0.0523509	0.0695499	0.0633346	0.0508393	0.0585752	0.0536162	0.0527113	0.0729218	0.0670678	0.0581511	0.0498821	0.0455239	0.0320007	0.0297447	0.0241373	0.0187001	0.0162327	0.0172713	0.0206981	0.0323148	0.0522004
a85	0.0110278	0.0118634	0.0179906	0.0269245	0.0434215	0.0523159	0.0485477	0.0402681	0.0491694	0.0463464	0.0467788	0.0647383	0.0702154	0.0738282	0.0697377	0.0608758	0.0428209	0.0445004	0.0364726	0.0244141	0.0186039	0.016627	0.0156551	0.0239746	0.0428816
a47	0.0170831	0.0185377	0.028113	0.0406421	0.0499038	0.0502091	0.0417785	0.0381371	0.0468669	0.0440994	0.0449429	0.0533157	0.0577485	0.0599998	0.0585631	0.053058	0.0405096	0.0469677	0.0428751	0.0301366	0.0235271	0.0214653	0.0184162	0.0277351	0.0453687
a6	0.0106845	0.0101224	0.0184784	0.0263088	0.0406319	0.0409698	0.0350529	0.0325535	0.0446505	0.0444662	0.0518824	0.0744883	0.0810233	0.0856122	0.0807657	0.0708873	0.0487313	0.0500395	0.0396842	0.0233473	0.0161066	0.0143631	0.0111108	0.0157723	0.032267
a66	0.00785601	0.00668803	0.0107898	0.0150166	0.0279192	0.0337398	0.0273031	0.0255503	0.0354584	0.0392509	0.048145	0.0770537	0.0920323	0.105668	0.102597	0.0840257	0.0631207	0.0553125	0.0440187	0.0255105	0.0171465	0.0140973	0.00874331	0.0112684	0.0216885
a62	0.00329956	0.00309353	0.00723132	0.0111155	0.0288764	0.0468763	0.0413122	0.0390126	0.0541679	0.0596567	0.072809	0.100117	0.0952109	0.0835178	0.0744315	0.068902	0.0511631	0.0432144	0.0276001	0.0163151	0.0115171	0.0111852	0.00996569	0.0143509	0.0250581
a21	0.0040526	0.00408629	0.0075401	0.0109264	0.0234498	0.0381078	0.0360788	0.0343	0.0512949	0.0578265	0.0765665	0.111723	0.105479	0.0964391	0.0810368	0.08065	0.0487863	0.0395023	0.024092	0.0131446	0.00803941	0.00778365	0.00691339	0.0112927	0.0208884
a5	0.0163002	0.0142772	0.0200952	0.0247179	0.0359528	0.0469653	0.0324834	0.030353	0.0451642	0.0491306	0.0578132	0.0805711	0.083899	0.0894902	0.0819235	0.0746709	0.0488458	0.0415738	0.0324088	0.0217539	0.0159392	0.0141185	0.00976572	0.0121046	0.0196819
a27	0.00529138	0.00496341	0.0112195	0.0152767	0.0265726	0.0390073	0.0345766	0.0308665	0.0446463	0.0488998	0.0600648	0.0999006	0.106145	0.107119	0.0939452	0.0721382	0.0484657	0.0348093	0.0251566	0.0177769	0.013009	0.0121015	0.00906585	0.0130226	0.0259604
a10	0.00336246	0.00340819	0.00844245	0.0158312	0.0326716	0.048629	0.0411381	0.0394264	0.0631767	0.0693204	0.100185	0.139041	0.112767	0.0953677	0.0744846	0.0577095	0.0307728	0.0183614	0.0106036	0.00584669	0.00356826	0.00388731	0.0037705	0.0064475	0.0117794
a75	0.00681452	0.00523783	0.00750045	0.0107254	0.0199814	0.0347819	0.0338128	0.0366676	0.0580309	0.0631735	0.0968386	0.127177	0.104229	0.0903264	0.0776728	0.0643729	0.0360246	0.0257731	0.0171702	0.0118935	0.00856023	0.00937567	0.0115558	0.0181399	0.024164
a6	0.00434858	0.00368818	0.00660527	0.00883532	0.020702	0.0395209	0.0397459	0.0360674	0.0509733	0.0562995	0.0688491	0.11742	0.109143	0.0887518	0.0746894	0.0501211	0.0402603	0.0280116	0.021571	0.0197054	0.0172237	0.0159168	0.0150533	0.023502	0.0429947
a96	0.00882043	0.00784729	0.0126137	0.0156363	0.0294022	0.0439252	0.0378548	0.0327709	0.0449746	0.0506692	0.0595588	0.0979822	0.10115	0.0915692	0.0792959	0.0555465	0.0415943	0.0271667	0.0213368	0.0186759	0.0172203	0.0179903	0.0155652	0.0236424	0.0471911
a62	0.00254898	0.00237052	0.00686519	0.0120914	0.0280373	0.046411	0.0449578	0.0416683	0.0595669	0.0672633	0.0838381	0.122086	0.111956	0.0918727	0.0749276	0.0529218	0.0372528	0.0226272	0.0161854	0.0120274	0.00930798	0.0089452	0.00754963	0.012196	0.0245259
a70	0.00342476	0.00309246	0.00642092	0.0100514	0.020016	0.0317185	0.0316441	0.0326949	0.0500767	0.0595135	0.0769602	0.106472	0.102824	0.0950873	0.0803275	0.0743388	0.0488945	0.0364176	0.029481	0.0201975	0.0142523	0.012642	0.0102422	0.0157474	0.0274625
a53	0.00348426	0.00308407	0.00602002	0.00959475	0.0189166	0.029127	0.0300104	0.0306343	0.0476538	0.0569448	0.0741337	0.104763	0.102042	0.0977389	0.083607	0.0761221	0.0513818	0.0377772	0.0313473	0.0224957	0.0166073	0.0147472	0.0109286	0.0151244	0.0257138
a90	0.00306215	0.00275655	0.0071676	0.0119888	0.0238738	0.0358536	0.0347963	0.0344606	0.0527296	0.0588171	0.0731385	0.103103	0.102896	0.0943121	0.0807075	0.0670554	0.0468347	0.0346057	0.0281835	0.0224128	0.018096	0.016545	0.0111327	0.0131443	0.0223264
a82	0.00404101	0.00373097	0.00891502	0.0140921	0.0253523	0.0355221	0.0314938	0.033203	0.0491521	0.0526649	0.0623282	0.092265	0.099235	0.0950958	0.079155	0.0647159	0.0446694	0.0372724	0.0338359	0.0288837	0.024139	0.0213276	0.0160656	0.0169068	0.0259374
a40	0.00271044	0.00245268	0.00508392	0.0090192	0.0206462	0.0321999	0.0336583	0.0338098	0.0531471	0.0618858	0.0910997	0.133007	0.11874	0.10671	0.0903696	0.0650457	0.0419687	0.0254111	0.0159428	0.0108913	0.00717496	0.00721234	0.00636059	0.0101024	0.01535
a98	0.0079202	0.00707759	0.0123737	0.0176882	0.033521	0.0486009	0.0402703	0.0414356	0.058178	0.0596482	0.0677901	0.0914498	0.0852077	0.0720422	0.0599839	0.0496952	0.036559	0.0337855	0.0264369	0.0242662	0.0227782	0.020888	0.0202488	0.024671	0.0374838
a47	0.0141085	0.0136438	0.0233286	0.0323407	0.0455479	0.0488581	0.0364174	0.0366975	0.0497685	0.0495986	0.0549858	0.0719742	0.0759863	0.0756622	0.0653159	0.0552013	0.0377936	0.0293251	0.0263221	0.0236845	0.0225415	0.0246281	0.0208288	0.0246738	0.0407671
a36	0.0142388	0.0121906	0.0173568	0.0207833	0.0366468	0.0476122	0.0361983	0.0353289	0.0475074	0.0535169	0.0641273	0.0885202	0.0894093	0.0795849	0.0662599	0.0532224	0.0412507	0.0272791	0.0229775	0.0204111	0.0192107	0.0201141	0.0175466	0.0240781	0.0446281
a57	0.0105802	0.00917979	0.0125195	0.0160321	0.0317641	0.0543212	0.0435617	0.0393158	0.0525558	0.0572807	0.0676172	0.0929926	0.0937983	0.0805656	0.067892	0.0524345	0.0412043	0.0277362	0.0197147	0.0171859	0.0156843	0.0155446	0.0152789	0.0235013	0.0417386
a87	0.0135784	0.0126276	0.0191304	0.0241126	0.0351249	0.0465794	0.0433451	0.0431381	0.0576616	0.0641811	0.0766038	0.096554	0.0965087	0.0764931	0.060711	0.0463788	0.0359504	0.0216471	0.0141023	0.0117161	0.00922898	0.00988496	0.0128426	0.0273878	0.0445111
a23	0.021835	0.0174199	0.0161068	0.0164348	0.0191078	0.0238133	0.0387686	0.0386532	0.0373487	0.0384631	0.0366135	0.038062	0.042411	0.0362394	0.036347	0.0328674	0.0296723	0.0273454	0.0249141	0.0280708	0.0297681	0.0322395	0.0728288	0.12267	0.142
a38	0.0155562	0.0112692	0.00837398	0.00761215	0.0079691	0.00902583	0.0129715	0.0141349	0.0138762	0.0172628	0.0154994	0.0173599	0.0260273	0.0268755	0.0306384	0.0322822	0.0419808	0.0468986	0.0533702	0.0593526	0.0622124	0.0673054	0.0924152	0.137154	0.172577
a70	0.00217032	0.00142382	0.00129802	0.00141271	0.00278167	0.00437454	0.00805983	0.00852027	0.0085894	0.00995833	0.0106559	0.0131049	0.0148039	0.0130383	0.0144435	0.0129017	0.0170805	0.0173765	0.0245723	0.0339715	0.0437205	0.0680149	0.127122	0.221151	0.319454
a75	0.000805126	0.000587036	0.0010353	0.00168344	0.00372526	0.00602611	0.0103316	0.0114412	0.0148496	0.0180199	0.022502	0.030371	0.0327108	0.0326789	0.0336891	0.0280068	0.0261818	0.0246594	0.0274438	0.0334026	0.0418332	0.0630593	0.102625	0.173391	0.258941
a79	0.00531731	0.00411265	0.00851193	0.0128544	0.0227948	0.0275002	0.0342286	0.0324011	0.0424021	0.0416898	0.0453906	0.0538786	0.0508196	0.0479424	0.0441144	0.0394572	0.0324987	0.0326787	0.035603	0.0332355	0.0318193	0.0333228	0.0500435	0.0906768	0.146706
a15	0.00445282	0.00392346	0.00904211	0.0138996	0.0226557	0.0262995	0.032799	0.0328148	0.0438058	0.0471182	0.0541603	0.0743519	0.0699859	0.0636299	0.0536339	0.0414873	0.0315592	0.0253334	0.027215	0.0266796	0.0275698	0.0309987	0.0410856	0.0727247	0.122774
a92	0.00359663	0.0032349	0.00712719	0.0109584	0.0176065	0.0207865	0.0226276	0.0244059	0.0344394	0.0412984	0.0526368	0.0754906	0.0797986	0.0772821	0.0678202	0.0528593	0.0398563	0.0312588	0.0295586	0.0273157	0.0261515	0.0288669	0.0398744	0.0684303	0.116718
a37	0.00364868	0.00313679	0.00664115	0.009626	0.0153778	0.0177957	0.0195507	0.0206773	0.0280057	0.0335645	0.0426482	0.0602075	0.0671046	0.0691773	0.0627087	0.0526855	0.0416112	0.0335856	0.0331474	0.0316545	0.0308639	0.0359672	0.0495165	0.088126	0.142972
a85	0.00212127	0.0017403	0.00315917	0.00516381	0.00930852	0.0135004	0.0134398	0.014387	0.0214142	0.0258866	0.0341026	0.0529005	0.0574443	0.0613866	0.0562613	0.0425333	0.0350374	0.0284362	0.0292484	0.0290941	0.0303234	0.0424003	0.074482	0.128514	0.187715
a44	0.00328483	0.00272257	0.00493471	0.00689365	0.0125467	0.0148176	0.0144578	0.016335	0.0214939	0.0273742	0.0352804	0.0557355	0.0647115	0.070716	0.0661785	0.0498113	0.0432314	0.0289323	0.0309954	0.0293237	0.0300405	0.0441719	0.0579688	0.0984528	0.169589
a38	0.0015537	0.00151512	0.00298305	0.00534391	0.0110544	0.0154358	0.0138166	0.0147813	0.0198307	0.0273855	0.0369337	0.0635893	0.0714371	0.0769516	0.070475	0.0480795	0.0428826	0.027211	0.0288851	0.0279599	0.0294535	0.0509929	0.0605541	0.0996622	0.151232
a90	0.00226458	0.00210563	0.00302776	0.00483439	0.00899354	0.0134375	0.013165	0.013164	0.0170537	0.0220615	0.0310157	0.0542542	0.0597731	0.0655076	0.0622132	0.0451202	0.0387247	0.0269729	0.0264254	0.0262942	0.0281342	0.0495861	0.0688452	0.126614	0.190412
a56	0.00195203	0.00187818	0.0029708	0.00464619	0.00811605	0.0107024	0.0103886	0.0119057	0.0160052	0.0220492	0.032365	0.0556503	0.066937	0.0795271	0.0760248	0.0574398	0.0483136	0.0347628	0.0342548	0.0325994	0.0322668	0.0500441	0.0617224	0.101059	0.146419
a21	0.00139976	0.00136349	0.00240141	0.00382246	0.00606778	0.00753286	0.0077874	0.0087709	0.011555	0.0164855	0.0248096	0.0447656	0.0559299	0.0704113	0.0690448	0.0539309	0.0451793	0.0318366	0.0339366	0.0333939	0.0340951	0.0576654	0.0760826	0.12671	0.175022
a5	0.00259343	0.00241353	0.00335887	0.00457412	0.00703734	0.00984487	0.0107388	0.0111769	0.0155393	0.0194747	0.0266943	0.0421121	0.0455933	0.0537964	0.0527319	0.045091	0.0382338	0.0305957	0.0357063	0.0372741	0.0405354	0.064436	0.103782	0.141588	0.155078
a11	0.00197441	0.00182414	0.00259773	0.00354361	0.0053367	0.00700564	0.00745282	0.0077568	0.0106203	0.0139932	0.0201043	0.033983	0.0404468	0.0530679	0.0545923	0.0476839	0.0398653	0.0325951	0.0386935	0.0400411	0.0424919	0.0691605	0.106473	0.148854	0.169842
a24	0.001776	0.00161662	0.00272253	0.00386736	0.00554008	0.00644765	0.00697658	0.00725676	0.00947762	0.0115255	0.0156164	0.0263482	0.0292771	0.0352155	0.0349644	0.029391	0.0242598	0.01748	0.0175336	0.0177999	0.0198431	0.0440774	0.101344	0.21209	0.317552
a83	0.00271427	0.00243643	0.00327842	0.00397673	0.00498211	0.00510787	0.00584469	0.00626312	0.00762062	0.00895486	0.0112792	0.0184256	0.0211495	0.0254222	0.0258177	0.0219546	0.0199664	0.014954	0.0150704	0.0151274	0.0159656	0.0324953	0.0937599	0.230824	0.386609
a9	0.00220041	0.00185739	0.00324053	0.00442747	0.0069254	0.00843852	0.0105721	0.01007	0.0118497	0.0127083	0.0153605	0.0256812	0.0260301	0.0248731	0.0235762	0.017244	0.0174371	0.0114995	0.00965925	0.0106209	0.0123297	0.028107	0.0915353	0.223798	0.389958
a38	0.00538498	0.00415607	0.00457729	0.00583507	0.00899306	0.0126127	0.0137096	0.0127153	0.0131996	0.0144243	0.0159665	0.022325	0.0231558	0.0220431	0.021363	0.0154293	0.0178551	0.0124899	0.0119318	0.0141	0.0170296	0.0363432	0.111631	0.229044	0.333685
a75	0.00172532	0.00137276	0.00164642	0.00201643	0.0031213	0.00454131	0.00528599	0.00495744	0.00545186	0.00624789	0.00774106	0.0121572	0.0130605	0.0133019	0.0137259	0.0105603	0.011902	0.00940843	0.00859594	0.0103798	0.0137934	0.0315435	0.114178	0.285666	0.407619
a6	0.00175148	0.00166677	0.00254998	0.00340536	0.00521637	0.00552143	0.00740908	0.00757602	0.00864246	0.0111891	0.0151963	0.0261324	0.0287784	0.0347481	0.0354437	0.0290107	0.0251055	0.0195231	0.0210432	0.0227512	0.0269195	0.0538482	0.114294	0.209063	0.283215
a36	0.00105431	0.0010427	0.00157989	0.00217432	0.00361625	0.00433647	0.00539057	0.00508297	0.00544316	0.00663407	0.00823223	0.0150548	0.0171427	0.0203035	0.0207667	0.0164981	0.0147206	0.0115132	0.011887	0.013462	0.0172634	0.040363	0.115368	0.254322	0.386748
a2	0.0011431	0.00107965	0.00181609	0.00283303	0.00556794	0.00856471	0.010812	0.00921728	0.00950777	0.010256	0.0113529	0.0206626	0.0216538	0.0213225	0.0208793	0.0139958	0.0143158	0.0101925	0.00858186	0.00970728	0.0124577	0.0275352	0.09783	0.247187	0.401528
a57	0.00800422	0.00646793	0.00779295	0.0109435	0.0188908	0.0274371	0.0367181	0.0354142	0.0316002	0.0320002	0.0279367	0.0356042	0.0373774	0.0323668	0.0307785	0.0210239	0.0244967	0.0155177	0.0165057	0.0206585	0.0252276	0.0476132	0.10776	0.151746	0.190118
a87	0.0331994	0.0209497	0.0146574	0.0159829	0.0197114	0.0207886	0.0260821	0.0222117	0.0195996	0.0218238	0.0183452	0.0242318	0.0333039	0.0331401	0.0335723	0.0297126	0.0403564	0.0317577	0.0315935	0.0323271	0.037065	0.057869	0.106024	0.128241	0.147455
a23	0.0369426	0.0258435	0.0206817	0.0209847	0.0267785	0.0256441	0.0331531	0.0256466	0.0209785	0.0227396	0.017694	0.0217771	0.0300789	0.0284247	0.0295697	0.0268959	0.0411058	0.0359362	0.0411102	0.0459994	0.0547558	0.0658982	0.0919753	0.104258	0.105128
a87	0.00736167	0.00502591	0.00301317	0.00243851	0.00269418	0.00215793	0.00440607	0.00393328	0.00303964	0.00389502	0.00284416	0.00381647	0.00719998	0.00812607	0.0106043	0.00953187	0.0188894	0.023611	0.0366833	0.0599911	0.0996657	0.140375	0.182075	0.180216	0.178405
</S>	0.00629515	0.00448341	0.00394698	0.00476758	0.00747257	0.00644868	0.00903754	0.00665937	0.00477969	0.0053751	0.00380625	0.00474981	0.00679686	0.00662606	0.00774246	0.0063757	0.0110991	0.011634	0.0198396	0.0341502	0.0646232	0.0943717	0.173783	0.234999	0.260137
