 	quand	je	suis	arrivé	il	y	avait	déjà	une	grande	assemblée	à	la	place	mortuaire	</S>
a57	0.0290477	0.0357566	0.0570705	0.0943066	0.11898	0.132383	0.149065	0.125813	0.0851358	0.0526022	0.0213609	0.0220426	0.0143271	0.015346	0.0210302	0.0257331
a87	0.0211943	0.0285295	0.0512547	0.0849303	0.115595	0.131367	0.158664	0.137024	0.0881251	0.0521753	0.0224346	0.0213258	0.015116	0.0160133	0.0223149	0.0339377
a23	0.0177001	0.0223347	0.0438769	0.0737455	0.107327	0.120974	0.15225	0.124874	0.0741753	0.0444014	0.0295595	0.0269111	0.0245425	0.0291108	0.0401447	0.068072
a99	0.0178754	0.0213613	0.0431177	0.0685721	0.0947959	0.109527	0.119404	0.0830839	0.0427869	0.0298787	0.0276431	0.0213101	0.0194797	0.0356586	0.0679898	0.197516
a20	0.0199355	0.0199355	0.0399843	0.0630869	0.0795929	0.082802	0.115875	0.109272	0.0668291	0.0453401	0.0396301	0.0373394	0.0380986	0.0449521	0.0680538	0.129273
a41	0.0197035	0.0238632	0.036976	0.0598328	0.0736065	0.0809658	0.0917643	0.0789595	0.0468596	0.03188	0.0345085	0.0365452	0.0345778	0.0732343	0.10862	0.168103
a26	0.0197388	0.02441	0.0385564	0.0638678	0.0796765	0.0903786	0.100335	0.081435	0.0542976	0.0411612	0.0493758	0.0564663	0.0463599	0.0631872	0.0774186	0.113335
a75	0.0119	0.0146523	0.0270659	0.0560983	0.0776324	0.0961606	0.121174	0.107898	0.0788201	0.0555352	0.0463364	0.0505692	0.0436182	0.0522115	0.0680368	0.0922913
a41	0.0156162	0.0155948	0.0212207	0.0408003	0.0584754	0.0771218	0.101228	0.0913799	0.0699243	0.0499636	0.05391	0.0604554	0.0507986	0.0632793	0.0951858	0.135046
a24	0.0179933	0.0208255	0.0255169	0.0472588	0.0584203	0.0690864	0.0837869	0.0732264	0.0576689	0.0410549	0.0709425	0.0766977	0.0598692	0.0694794	0.0844236	0.143749
a41	0.0102055	0.0123192	0.0171803	0.0284996	0.0420688	0.0558237	0.0784755	0.0814644	0.0759009	0.051778	0.054527	0.0733466	0.0761905	0.0927322	0.1148	0.134688
a18	0.016321	0.0183852	0.0185836	0.0304596	0.035882	0.0427279	0.057492	0.0597289	0.0565406	0.042052	0.0739488	0.0829599	0.0817228	0.105466	0.120091	0.157639
a21	0.0135008	0.015014	0.0178566	0.0294971	0.0379643	0.0524382	0.0761755	0.0821341	0.0732979	0.0491346	0.0443461	0.0500175	0.0567012	0.0799628	0.137607	0.184352
a41	0.0202193	0.0226143	0.0225224	0.0349589	0.044306	0.0547163	0.0703511	0.0696313	0.0632082	0.0432126	0.0523314	0.0579132	0.0620762	0.0812012	0.13524	0.165498
a2	0.0111345	0.012299	0.0127147	0.0236886	0.0305747	0.0354744	0.0461289	0.0419513	0.0343979	0.0201088	0.0370788	0.0461617	0.0704239	0.130264	0.185465	0.262134
a75	0.00639812	0.00677733	0.00818346	0.0141341	0.0237337	0.0357351	0.0532572	0.0483488	0.038981	0.025421	0.0317773	0.0241477	0.0321514	0.0620599	0.150082	0.438812
a41	0.0132237	0.0150519	0.0156009	0.0251865	0.0344736	0.040058	0.0508414	0.0403805	0.0307467	0.01893	0.0261344	0.0287064	0.0508624	0.108517	0.184432	0.316855
a94	0.00906557	0.0113774	0.0127262	0.0232996	0.0310203	0.0336439	0.0418385	0.0347672	0.0289753	0.0174547	0.0320852	0.0369609	0.055491	0.119612	0.188238	0.323443
a54	0.00429999	0.0046163	0.00573616	0.010579	0.0168557	0.0224542	0.0294694	0.0238071	0.0176338	0.0104223	0.0118376	0.0137414	0.0255956	0.0822889	0.225899	0.494764
a73	0.0100731	0.0116734	0.0121001	0.0198785	0.0282217	0.0358965	0.0433168	0.034294	0.0235985	0.0133137	0.0200041	0.0241963	0.0469341	0.120562	0.211515	0.344423
a84	0.0100504	0.0140348	0.0160676	0.0246609	0.035194	0.0471442	0.0563531	0.0459786	0.0351711	0.0222687	0.0409822	0.0414465	0.060468	0.120909	0.166137	0.263134
a57	0.00347169	0.00428054	0.00585141	0.00863714	0.0149238	0.0235601	0.0326071	0.0251923	0.0200524	0.0142436	0.0247237	0.0162627	0.0261157	0.0755806	0.183248	0.52125
a87	0.00744151	0.00907518	0.00901523	0.0106866	0.0165539	0.0276257	0.031763	0.0225578	0.0190845	0.0126854	0.0332648	0.0196291	0.0310037	0.0765825	0.227016	0.446015
a23	0.00689648	0.00934404	0.0120582	0.0153008	0.0232026	0.0319296	0.036525	0.0248158	0.0204405	0.0146009	0.0491097	0.0314828	0.0393185	0.0786493	0.198885	0.407441
a87	0.00717938	0.00947152	0.0133861	0.0152959	0.0220396	0.0231823	0.0298372	0.0259999	0.0288029	0.0258331	0.0798218	0.0679184	0.0898028	0.108135	0.195991	0.257303
</S>	0.00599837	0.00933783	0.0139809	0.0175828	0.0253209	0.0291262	0.0371222	0.0268506	0.0228362	0.0156745	0.0442238	0.0358142	0.0416906	0.082625	0.206683	0.385133
