 	dans	leur	parcelle	il	y	a	un	chiot	dodu	</S>
a37	0.0474538	0.0466488	0.0427113	0.048712	0.0520493	0.0904691	0.114381	0.13349	0.179973	0.244113
a75	0.0154306	0.0176963	0.0222098	0.0424427	0.0357881	0.0765777	0.120884	0.137578	0.221887	0.309506
a13	0.0421049	0.0409797	0.0401552	0.0513184	0.0459333	0.0729637	0.100742	0.110744	0.178213	0.316846
a11	0.00767198	0.00892569	0.0107382	0.0202883	0.0163725	0.034021	0.0705685	0.0931669	0.273171	0.465076
a70	0.0024278	0.00253877	0.00282448	0.00580417	0.00499719	0.0123427	0.0337091	0.0461701	0.264556	0.62463
a83	0.00127729	0.00134414	0.00148423	0.00290931	0.00265871	0.00666531	0.0188127	0.0287033	0.223509	0.712636
a61	0.00119162	0.00117162	0.00120767	0.00229872	0.0020677	0.00512825	0.0166714	0.0267649	0.201858	0.74164
a21	0.00076405	0.000845164	0.0010646	0.00259169	0.00239965	0.00668342	0.0193435	0.0301138	0.22968	0.706514
a66	0.00158569	0.00181855	0.00235924	0.00567005	0.00530142	0.0137829	0.0368494	0.0480736	0.245049	0.63951
a11	0.00058862	0.000602844	0.000672048	0.00131673	0.00122491	0.00270773	0.00714652	0.0136188	0.152416	0.819706
a70	0.000530354	0.000428099	0.000432259	0.000649632	0.000631217	0.00116807	0.00358986	0.00986284	0.155326	0.827382
a83	0.000286585	0.000281487	0.000329899	0.000654562	0.000614311	0.00142895	0.00431957	0.00910352	0.135064	0.847917
a61	0.000485765	0.000492062	0.000580275	0.00117128	0.00105824	0.00215292	0.00588632	0.0125988	0.140999	0.834576
a21	0.000277799	0.000299324	0.000378651	0.000857552	0.000799104	0.00184307	0.00597348	0.0148697	0.172817	0.801884
a47	0.00045312	0.000510953	0.000653514	0.00159139	0.00147241	0.00353924	0.0118511	0.0237201	0.194507	0.761701
a88	0.000647772	0.000694058	0.000855486	0.00167782	0.00150555	0.00278238	0.00836539	0.0211891	0.18034	0.781942
a25	0.00044377	0.000349113	0.000340019	0.000650004	0.000531457	0.00117686	0.00476499	0.0158206	0.179172	0.796751
a87	0.000274604	0.000217867	0.000216377	0.000356909	0.000295049	0.000519273	0.00216915	0.00909723	0.124662	0.862192
a97	0.00555601	0.00401394	0.00448545	0.00633221	0.00702716	0.0109313	0.0218549	0.0487884	0.262297	0.628714
a99	0.0394164	0.0201496	0.0204355	0.0260649	0.0301319	0.0346791	0.0361427	0.0599402	0.232882	0.500158
a97	0.0488407	0.0212656	0.0157634	0.0172575	0.0185373	0.025555	0.0260316	0.0441714	0.227921	0.554657
a82	0.0231466	0.0122058	0.014137	0.0217421	0.0282202	0.029173	0.0282129	0.0466564	0.222154	0.574351
</S>	0.0461853	0.0268271	0.029475	0.0406518	0.0466077	0.0480413	0.0436627	0.0658359	0.202348	0.450365
