 	la	manière	dont	ils	ont	déboucher	mon	étang	m'	a	énervé	</S>
a62	0.00939894	0.00579718	0.0051644	0.00624668	0.0109172	0.0077418	0.0251727	0.029402	0.0416646	0.0880036	0.237183	0.533308
a12	0.00161179	0.000976654	0.00106278	0.00132255	0.0029007	0.0018428	0.0100954	0.0147798	0.0246736	0.0833567	0.269225	0.588152
a18	0.000225188	0.000120895	0.000134343	0.000271739	0.000997886	0.00107316	0.00596241	0.0092405	0.0130452	0.0381966	0.196056	0.734676
a25	0.000877328	0.000593834	0.000689121	0.00101022	0.00259744	0.00184262	0.00870716	0.0117871	0.0176201	0.0521133	0.209265	0.692897
a87	0.00427568	0.0029527	0.00344258	0.00406392	0.0075221	0.0046989	0.0172633	0.0216367	0.0309807	0.0801569	0.245642	0.577364
a23	0.0612014	0.031242	0.0257181	0.0271087	0.0289662	0.0205831	0.0387091	0.0399099	0.0443693	0.0682724	0.18001	0.433909
a97	0.0501629	0.0267875	0.0264081	0.0376462	0.0499776	0.0373932	0.0745962	0.0674282	0.0737177	0.0872183	0.164883	0.303781
a87	0.0507003	0.0326817	0.0360502	0.0518505	0.0761235	0.0651732	0.0770581	0.0626126	0.0570144	0.0610898	0.117307	0.312339
a23	0.0780654	0.0475945	0.042397	0.0615684	0.0833429	0.0710234	0.0744404	0.0556456	0.0507208	0.0555146	0.102438	0.277249
a87	0.0870795	0.0552746	0.0467046	0.0545859	0.0766898	0.0517907	0.0775313	0.0491113	0.0548803	0.0602944	0.107541	0.278516
a23	0.0742294	0.040776	0.0357256	0.0542324	0.0731248	0.043133	0.0596779	0.0377595	0.0432625	0.0505425	0.109067	0.37847
a97	0.0951977	0.0560455	0.0408842	0.0490712	0.0650116	0.040398	0.0604584	0.0429769	0.0530345	0.0604826	0.109647	0.326793
</S>	0.105951	0.0465832	0.0413415	0.0604937	0.0649926	0.043123	0.0509805	0.0366325	0.0417857	0.0465236	0.0945248	0.367068
