 	les	arbres	perdent	leurs	feuilles	pen	dant	la	petite	saison	sèche	</S>
a12	0.00125499	0.00279586	0.00236345	0.00585701	0.0147253	0.0115376	0.0468924	0.080575	0.124667	0.167065	0.248355	0.293911
a18	0.0012744	0.00273882	0.00249768	0.00576297	0.0146971	0.0109664	0.0485338	0.0833573	0.121845	0.157626	0.2474	0.3033
a34	0.000533053	0.000688673	0.00103708	0.00192454	0.00441263	0.0045724	0.0248149	0.0538977	0.0994337	0.147566	0.26976	0.391359
a47	0.000962098	0.00198603	0.00216522	0.00477534	0.00989966	0.00901352	0.0352378	0.0644643	0.109846	0.152503	0.262486	0.346661
a61	0.00065057	0.00138708	0.0016901	0.00284923	0.00608586	0.00580544	0.0240662	0.0496141	0.0966076	0.159346	0.285203	0.366695
a88	0.000306773	0.000687269	0.000771189	0.00186428	0.00437327	0.00400015	0.0185297	0.0431263	0.0884754	0.141151	0.271769	0.424946
a71	0.000316882	0.000438014	0.000553391	0.00100876	0.00204847	0.00230218	0.0127362	0.0332827	0.0687378	0.137617	0.285348	0.455611
a9	0.00116539	0.00109487	0.00127276	0.00216668	0.00373412	0.00460846	0.0277348	0.0732058	0.11679	0.176148	0.262494	0.329586
a3	0.0135018	0.00826601	0.00565369	0.00921236	0.00830245	0.0116449	0.0656063	0.126839	0.165314	0.184706	0.201971	0.198983
a97	0.0158857	0.00834536	0.00677905	0.0156062	0.0191285	0.0290145	0.110527	0.160497	0.17156	0.168041	0.159364	0.135251
a99	0.0189729	0.00964644	0.00956043	0.0248526	0.0338569	0.0500352	0.125443	0.159997	0.159377	0.150601	0.139803	0.117854
a97	0.0216025	0.00836803	0.00859356	0.0207249	0.0292724	0.0407348	0.0894632	0.114224	0.122812	0.147723	0.182513	0.213968
a38	0.0132961	0.00626625	0.0073918	0.0134696	0.0193576	0.0274671	0.05813	0.0832762	0.0992612	0.13845	0.217019	0.316615
</S>	0.00858026	0.0036586	0.00413923	0.00908976	0.0127569	0.016175	0.0350306	0.0545574	0.0789273	0.128422	0.234557	0.414106
