 	on	l'	avait	initié	à	la	chasse	aux	éléphants	au	pays	ngaé	</S>
a4	0.0145516	0.0118916	0.0131817	0.0207222	0.0278539	0.0485154	0.0776998	0.0896771	0.104247	0.116042	0.145278	0.139995	0.190344
a13	0.00808312	0.00672673	0.00721349	0.00947431	0.0124538	0.0210508	0.0377688	0.0568167	0.0831007	0.115212	0.166548	0.196966	0.278586
a11	0.00388327	0.00296854	0.00331493	0.00299011	0.00413814	0.00707748	0.0126743	0.0216625	0.0401205	0.0850911	0.198384	0.265728	0.351967
a75	0.00360512	0.00266631	0.00273661	0.00281323	0.00398892	0.006888	0.0130571	0.0213474	0.0363397	0.0706593	0.179961	0.288459	0.367479
a92	0.000783984	0.00068714	0.000835248	0.00152167	0.00239021	0.00495295	0.0103965	0.0200246	0.0338454	0.0632818	0.135459	0.244755	0.481066
a79	0.000691821	0.000585914	0.000686561	0.00116123	0.00170414	0.00326673	0.00688105	0.0145767	0.0268184	0.0533099	0.124719	0.277881	0.487717
a98	0.000320402	0.000327389	0.00047982	0.000967434	0.00150564	0.00283702	0.00525168	0.0110176	0.0204471	0.0439721	0.108805	0.24684	0.557229
a92	0.000221864	0.000241074	0.000333077	0.00055797	0.000699997	0.00121634	0.00240639	0.005802	0.0127636	0.0280905	0.0820365	0.212633	0.652998
a37	0.000247695	0.00018975	0.000214276	0.000314999	0.000471979	0.000875302	0.00198402	0.00584054	0.0129425	0.0264398	0.0907957	0.255548	0.604135
a75	0.000490893	0.000339124	0.000343213	0.000348582	0.000485984	0.000848148	0.00204088	0.00507065	0.0116384	0.0269073	0.110139	0.286925	0.554422
a92	0.000125326	9.39021e-05	9.89251e-05	0.000122496	0.00017197	0.000326529	0.000863926	0.00249798	0.00660485	0.0175388	0.0835581	0.233434	0.654563
a56	0.000193068	0.000141462	0.000143377	0.000173623	0.000228266	0.000388165	0.00102872	0.00275507	0.00763202	0.0208565	0.102973	0.27949	0.583996
a96	0.000235124	0.000163254	0.000165592	0.000185365	0.000275995	0.000491766	0.00123409	0.00284582	0.00685033	0.0183039	0.0869067	0.267716	0.614626
a75	0.000484518	0.000311903	0.000295146	0.000347597	0.000618521	0.00116497	0.00256829	0.00484635	0.00955994	0.0248326	0.103262	0.244644	0.607064
a5	0.000133432	8.17715e-05	7.8292e-05	8.53989e-05	0.000150346	0.000318821	0.000891858	0.00215623	0.00537291	0.0147849	0.0868247	0.250691	0.638431
a61	0.000345549	0.000229439	0.000205529	0.000236069	0.000383261	0.000711763	0.00168127	0.00310387	0.00630614	0.0165519	0.074821	0.223804	0.67162
a18	0.00061243	0.000416053	0.000363184	0.000426274	0.000756317	0.0014179	0.00311355	0.00525873	0.00877436	0.0191199	0.0682876	0.199048	0.692406
a25	0.0120143	0.00868181	0.0069054	0.00566824	0.0075417	0.0101662	0.0179976	0.0289877	0.0364657	0.0505192	0.119324	0.196734	0.498994
a3	0.122664	0.084065	0.0631977	0.0427294	0.0390548	0.0361	0.0472163	0.0482744	0.0443246	0.0465721	0.0763539	0.105809	0.243639
a99	0.162721	0.103137	0.0762389	0.0524156	0.0391056	0.0285294	0.0271932	0.0186693	0.0183221	0.0252903	0.0886722	0.123982	0.235724
a82	0.0461947	0.0232479	0.014968	0.0102269	0.00849535	0.00686338	0.00722216	0.00618136	0.00966439	0.0201788	0.0995685	0.217162	0.530027
</S>	0.0243004	0.0127457	0.00944332	0.00835286	0.00753555	0.00724534	0.00814025	0.00748144	0.0111849	0.0196845	0.0858053	0.243402	0.554678
