 	j'	ai	fini	par	dormir	dans	la	cuisine	puisque	j'	ai	reçu	des	visiteurs	</S>
a13	0.0428221	0.0275444	0.0255488	0.0254171	0.0376646	0.0374289	0.0436701	0.0770899	0.112324	0.114318	0.0914671	0.0864573	0.0747965	0.0764508	0.127
a99	0.0180336	0.0107768	0.00958971	0.00861882	0.0114063	0.0134912	0.0183503	0.0426513	0.0985868	0.102321	0.0728481	0.0628237	0.0726645	0.143608	0.31423
a87	0.00455232	0.00301201	0.00275316	0.00314126	0.00550817	0.00809057	0.0107091	0.0317307	0.0711572	0.0842227	0.0621022	0.0544332	0.0834574	0.177903	0.397227
a23	0.0564508	0.0304974	0.0249398	0.0211895	0.0213503	0.0198966	0.0246135	0.0457725	0.0728918	0.0771485	0.072167	0.0756774	0.11249	0.153223	0.191691
a10	0.0265926	0.0126328	0.00929884	0.0145326	0.0170585	0.0145883	0.0210144	0.0288122	0.0259661	0.056736	0.0781936	0.0894517	0.125904	0.15229	0.326928
a50	0.00379306	0.00180047	0.00164482	0.00355602	0.00598975	0.00717489	0.011063	0.0159665	0.0179231	0.0487163	0.0663004	0.0954283	0.154085	0.211651	0.354907
a62	0.00131478	0.000593793	0.000516436	0.000739759	0.00104761	0.00150143	0.00295434	0.00675973	0.00626602	0.0274104	0.0506065	0.082347	0.162341	0.249161	0.40644
a31	0.000806867	0.000466433	0.000463858	0.000636487	0.00101423	0.00172704	0.00324631	0.00799661	0.00729701	0.0298857	0.0497681	0.0699676	0.135118	0.245119	0.446487
a88	0.00131229	0.000992335	0.000994855	0.00144237	0.00231103	0.0041777	0.00728279	0.0151085	0.0152799	0.0379086	0.0606863	0.0825092	0.152323	0.244039	0.373632
a62	0.00104655	0.000800936	0.000880532	0.00159933	0.00259216	0.00437221	0.0074237	0.0158553	0.0165922	0.044561	0.0680978	0.0877576	0.152598	0.248595	0.347227
a21	0.000992107	0.000725773	0.000808031	0.00162434	0.00280856	0.00469849	0.00823288	0.0173944	0.0176393	0.0606324	0.0879717	0.101903	0.155084	0.237552	0.301933
a85	0.000984869	0.000771904	0.000820674	0.000975567	0.00158281	0.0025771	0.00429589	0.00896909	0.0119827	0.0183916	0.0298731	0.0508498	0.131916	0.268554	0.467455
a47	0.00039884	0.000369016	0.000508439	0.000806904	0.00167836	0.00261398	0.00333924	0.00697114	0.00780166	0.0123867	0.0163514	0.0340688	0.111849	0.275011	0.525846
a36	0.000159732	0.000137324	0.000186139	0.000310144	0.000740638	0.00145532	0.00208916	0.0060362	0.00685042	0.0122513	0.0162099	0.02821	0.0893549	0.259888	0.576121
a56	0.000354114	0.000274043	0.000292171	0.000459553	0.000873052	0.00122328	0.00167449	0.00585002	0.0127035	0.0234455	0.0217131	0.0218941	0.0659986	0.255181	0.588063
a93	0.000137914	0.000105031	0.000126644	0.000273027	0.000717735	0.00123722	0.00210674	0.00673606	0.0103219	0.0189377	0.0241114	0.0329443	0.0906109	0.248644	0.56299
a70	0.000137533	0.000114874	0.000140288	0.000317834	0.000789117	0.00119528	0.00189349	0.00568368	0.0080837	0.0156802	0.0185157	0.0246998	0.073409	0.241009	0.608331
a13	0.00016789	0.000114003	0.0001199	0.000284572	0.000703208	0.00105111	0.00138814	0.00366046	0.00413309	0.0133913	0.0136753	0.0176538	0.0661202	0.274404	0.603133
a71	0.00126401	0.000619459	0.000570477	0.00134964	0.00327149	0.00479112	0.00488049	0.00990422	0.011818	0.0210422	0.0213988	0.024027	0.087412	0.327767	0.479884
a3	0.00731022	0.00418174	0.00401083	0.00548187	0.0108442	0.0143271	0.0138246	0.0291546	0.0347583	0.0444242	0.0427486	0.0421648	0.111111	0.280428	0.35523
a87	0.0316481	0.0163838	0.0161787	0.0139715	0.0182777	0.0196073	0.0232471	0.0460113	0.0920694	0.102959	0.0890217	0.0661633	0.105905	0.186186	0.17237
a23	0.0660189	0.0316741	0.030174	0.027555	0.0303188	0.0321433	0.0477315	0.07623	0.106426	0.114215	0.106348	0.0741089	0.0813703	0.0878324	0.0878537
a87	0.0626389	0.0240991	0.0190377	0.0177474	0.0158639	0.0112257	0.0192856	0.0260599	0.0129153	0.0369659	0.0437564	0.0360876	0.0819883	0.179207	0.413121
a23	0.0350704	0.0153899	0.0133746	0.0105161	0.0110955	0.0107182	0.0192487	0.0320775	0.0254914	0.0336594	0.0319285	0.0286046	0.0623696	0.169775	0.500681
a87	0.0350457	0.0153857	0.0135777	0.0160976	0.0177294	0.0164539	0.0329232	0.0468886	0.0231701	0.0442211	0.0413498	0.0323489	0.0752343	0.168741	0.420832
a97	0.0243449	0.0118923	0.0118199	0.011712	0.0118051	0.0115515	0.0220041	0.0309299	0.0164844	0.0282946	0.0274697	0.0253536	0.0641591	0.176249	0.52593
a87	0.0295124	0.0159551	0.0171335	0.0184563	0.0234128	0.0223205	0.0420136	0.0538743	0.0286009	0.0456625	0.0440086	0.0369189	0.0660385	0.149957	0.406135
</S>	0.089369	0.0486832	0.0502846	0.0387901	0.0439981	0.0384996	0.0575365	0.0578393	0.040791	0.0513141	0.0451592	0.0327051	0.0486685	0.0933068	0.263055
