 	ibhoyi	chante	doucement	et	cela	fait	un	beau	chant	</S>
a47	0.0510056	0.0581476	0.122209	0.130372	0.125716	0.0917649	0.0755088	0.0735177	0.103718	0.16804
a96	0.0451124	0.0514676	0.100967	0.121707	0.128046	0.0893494	0.0825141	0.0811574	0.113838	0.185841
a62	0.0283475	0.0318815	0.06551	0.0909299	0.0981076	0.0764221	0.0853565	0.0913585	0.152755	0.279332
a61	0.0227783	0.024663	0.0465208	0.0682788	0.0761996	0.0639482	0.0875459	0.108458	0.177591	0.324017
a12	0.0140306	0.0159379	0.0327845	0.0495019	0.0555894	0.050227	0.0815803	0.115652	0.20476	0.379936
a96	0.0133101	0.0147401	0.0271492	0.0398693	0.0442411	0.0402168	0.0731625	0.126898	0.225101	0.395312
a88	0.00856018	0.00974149	0.0182816	0.0284456	0.0317303	0.0303168	0.0591351	0.109382	0.237385	0.467022
a71	0.00583253	0.00642892	0.0124377	0.0205272	0.0245881	0.022594	0.0473735	0.0930988	0.233963	0.533156
a9	0.0199575	0.0220365	0.0452254	0.0678503	0.0792506	0.0549851	0.0804781	0.113838	0.187398	0.32898
a87	0.070083	0.0563144	0.10152	0.119539	0.135728	0.0879808	0.0829677	0.0924774	0.115683	0.137706
a23	0.0842359	0.0511693	0.103683	0.130399	0.165032	0.131438	0.105594	0.0880428	0.0759371	0.0644681
a99	0.0388977	0.0194177	0.0352959	0.0423795	0.0588776	0.0865511	0.118598	0.146389	0.205485	0.248108
a54	0.0187252	0.015516	0.0281084	0.0344464	0.0464801	0.0625424	0.0991771	0.137098	0.231082	0.326824
a79	0.0145034	0.0127274	0.0328642	0.0430756	0.0663072	0.0747235	0.0944291	0.115416	0.227901	0.318053
a44	0.00454542	0.0055991	0.0188126	0.0264279	0.0436948	0.0549623	0.0793306	0.113757	0.262346	0.390524
a90	0.00258104	0.00331253	0.0102539	0.0171648	0.027113	0.0337522	0.0618774	0.0983485	0.25908	0.486517
a93	0.00161182	0.00191268	0.00619292	0.0125621	0.0228013	0.0300095	0.0636959	0.110977	0.26144	0.488797
a69	0.00105534	0.00124612	0.00380079	0.00880019	0.016677	0.0249142	0.0640556	0.124728	0.271966	0.482757
a4	0.00090118	0.00118381	0.00350936	0.0079884	0.0128019	0.0174575	0.0503855	0.110544	0.283584	0.511645
a44	0.00165809	0.00179908	0.00377521	0.00832408	0.0135416	0.0217513	0.0639253	0.13616	0.292495	0.456571
a75	0.00165381	0.0017969	0.0038332	0.00862663	0.0124957	0.0204445	0.0607154	0.133923	0.28191	0.474601
a21	0.00121045	0.00128032	0.00313988	0.00728326	0.00966817	0.014781	0.0435327	0.104515	0.253389	0.5612
a5	0.00157015	0.00163916	0.00460622	0.0102176	0.0153531	0.025109	0.0682554	0.144976	0.268358	0.459916
a23	0.00242772	0.00247778	0.00509872	0.0107168	0.0147841	0.0175508	0.0526573	0.122962	0.283109	0.488215
a18	0.00495582	0.00471167	0.0103929	0.0223903	0.0365221	0.0382396	0.0908458	0.141964	0.267057	0.382921
a82	0.0166684	0.0154369	0.0269765	0.0447939	0.0603726	0.0467236	0.0895023	0.120361	0.199649	0.379516
a87	0.0825268	0.0558304	0.0828391	0.0940051	0.109072	0.0823185	0.100888	0.111162	0.125362	0.155996
a23	0.142896	0.0931764	0.132409	0.106441	0.124246	0.0929178	0.0772303	0.0730085	0.0781752	0.079499
a97	0.0184203	0.0101287	0.0122882	0.0150886	0.0179524	0.0261877	0.0680684	0.144202	0.297967	0.389698
</S>	0.00780414	0.00539759	0.012967	0.0155677	0.0216659	0.0278045	0.0571711	0.107093	0.26481	0.47972
