 	la	manière	dont	s'	embourbé	leur	véhicule	ils	ne	s'	en	sortiront	pas	aujourd'	hui	</S>
a93	0.00162528	0.00138296	0.00162085	0.00382455	0.00495638	0.00837925	0.0114206	0.018568	0.0227891	0.0284892	0.0336993	0.0523626	0.0737744	0.117855	0.239231	0.380022
a70	0.000990162	0.00106161	0.00163394	0.00383176	0.00601158	0.00942583	0.0123147	0.0178552	0.0215318	0.0258237	0.0291954	0.0492161	0.0808687	0.138742	0.245497	0.356001
a66	0.00175686	0.00193587	0.00292417	0.0049323	0.00804982	0.012617	0.0173127	0.0252313	0.0296794	0.0330924	0.0320921	0.0607032	0.094419	0.15192	0.218783	0.304551
a34	0.00160324	0.0017779	0.00259486	0.00406011	0.00722194	0.00966631	0.0136117	0.0222372	0.027645	0.0333946	0.0359155	0.0695384	0.113276	0.167334	0.210097	0.280026
a37	0.000532478	0.000698166	0.00126639	0.00271065	0.00433957	0.00609556	0.00794917	0.0107589	0.0140337	0.0160507	0.0171778	0.0343367	0.0792175	0.162228	0.263008	0.379597
a92	0.000485352	0.000614251	0.00104913	0.00204531	0.003147	0.00382314	0.00493998	0.00693462	0.00965495	0.0119922	0.0133177	0.0296103	0.0700343	0.15298	0.26901	0.420361
a47	0.000258645	0.000391276	0.000729963	0.00246955	0.00378212	0.00622301	0.0074197	0.00912611	0.0141079	0.0181579	0.0218786	0.0310257	0.0763584	0.163187	0.263062	0.381823
a15	0.000189607	0.000271444	0.000529103	0.0018843	0.00331896	0.00752796	0.00831453	0.0106855	0.0146225	0.0166461	0.0171983	0.0174327	0.0512362	0.148049	0.263704	0.438389
a7	0.000207686	0.000307198	0.000594683	0.00221498	0.00410773	0.00949098	0.00960773	0.011084	0.0143732	0.0173132	0.0184921	0.0148587	0.0418776	0.134535	0.257525	0.46341
a4	0.00016483	0.000192612	0.000280857	0.000657181	0.0011296	0.00209967	0.00282429	0.00317833	0.00395663	0.00568702	0.00607937	0.00753109	0.0225821	0.0932303	0.245874	0.604532
a43	0.000156312	0.000174684	0.000248878	0.000885916	0.00116564	0.00212192	0.00317113	0.00385253	0.00492261	0.0071707	0.00808673	0.0100898	0.0317805	0.118352	0.267842	0.539978
a90	0.000238575	0.000238809	0.000268934	0.000692759	0.000771177	0.00132533	0.00211627	0.0029796	0.00339693	0.00544972	0.00553052	0.00900555	0.0303696	0.11143	0.253497	0.572689
a69	8.03815e-05	0.000101652	0.000146283	0.000496243	0.000611134	0.000903799	0.00127001	0.0015818	0.00194844	0.00294532	0.00338346	0.00578108	0.0266098	0.115322	0.269456	0.569363
a15	8.0972e-05	0.000109333	0.000158878	0.000563871	0.000760462	0.00118443	0.0014918	0.00167094	0.00215304	0.00359412	0.00416335	0.00536238	0.0175714	0.0804297	0.250721	0.629985
a7	0.000108739	0.000164776	0.00026415	0.000776089	0.00106611	0.00136263	0.00160584	0.00164261	0.00198242	0.00356482	0.00456094	0.00494633	0.020035	0.0967207	0.258317	0.602882
a26	0.000207816	0.00026358	0.000346465	0.000791435	0.000928856	0.00125249	0.00151207	0.00158471	0.00169229	0.00308752	0.00333343	0.00320604	0.0120929	0.0732942	0.251209	0.645197
a36	0.00127732	0.00108687	0.00101321	0.00175686	0.00176231	0.00394602	0.00609736	0.00905932	0.00913567	0.0162727	0.0142142	0.0125799	0.0379617	0.148634	0.275549	0.459653
a2	0.00128026	0.00115486	0.00119222	0.00202125	0.00193515	0.00290446	0.00461739	0.00627298	0.00590958	0.0101486	0.0093826	0.00953227	0.0309083	0.131533	0.282746	0.498461
a57	0.0139928	0.01174	0.00957227	0.0116085	0.011825	0.0172189	0.0193688	0.0310635	0.0310826	0.0481458	0.0413816	0.0237756	0.054069	0.154631	0.244115	0.27641
a87	0.0364518	0.0265316	0.0147407	0.0135543	0.0129367	0.0187866	0.0268716	0.0592846	0.0659108	0.0982914	0.0966159	0.0619915	0.0715695	0.101176	0.12784	0.167448
a23	0.0283282	0.0241205	0.0146925	0.0152204	0.0141031	0.0209475	0.0400276	0.0851103	0.0971216	0.142374	0.134851	0.086636	0.0716197	0.0721394	0.0698658	0.0828421
a87	0.0280556	0.0210359	0.0111075	0.0177104	0.0108056	0.0139708	0.0257984	0.0543705	0.0540684	0.0890847	0.11648	0.0702842	0.0738488	0.0857747	0.118602	0.209002
</S>	0.00967566	0.0101028	0.00758586	0.0127723	0.00951119	0.0129796	0.0209892	0.0409989	0.0410437	0.0627578	0.0713475	0.0468069	0.0595535	0.0910071	0.148082	0.354787
