 	dans	la	ville	de	boundji	une	gerbe	d'	arachide	coûte	cent	francs	</S>
a75	0.0125818	0.0123706	0.0213864	0.0478197	0.0609911	0.0763641	0.049147	0.105005	0.101447	0.114841	0.155386	0.109214	0.133446
a21	0.00640727	0.00658742	0.0125248	0.0304561	0.0404607	0.0462853	0.0257345	0.0651566	0.0826355	0.103837	0.184153	0.18321	0.212552
a12	0.00465949	0.004603	0.00749703	0.0169194	0.022322	0.0275236	0.0179866	0.0509887	0.0738836	0.112286	0.220088	0.211496	0.229747
a47	0.00429974	0.00434386	0.00778276	0.0171466	0.0226849	0.0316905	0.0177783	0.0419206	0.0773146	0.119993	0.221235	0.197896	0.235914
a88	0.00552313	0.00586342	0.0112848	0.0246125	0.0319318	0.0455784	0.0248231	0.040308	0.0705587	0.103365	0.20243	0.205627	0.228095
a62	0.00198958	0.00184923	0.00366044	0.0093553	0.0125472	0.0210355	0.0113094	0.0235071	0.0506892	0.0852043	0.205068	0.27718	0.296605
a56	0.00181206	0.00168312	0.00283034	0.00608902	0.00830932	0.0118847	0.00832511	0.0172661	0.0330394	0.0555025	0.154746	0.360182	0.33833
a96	0.000934865	0.000859374	0.00165843	0.0045203	0.00633702	0.0106714	0.00573518	0.0122468	0.0270436	0.0462901	0.136516	0.342645	0.404541
a47	0.00122655	0.0011527	0.00189395	0.00459463	0.00607648	0.0108556	0.00696602	0.01216	0.0265377	0.0462526	0.127799	0.341754	0.41273
a96	0.00265608	0.00220353	0.00256252	0.00565379	0.00752149	0.0156316	0.0106375	0.0152332	0.0276645	0.0435813	0.139934	0.355055	0.371665
a98	0.00074341	0.000680376	0.00110002	0.00282951	0.0039321	0.00810934	0.0052915	0.00946679	0.0203189	0.0361733	0.112922	0.362805	0.435628
a47	0.000320057	0.000253024	0.00043536	0.00100125	0.00138536	0.00280095	0.00152888	0.00371176	0.00848038	0.0177725	0.0756739	0.356099	0.530538
a36	0.00292045	0.00208746	0.0023091	0.00329041	0.00395663	0.00598409	0.0038104	0.00847415	0.014869	0.027505	0.109144	0.348941	0.466708
a2	0.102298	0.0632156	0.0449741	0.0362379	0.0378117	0.0452128	0.0372571	0.0343893	0.0425779	0.0521763	0.10658	0.176557	0.220712
a57	0.186012	0.12609	0.100034	0.067225	0.0648201	0.0659199	0.0511033	0.0342534	0.0417839	0.0412205	0.0482753	0.0707316	0.10253
a87	0.122412	0.0691516	0.059938	0.052573	0.0595644	0.0667999	0.0655652	0.038115	0.0596895	0.0947445	0.0915647	0.0975257	0.122357
a23	0.0850475	0.0458358	0.0429797	0.0417334	0.0485086	0.0609213	0.0503949	0.0454198	0.0707007	0.113188	0.111216	0.127903	0.156151
a18	0.0229487	0.0159216	0.0162022	0.015404	0.0170831	0.023195	0.0198548	0.0290245	0.0431938	0.0613045	0.0972158	0.194324	0.444328
a99	0.017449	0.0128873	0.0193072	0.0246164	0.0254869	0.0383001	0.0319409	0.0325012	0.0354405	0.0542583	0.101563	0.210976	0.395273
a57	0.0151454	0.0111959	0.016142	0.0162121	0.0169878	0.0249602	0.0223491	0.0223939	0.0262888	0.041672	0.0797288	0.207473	0.499451
</S>	0.0246802	0.0165966	0.0194664	0.0204226	0.0216612	0.0294407	0.0276332	0.022447	0.0244571	0.0381171	0.0680447	0.187441	0.499592
