 	les	soldats	l'	ont	fait	souffrir	dans	la	prison	parce	qu'	il	a	violé	une	fille	</S>
a75	0.000749205	0.000775279	0.00101831	0.00176317	0.00296207	0.00478995	0.00905659	0.0155217	0.037945	0.0374331	0.0724043	0.104566	0.158178	0.137298	0.122925	0.129821	0.162794
a92	0.000675153	0.000590314	0.000694111	0.0012527	0.00238585	0.00420923	0.006933	0.0116759	0.0297678	0.030581	0.0560675	0.0795922	0.11711	0.113649	0.121554	0.160655	0.262607
a61	0.000538811	0.000463435	0.000546923	0.00101303	0.00201845	0.00372888	0.00699512	0.0123835	0.0328704	0.0340156	0.0624626	0.0880262	0.127444	0.121549	0.124864	0.15145	0.229631
a88	0.000514769	0.000553281	0.000726859	0.00124631	0.00205981	0.00331427	0.00635638	0.011419	0.0287566	0.0289859	0.0577122	0.0870835	0.141593	0.14067	0.143205	0.151528	0.194275
a71	0.000948915	0.0011084	0.00151436	0.00240751	0.00355122	0.00489538	0.00824825	0.0132908	0.0264118	0.0240266	0.0417852	0.0628884	0.10927	0.108302	0.135685	0.189629	0.266037
a9	0.00156129	0.00203614	0.00313833	0.00542103	0.00808796	0.00922494	0.0105034	0.0136954	0.0315962	0.0265487	0.0438777	0.0688796	0.111635	0.105242	0.124132	0.175083	0.259337
a97	0.00643665	0.0070874	0.00717731	0.0119788	0.0180493	0.0178871	0.016502	0.0193971	0.0487055	0.0318862	0.0443839	0.0640002	0.101328	0.0961027	0.128674	0.178565	0.201838
a10	0.0176808	0.0181306	0.0123234	0.0189491	0.0250847	0.0258585	0.0255554	0.0361096	0.0762921	0.0515073	0.0611656	0.0687592	0.0981401	0.111143	0.118125	0.12623	0.108945
a83	0.0304262	0.0291917	0.0194086	0.0235156	0.0290698	0.0345673	0.0338388	0.0464342	0.0731136	0.0562284	0.0635819	0.0673802	0.0903873	0.107335	0.111334	0.0987112	0.0854767
a54	0.0147117	0.0135293	0.00814435	0.0101263	0.0121795	0.0139471	0.0168454	0.0249994	0.0377495	0.0354926	0.0387892	0.0467303	0.0711446	0.110992	0.150326	0.196622	0.19767
a79	0.00111916	0.000905818	0.000808602	0.00173856	0.00381965	0.00696832	0.0118065	0.0232771	0.0599145	0.040319	0.0567843	0.0617583	0.0791089	0.0965952	0.129904	0.19019	0.234982
a15	0.000357822	0.000417785	0.000518259	0.00135666	0.00327514	0.00564744	0.010623	0.0227218	0.0619285	0.045366	0.0659716	0.0760852	0.0937993	0.112599	0.142963	0.165865	0.190504
a69	0.00040455	0.000459438	0.000529756	0.00148897	0.00373555	0.00582135	0.0108224	0.0219963	0.062672	0.0439838	0.0605531	0.0749368	0.0960964	0.130578	0.144257	0.163943	0.177722
a58	0.000528699	0.000511423	0.000500109	0.000949572	0.00179499	0.00294361	0.00562233	0.0112768	0.0315369	0.0227776	0.0386047	0.0550559	0.0743656	0.116594	0.144107	0.219309	0.273522
a53	0.000213003	0.00021962	0.000214463	0.000358661	0.000578747	0.000859524	0.00166543	0.00362462	0.0126021	0.0102512	0.0287008	0.0502783	0.0800835	0.116883	0.15639	0.232723	0.304354
a90	0.000201557	0.000231337	0.000223547	0.000393447	0.000617457	0.000813312	0.00141655	0.00311004	0.0104189	0.00931136	0.0255937	0.0496848	0.084951	0.12235	0.151852	0.227053	0.311777
a79	0.000132254	0.000155607	0.000160711	0.00030751	0.000526098	0.000773669	0.00146159	0.00329459	0.0108314	0.00923967	0.0236161	0.0446353	0.0745893	0.110744	0.144524	0.23695	0.338058
a56	0.000125465	0.000134672	0.000127222	0.000224763	0.000364352	0.000524653	0.00107086	0.00220388	0.00723159	0.00649778	0.0172159	0.0363231	0.0688477	0.10567	0.146928	0.251916	0.354593
a11	0.000231888	0.000297064	0.000342494	0.000616603	0.000913566	0.0011503	0.0019428	0.00373204	0.011523	0.0101039	0.0243167	0.0422518	0.0756688	0.0969242	0.140163	0.232383	0.357439
a94	0.000677236	0.000840363	0.000925185	0.0016776	0.00243909	0.00312648	0.0051172	0.00833572	0.0197897	0.0150878	0.0250259	0.0379819	0.0645852	0.0807799	0.12607	0.234798	0.372743
a79	0.000547263	0.000655795	0.000719818	0.00135042	0.00210239	0.00275223	0.00433353	0.00709	0.0168328	0.0126835	0.020888	0.0321608	0.0543576	0.0711207	0.119273	0.240605	0.412527
a6	0.000131773	0.000152171	0.000159373	0.000257541	0.000386129	0.000505907	0.00103527	0.00200047	0.00585854	0.00584238	0.01353	0.0284531	0.0572079	0.0852105	0.133671	0.260404	0.405194
a7	0.000120279	0.00012703	0.00012431	0.000189283	0.000275055	0.000398962	0.000990941	0.00192263	0.00571224	0.0064163	0.0154017	0.0299647	0.0590866	0.0830191	0.125256	0.248942	0.422053
a54	0.000571192	0.000738216	0.000839153	0.0012686	0.00163587	0.00234537	0.00445519	0.00671582	0.0172071	0.0149502	0.029808	0.0446116	0.0696468	0.0827438	0.135973	0.225779	0.360711
a36	0.00037047	0.000455462	0.0004179	0.000606907	0.000801102	0.001169	0.00310988	0.00555379	0.0128113	0.0129819	0.0242239	0.0407715	0.0700926	0.0978696	0.152065	0.243344	0.333356
a26	0.00118219	0.00143366	0.00162157	0.00254239	0.00335437	0.00452343	0.00732023	0.00978786	0.0230661	0.020941	0.0384263	0.0509305	0.0707404	0.0820202	0.13503	0.21042	0.33666
a82	0.0123344	0.0113472	0.0105087	0.0136355	0.0159045	0.0184089	0.0227209	0.0260684	0.044902	0.0413913	0.0621066	0.0686972	0.0841041	0.0846967	0.117308	0.155209	0.210656
a97	0.0322985	0.0219506	0.0152581	0.0164923	0.0170621	0.0185655	0.0191652	0.021613	0.0359535	0.0323563	0.0518551	0.0617877	0.0856037	0.096076	0.127486	0.157647	0.188829
a84	0.0505503	0.0334954	0.0204681	0.0190229	0.0174758	0.0165361	0.0144188	0.0158649	0.0239762	0.0218616	0.0336183	0.0473889	0.0822118	0.107815	0.137924	0.164576	0.192796
a57	0.0378611	0.0275533	0.0181182	0.016697	0.0155706	0.0136124	0.012038	0.0136124	0.021715	0.0193367	0.0317185	0.0500545	0.089865	0.117626	0.143218	0.165866	0.205536
a97	0.0236077	0.0185031	0.0128996	0.0124028	0.0123281	0.0109973	0.0102913	0.0129511	0.0225855	0.0206832	0.0371817	0.0600155	0.0965034	0.126134	0.13805	0.161509	0.223357
a87	0.0209745	0.0174455	0.0129392	0.0142894	0.0173206	0.0179197	0.0162673	0.0222046	0.0388756	0.0311707	0.0439443	0.0621329	0.0945193	0.125616	0.13354	0.148521	0.182319
a97	0.0209406	0.0175636	0.0141105	0.0167448	0.0219515	0.023953	0.0227465	0.0287748	0.048295	0.0370094	0.0473839	0.0611313	0.0889501	0.117156	0.122548	0.138085	0.172655
</S>	0.0443841	0.0381926	0.0306745	0.0421722	0.050665	0.0513261	0.0386343	0.0379662	0.0485325	0.0391583	0.0383729	0.0436854	0.0667758	0.0906774	0.098503	0.114605	0.125675
