 	la	manière	dont	elle	frotte	la	marmite	contre	le	sol	la	blanchira	</S>
a96	0.000412623	0.000453631	0.00087831	0.00366945	0.00472266	0.0136686	0.0180827	0.019783	0.0257379	0.0425904	0.122663	0.226922	0.520416
a61	0.000334895	0.000322876	0.000662084	0.00236963	0.00255768	0.00751384	0.0109407	0.0141585	0.0199098	0.0380887	0.118532	0.236607	0.548002
a21	0.00037574	0.000348321	0.000712775	0.00226939	0.00306379	0.00723966	0.0104098	0.0139404	0.0192575	0.0359315	0.11087	0.22497	0.570612
a12	0.000628952	0.000631059	0.00116719	0.00436815	0.00613381	0.0113104	0.0136036	0.0164668	0.0234807	0.0453454	0.122021	0.198825	0.556018
a18	0.000877499	0.000960189	0.00144244	0.0053	0.00663022	0.0122298	0.0142777	0.0160482	0.0237739	0.045739	0.122085	0.185717	0.564919
a43	0.00987952	0.00950686	0.00949325	0.0178426	0.0203564	0.0264392	0.0253082	0.0244162	0.033082	0.0526881	0.118947	0.188808	0.463232
a47	0.0129553	0.011602	0.011206	0.0186351	0.0167661	0.021226	0.0196794	0.0194749	0.0305928	0.0517625	0.113699	0.208154	0.464247
a62	0.0209798	0.0186195	0.0180375	0.0279695	0.0297655	0.0344371	0.0292102	0.0326557	0.0558186	0.0827508	0.135593	0.194096	0.320067
a83	0.00838105	0.00806434	0.00964017	0.0198588	0.0199566	0.0278637	0.0235728	0.0262868	0.0445492	0.0708828	0.140805	0.211238	0.388901
a0	0.00168016	0.0017168	0.00234585	0.00665596	0.00759564	0.0142324	0.0131473	0.0164365	0.0316887	0.0612154	0.14534	0.241526	0.456419
a21	0.00672249	0.00582339	0.00600814	0.0122692	0.0144324	0.0201116	0.0178188	0.0219536	0.0400733	0.0650095	0.138451	0.22448	0.426846
a5	0.000134936	0.000130159	0.000196217	0.00072043	0.000931138	0.00197852	0.00246147	0.00438617	0.0109041	0.0293794	0.109961	0.238123	0.600694
a36	0.000203573	0.000182782	0.000257581	0.000908261	0.00117756	0.0021481	0.0024577	0.00376559	0.0085993	0.0222948	0.0930265	0.216978	0.648
a27	0.00140289	0.00153501	0.00172517	0.00456123	0.00547838	0.00985499	0.00891631	0.00963128	0.0171139	0.0355652	0.0982988	0.220478	0.585439
a30	0.0246243	0.0183176	0.0129891	0.0195599	0.0181657	0.0230345	0.0201402	0.0227004	0.04065	0.0603519	0.121525	0.204798	0.413143
a87	0.075298	0.0448201	0.0223185	0.0265448	0.0221822	0.0245112	0.0222049	0.0274493	0.0436259	0.0574832	0.112235	0.21331	0.308017
a23	0.169934	0.0814613	0.0322876	0.0401392	0.0312616	0.0323713	0.0315345	0.0350744	0.0423921	0.0438152	0.0746681	0.156705	0.228355
a87	0.0231571	0.00948414	0.00306586	0.00522226	0.00352875	0.00580617	0.00580105	0.0092254	0.0176377	0.0286578	0.0993026	0.315238	0.473873
</S>	0.0106682	0.00467525	0.00190096	0.00382545	0.00337713	0.00555642	0.0056216	0.00713501	0.0122682	0.0224153	0.0784592	0.346641	0.497456
