 	l'	enfant	boude	parce	que	sa	mère	lui	a	refusé	la	nourriture	</S>
a56	0.000947297	0.000803235	0.000621349	0.00114801	0.00222368	0.00345297	0.00659064	0.0156676	0.0379872	0.130878	0.222523	0.273027	0.30413
a90	0.000741513	0.000634667	0.000495526	0.00114245	0.00220322	0.00336664	0.00631053	0.0143748	0.0343216	0.124535	0.216374	0.27672	0.31878
a98	0.000544827	0.000527221	0.000432856	0.00100634	0.00220676	0.00367114	0.00668408	0.014093	0.0325878	0.114954	0.1953	0.26514	0.362852
a92	0.000507631	0.000475726	0.000372243	0.000799489	0.00170069	0.00279145	0.0047628	0.00990085	0.0230005	0.084688	0.158682	0.259799	0.452519
a12	0.000321423	0.000312712	0.000240346	0.00047698	0.000996657	0.00166929	0.00312838	0.00734813	0.0187483	0.0801669	0.157685	0.263566	0.46534
a96	0.000295517	0.000266711	0.000195128	0.000314346	0.000495225	0.000686307	0.00107374	0.00248211	0.00792599	0.0543689	0.147082	0.286292	0.498522
a56	0.000562031	0.000494588	0.000304726	0.000518827	0.000925963	0.00132541	0.00169249	0.0031326	0.00807848	0.0488008	0.132143	0.279666	0.522355
a90	0.000687894	0.000571542	0.000347019	0.000609235	0.00107624	0.00157448	0.0019988	0.00356116	0.00844498	0.0447946	0.127155	0.277463	0.531717
a25	0.000304121	0.000261096	0.000162914	0.000263339	0.000525506	0.000838145	0.00117257	0.00243139	0.00678568	0.0421051	0.121944	0.271765	0.551441
a79	0.000262415	0.000226633	0.000160616	0.000234214	0.000388118	0.000599627	0.000878634	0.00183411	0.00542372	0.0408807	0.121637	0.266685	0.56079
a56	0.000935694	0.000924648	0.000710898	0.000848156	0.00121921	0.00173821	0.00248442	0.00457735	0.0104632	0.0536902	0.139209	0.259944	0.523254
a21	0.000648753	0.000574772	0.000382562	0.000545647	0.000897487	0.00123814	0.00161076	0.00303056	0.00765901	0.0468	0.141437	0.287945	0.50723
a5	0.000520207	0.000505436	0.000357913	0.000494007	0.000758721	0.00100883	0.00133987	0.00257333	0.00660843	0.0400564	0.131318	0.288462	0.525997
a36	0.00045018	0.000427813	0.000287885	0.000439168	0.000721429	0.000975873	0.00121872	0.00241676	0.00682629	0.0402484	0.121226	0.279651	0.54511
a27	0.00384701	0.0036292	0.00230623	0.00262402	0.00420185	0.00553094	0.0080932	0.0139969	0.0285398	0.0888513	0.163292	0.253733	0.421355
a82	0.0753709	0.0661484	0.0420989	0.0421932	0.0474601	0.0457248	0.0485723	0.0539103	0.0626446	0.0902972	0.110739	0.129283	0.185558
a87	0.174394	0.112538	0.062939	0.0520459	0.0451351	0.0405288	0.041166	0.0415874	0.0454192	0.0723617	0.0942938	0.100874	0.116717
a23	0.189123	0.116369	0.065568	0.0432719	0.0365778	0.0377778	0.0420691	0.0433415	0.0443119	0.068149	0.0876302	0.102994	0.122817
a9	0.0188162	0.0145483	0.0110371	0.00796981	0.00583211	0.00538901	0.00662518	0.00881586	0.0165318	0.065034	0.165181	0.283109	0.39111
a97	0.0087101	0.00682657	0.00570528	0.00425381	0.00329703	0.00330809	0.00435161	0.00593792	0.0116334	0.0462488	0.126809	0.272988	0.49993
</S>	0.0141993	0.0107212	0.00822551	0.00670312	0.00574019	0.00615758	0.00715645	0.0082168	0.0129914	0.0414383	0.107761	0.261667	0.509022
