 	tu	es	vraiment	mal	intentionné	car	tu	es	parti	cueillir	les	feuilles	de	manioc	dans	le	champ	de	ton	voisin	</S>
a44	0.0319638	0.0451367	0.0948675	0.105846	0.0686193	0.0856254	0.0596121	0.059153	0.0482217	0.0359066	0.0354584	0.0291648	0.0294164	0.0269015	0.0247405	0.0223483	0.0212907	0.0203598	0.0231147	0.055038	0.0772144
a54	0.0263298	0.0334133	0.0726684	0.0873634	0.0587549	0.0799146	0.0564276	0.0572118	0.0495431	0.0398274	0.0401344	0.0345492	0.0355152	0.0340601	0.0311187	0.0290613	0.0258598	0.0254194	0.0278836	0.0634397	0.0915041
a7	0.0163495	0.0221638	0.0603099	0.0876108	0.0670967	0.0660697	0.055911	0.0536846	0.0434841	0.0334356	0.0393084	0.0376736	0.0457242	0.0440598	0.0427488	0.0392507	0.0333535	0.031232	0.037687	0.0567627	0.0860837
a2	0.0167244	0.0173123	0.0369058	0.0604888	0.0501236	0.063688	0.0484966	0.051085	0.046874	0.0435143	0.0506025	0.0479081	0.0505604	0.0506242	0.0420503	0.036959	0.0309529	0.0285756	0.0328419	0.0678772	0.125835
a57	0.00709482	0.0080678	0.0150876	0.0468074	0.0518688	0.0660563	0.0667987	0.0874993	0.0752775	0.0693129	0.0802591	0.0624016	0.0558298	0.0456444	0.0318392	0.026844	0.0257127	0.0237346	0.0272221	0.0541662	0.0724752
a87	0.011578	0.0103464	0.0138767	0.0252694	0.0401401	0.0464129	0.0518124	0.0654022	0.0655778	0.0719485	0.0790817	0.0659038	0.0636177	0.0591355	0.0429695	0.0400746	0.0342678	0.0312681	0.0337092	0.0671318	0.0804759
a23	0.0495601	0.03921	0.031028	0.0231022	0.0285481	0.0226749	0.0268452	0.0353525	0.0537421	0.0781797	0.0864759	0.0870265	0.0783854	0.0784149	0.0550845	0.0442152	0.0305261	0.0227072	0.024531	0.0455817	0.0588088
a10	0.0460226	0.0345648	0.0346765	0.030842	0.0427179	0.0302231	0.0329795	0.0347423	0.0435434	0.0444127	0.0507373	0.0527588	0.0551896	0.0491282	0.047408	0.0448819	0.0301006	0.0286366	0.038822	0.0803389	0.147273
a11	0.019095	0.0196091	0.0276318	0.034148	0.0434282	0.0326453	0.0379885	0.0392988	0.044581	0.0389949	0.043073	0.0419801	0.044207	0.0376291	0.0364583	0.032751	0.0261592	0.027115	0.0364961	0.104883	0.231828
a36	0.00621328	0.00684745	0.012858	0.0221207	0.0282275	0.0198718	0.0282117	0.0281165	0.027737	0.0188094	0.0236214	0.020376	0.0240276	0.018638	0.0197837	0.0234001	0.0248915	0.0303517	0.0502337	0.236685	0.328978
a37	0.00394786	0.0040375	0.0087761	0.0208167	0.0232975	0.0211212	0.0340939	0.0383502	0.0305369	0.0212009	0.0352617	0.030858	0.0390771	0.0303345	0.0325022	0.0378424	0.0401716	0.0443043	0.0606771	0.211535	0.231258
a79	0.0028264	0.00230708	0.00469762	0.0138543	0.015454	0.0171712	0.0282952	0.0334076	0.0228554	0.015833	0.0333109	0.0295733	0.0413475	0.0325321	0.0364721	0.0449862	0.0474436	0.0559972	0.0782534	0.217794	0.225588
a37	0.00390471	0.00391393	0.00830573	0.0216548	0.0222473	0.0276209	0.0383566	0.0427065	0.0367191	0.0294052	0.0480258	0.0436199	0.0558626	0.0496238	0.0553014	0.0591103	0.0524579	0.054156	0.0634002	0.129323	0.154284
a79	0.0019598	0.0013442	0.00239004	0.00652846	0.00735364	0.00817081	0.0127824	0.014913	0.0104745	0.00812823	0.0200843	0.0189229	0.0313695	0.0279747	0.0349864	0.0492173	0.0521528	0.0679248	0.106722	0.238296	0.278304
a44	0.00252204	0.00216401	0.00422849	0.0107709	0.00984266	0.0106932	0.0160445	0.0168168	0.0120586	0.00939547	0.0225942	0.0222454	0.0358312	0.0335578	0.043129	0.0582647	0.0621443	0.0741643	0.0928022	0.203127	0.257603
a53	0.00148779	0.000932906	0.0014962	0.00363452	0.00357843	0.00384826	0.00682901	0.00751447	0.00491629	0.00374855	0.0122663	0.0129229	0.0243621	0.0240887	0.0321057	0.0496943	0.0611552	0.086737	0.119184	0.242862	0.296636
a20	0.00183823	0.00161846	0.00298047	0.00791414	0.00969671	0.00892586	0.0161878	0.0178703	0.0127503	0.0101979	0.023299	0.0219956	0.0346869	0.0321281	0.0414963	0.060478	0.0684654	0.0880114	0.10925	0.188636	0.241573
a6	0.00131747	0.00118669	0.00226869	0.00500721	0.00469533	0.00570091	0.00819978	0.0100115	0.00833946	0.00796585	0.0207962	0.0209454	0.0368523	0.0353584	0.0507278	0.0742342	0.0896516	0.111497	0.121414	0.163617	0.220214
a92	0.00110578	0.000983204	0.00150803	0.00338896	0.00400944	0.00412254	0.00690614	0.00800544	0.00768596	0.00830786	0.0180283	0.0185266	0.0318814	0.0308641	0.0421677	0.0675658	0.0755791	0.0953004	0.111132	0.189628	0.273304
a6	0.000581464	0.000460007	0.000718988	0.00178115	0.00192513	0.0018504	0.00314841	0.00356456	0.0031977	0.00329727	0.00833635	0.0086552	0.0160367	0.0156486	0.023239	0.0422814	0.0585559	0.0903043	0.1292	0.246202	0.341016
a0	0.000575098	0.000492708	0.000792031	0.00184483	0.0020615	0.00185069	0.00313462	0.00364516	0.00322724	0.00359994	0.00920078	0.00985202	0.0180017	0.0173328	0.025716	0.0453963	0.056093	0.0843373	0.120819	0.227769	0.364258
a54	0.000314519	0.000169254	0.000224984	0.000516764	0.000421835	0.000470642	0.00082995	0.000954482	0.000862861	0.00090887	0.00370245	0.00460521	0.00891216	0.00806237	0.0116349	0.0191686	0.0262578	0.0483075	0.0968152	0.273031	0.493828
a7	0.000474543	0.000353598	0.000432151	0.000791878	0.000686713	0.000689784	0.00118257	0.00150578	0.00150046	0.00211582	0.00754365	0.00965713	0.0182244	0.017182	0.0235087	0.0391468	0.0422007	0.0736589	0.125205	0.242537	0.391403
a4	0.000208922	0.000163497	0.000210859	0.000401598	0.000340417	0.000313926	0.000608055	0.000768682	0.000707624	0.000886579	0.00386679	0.00517882	0.0104703	0.00970183	0.0134971	0.0218869	0.0259119	0.050655	0.107159	0.277948	0.469115
a53	0.000262779	0.000159501	0.000154959	0.000352164	0.000323184	0.000380826	0.000700936	0.000804561	0.00064904	0.000643844	0.00271645	0.00361163	0.00665907	0.00610667	0.00857998	0.0136281	0.0215089	0.0486263	0.109512	0.301514	0.473105
a15	0.000398878	0.000255548	0.000245729	0.000528757	0.000475574	0.000521903	0.000905033	0.000998064	0.000783579	0.000760412	0.00295071	0.00363843	0.0062953	0.00579051	0.00812134	0.0129481	0.0224356	0.0507	0.115291	0.317414	0.448541
a79	0.000133536	9.4623e-05	9.94891e-05	0.000221702	0.000190571	0.000188381	0.000363465	0.000419135	0.000365784	0.000348671	0.00149923	0.00209462	0.00418758	0.00360258	0.00563753	0.00950806	0.0161543	0.0399448	0.106789	0.310936	0.497221
a44	0.000164486	0.000144112	0.000174578	0.000332533	0.000352491	0.0003068	0.000532033	0.000609593	0.000483089	0.000525567	0.00204751	0.00287149	0.00609212	0.0054267	0.00813412	0.0152574	0.0209755	0.0475501	0.103745	0.288359	0.495916
a70	0.000164628	0.000106766	9.42262e-05	0.000210923	0.00015929	0.000205263	0.000383332	0.00052693	0.000525994	0.000582092	0.00266671	0.00384317	0.0062924	0.00553284	0.00714357	0.00928223	0.0124843	0.0250685	0.0620903	0.259911	0.602726
a13	0.000324453	0.000230833	0.000201773	0.000379896	0.000291677	0.000360061	0.000490655	0.000646379	0.00063274	0.000818655	0.00239315	0.00309868	0.00469212	0.00423605	0.0056419	0.00755794	0.0113205	0.0251612	0.0642741	0.292002	0.575246
a18	0.000248825	0.000183667	0.000152223	0.00033003	0.000231536	0.000254119	0.000406646	0.000582073	0.000534732	0.000736912	0.00200012	0.00256989	0.00340522	0.00304987	0.0039869	0.00507803	0.0082743	0.0171973	0.050903	0.266795	0.63308
a27	0.000378172	0.000283017	0.000222932	0.000345778	0.00023513	0.000220604	0.000358224	0.000488897	0.000531321	0.000807513	0.00218845	0.00302654	0.0039515	0.00382589	0.00495935	0.00595825	0.0099	0.0176811	0.042837	0.213723	0.688077
a82	0.00528055	0.0028065	0.001562	0.00191022	0.00136354	0.000975786	0.00184688	0.00274873	0.00371336	0.00653227	0.0167472	0.0230717	0.0255743	0.0252585	0.0308344	0.0319593	0.0358557	0.0429233	0.0567109	0.144316	0.538009
a87	0.0328413	0.0168365	0.0100262	0.0083918	0.00491827	0.00361575	0.00567508	0.00791721	0.0104413	0.0140137	0.0416275	0.0611156	0.0708119	0.0676136	0.0819478	0.0771411	0.0675404	0.0576686	0.0603827	0.0844717	0.215002
a23	0.0640481	0.0383729	0.0327315	0.0239618	0.0168671	0.0144882	0.0170743	0.0208325	0.0257459	0.0343343	0.0646077	0.0866827	0.0882553	0.0918022	0.0902358	0.0798443	0.0614654	0.0503318	0.0459647	0.0212966	0.0310568
a97	0.0300849	0.0139334	0.0108162	0.0076372	0.00439165	0.00342841	0.00481689	0.00567736	0.00690319	0.0105283	0.0341437	0.0532555	0.0830047	0.0845755	0.104882	0.130259	0.11463	0.104812	0.101815	0.0399116	0.0504942
</S>	0.0222625	0.0128378	0.0114833	0.00874673	0.00659745	0.00439223	0.00632698	0.00710184	0.00758479	0.0122815	0.0333895	0.0479272	0.0744105	0.0772961	0.0964735	0.127371	0.10911	0.0977864	0.108717	0.0519749	0.0759287
