 	ebhyondo	est	un	bois	qu'	on	utilise	pour	la	fabrication	du	manche	de	hache	</S>
a6	0.00249702	0.00382321	0.00527968	0.00960184	0.0145868	0.0245192	0.0510089	0.0953158	0.0975085	0.0737916	0.0652594	0.0688457	0.0829438	0.138787	0.266232
a37	0.00306582	0.00357983	0.00503504	0.00940471	0.0143996	0.023603	0.046535	0.0807435	0.0735309	0.0558809	0.051341	0.0600281	0.0825604	0.152868	0.337424
a75	0.00122888	0.00136778	0.00180345	0.00306066	0.00522538	0.0113578	0.0257108	0.0686066	0.0695287	0.0507023	0.0565421	0.0727688	0.0967905	0.168537	0.36677
a5	0.00216202	0.00189214	0.00239566	0.00451046	0.00724502	0.0136	0.0343684	0.0786895	0.0749365	0.0597988	0.0622516	0.0691506	0.0892091	0.159164	0.340626
a18	0.00152083	0.0013567	0.00182701	0.00352471	0.00665227	0.0163111	0.0365708	0.0832219	0.07177	0.0469932	0.0599609	0.0821362	0.103189	0.163482	0.321483
a11	0.000314125	0.000553241	0.000832032	0.00133636	0.00188979	0.00385273	0.00875313	0.0233041	0.0298113	0.0283544	0.0510344	0.0800728	0.130592	0.234859	0.40444
a90	0.00104693	0.000963831	0.00130427	0.00205516	0.00265535	0.00506934	0.0111194	0.0282531	0.0366319	0.032596	0.0681534	0.094918	0.138334	0.225695	0.351204
a57	0.000306351	0.000298406	0.000397999	0.000574222	0.000864883	0.00186295	0.00426341	0.0114361	0.014793	0.0159735	0.0346992	0.0655107	0.116729	0.224525	0.507765
a40	0.000155965	0.000170297	0.000228547	0.000373656	0.000535605	0.00122762	0.0033377	0.00862677	0.0116579	0.0119931	0.0294328	0.0502712	0.0978279	0.240551	0.543609
a7	6.56172e-05	9.1848e-05	0.000153952	0.000244328	0.000395811	0.00102468	0.00279151	0.00640505	0.008404	0.0113395	0.0278421	0.0501001	0.100534	0.225547	0.565061
a26	2.94136e-05	4.0163e-05	7.13129e-05	0.000123345	0.000205454	0.000539129	0.00146979	0.00349319	0.00521439	0.00645577	0.0182563	0.0385613	0.0861648	0.237979	0.601397
a82	0.00108436	0.00110476	0.001593	0.00202603	0.00229756	0.00454923	0.0111521	0.0175044	0.0187067	0.0224376	0.0611727	0.0925628	0.136206	0.235615	0.391988
a87	0.0134539	0.0133566	0.0131437	0.0114662	0.0115365	0.0165699	0.0343546	0.0466702	0.0391552	0.0506067	0.0784861	0.0984705	0.132352	0.186866	0.253512
a23	0.0208127	0.030533	0.0266764	0.0215875	0.025483	0.0393051	0.0791688	0.127664	0.0864068	0.102075	0.0795319	0.0778	0.0899762	0.0993297	0.0936498
a87	0.016726	0.0267896	0.0242116	0.0160849	0.0126236	0.0164499	0.0367424	0.0451957	0.0301604	0.0479025	0.0662608	0.0917426	0.118632	0.175359	0.275119
a23	0.00613405	0.0108082	0.0128955	0.0105998	0.0109194	0.018188	0.0422893	0.0381573	0.0204605	0.0336787	0.0435296	0.0637979	0.103967	0.207462	0.377114
a87	0.00879062	0.0170896	0.0205174	0.0175123	0.0151784	0.0222701	0.054934	0.0541771	0.0322388	0.0521091	0.0675804	0.0878942	0.110817	0.162616	0.276275
a23	0.00516588	0.0100778	0.0137414	0.0110248	0.0100371	0.0160338	0.0384063	0.0314555	0.0180893	0.033469	0.0510243	0.0828578	0.118769	0.201871	0.357977
a87	0.00807905	0.0135584	0.0156719	0.0129979	0.0114332	0.0172409	0.0368527	0.0350949	0.0235263	0.039254	0.0627979	0.0968515	0.131352	0.189879	0.30541
a97	0.0133893	0.0160888	0.0177197	0.0146493	0.0144706	0.0190982	0.031969	0.026464	0.017383	0.0289125	0.0441461	0.079329	0.121679	0.206169	0.348532
a87	0.0462724	0.0408906	0.0369701	0.0280598	0.03192	0.04197	0.0582681	0.0659847	0.0436611	0.0475468	0.0504777	0.064279	0.0874791	0.137427	0.218794
</S>	0.0495929	0.052097	0.0461556	0.0369735	0.040986	0.0489369	0.0647826	0.0702482	0.0454519	0.0500425	0.0497277	0.0621049	0.0838977	0.121972	0.177031
