 	sa	paternité	est	vaine	car	il	ne	remplit	plus	ses	obligations	envers	les	enfants	</S>
a23	0.0479169	0.0597289	0.0566333	0.0515407	0.0719299	0.0853243	0.079319	0.092987	0.0977939	0.087176	0.063657	0.0332453	0.0333128	0.049497	0.089938
a83	0.0256603	0.0254611	0.0301499	0.0286978	0.0287835	0.0303233	0.0283866	0.0290076	0.0382099	0.0490999	0.0725698	0.0591464	0.0970659	0.164462	0.292976
a54	0.00353613	0.00571044	0.00525142	0.00481689	0.00736237	0.0159803	0.0192373	0.0321565	0.039342	0.0431851	0.0636316	0.0472306	0.101904	0.237634	0.373021
a79	0.00319623	0.00392616	0.00534862	0.00662513	0.0186383	0.0509393	0.0640917	0.0992831	0.097199	0.0847806	0.0766029	0.0436433	0.0700222	0.14144	0.234264
a20	0.0021471	0.00325543	0.00405968	0.00489669	0.0124131	0.0335011	0.0482528	0.076515	0.0832396	0.0843853	0.100263	0.0645789	0.0899024	0.156545	0.236044
a7	0.00305628	0.00328236	0.00460112	0.00524455	0.0129873	0.0334358	0.0477869	0.0971421	0.0968173	0.0862123	0.0996939	0.0518714	0.0756746	0.144849	0.237345
a5	0.000900824	0.00114281	0.0015703	0.00186809	0.00507291	0.0141633	0.0286082	0.0602982	0.0611617	0.0603653	0.0902554	0.0774073	0.105638	0.192044	0.299504
a85	0.000971653	0.00100032	0.0013787	0.0016678	0.00440615	0.0106453	0.0248392	0.0619482	0.0581532	0.0597751	0.0991725	0.0980895	0.12946	0.194143	0.254349
a6	0.0022394	0.00264855	0.00385406	0.00444847	0.00834327	0.0177471	0.0295918	0.0567197	0.057203	0.0533414	0.0985702	0.0814067	0.110012	0.184729	0.289145
a36	0.0010025	0.00102809	0.0014321	0.00168233	0.00541292	0.0165679	0.0301247	0.0601944	0.0622567	0.0508405	0.0899818	0.084565	0.136619	0.196651	0.261642
a15	0.00124562	0.00115121	0.00166207	0.00188063	0.00427836	0.00978188	0.0194068	0.0516918	0.0524124	0.0489864	0.0808722	0.0757052	0.135526	0.227834	0.287566
a7	0.00120552	0.00106205	0.00147119	0.00156773	0.00307731	0.0073851	0.0135926	0.0314353	0.0335481	0.0279302	0.060677	0.0623118	0.143687	0.269452	0.341597
a15	0.00237971	0.00229613	0.0027848	0.00270799	0.00420291	0.00742216	0.011224	0.0256287	0.0268586	0.0249417	0.0540846	0.0563787	0.123085	0.292226	0.363778
a79	0.00149166	0.00146958	0.00172323	0.00155693	0.00217866	0.00377271	0.00525308	0.00976469	0.0125319	0.0111028	0.0357954	0.0460956	0.138374	0.314318	0.414572
a44	0.000435489	0.000464161	0.00064708	0.000610034	0.00118204	0.00331831	0.00550888	0.0155873	0.020897	0.017537	0.0594455	0.0641896	0.135961	0.302301	0.371916
a11	0.000999403	0.000934246	0.00137539	0.00137409	0.00260249	0.0056067	0.00739238	0.0149324	0.0172766	0.0150125	0.0396658	0.0543975	0.128524	0.328787	0.38112
a54	0.00197053	0.00263684	0.00336198	0.00340873	0.00454147	0.00708833	0.00844907	0.0111488	0.0112966	0.00923263	0.0264995	0.0388204	0.116022	0.341674	0.413848
a36	0.00072385	0.00100965	0.00121407	0.00116288	0.00190418	0.00366744	0.00441438	0.00838468	0.0115167	0.0117508	0.0457143	0.0570247	0.134804	0.340482	0.376226
a2	0.00262021	0.00331102	0.00381784	0.00391845	0.00571116	0.00796467	0.00786476	0.0109219	0.0111238	0.0085088	0.0224338	0.0272516	0.0886217	0.346032	0.449898
a40	0.0319906	0.0316645	0.0322171	0.0277113	0.029485	0.0342633	0.0362862	0.0363758	0.0397023	0.0328547	0.066106	0.0789022	0.154163	0.190509	0.177769
a2	0.00377753	0.00439745	0.00448848	0.00393899	0.00518004	0.00730761	0.00740102	0.0077576	0.0111547	0.0103483	0.031094	0.0522552	0.158078	0.344652	0.34817
a57	0.0189006	0.0183296	0.0162622	0.0130491	0.01825	0.0270046	0.0263345	0.0309883	0.0378096	0.0308814	0.0588761	0.0685678	0.141434	0.24415	0.249163
a87	0.0593574	0.0534299	0.0370716	0.0252382	0.0272238	0.0292327	0.031004	0.037549	0.0389829	0.0311442	0.0602891	0.0680832	0.125022	0.190402	0.18597
a23	0.0967093	0.0850144	0.0686388	0.0465151	0.0427057	0.0382385	0.0413183	0.048192	0.0667382	0.0567754	0.0876038	0.0661337	0.0780081	0.0877702	0.0896385
a87	0.0297566	0.027581	0.0225082	0.0130815	0.0119162	0.0154829	0.0202026	0.0233075	0.051435	0.0501441	0.123661	0.111776	0.137619	0.167343	0.194187
a23	0.0202111	0.0224927	0.0205798	0.0133852	0.013439	0.0179234	0.0231474	0.0237564	0.0362887	0.0257277	0.0526312	0.0572896	0.102376	0.22947	0.341282
a87	0.0262972	0.0221862	0.0228684	0.0142106	0.0150162	0.0285069	0.0433189	0.0459692	0.0805384	0.0644283	0.0993529	0.0815825	0.10652	0.148279	0.200926
</S>	0.0183497	0.0232659	0.0241349	0.0185276	0.0252904	0.0371782	0.0495725	0.039161	0.0590801	0.0476817	0.0646904	0.0588701	0.092082	0.17409	0.268026
