 	avant	de	sortir	cette	femme	a	l'	habitude	de	se	regarder	dans	le	miroir	</S>
a15	0.00363164	0.00457331	0.00966207	0.0440063	0.0661848	0.087417	0.0783025	0.0879695	0.0918982	0.0946912	0.117376	0.0582412	0.0646102	0.0867963	0.10464
a7	0.00312381	0.00366001	0.00806595	0.0259455	0.0419096	0.0666061	0.0770572	0.0898911	0.113518	0.12081	0.155646	0.0601785	0.0635726	0.0711554	0.0988598
a2	0.00424815	0.00415034	0.00564979	0.0164862	0.0291428	0.0543781	0.0781141	0.100547	0.139138	0.138295	0.164117	0.0582235	0.0513577	0.0592619	0.0968911
a57	0.0131529	0.0128132	0.0139892	0.0305473	0.0445962	0.0715414	0.0958334	0.114499	0.150994	0.141092	0.11058	0.0393041	0.0376632	0.0617026	0.0616917
a30	0.020712	0.0202109	0.0188801	0.0353193	0.0474597	0.0721	0.0933557	0.101205	0.124157	0.126421	0.106906	0.0500544	0.0445986	0.0733382	0.0652811
a87	0.0310188	0.0273667	0.0223433	0.0335637	0.0451984	0.0728054	0.0990092	0.105945	0.11407	0.109033	0.0919352	0.0694283	0.0484977	0.063388	0.0663972
a30	0.0278887	0.0226297	0.0245142	0.0508758	0.0707225	0.0966076	0.126197	0.123532	0.107134	0.0861399	0.0748444	0.0573236	0.039437	0.045878	0.0462752
a93	0.027096	0.0198951	0.0204281	0.0524424	0.0694688	0.0897774	0.127833	0.123792	0.114482	0.106312	0.0936629	0.0603728	0.0381643	0.0311061	0.025168
a70	0.0165099	0.013686	0.0162977	0.0417502	0.0585796	0.0743507	0.0986749	0.100733	0.0963941	0.0841079	0.0958243	0.105619	0.0657013	0.0614379	0.0703328
a61	0.0185981	0.0189721	0.0308228	0.0560648	0.0685838	0.0793584	0.0800422	0.0813503	0.071319	0.0591288	0.0689637	0.0956339	0.0795033	0.0955503	0.0961085
a93	0.0180239	0.0189104	0.0307066	0.0487297	0.057956	0.0694864	0.0670003	0.0686996	0.0599919	0.0536211	0.0652549	0.108632	0.0985507	0.121369	0.113068
a90	0.0151089	0.0168637	0.0249085	0.03426	0.0407857	0.0516967	0.0482619	0.0505757	0.0463336	0.0423787	0.0520352	0.102998	0.113522	0.183972	0.1763
a98	0.00785158	0.00840398	0.0116522	0.0239931	0.0306452	0.0423749	0.0386059	0.0423876	0.0398483	0.0365057	0.0491102	0.0796367	0.0944321	0.236898	0.257655
a92	0.00242835	0.00301352	0.00512984	0.0137779	0.0204069	0.0347352	0.0339589	0.0353817	0.0395275	0.0371975	0.051858	0.0640405	0.0820367	0.240074	0.336433
a12	0.00192965	0.00196668	0.00254901	0.00849922	0.0134239	0.0236317	0.0240531	0.0264938	0.0310524	0.0303758	0.0445843	0.0655157	0.0958428	0.277962	0.35212
a21	0.00169061	0.00159331	0.00156114	0.00328989	0.00492575	0.00924173	0.0108835	0.0125391	0.0181676	0.023231	0.0354848	0.058475	0.127006	0.36889	0.32302
a85	0.00113863	0.000947343	0.000952661	0.00276502	0.00429613	0.00834547	0.00996455	0.0115985	0.0178852	0.0242263	0.0408002	0.0645387	0.137191	0.382068	0.293282
a36	0.000408433	0.000425047	0.000516403	0.00134005	0.00256159	0.00526003	0.00655759	0.00774433	0.0110317	0.0137658	0.0216343	0.0368144	0.0843851	0.390211	0.417344
a21	0.000706467	0.000643583	0.0008386	0.00164314	0.00225136	0.00369826	0.00452357	0.00545388	0.00810883	0.0108886	0.0183392	0.0365881	0.0836453	0.357803	0.464868
a5	0.000726551	0.000615005	0.000606265	0.00162153	0.00237434	0.00412839	0.00496279	0.00560828	0.00815111	0.00984485	0.0165179	0.0294346	0.0772652	0.42388	0.414263
a23	0.000581998	0.000489719	0.000540126	0.0016194	0.00233945	0.00358472	0.00370436	0.00398287	0.00579256	0.00690845	0.0121829	0.0260681	0.069334	0.418466	0.444406
a75	0.000354848	0.000360002	0.000543476	0.00149334	0.00222399	0.00359351	0.00405558	0.0046284	0.00723214	0.00895165	0.0159516	0.0289683	0.0635318	0.372698	0.485413
a85	0.00031823	0.000336111	0.000506087	0.00132894	0.00175829	0.00281321	0.00317472	0.00353742	0.00556861	0.00743654	0.0147989	0.0257652	0.0695269	0.409548	0.453583
a6	0.000336325	0.000358004	0.000644931	0.00183107	0.00247391	0.00366487	0.00368682	0.00405455	0.00588976	0.0085009	0.0151219	0.027862	0.0607647	0.349152	0.515659
a36	0.000910674	0.000908454	0.00153186	0.00430345	0.0055467	0.00760805	0.00765893	0.00848257	0.0105776	0.0128347	0.0179083	0.0350409	0.0745907	0.30602	0.506077
a2	0.00514877	0.00463291	0.00483499	0.0130481	0.0177579	0.0229241	0.0233304	0.0241389	0.0236077	0.0199786	0.0200895	0.0397771	0.0854556	0.308752	0.386523
a57	0.0375463	0.0359805	0.0441002	0.0551181	0.0623417	0.072036	0.0718181	0.0712832	0.0635471	0.0465277	0.0422451	0.0671454	0.0784744	0.109037	0.142799
a10	0.117127	0.0802206	0.0649517	0.0531126	0.0516666	0.0537776	0.0589046	0.0563581	0.0485133	0.0420806	0.0422581	0.0638401	0.0821836	0.0898651	0.0951408
a99	0.0827629	0.0556532	0.0345716	0.03184	0.0323196	0.0386256	0.0537909	0.0547625	0.0557592	0.0636452	0.0854761	0.100983	0.109272	0.0999495	0.100588
a87	0.072019	0.0537105	0.0290224	0.026185	0.0273056	0.034854	0.0481029	0.048818	0.0508615	0.0654721	0.0765643	0.0922104	0.0841754	0.118833	0.171866
</S>	0.0549553	0.0419842	0.0240431	0.0237336	0.0267554	0.0387524	0.0513526	0.0531514	0.0528628	0.0590062	0.0610374	0.0776433	0.084561	0.129876	0.220286
