 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
a14	0.00887785	0.0199284	0.03622	0.0727611	0.094032	0.131929	0.120455	0.106177	0.103213	0.082491	0.0722554	0.0702041	0.0814563
a35	0.0137136	0.0263356	0.0389404	0.0670161	0.0837631	0.111716	0.110229	0.102779	0.101794	0.0910315	0.0850975	0.0809676	0.0866163
a38	0.00659971	0.0165505	0.0282494	0.061302	0.0737041	0.102687	0.0996739	0.0969471	0.103734	0.0983948	0.100024	0.098136	0.113997
a35	0.00495709	0.0122605	0.0253899	0.0588574	0.0674294	0.0947091	0.090576	0.0937646	0.103058	0.0973869	0.107925	0.110037	0.133649
a41	0.00608188	0.0135032	0.0217728	0.0482714	0.0622588	0.0913603	0.0884191	0.0882313	0.0988723	0.0978847	0.114445	0.119982	0.148917
a35	0.00506119	0.0125842	0.0185376	0.0405151	0.0519632	0.0793917	0.0752274	0.0787657	0.0939945	0.101317	0.128922	0.136872	0.176848
a76	0.00593678	0.0132294	0.0192309	0.0443718	0.0552979	0.0798822	0.0725956	0.0698017	0.0809321	0.0872113	0.120997	0.144408	0.206105
a44	0.00564426	0.0121511	0.018965	0.0407283	0.0512884	0.0742235	0.0717445	0.0717506	0.0828169	0.0931985	0.131585	0.150734	0.19517
a38	0.00452978	0.012423	0.019567	0.041365	0.0498024	0.0732158	0.0633252	0.0605134	0.0690716	0.078925	0.126918	0.163346	0.236998
a61	0.00525043	0.0126347	0.0228127	0.0470169	0.0560745	0.0771923	0.0613461	0.0605136	0.0653279	0.0697064	0.11294	0.163706	0.245478
a24	0.00411522	0.00778202	0.0117508	0.0267967	0.0359861	0.0570045	0.0491808	0.0463363	0.0593824	0.0754649	0.12827	0.189521	0.308409
a35	0.00638597	0.0105208	0.0148134	0.0258546	0.0336227	0.0531341	0.0442133	0.0423637	0.0556346	0.0724558	0.122499	0.196898	0.321605
a75	0.0094454	0.0210794	0.0339505	0.055874	0.0611792	0.07699	0.0594648	0.0518041	0.0565543	0.0618186	0.101842	0.156944	0.253054
a14	0.00783382	0.0148001	0.0185719	0.0342465	0.042394	0.0601922	0.055368	0.0560156	0.0713918	0.0891803	0.144511	0.169645	0.23585
a35	0.00574117	0.01248	0.0173269	0.03488	0.043656	0.0605198	0.0560177	0.0594331	0.0723486	0.0914083	0.142608	0.171758	0.231823
a41	0.0100197	0.0204359	0.0277234	0.0483398	0.0558276	0.0752249	0.0607374	0.0554423	0.0625378	0.0695372	0.116076	0.153257	0.24484
a35	0.0128116	0.0196861	0.0235136	0.040227	0.0456626	0.0651675	0.0582445	0.0629654	0.0762146	0.0908425	0.133307	0.15547	0.215888
a66	0.0119973	0.021119	0.0280855	0.0446974	0.0492217	0.0672314	0.0601298	0.0624329	0.0735983	0.0854045	0.128746	0.152623	0.214713
a76	0.0163481	0.0273061	0.033916	0.0444261	0.0449889	0.0570448	0.0463828	0.0455328	0.0556133	0.0689096	0.120002	0.179393	0.260136
a94	0.00660372	0.0106381	0.0164395	0.0358432	0.0451423	0.0633721	0.0578158	0.0620804	0.079441	0.090494	0.135373	0.161666	0.235091
a98	0.0109096	0.0238059	0.0289106	0.0400591	0.0458904	0.0648684	0.0529768	0.0474382	0.0565176	0.0676966	0.118319	0.174828	0.26778
a25	0.0070586	0.0160233	0.0239397	0.0433261	0.0505994	0.0691294	0.0590598	0.0560618	0.0653259	0.0731319	0.119533	0.165465	0.251347
a87	0.0121691	0.018849	0.0220433	0.0409211	0.0414456	0.0512416	0.0458984	0.0513388	0.0606933	0.0752848	0.126338	0.18072	0.273057
a23	0.0206058	0.0237119	0.0259622	0.0321429	0.031813	0.0420707	0.0371006	0.0477412	0.060797	0.0856215	0.136954	0.194017	0.261462
a87	0.0414658	0.0313157	0.034867	0.0409223	0.0463571	0.0574397	0.0550485	0.0662062	0.0819469	0.10112	0.128944	0.149413	0.164954
a10	0.0514287	0.0528211	0.0587735	0.066617	0.0637856	0.0617201	0.0514136	0.055269	0.053615	0.064426	0.0939317	0.140159	0.18604
a87	0.0336535	0.0294589	0.0323897	0.0413134	0.0462099	0.056201	0.0523229	0.0588819	0.0676828	0.0908161	0.127529	0.167771	0.19577
a23	0.0616119	0.0696289	0.0670016	0.0707976	0.0632843	0.0558928	0.0431876	0.0437836	0.0413381	0.0527471	0.0846097	0.142171	0.203945
a87	0.064988	0.0622101	0.0517172	0.0530188	0.0497576	0.0488113	0.0415012	0.0466958	0.0496547	0.0686491	0.106891	0.158022	0.198084
</S>	0.0668207	0.0771287	0.0576627	0.0615451	0.0548438	0.0499405	0.0394088	0.0420427	0.0420369	0.0579987	0.0931734	0.150801	0.206597
