 	de	petits	enfants	acclamaient	le	grand	vol	de	termites	dans	la	cour	</S>
a75	0.0466741	0.0771326	0.132159	0.112553	0.103865	0.138398	0.11724	0.0815664	0.0330274	0.0292045	0.0323754	0.0428701	0.052934
a6	0.0542772	0.0808114	0.136485	0.118153	0.100771	0.122702	0.0984499	0.0704817	0.0340568	0.0334941	0.0358784	0.0474214	0.0670169
a66	0.0555684	0.0747927	0.115287	0.100277	0.0813829	0.0990799	0.0838294	0.064153	0.0395623	0.0468985	0.0556151	0.0754323	0.108121
a61	0.0279335	0.0438427	0.0767804	0.0573562	0.0582663	0.0885245	0.123138	0.115536	0.0844102	0.0735188	0.0685242	0.082509	0.09966
a83	0.0323693	0.0545496	0.0945239	0.0861425	0.0691735	0.100175	0.121757	0.100865	0.0741952	0.0648346	0.0566721	0.0643012	0.0804414
a98	0.0291905	0.0476377	0.0783263	0.0695184	0.0543659	0.0782004	0.0993119	0.088428	0.0863998	0.0901983	0.0776345	0.0903601	0.110428
a47	0.0291448	0.0464709	0.0700809	0.0747314	0.0612435	0.0817342	0.094731	0.0810242	0.0659259	0.0741895	0.0831254	0.103209	0.134389
a5	0.0287213	0.0415649	0.0587861	0.0581487	0.0512879	0.0733046	0.0861022	0.0779801	0.0734473	0.0807061	0.0870162	0.119003	0.163932
a61	0.0624187	0.0724126	0.0862408	0.0851911	0.0687867	0.0870282	0.0919106	0.0815769	0.0778967	0.0737257	0.0669326	0.0649472	0.0809322
a62	0.0335916	0.0507681	0.0728113	0.0692561	0.0433059	0.0509869	0.0577424	0.0559408	0.0827741	0.130598	0.118234	0.108618	0.125372
a21	0.0318135	0.0486663	0.0703865	0.0632313	0.0388527	0.0443917	0.0489455	0.0464984	0.0681913	0.12971	0.134667	0.130471	0.144175
a61	0.025018	0.0394231	0.0530787	0.0481276	0.0317086	0.0408751	0.0517435	0.0523015	0.0882567	0.132563	0.131217	0.135483	0.170205
a21	0.0153237	0.0228198	0.0339336	0.0314226	0.0185804	0.0224494	0.0289621	0.0318584	0.0711759	0.149865	0.178515	0.184583	0.210512
a66	0.017489	0.0234392	0.0340397	0.030792	0.0201678	0.027035	0.0361413	0.0407694	0.084479	0.150568	0.171878	0.172885	0.190317
a9	0.00278438	0.00468714	0.00946845	0.0105915	0.00475251	0.00538961	0.00582236	0.0063141	0.0207091	0.0889666	0.17846	0.29583	0.366224
a54	0.00395519	0.00405803	0.00831568	0.00894022	0.00622042	0.0105777	0.0220917	0.0275436	0.0714118	0.150076	0.199965	0.217486	0.269358
a37	0.00113918	0.0017501	0.00202111	0.00200066	0.00130931	0.00149698	0.00182763	0.00263597	0.0113069	0.0703571	0.16981	0.31227	0.422075
a83	0.000396389	0.000553064	0.000988401	0.00102873	0.00062489	0.00087322	0.00145919	0.00228988	0.0132565	0.0883555	0.196109	0.295737	0.398328
a61	0.000489291	0.000695738	0.00134868	0.00148543	0.000806852	0.00110044	0.00180086	0.00276045	0.0146787	0.0873376	0.189101	0.288148	0.410247
a75	0.000749413	0.00121178	0.00249193	0.00274314	0.00139147	0.0016294	0.00234784	0.00306046	0.0123095	0.0635786	0.15251	0.290891	0.465086
a6	0.000526822	0.000965242	0.00140342	0.00135035	0.000941077	0.0010967	0.00163855	0.00238549	0.0100773	0.0560004	0.143946	0.312951	0.466718
a37	0.000340042	0.000706585	0.00096458	0.0010369	0.000749847	0.00110477	0.00230347	0.00352918	0.0172881	0.0749139	0.149669	0.302433	0.44496
a83	0.000319835	0.000524524	0.000954545	0.000973851	0.000573938	0.00084463	0.0015484	0.00204064	0.0100215	0.0530155	0.131523	0.288802	0.508858
a24	0.000467716	0.000674229	0.00125511	0.00127727	0.000730042	0.00113843	0.00231778	0.00316728	0.0145507	0.0688214	0.153274	0.279159	0.473167
a34	0.00181114	0.00176818	0.00219617	0.0017056	0.00116516	0.00224878	0.00479014	0.00692417	0.0244855	0.0756002	0.158582	0.267905	0.450819
a56	0.000428204	0.000658037	0.00128223	0.00123095	0.000700281	0.000964626	0.00183052	0.00255906	0.0108959	0.0527422	0.133344	0.28307	0.510294
a44	0.000637727	0.00108549	0.00213199	0.00188281	0.00113121	0.00141011	0.0024061	0.00316337	0.0129774	0.0633146	0.145096	0.284364	0.480399
a70	0.000436004	0.000659673	0.00118815	0.00132385	0.000800727	0.0010824	0.00201906	0.00269772	0.011961	0.0611013	0.148607	0.286513	0.48161
a90	0.000715717	0.000995018	0.00165365	0.00161745	0.000921396	0.00130369	0.00236225	0.00310901	0.01349	0.0676748	0.158753	0.290069	0.457335
a92	0.000250669	0.0004837	0.00100155	0.000923944	0.000678833	0.000938935	0.00190551	0.0029984	0.0132923	0.0690896	0.158598	0.295864	0.453974
a66	0.000598099	0.00103103	0.00178067	0.00119663	0.000842496	0.00111873	0.00201447	0.00317077	0.0130499	0.0636828	0.145346	0.285047	0.481121
a75	0.000491215	0.000738712	0.00110951	0.0013328	0.000754913	0.00108599	0.00200686	0.00258129	0.0122478	0.0573212	0.144611	0.288845	0.486874
a5	0.000423469	0.000698356	0.00127196	0.00100783	0.000706547	0.000975346	0.0017797	0.00281752	0.0120776	0.0543044	0.12939	0.277512	0.517035
a66	0.00132078	0.00169694	0.00293819	0.0021545	0.00114302	0.00158813	0.00266671	0.00322574	0.0117006	0.0521949	0.124015	0.267355	0.528001
a83	0.00103412	0.00132558	0.00202492	0.00232776	0.001355	0.00228651	0.0037143	0.00453803	0.0193382	0.0794271	0.170857	0.285114	0.426657
a9	0.000850252	0.00112022	0.00148199	0.00153202	0.000984202	0.00142787	0.00273889	0.00353091	0.0152555	0.0674235	0.157295	0.28887	0.45749
a99	0.00352072	0.00323156	0.00337107	0.00314192	0.00287338	0.00539298	0.0089145	0.00974098	0.0265423	0.07849	0.162404	0.279587	0.41279
a10	0.00741355	0.00764002	0.00758119	0.0098571	0.0109512	0.0194941	0.0209668	0.0224662	0.0473849	0.0910676	0.159256	0.252034	0.343887
a87	0.0220631	0.0254608	0.0239206	0.0330818	0.0308497	0.0433532	0.0391314	0.0356895	0.0603403	0.0939483	0.136675	0.198428	0.257059
a23	0.0298433	0.037629	0.0477314	0.0547082	0.0523163	0.0698244	0.0755433	0.0662236	0.0792508	0.0862357	0.108092	0.130403	0.162198
a10	0.027574	0.0351468	0.0332089	0.0195364	0.0216343	0.034507	0.0339697	0.0320333	0.0418403	0.0657702	0.112668	0.188874	0.353236
a87	0.0153791	0.0292836	0.0362956	0.0230426	0.0240777	0.038175	0.0297189	0.0306832	0.0343475	0.0591383	0.111658	0.190324	0.377876
</S>	0.0119031	0.0216166	0.0253661	0.0204267	0.020488	0.0306641	0.0230214	0.0220909	0.0265047	0.0482244	0.104846	0.213268	0.43158
