 	sa	mère	a	plus	d'	amour	pour	lui	que	pour	son	frère	</S>
a38	0.026347	0.0405358	0.0519914	0.0722025	0.112801	0.168908	0.159832	0.125724	0.0793049	0.0564402	0.0406746	0.0326636	0.032575
a24	0.0145514	0.0250826	0.0351379	0.05587	0.107085	0.179233	0.1667	0.13786	0.0910524	0.0657511	0.0469067	0.0373246	0.0374459
a98	0.0116592	0.0204142	0.0297509	0.0478897	0.0933044	0.164027	0.167562	0.144814	0.102013	0.0766107	0.0547923	0.0422906	0.0448728
a50	0.015526	0.0245484	0.032297	0.0494903	0.08689	0.147408	0.15095	0.131022	0.0934975	0.0786298	0.0636674	0.0582662	0.0678075
a62	0.00940833	0.0146532	0.0221866	0.0373863	0.0666684	0.122596	0.131578	0.126823	0.103302	0.0962482	0.0834021	0.0793535	0.106394
a75	0.0107221	0.0147171	0.0220826	0.0355317	0.0629416	0.113522	0.122863	0.120901	0.104097	0.102544	0.0909648	0.0852251	0.113888
a85	0.0139749	0.0178768	0.0248392	0.0401696	0.0699512	0.118347	0.120836	0.115854	0.0973819	0.0916755	0.0819155	0.0822804	0.124898
a14	0.0108612	0.0151078	0.0223264	0.0379043	0.0619942	0.100116	0.100465	0.0959255	0.0812971	0.0865266	0.0885841	0.109941	0.18895
a73	0.0119016	0.0150469	0.0231748	0.0399948	0.0577416	0.084034	0.0957894	0.100726	0.0912754	0.0983454	0.0962902	0.111587	0.174093
a90	0.00980223	0.0142904	0.0207098	0.0341297	0.0619476	0.117004	0.110615	0.113778	0.104085	0.104083	0.0918426	0.0932614	0.124452
a98	0.0133005	0.0155369	0.0223128	0.036146	0.0596384	0.108068	0.0957643	0.0894152	0.0797268	0.0878987	0.0952668	0.114081	0.182844
a73	0.0110052	0.0127155	0.0180762	0.0328291	0.0534392	0.0818033	0.0844305	0.0903175	0.0885448	0.101418	0.104068	0.124976	0.196377
a57	0.00950721	0.012055	0.0172329	0.0312733	0.056658	0.0997283	0.0891746	0.0951568	0.0937083	0.104178	0.100477	0.113334	0.177517
a87	0.00544902	0.00642371	0.00899188	0.0153438	0.0299415	0.058054	0.0576366	0.0638678	0.0742807	0.103442	0.123633	0.160374	0.292562
a23	0.00914815	0.00843028	0.00991332	0.0127403	0.0175207	0.0229009	0.0256627	0.0336524	0.0490655	0.0937423	0.125409	0.207604	0.384211
a94	0.0157926	0.012454	0.0148581	0.0169979	0.0232215	0.0292418	0.035755	0.0445175	0.0591723	0.111498	0.138208	0.190339	0.307944
a76	0.00908693	0.00818793	0.010362	0.0165951	0.0355297	0.0633736	0.0614666	0.0635244	0.0593283	0.0815329	0.0960631	0.156779	0.338171
a90	0.028815	0.0254766	0.0250418	0.0297669	0.0433709	0.0687871	0.0756049	0.0768459	0.0686459	0.0809292	0.0918535	0.133256	0.251607
a3	0.013581	0.0133251	0.0156516	0.0191274	0.0260822	0.0404257	0.0418659	0.0461738	0.051245	0.0721058	0.0971848	0.165536	0.397696
a79	0.00133837	0.00186957	0.00315342	0.00573455	0.0127304	0.0246321	0.0280218	0.0343641	0.0461679	0.078436	0.117552	0.205401	0.4406
a41	0.00423106	0.00456904	0.00682342	0.0105779	0.0191658	0.0375851	0.0398412	0.0452513	0.0539137	0.0815086	0.11182	0.186437	0.398276
a35	0.00249379	0.00335085	0.00573673	0.01221	0.0267753	0.0520987	0.0588022	0.0669941	0.0677888	0.0875298	0.108431	0.167651	0.340138
a66	0.00238021	0.00283747	0.0048182	0.0101347	0.0204695	0.0356973	0.0413758	0.0474325	0.0533594	0.0789187	0.108695	0.179379	0.414502
a38	0.00247469	0.00301534	0.00448893	0.00783194	0.0139872	0.0241816	0.0280395	0.034165	0.0431889	0.0715732	0.109897	0.187968	0.469189
a11	0.00234682	0.00275792	0.00370432	0.00631343	0.0121727	0.0215911	0.025376	0.0312592	0.0432782	0.0740229	0.11717	0.194096	0.465911
a24	0.00377152	0.00376198	0.00451246	0.00701932	0.0122418	0.0199198	0.0233732	0.0287866	0.0413836	0.0754137	0.120262	0.20034	0.459214
a9	0.00487217	0.00554377	0.00711771	0.00978588	0.0138339	0.0201122	0.0233534	0.0290233	0.0390503	0.0668953	0.108894	0.187935	0.483583
a87	0.00578349	0.00550916	0.00623068	0.0082608	0.011731	0.0152737	0.0178725	0.0232927	0.0365269	0.0716083	0.121775	0.206669	0.469466
a23	0.017937	0.0105538	0.00990764	0.0107012	0.0127107	0.0157115	0.0160104	0.0217313	0.0343662	0.0772099	0.126937	0.225221	0.421002
a83	0.0471141	0.0370356	0.0345898	0.028355	0.0273456	0.0289075	0.0273454	0.0348915	0.0506026	0.096776	0.134056	0.178026	0.274955
a54	0.00343652	0.00317665	0.00392861	0.00600731	0.0129639	0.0235878	0.0256852	0.0357138	0.0513606	0.104642	0.147674	0.21818	0.363643
a30	0.00384188	0.00402315	0.0060039	0.0104512	0.0203583	0.0314144	0.0355698	0.044622	0.0546288	0.10141	0.136549	0.208979	0.34215
a73	0.00118519	0.00140809	0.00231283	0.00496997	0.0128862	0.022696	0.0282586	0.0370067	0.0483197	0.0899212	0.130426	0.21446	0.406149
a90	0.000906614	0.0011644	0.00183932	0.00294755	0.00609224	0.0130416	0.0151185	0.0215322	0.0337508	0.0747907	0.123236	0.230469	0.475111
a93	0.000978016	0.00117072	0.00185555	0.00294552	0.00565399	0.01154	0.0127623	0.017945	0.0295805	0.0686747	0.118161	0.230015	0.498717
a13	0.00135066	0.00172524	0.00278279	0.00422797	0.00649328	0.00994022	0.0105725	0.015135	0.0259181	0.0633825	0.115712	0.22896	0.5138
a57	0.00304115	0.00354267	0.00456143	0.00631492	0.00952027	0.0130545	0.0140175	0.0187289	0.0309604	0.0691235	0.127777	0.228247	0.471111
a38	0.00548519	0.0046821	0.00518336	0.00595979	0.00776742	0.00996994	0.0108536	0.0151031	0.0268192	0.0594569	0.114158	0.220808	0.513753
a24	0.00502272	0.00451035	0.00473663	0.00503051	0.00640427	0.0084835	0.00936828	0.0133118	0.0252447	0.0630674	0.126868	0.23462	0.493332
a62	0.0124775	0.0137908	0.0145695	0.0150795	0.0170915	0.0206112	0.0198377	0.0258008	0.0393741	0.0811803	0.128959	0.208673	0.402555
a83	0.00563484	0.00705832	0.00915072	0.0103867	0.0128719	0.0168735	0.0180163	0.0247882	0.0392036	0.0790796	0.126662	0.212317	0.437957
a75	0.005371	0.00686862	0.00959463	0.0125716	0.0162804	0.0201553	0.0225139	0.0278211	0.0394787	0.0721364	0.122222	0.202561	0.442424
a41	0.00495483	0.00655843	0.00958822	0.0135816	0.0177214	0.0255254	0.0263417	0.0311823	0.0401311	0.0737278	0.124898	0.214123	0.411667
a69	0.00374022	0.00438987	0.00570352	0.00877582	0.0141145	0.0231036	0.0235298	0.0284555	0.0383818	0.073815	0.120786	0.209986	0.445218
a20	0.00145015	0.00224568	0.00349351	0.00578462	0.0108685	0.0197578	0.0190302	0.0211756	0.0276243	0.0523808	0.0990226	0.19836	0.538806
a84	0.00271727	0.00339893	0.00489731	0.0073105	0.0117502	0.0185385	0.0185692	0.0214411	0.029024	0.0576827	0.109556	0.216943	0.498171
a57	0.00550608	0.00599145	0.00803615	0.0101976	0.0127183	0.014467	0.0139906	0.0169639	0.0242495	0.056299	0.114488	0.225271	0.491821
a87	0.0131692	0.0108702	0.0116523	0.012166	0.0129396	0.0125626	0.0117445	0.01511	0.0239251	0.0630778	0.128833	0.228287	0.455662
</S>	0.0296702	0.0267297	0.0248443	0.0211045	0.0195283	0.0215542	0.0173692	0.0238307	0.0353172	0.0811212	0.127833	0.202927	0.36817
