 	j'	aime	bien	cet	enfant	car	il	est	toujours	prêt	à	faire	des	commissions	</S>
a47	0.000838832	0.000798775	0.00130732	0.00285114	0.00681981	0.0122224	0.0185024	0.023357	0.0202813	0.0207688	0.046458	0.0511981	0.0989628	0.244708	0.450925
a6	0.000971268	0.000802737	0.00140076	0.00272201	0.00587183	0.0100124	0.0167243	0.0235616	0.0180719	0.0196393	0.0517046	0.0519151	0.108824	0.235498	0.452279
a36	0.000978661	0.000717118	0.00116435	0.00201176	0.00462963	0.00879323	0.0145304	0.0197292	0.0150463	0.0157278	0.0471464	0.0616424	0.121829	0.234848	0.451206
a61	0.000859757	0.000610402	0.000959649	0.00132476	0.00244787	0.00432605	0.00635112	0.00752586	0.00642284	0.00638518	0.021533	0.032698	0.0980922	0.265344	0.54512
a31	0.000731385	0.000594669	0.000961285	0.00172429	0.00311843	0.00550831	0.00692524	0.00753955	0.00591295	0.00570425	0.0212495	0.0372135	0.107765	0.26157	0.533482
a88	0.000528052	0.000450991	0.000643708	0.00124399	0.00241518	0.00456949	0.00584958	0.00623122	0.00539525	0.00556835	0.0208761	0.036301	0.110691	0.271722	0.527514
a71	0.000597792	0.000497103	0.000794724	0.00130123	0.00212714	0.00390534	0.0049319	0.00518322	0.00431794	0.00474697	0.0210703	0.0349186	0.106991	0.26381	0.544807
a70	0.00168238	0.00126061	0.00190715	0.0027321	0.00442419	0.00874203	0.0118455	0.0125001	0.0115129	0.0122931	0.0434049	0.0588879	0.142542	0.268177	0.418088
a4	0.000436669	0.00041028	0.000693876	0.00116464	0.00195205	0.00383196	0.00487881	0.00534514	0.00428142	0.0047491	0.0221138	0.0344043	0.12002	0.288143	0.507575
a13	0.000122115	0.000123543	0.000223152	0.000419861	0.000776311	0.00142484	0.00179852	0.00204644	0.00155767	0.00184928	0.0107076	0.0203073	0.0879637	0.265174	0.605506
a57	0.000601477	0.000520771	0.000848458	0.00118512	0.00191801	0.00357176	0.00478384	0.00530498	0.00437516	0.00489504	0.0185127	0.03069	0.110291	0.288429	0.524073
a82	0.00917261	0.00621741	0.00807085	0.00621336	0.00674621	0.00796442	0.0130519	0.016343	0.0186734	0.0251256	0.0547246	0.057507	0.134572	0.222059	0.413559
a57	0.0619322	0.0330037	0.0380151	0.025675	0.0234415	0.0224513	0.0341412	0.0489316	0.059794	0.0633917	0.0683252	0.0689117	0.100831	0.135064	0.216091
a87	0.0934941	0.0461164	0.0502064	0.0387864	0.0352959	0.0346529	0.0441762	0.0589961	0.0779066	0.0707159	0.053994	0.064583	0.0869267	0.107542	0.136608
a23	0.0873627	0.0603134	0.068362	0.0552544	0.0500846	0.0497961	0.0576112	0.073326	0.0979113	0.0910529	0.0585851	0.068373	0.0625101	0.0597232	0.0597339
a87	0.0737123	0.0395043	0.0471443	0.0351177	0.029425	0.0280166	0.0362811	0.0598441	0.0674187	0.0799417	0.0750382	0.0967542	0.0838401	0.115464	0.132498
</S>	0.0181281	0.0115001	0.0171013	0.0166097	0.0175203	0.0205892	0.0268361	0.0472514	0.0411372	0.0393035	0.0578261	0.0728395	0.107379	0.227618	0.27836
