 	il	assemble	les	branches	pour	faire	un	brancard	</S>
a98	0.0267423	0.0122277	0.00873061	0.0110553	0.0225822	0.0431207	0.102213	0.254729	0.5186
a71	0.00686199	0.00420351	0.00548659	0.0112388	0.0305014	0.0641606	0.128904	0.252825	0.495818
a38	0.00393965	0.00290904	0.00349889	0.00623446	0.0197869	0.0530148	0.127251	0.268798	0.514567
a21	0.00282144	0.00194071	0.002151	0.0036693	0.012196	0.041638	0.122387	0.276493	0.536704
a5	0.0040021	0.00349929	0.00513261	0.00938271	0.026527	0.0713044	0.166513	0.285408	0.42823
a41	0.00555258	0.00442269	0.00583022	0.00883041	0.022139	0.0585913	0.153443	0.292572	0.448618
a73	0.00393163	0.00320645	0.00426218	0.00657751	0.0161846	0.0483495	0.131871	0.280268	0.50535
a94	0.0012429	0.00103042	0.00123352	0.00187755	0.0046103	0.0173972	0.0760513	0.261513	0.635044
a76	0.00189469	0.00139515	0.00147262	0.00212649	0.00473352	0.0167938	0.0728928	0.26261	0.636082
a69	0.0047765	0.0035983	0.00424171	0.0053013	0.00931672	0.0260038	0.0944694	0.271109	0.581184
a58	0.00222423	0.00164728	0.00207197	0.00330977	0.00649176	0.0187944	0.0721603	0.250674	0.642626
a53	0.00326215	0.00206875	0.00193906	0.00269277	0.00535156	0.0154076	0.0615066	0.235472	0.6723
a25	0.00449173	0.00292919	0.00290248	0.00391681	0.00690083	0.0166965	0.0644812	0.238015	0.659666
a94	0.00387246	0.00258097	0.00245702	0.00340407	0.00730473	0.0197277	0.0742957	0.245539	0.640819
</S>	0.00787457	0.00542714	0.00495101	0.00584736	0.00915301	0.0213307	0.0700483	0.236328	0.63904
