 	la	manière	dont	sa	gorge	a	seché	il	n'	a	pas	bu	depuis	un	moment	</S>
a62	0.0121661	0.0143351	0.0317833	0.0663295	0.0835704	0.123212	0.130128	0.120625	0.103763	0.0822107	0.063946	0.052554	0.0368703	0.0256975	0.025751	0.0270579
a47	0.00784606	0.00922178	0.0192983	0.0400142	0.0554757	0.0929499	0.106908	0.129637	0.124151	0.10319	0.0842735	0.0700254	0.0493764	0.0342553	0.0354666	0.0379106
a62	0.0101499	0.0109795	0.02206	0.0469623	0.0661898	0.104088	0.109769	0.125669	0.119514	0.0986216	0.0772909	0.0631998	0.044862	0.0310052	0.0322895	0.0373484
a61	0.00547916	0.00626685	0.013258	0.0281546	0.0390157	0.0673919	0.0763742	0.125824	0.141559	0.123221	0.10126	0.0815854	0.0594907	0.0419399	0.0435644	0.0456152
a62	0.00431411	0.00400019	0.00775478	0.0180393	0.0262701	0.0460178	0.0575995	0.124759	0.148462	0.131614	0.113236	0.0896943	0.0678113	0.049279	0.0540593	0.0570902
a61	0.00537209	0.00643384	0.0109487	0.0177131	0.0245395	0.0331367	0.0383726	0.0892975	0.113864	0.106473	0.107539	0.0957608	0.0779029	0.0731531	0.0849881	0.114505
a37	0.00370836	0.00391296	0.0069471	0.0136803	0.0189379	0.0261465	0.0306524	0.0804811	0.109744	0.109038	0.114292	0.103181	0.0878936	0.0818276	0.0953961	0.114161
a98	0.00401932	0.00361679	0.00595635	0.0125633	0.0184087	0.0201498	0.0197978	0.0567959	0.0866804	0.0900036	0.106265	0.099445	0.0822482	0.0884787	0.132344	0.173227
a92	0.000312992	0.000304124	0.00110761	0.00354094	0.0063412	0.00897296	0.0106723	0.062273	0.116469	0.124488	0.124426	0.0944393	0.0784129	0.0814569	0.125931	0.160851
a56	0.000427253	0.000406571	0.00117653	0.00313079	0.00542064	0.00751329	0.00897037	0.0516837	0.103796	0.11815	0.121379	0.0919339	0.0797775	0.089454	0.145457	0.171323
a93	0.00126621	0.000905816	0.0016949	0.00468642	0.00742161	0.0102628	0.0110617	0.0484434	0.0892454	0.100238	0.108133	0.0871077	0.0796527	0.0991434	0.149728	0.201009
a70	0.00125687	0.000997255	0.00172975	0.00443676	0.00723124	0.00907966	0.00811143	0.0350271	0.0644116	0.0750465	0.0874554	0.0784513	0.0719393	0.10275	0.17322	0.278856
a93	0.0011863	0.000807879	0.00124854	0.00326799	0.00570214	0.00654359	0.00494148	0.020931	0.0389425	0.0501471	0.0671886	0.0668466	0.068557	0.115763	0.215368	0.332559
a70	0.000692915	0.000499686	0.000942719	0.0027163	0.0049569	0.00584554	0.00473907	0.0209259	0.0399101	0.0516599	0.0669255	0.064957	0.0655269	0.110782	0.199975	0.358945
a54	0.00105881	0.00075687	0.00140696	0.00341958	0.0057899	0.00616394	0.00446704	0.0167761	0.0283856	0.0340767	0.0480969	0.0500828	0.0534626	0.107496	0.215478	0.423082
a36	0.000109294	9.29871e-05	0.000350081	0.0011323	0.00240533	0.00297435	0.00291073	0.0142994	0.0281903	0.0329374	0.0420221	0.0453086	0.0471392	0.0973748	0.236037	0.446716
a26	0.000153467	0.000113446	0.00031619	0.000834591	0.00175183	0.00190976	0.00161956	0.00675292	0.0137758	0.0162812	0.0217791	0.0231541	0.0278394	0.0859577	0.267066	0.530695
a57	0.00441844	0.00256193	0.00296978	0.00539645	0.00701688	0.00836388	0.00708712	0.0193798	0.0252371	0.0277403	0.0351592	0.036054	0.0497587	0.112938	0.295768	0.36015
a87	0.0231789	0.0130207	0.0112084	0.0172274	0.019294	0.021752	0.0218599	0.0380197	0.0432467	0.0457018	0.055506	0.0590608	0.0694895	0.111268	0.211392	0.238774
a23	0.112393	0.0497284	0.0262555	0.0324316	0.0254588	0.0285316	0.0263673	0.0360853	0.0431027	0.050448	0.065616	0.0766697	0.0899978	0.100878	0.113168	0.122868
a40	0.031509	0.0135618	0.0120198	0.0149931	0.0186143	0.0216151	0.0189206	0.0395597	0.0561791	0.0685895	0.0778524	0.087525	0.106249	0.138217	0.143878	0.150716
a37	0.0160567	0.00888043	0.00813133	0.0105353	0.0127302	0.0177696	0.013059	0.0365919	0.0574584	0.0745065	0.0861995	0.092611	0.106371	0.139085	0.153938	0.166077
a83	0.00272163	0.00168033	0.0022777	0.00460453	0.00732691	0.0119161	0.00871563	0.0292751	0.0466826	0.0616484	0.074456	0.0778599	0.0855976	0.133686	0.203791	0.24776
a66	0.000799919	0.000589295	0.000997614	0.00242582	0.00429693	0.00714922	0.00567175	0.0242438	0.0441562	0.0604904	0.0769042	0.0752653	0.0802485	0.127467	0.205451	0.283843
a71	0.000621809	0.00041399	0.000832521	0.00223195	0.00456961	0.00692876	0.00546348	0.0261838	0.0466589	0.0607001	0.0778502	0.07499	0.0792393	0.127263	0.20911	0.276943
a50	0.000662528	0.000435549	0.000888805	0.00240665	0.00496078	0.00623942	0.00472661	0.0239068	0.0432496	0.05548	0.07153	0.0713053	0.0728368	0.12294	0.230244	0.288187
a62	0.000722165	0.000487714	0.000957791	0.00259077	0.00507332	0.00633111	0.00505122	0.0266117	0.0476791	0.0591617	0.0746934	0.0750948	0.0746192	0.119071	0.213349	0.288506
a21	0.000302656	0.000203048	0.00039941	0.00150518	0.0030592	0.00474968	0.00498913	0.0253287	0.0401923	0.048921	0.0606766	0.062026	0.0712223	0.125146	0.225829	0.325449
a5	0.00029884	0.000193378	0.000306483	0.00102464	0.00208719	0.00340761	0.0051401	0.0209366	0.0287246	0.0313034	0.03897	0.0412647	0.0558313	0.120772	0.254239	0.3955
a37	0.000234743	0.000140323	0.000254365	0.00100228	0.00207758	0.00338323	0.00459317	0.0185871	0.0285025	0.0344678	0.0460093	0.0477116	0.0626525	0.123207	0.236035	0.391142
a5	0.000130242	9.23766e-05	0.000202036	0.000709369	0.0014791	0.00216212	0.00219218	0.0101526	0.0166427	0.0214084	0.0300023	0.0317394	0.0427683	0.107138	0.241974	0.491207
a18	0.000216315	0.000129578	0.000235443	0.000898528	0.00184759	0.00281339	0.00383518	0.0150831	0.0236243	0.0289535	0.041327	0.0440109	0.0581447	0.117575	0.244487	0.416819
a54	0.000449565	0.000327739	0.000724791	0.00221839	0.00404531	0.00467617	0.00333091	0.0128963	0.0180215	0.0214582	0.0306532	0.0357978	0.0450193	0.109198	0.255775	0.455408
a7	4.88613e-05	4.64139e-05	0.000209725	0.000668921	0.00144258	0.00167432	0.00175906	0.00710826	0.013134	0.0164263	0.0247288	0.0286445	0.0375718	0.104246	0.264049	0.498241
a37	0.000308792	0.000223316	0.000536397	0.0015323	0.00275527	0.00303392	0.00257209	0.00697225	0.010032	0.0122187	0.0188003	0.0228999	0.03616	0.113199	0.310563	0.458193
a7	0.000627657	0.000457151	0.00120792	0.00307958	0.00573043	0.00540455	0.00485687	0.0137309	0.0186265	0.0208406	0.0285698	0.0328592	0.0452782	0.12515	0.312276	0.381305
a26	0.000308207	0.000247868	0.000793962	0.00230306	0.00447729	0.00439591	0.00358387	0.0117295	0.0171477	0.0202183	0.0296049	0.035347	0.0484582	0.13161	0.30343	0.386344
a57	0.0014618	0.00109601	0.00254522	0.00560265	0.00875633	0.00871326	0.00812324	0.0249555	0.0362354	0.0395308	0.0475535	0.04839	0.0555409	0.117988	0.297326	0.296182
a87	0.0127012	0.00779455	0.00954647	0.015996	0.020133	0.0206033	0.0219893	0.0439361	0.0531971	0.0547322	0.0582452	0.0582414	0.0675152	0.114257	0.219006	0.222106
a23	0.10923	0.05242	0.0245994	0.0221928	0.0192242	0.0194409	0.0174801	0.0305367	0.0398825	0.0446917	0.0533867	0.0648046	0.0786393	0.115623	0.151185	0.156663
a87	0.0276733	0.0162704	0.0157705	0.0193474	0.0212145	0.0235944	0.0201176	0.0419842	0.0643997	0.0750158	0.0936235	0.103898	0.102405	0.121801	0.130282	0.122603
</S>	0.0119612	0.00749447	0.0122923	0.0159101	0.0189731	0.02105	0.0178126	0.0442207	0.0695983	0.0784514	0.0861661	0.0911833	0.0869475	0.115836	0.157903	0.164199
